Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,trap,241,63.93827160493827,3483226.4814814813
rap,rap,174,66.46236559139786,4451582.086021505
hip hop,rap,173,68.13157894736842,3391881.1710526315
pop rap,rap,112,67.10810810810811,3129131.918918919
hip hop,trap,111,66.05882352941177,3195759.098039216
melodic rap,rap,97,62.39655172413793,4360624.879310345
rap,southern hip hop,90,65.5,2506073.464285714
atl hip hop,rap,85,63.869565217391305,2523133.565217391
pop rap,trap,83,65.8695652173913,3199698.1304347827
trap,trap,80,63.794871794871796,3256423.487179487
pop,pop,76,56.958333333333336,4149914.3333333335
southern hip hop,trap,65,59.69230769230769,1957738.8461538462
melodic rap,trap,59,61.390243902439025,3599652.0
hip hop,pop rap,56,66.28571428571429,2635261.0476190476
pop,rap,54,60.702127659574465,5249999.680851064
hip hop,southern hip hop,54,64.5,2714575.875
gangster rap,rap,54,60.21052631578947,2676417.0
atl hip hop,trap,52,63.275862068965516,1625903.551724138
hip hop,hip hop,47,66.12121212121212,3169492.606060606
pop rap,southern hip hop,44,62.4,300522.0
atl hip hop,hip hop,43,65.90322580645162,1963020.935483871
hip hop,melodic rap,38,68.06666666666666,4065599.1666666665
dirty south rap,rap,38,59.0,1793662.75
gangster rap,hip hop,37,66.85714285714286,945399.6428571428
canadian hip hop,rap,36,73.58333333333333,5251253.416666667
rap,toronto rap,36,73.58333333333333,5251253.416666667
r&b,rap,36,62.21739130434783,3800995.7391304346
dance pop,pop,35,66.75862068965517,3236908.8620689656
gangster rap,trap,35,57.875,1587104.875
dirty south rap,trap,33,52.25,218277.0
gangster rap,southern hip hop,27,46.0,156889.0
dirty south rap,pop rap,27,53.333333333333336,278337.3333333333
dirty south rap,southern hip hop,27,53.333333333333336,278337.3333333333
melodic rap,pop rap,26,67.78947368421052,3971183.5263157897
hip hop,pop,26,67.08333333333333,2838488.2916666665
pop,trap,26,68.31818181818181,5310370.7272727275
north carolina hip hop,rap,26,64.46666666666667,5262143.8
pop rap,pop rap,26,68.7,2042865.7
canadian hip hop,trap,25,71.94444444444444,4862931.166666667
toronto rap,trap,25,71.94444444444444,4862931.166666667
gangster rap,pop rap,25,59.5,522841.25
dirty south rap,hip hop,25,62.333333333333336,2378851.6666666665
dance pop,rap,24,62.714285714285715,3255105.3571428573
uk hip hop,uk hip hop,23,49.44444444444444,1750086.111111111
canadian pop,rap,23,74.33333333333333,7090419.714285715
southern hip hop,southern hip hop,23,53.333333333333336,278337.3333333333
hip hop,r&b,22,60.8,2987931.6666666665
edm,pop,21,66.38888888888889,4611156.555555556
pop,pop rap,21,66.5,2604729.777777778
atl hip hop,melodic rap,20,62.9375,2170180.625
melodic rap,pop,20,54.4,5750746.55
atl trap,rap,20,60.333333333333336,3589020.466666667
canadian trap,rap,19,70.33333333333333,4572376.888888889
aussie drill,aussie drill,19,35.0,1611586.7142857143
chicago rap,rap,19,58.666666666666664,3958376.066666667
dance pop,trap,19,64.44444444444444,3208199.3333333335
pop,r&b,19,60.4375,1925964.5625
r&b,trap,19,59.9,4465068.7
grime,uk hip hop,18,51.5,2469134.3333333335
canadian hip hop,hip hop,18,73.375,5455489.125
hip hop,toronto rap,18,73.375,5455489.125
brooklyn drill,rap,18,70.41666666666667,4458778.083333333
canadian pop,pop,17,69.13333333333334,4308037.866666666
melodic rap,melodic rap,16,53.357142857142854,3595552.714285714
atl hip hop,pop rap,16,64.88888888888889,2554103.3333333335
north carolina hip hop,trap,16,65.46153846153847,6041936.461538462
pop rap,r&b,16,68.375,2410629.125
rap,slap house,15,68.81818181818181,1869446.2727272727
dance pop,hip hop,15,61.3,2893279.4
atl hip hop,southern hip hop,15,57.42857142857143,726974.4285714285
dance pop,pop rap,15,65.57142857142857,1457344.142857143
chicago rap,pop,14,48.583333333333336,4849134.916666667
canadian pop,trap,14,73.75,7167212.833333333
atl trap,hip hop,14,68.27272727272727,2560155.909090909
pop,pop dance,14,60.36363636363637,2430598.3636363638
pop dance,uk dance,14,76.5,18072890.5
new orleans rap,rap,14,56.0,3953276.3333333335
east coast hip hop,rap,14,60.4,2529866.4
dance pop,southern hip hop,14,68.0,1404780.0
dirty south rap,gangster rap,14,22.0,31357.0
atl hip hop,canadian hip hop,13,71.0,4018802.4166666665
atl hip hop,toronto rap,13,71.0,4018802.4166666665
canadian trap,trap,13,70.125,4606349.375
canadian pop,hip hop,13,73.53846153846153,6539928.076923077
canadian hip hop,pop rap,13,73.4,5923111.9
miami hip hop,rap,13,56.833333333333336,3109048.3333333335
miami hip hop,trap,13,47.5,48768.0
memphis hip hop,rap,13,55.5,2096032.5
edm,rap,12,42.44444444444444,3191780.888888889
melodic rap,slap house,12,62.2,5878975.0
aussie drill,australian trap,12,35.0,1611586.7142857143
brooklyn drill,trap,12,68.44444444444444,3966210.0
electropop,pop,12,70.2,6472369.7
pop rap,toronto rap,12,73.11111111111111,6148477.0
detroit hip hop,hip hop,12,62.8,467086.4
reggaeton,trap latino,12,80.25,144226.25
reggaeton,urbano latino,12,80.25,144226.25
trap latino,urbano latino,12,80.25,144226.25
pop,uk pop,12,65.18181818181819,4390138.545454546
contemporary country,pop,12,59.75,4467690.0
new orleans rap,trap,12,56.0,3953276.3333333335
rap,urban contemporary,12,48.4,1588855.6
memphis hip hop,trap,12,55.5,2096032.5
australian hip hop,rap,11,47.888888888888886,2939230.111111111
slap house,trap,11,67.75,889152.75
detroit hip hop,rap,11,67.33333333333333,3634382.4444444445
k-pop,pop,11,62.72727272727273,859904.9090909091
pop,southern hip hop,11,74.77777777777777,1426750.7777777778
east coast hip hop,hip hop,11,56.5,178354.5
australian pop,pop,10,26.8,2016626.1
uk hip hop,ukg revival,10,51.5,2469134.3333333335
atl hip hop,canadian pop,10,73.0,7105746.888888889
kentucky hip hop,rap,10,68.6,2669171.6
atl hip hop,pop,10,63.888888888888886,6356039.777777778
rap,uk hip hop,10,50.0,483981.5
trap,uk hip hop,10,43.857142857142854,135056.14285714287
melodic rap,north carolina hip hop,10,64.7,5657790.2
hip pop,rap,10,48.666666666666664,42697.0
atl hip hop,atl hip hop,10,67.875,217340.375
hip pop,trap,10,38.5,34433.0
rap,tennessee hip hop,10,46.5,1866434.5
trap,urban contemporary,10,53.333333333333336,278337.3333333333
battle rap,rap,10,38.5,163825.0
pop r&b,rap,10,48.0,3289991.5
r&b,southern hip hop,10,58.25,351014.25
southern hip hop,urban contemporary,10,53.333333333333336,278337.3333333333
pop,viral pop,9,30.88888888888889,2888615.6666666665
chicago rap,edm,9,41.0,3771338.4285714286
atl hip hop,slap house,9,67.75,889152.75
canadian trap,pop rap,9,70.66666666666667,5932305.166666667
chicago rap,trap,9,42.5,562080.875
deep underground hip hop,rap,9,68.0,3199924.25
k-pop girl group,pop,9,69.57142857142857,1218973.7142857143
country,pop,9,63.0,5790835.777777778
country road,pop,9,63.0,5790835.777777778
pop dance,pop dance,9,73.85714285714286,15549174.57142857
melodic rap,southern hip hop,9,68.55555555555556,2833959.0
atl hip hop,north carolina hip hop,9,63.111111111111114,2683399.6666666665
atl trap,trap,9,67.0,2824757.5
pop,reggaeton,9,75.33333333333333,486122.1666666667
pop,urbano latino,9,75.33333333333333,486122.1666666667
east coast hip hop,trap,9,49.0,5983635.5
tennessee hip hop,trap,9,46.5,1866434.5
dance pop,dirty south rap,9,61.0,2134413.3333333335
atl hip hop,dirty south rap,9,52.0,278062.0
pop r&b,trap,9,48.0,3289991.5
hyphy,rap,9,22.0,31357.0
rap,west coast trap,9,22.0,31357.0
australian hip hop,melodic rap,8,47.25,3160728.125
brostep,chicago rap,8,37.0,4342677.166666667
brostep,rap,8,37.0,4342677.166666667
brooklyn drill,melodic rap,8,68.875,4260580.0
deep underground hip hop,trap,8,68.0,3199924.25
kentucky hip hop,trap,8,68.0,3199924.25
alt z,pop,8,61.0,2941872.375
miami hip hop,pop rap,8,47.5,48768.0
hip hop,miami hip hop,8,64.25,4635547.5
cali rap,rap,8,66.33333333333333,3531365.3333333335
hip hop,new orleans rap,8,56.0,3953276.3333333335
new orleans rap,pop rap,8,56.0,3953276.3333333335
hip hop,urban contemporary,8,57.25,223559.25
brooklyn drill,hip hop,8,69.28571428571429,4522801.142857143
pop,trap latino,8,75.8,435578.4
atl hip hop,gangster rap,8,54.4,138135.8
hip pop,southern hip hop,8,38.5,34433.0
dance pop,r&b,8,60.333333333333336,779548.6666666666
atl hip hop,dance pop,8,61.0,2134413.3333333335
pop rap,urban contemporary,8,63.666666666666664,282568.3333333333
miami hip hop,southern hip hop,8,53.0,41486.0
battle rap,hip hop,8,38.5,163825.0
australian hip hop,chicago rap,7,46.0,3770637.4
canadian hip hop,melodic rap,7,67.57142857142857,3040795.8571428573
melodic rap,toronto rap,7,67.57142857142857,3040795.8571428573
edm,melodic rap,7,47.833333333333336,4120064.3333333335
chicago rap,progressive electro house,7,44.4,4875416.0
progressive electro house,rap,7,44.4,4875416.0
chicago rap,melodic rap,7,40.285714285714285,990344.0
rap,uk pop,7,62.714285714285715,3682937.5714285714
hip hop,kentucky hip hop,7,68.6,2669171.6
detroit hip hop,detroit hip hop,7,61.333333333333336,545212.3333333334
canadian pop,melodic rap,7,70.0,7113928.0
gangster rap,r&b,7,38.5,5441003.0
dfw rap,trap,7,66.57142857142857,5960095.714285715
canadian trap,hip hop,7,70.4,3701852.8
canadian pop,dance pop,7,66.57142857142857,3582023.1428571427
hip hop,hip pop,7,48.666666666666664,42697.0
pop,pop r&b,7,65.5,8117484.833333333
uk dance,uk pop,7,76.5,13917205.833333334
dance pop,dance pop,7,70.2,1017067.0
memphis hip hop,southern hip hop,7,40.0,219916.5
pop dance,uk pop,7,77.0,13306963.166666666
pop,urban contemporary,7,40.0,1466987.4
hip hop,memphis hip hop,7,46.5,1866434.5
hip hop,tennessee hip hop,7,46.5,1866434.5
dirty south rap,urban contemporary,7,53.333333333333336,278337.3333333333
dirty south rap,r&b,7,53.333333333333336,278337.3333333333
dirty south rap,dirty south rap,7,53.5,398045.0
east coast hip hop,southern hip hop,7,22.0,31357.0
hyphy,southern hip hop,7,22.0,31357.0
southern hip hop,west coast trap,7,22.0,31357.0
hyphy,trap,7,22.0,31357.0
trap,west coast trap,7,22.0,31357.0
battle rap,trap,7,22.0,31357.0
pop r&b,southern hip hop,7,22.0,31357.0
canadian hip hop,southern hip hop,6,74.83333333333333,5302343.5
canadian pop,southern hip hop,6,74.83333333333333,5302343.5
southern hip hop,toronto rap,6,74.83333333333333,5302343.5
electro house,melodic rap,6,55.4,10708677.0
melodic rap,pop dance,6,55.4,10708677.0
atl hip hop,brooklyn drill,6,65.8,3770318.6
london rap,uk hip hop,6,45.333333333333336,311989.6666666667
deep underground hip hop,hip hop,6,68.0,3199924.25
electro house,pop,6,49.0,1187348.0
canadian contemporary r&b,pop,6,66.33333333333333,4386080.666666667
pop,singer-songwriter pop,6,70.8,10228250.6
reggaeton,reggaeton,6,80.25,144226.25
trap latino,trap latino,6,80.25,144226.25
urbano latino,urbano latino,6,80.25,144226.25
melodic rap,r&b,6,63.5,5178391.666666667
pop,trap queen,6,68.5,8623225.5
cali rap,melodic rap,6,60.333333333333336,8796538.0
contemporary country,dance pop,6,53.5,2278656.0
uk dance,uk dance,6,79.75,24063641.0
pop,tropical house,6,65.33333333333333,3068533.1666666665
canadian pop,pop rap,6,75.16666666666667,6514333.166666667
aussie drill,uk hip hop,6,45.25,1003571.75
australian trap,uk hip hop,6,45.25,1003571.75
pop,reggaeton colombiano,6,75.33333333333333,486122.1666666667
chicago rap,hip hop,6,65.66666666666667,7629173.0
dfw rap,rap,6,62.4,7795665.6
hip pop,pop rap,6,38.5,34433.0
dance pop,urban contemporary,6,55.75,244591.75
east coast hip hop,gangster rap,6,42.0,210949.0
new orleans rap,southern hip hop,6,22.0,31357.0
hip hop,hyphy,6,22.0,31357.0
hip hop,west coast trap,6,22.0,31357.0
hyphy,pop rap,6,22.0,31357.0
pop rap,west coast trap,6,22.0,31357.0
battle rap,pop rap,6,22.0,31357.0
battle rap,southern hip hop,6,22.0,31357.0
hip hop,pop r&b,6,22.0,31357.0
pop r&b,pop rap,6,22.0,31357.0
memphis hip hop,pop rap,6,22.0,31357.0
pop rap,tennessee hip hop,6,22.0,31357.0
southern hip hop,tennessee hip hop,6,22.0,31357.0
gangster rap,gangster rap,6,22.0,31357.0
detroit hip hop,east coast hip hop,6,62.0,390541.0
atl hip hop,canadian trap,5,69.2,3919699.0
canadian trap,melodic rap,5,69.2,3919699.0
brostep,melodic rap,5,44.4,4875416.0
melodic rap,progressive electro house,5,44.4,4875416.0
atl trap,slap house,5,68.0,1136937.8
north carolina hip hop,pop,5,59.6,4441027.2
north carolina hip hop,pop rap,5,68.0,4061238.0
detroit hip hop,gangster rap,5,61.333333333333336,545212.3333333334
detroit hip hop,hardcore hip hop,5,61.333333333333336,545212.3333333334
moombahton,pop,5,41.333333333333336,824254.3333333334
atl hip hop,r&b,5,46.5,5622455.75
art pop,pop,5,76.6,7980191.6
indietronica,rap,5,67.0,1668509.5
country,dance pop,5,58.6,2722407.4
country road,dance pop,5,58.6,2722407.4
pop dance,pop house,5,79.0,18679888.0
pop house,uk dance,5,79.0,18679888.0
dfw rap,hip hop,5,75.0,3112645.4
pop,trap soul,5,74.25,1011518.0
canadian hip hop,r&b,5,77.4,5721687.0
r&b,toronto rap,5,77.4,5721687.0
edm,pop r&b,5,71.75,5096394.75
