Source,Target,Weight,Avg_Popularity,Avg_Streams
french hip hop,pop urbaine,710,40.10493827160494,309117.14814814815
french hip hop,french hip hop,388,39.89090909090909,302183.4121212121
french hip hop,rap marseille,380,27.4,378555.5714285714
french hip hop,rap francais,373,39.28776978417266,274383.6258992806
pop urbaine,rap marseille,360,27.914285714285715,384039.5714285714
pop urbaine,rap francais,357,39.69767441860465,296303.27906976745
pop urbaine,pop urbaine,340,40.255172413793105,342500.7172413793
rap,trap,203,64.9090909090909,606055.4090909091
rap marseille,rap marseille,152,9.117647058823529,326391.0
rap francais,rap marseille,149,27.25925925925926,412798.0
rap,rap,148,67.14634146341463,702895.1585365854
hip hop,rap,142,67.93333333333334,632659.9
french hip hop,r&b francais,125,32.666666666666664,462817.88333333336
pop urbaine,r&b francais,124,32.8,462822.63333333336
hip hop,trap,95,65.53846153846153,713055.717948718
pop rap,rap,95,67.88461538461539,619060.8076923077
rap francais,rap francais,90,36.471698113207545,302216.88679245283
dutch hip hop,dutch hip hop,84,36.72727272727273,112803.56818181818
rap,southern hip hop,83,63.90909090909091,309310.6818181818
melodic rap,rap,83,64.90196078431373,674718.8235294118
atl hip hop,rap,75,66.04878048780488,462238.39024390245
pop,pop,74,64.55882352941177,722816.8088235294
pop rap,trap,72,67.70588235294117,585072.1764705882
trap,trap,69,66.16666666666667,758989.9
dutch hip hop,dutch rap pop,67,35.0,91631.72413793103
southern hip hop,trap,62,62.36363636363637,124631.72727272728
french hip hop,rap conscient,61,42.84444444444444,190827.6888888889
r&b francais,rap marseille,60,14.6,393111.4666666667
pop,rap,58,59.4375,699306.2708333334
r&b francais,rap francais,52,31.19047619047619,418602.85714285716
hip hop,southern hip hop,51,59.61538461538461,422822.53846153844
melodic rap,trap,51,62.666666666666664,656018.5151515151
gangster rap,rap,51,64.1875,335578.6875
pop urbaine,rap conscient,49,43.18421052631579,224105.02631578947
hip hop,pop rap,48,64.85714285714286,554155.2857142857
french hip hop,old school rap francais,47,28.181818181818183,364105.63636363635
atl hip hop,trap,47,64.41666666666667,410243.0416666667
dance pop,pop,45,62.91428571428571,589979.8
pop rap,southern hip hop,44,58.0,13925.6
hip hop,hip hop,39,63.72,622827.76
dirty south rap,rap,38,57.75,116954.25
old school rap francais,pop urbaine,37,27.1,399535.1
reggaeton,urbano latino,37,68.625,628899.5
atl hip hop,hip hop,35,66.4,445269.32
gangster rap,hip hop,35,66.08333333333333,122180.58333333333
french hip hop,rap algerien,34,27.916666666666668,273544.5
gangster rap,trap,34,63.57142857142857,310290.5714285714
rap conscient,rap francais,33,40.724137931034484,254124.3448275862
old school rap francais,rap marseille,33,0.0,51340.6
belgian hip hop,french hip hop,33,41.17391304347826,174435.4347826087
edm,pop,32,63.96296296296296,688918.1481481482
dirty south rap,trap,32,50.333333333333336,14357.0
reggaeton,trap latino,31,68.625,628899.5
pop,reggaeton,30,64.0,1261160.2777777778
pop,pop dance,29,58.523809523809526,600333.1428571428
canadian hip hop,rap,28,70.1,875410.15
pop,urbano latino,28,64.0,1261160.2777777778
rap,toronto rap,27,73.36842105263158,921183.2631578947
hip hop,melodic rap,27,69.77272727272727,845166.5
gangster rap,southern hip hop,27,52.0,20348.333333333332
dirty south rap,pop rap,27,50.333333333333336,14357.0
pop urbaine,rap algerien,26,26.818181818181817,296882.1818181818
hip hop,pop,26,66.54545454545455,620493.0909090909
dance pop,rap,26,57.07142857142857,454211.85714285716
dirty south rap,hip hop,26,57.75,116954.25
dirty south rap,southern hip hop,26,53.5,18438.0
pop,trap latino,25,63.470588235294116,1307685.0588235294
pop,pop rap,25,65.3157894736842,339415.2631578947
gangster rap,pop rap,25,64.5,127947.25
