Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,trap,129,55.07692307692308,23083.061538461538
hip hop,rap,126,54.459016393442624,23301.131147540982
rap,rap,126,52.857142857142854,24356.675324675325
pop,rap,80,50.51923076923077,30427.46153846154
melodic rap,rap,73,51.08695652173913,24806.717391304348
atl hip hop,rap,71,52.325,21782.175
pop,pop,66,53.592592592592595,37646.333333333336
pop rap,rap,65,55.07692307692308,13114.615384615385
hip hop,trap,57,58.275,22528.85
hip hop,pop,44,46.303030303030305,27487.0
rap,underground hip hop,41,35.0,1133.6666666666667
melodic rap,trap,40,52.375,18947.6875
atl hip hop,trap,40,49.57692307692308,8721.653846153846
pop,trap,39,50.54838709677419,29340.387096774193
hip hop,melodic rap,36,52.75,26928.714285714286
bulgarian pop,chalga,36,24.636363636363637,25334.18181818182
trap,trap,34,53.53333333333333,10203.1
edm,pop,33,55.6,13892.52
pop rap,trap,33,53.64,13926.16
rap,southern hip hop,31,51.78260869565217,23223.260869565216
atl hip hop,hip hop,29,58.857142857142854,17394.428571428572
pop,pop dance,29,51.15,14561.25
bulgarian pop,bulgarian pop,29,24.88,29353.76
rap,slap house,28,51.8,25596.05
hip hop,pop rap,28,52.57142857142857,15012.857142857143
hip hop,hip hop,28,55.19047619047619,29763.714285714286
hip hop,underground hip hop,28,34.5,1086.5
pop,pop rap,25,50.142857142857146,21836.14285714286
atl trap,rap,24,61.214285714285715,32403.35714285714
dfw rap,rap,24,38.89473684210526,32545.842105263157
atl hip hop,melodic rap,24,51.0,22586.3
miami hip hop,rap,24,56.5,6500.833333333333
dance pop,pop,22,59.0,47819.5
pop,reggaeton,22,59.07692307692308,19760.53846153846
pop,trap latino,21,64.92307692307692,20303.0
pop,urbano latino,21,59.15384615384615,19967.46153846154
underground hip hop,underground hip hop,21,34.5,1086.5
gangster rap,rap,18,58.714285714285715,47318.92857142857
melodic rap,pop,18,53.111111111111114,29036.5
pop dance,uk dance,18,49.0,50676.333333333336
pop,uk pop,18,56.411764705882355,35713.882352941175
atl hip hop,pop,18,46.5,29546.0
melodic rap,pop rap,18,52.875,11101.6875
rap,trap latino,17,58.0,27424.545454545456
slap house,trap,16,62.583333333333336,26271.75
rap,reggaeton,16,55.6,27519.4
rap,urbano latino,16,55.6,27519.4
bulgarian hip hop,bulgarian pop,16,28.4,80058.2
dfw rap,hip hop,15,38.30769230769231,29144.0
dfw rap,trap,15,46.30769230769231,35344.692307692305
rap,uk pop,15,64.81818181818181,47138.27272727273
trap,underground hip hop,15,35.0,1133.6666666666667
atl trap,hip hop,14,62.1,27516.0
melodic rap,slap house,14,54.75,40069.833333333336
pop,slap house,14,43.09090909090909,30827.090909090908
pop,r&b,14,49.583333333333336,13991.0
atl hip hop,pop rap,14,46.53846153846154,10688.307692307691
southern hip hop,trap,14,47.5,15203.5
pop,southern hip hop,14,45.7,10088.4
pop rap,underground hip hop,14,35.0,1133.6666666666667
canadian pop,rap,14,51.416666666666664,32814.0
hip hop,southern hip hop,14,52.69230769230769,33294.769230769234
r&b,rap,14,47.916666666666664,11653.583333333334
atl hip hop,slap house,13,68.1,29720.3
house,pop,13,52.0,9681.666666666666
edm,pop dance,13,44.42857142857143,9026.857142857143
electro house,pop,13,46.3,6320.6
atl hip hop,atl hip hop,13,52.15384615384615,7327.384615384615
rap,singer-songwriter pop,13,63.55555555555556,45581.666666666664
gangster rap,hip hop,12,61.8,48504.4
dance pop,pop dance,12,53.54545454545455,10678.272727272728
pop dance,uk pop,12,47.0,19294.4
bulgarian pop,bulgarian trap,12,6.0,5422.142857142857
conscious hip hop,rap,12,53.666666666666664,45626.166666666664
north carolina hip hop,rap,12,44.666666666666664,35341.0
electropop,pop,12,45.45454545454545,36830.454545454544
hip hop,miami hip hop,12,58.625,8187.375
miami hip hop,trap,12,59.75,8939.75
pop,uk dance,11,52.125,10722.0
dance pop,edm,11,53.54545454545455,10678.272727272728
pop dance,pop dance,11,52.111111111111114,34212.333333333336
pop,reggaeton colombiano,11,55.0,22148.555555555555
atl trap,trap,11,63.0,10331.222222222223
chalga,chalga,11,31.333333333333332,43252.444444444445
miami hip hop,underground hip hop,11,52.5,1135.5
cali rap,underground hip hop,11,69.0,1043.0
hip hop,trap latino,10,53.111111111111114,29880.11111111111
melodic rap,melodic rap,10,52.8,30679.4
edm,uk pop,10,47.0,12234.3
edm,uk dance,10,34.0,14833.75
house,uk dance,10,34.0,14833.75
queens hip hop,rap,10,51.5,9803.0
canadian pop,pop,10,56.44444444444444,79736.22222222222
hip hop,r&b,10,50.0,12913.0
cali rap,rap,10,45.666666666666664,39437.666666666664
pop rap,reggaeton,9,56.25,32001.875
reggaeton,trap,9,53.57142857142857,34484.0
pop rap,trap latino,9,56.625,31561.0
trap,trap latino,9,57.125,33483.0
pop rap,urbano latino,9,56.25,32001.875
trap,urbano latino,9,53.57142857142857,34484.0
atl trap,melodic rap,9,57.333333333333336,26532.666666666668
pop,rock,9,51.625,34225.375
melodic rap,southern hip hop,9,46.875,11645.5
hip hop,queens hip hop,9,51.5,9803.0
hip hop,reggaeton,8,46.285714285714285,33349.142857142855
rap,reggaeton colombiano,8,55.166666666666664,26989.833333333332
hip hop,urbano latino,8,46.285714285714285,33349.142857142855
house,pop dance,8,37.4,12138.8
pop,pop soul,8,57.5,10871.25
philly rap,rap,8,50.4,15735.6
hip hop,slap house,8,46.875,24894.625
queens hip hop,underground hip hop,8,34.5,1086.5
rap,sudanese hip hop,8,34.5,1086.5
sudanese hip hop,underground hip hop,8,34.5,1086.5
rap,sudanese pop,8,34.5,1086.5
