Source,Target,Weight,Avg_Popularity,Avg_Streams
reggaeton,urbano latino,1544,54.914529914529915,439197.13675213675
trap latino,urbano latino,1374,54.710144927536234,445612.71014492755
reggaeton,trap latino,1250,54.546341463414635,444541.4048780488
urbano latino,urbano latino,848,54.96035242290749,432132.08810572687
reggaeton,reggaeton,710,53.693396226415096,439019.69811320753
trap latino,trap latino,564,54.55696202531646,453061.7974683544
reggaeton colombiano,urbano latino,216,57.98979591836735,527465.775510204
reggaeton flow,urbano latino,213,53.714285714285715,398324.0816326531
reggaeton,reggaeton colombiano,204,57.35,515333.91
trap argentino,urbano latino,201,53.425,355555.375
latin hip hop,reggaeton,191,53.21333333333333,463344.1066666667
latin hip hop,urbano latino,191,53.21333333333333,463344.1066666667
reggaeton,reggaeton flow,190,54.1,396352.84
latin pop,urbano latino,186,56.48695652173913,435543.2434782609
reggaeton flow,trap latino,182,53.43478260869565,402409.0
latin pop,reggaeton,178,55.83177570093458,415835.55140186916
trap argentino,trap latino,171,52.526315789473685,333888.94736842107
latin hip hop,trap latino,155,52.666666666666664,501329.28571428574
reggaeton,trap argentino,153,54.78787878787879,422695.7272727273
reggaeton colombiano,trap latino,152,58.75675675675676,552099.5135135135
colombian pop,urbano latino,133,59.36923076923077,486158.8769230769
panamanian pop,urbano latino,127,51.810810810810814,551721.5135135135
colombian pop,reggaeton,122,59.33846153846154,464158.58461538464
latin pop,trap latino,113,57.270270270270274,499407.91891891893
panamanian pop,reggaeton,106,50.94285714285714,575986.4285714285
puerto rican pop,reggaeton,106,57.244897959183675,463023.387755102
puerto rican pop,urbano latino,106,57.76,462386.62
r&b en espanol,urbano latino,102,58.32,529521.84
panamanian pop,trap latino,99,51.77142857142857,567216.9142857143
puerto rican pop,trap latino,93,57.54761904761905,512751.8095238095
rap latina,urbano latino,83,52.1875,369891.96875
r&b en espanol,reggaeton,82,57.833333333333336,550160.25
argentine hip hop,urbano latino,81,47.36363636363637,335228.1818181818
r&b en espanol,trap latino,78,57.27272727272727,552746.6363636364
colombian pop,trap latino,78,59.75675675675676,579701.4054054054
argentine hip hop,trap argentino,78,40.94117647058823,252737.88235294117
argentine hip hop,trap latino,73,45.05,292029.25
rap latina,reggaeton,70,49.2962962962963,373017.14814814815
pop reggaeton,urbano latino,67,60.8235294117647,633829.0588235294
rap latina,trap latino,66,49.48148148148148,366803.81481481483
latin pop,reggaeton colombiano,66,55.36842105263158,460398.7543859649
pop,reggaeton,62,57.55555555555556,358083.0
pop,urbano latino,60,57.583333333333336,355302.80555555556
argentine hip hop,reggaeton,59,49.05882352941177,419788.8823529412
pop reggaeton,reggaeton,58,60.8235294117647,633829.0588235294
trap argentino,trap argentino,58,40.94117647058823,252737.88235294117
colombian pop,latin pop,53,58.31818181818182,424995.04545454547
pop,pop,52,59.7,159545.25
pop reggaeton,trap latino,51,61.125,665494.25
pop,trap latino,48,59.645161290322584,398035.1612903226
latin pop,latin pop,48,57.125,342853.6875
reggaeton,trap boricua,38,37.833333333333336,123956.0
trap boricua,urbano latino,38,37.833333333333336,123956.0
trap boricua,trap latino,37,37.833333333333336,123956.0
colombian pop,reggaeton colombiano,35,60.78260869565217,327894.52173913043
latin hip hop,reggaeton flow,33,60.11764705882353,587661.4705882353
mexican pop,reggaeton,32,54.275862068965516,346810.9310344828
mexican pop,urbano latino,31,54.07142857142857,354596.85714285716
pop,rap,30,60.91304347826087,155902.47826086957
latin viral pop,urbano latino,29,59.888888888888886,396793.1666666667
latin viral pop,reggaeton,28,58.64705882352941,337449.82352941175
latin hip hop,reggaeton colombiano,27,56.285714285714285,510756.1904761905
reggaeton colombiano,reggaeton colombiano,25,63.26086956521739,554831.0869565217
latin hip hop,latin pop,24,56.142857142857146,355675.4285714286
latin arena pop,reggaeton,24,49.142857142857146,365006.4285714286
argentine hip hop,argentine hip hop,23,39.22222222222222,366259.0
trap triste,urbano latino,23,51.0,511595.0
pop,reggaeton colombiano,23,55.333333333333336,437949.28571428574
latin arena pop,urbano latino,23,48.6,376816.5
rap latina,trap argentino,22,43.30769230769231,436825.8461538461
edm,pop,22,71.05882352941177,165936.64705882352
latin pop,pop,22,57.0,192581.47368421053
dance pop,reggaeton,22,50.5625,273536.5625
r&b en espanol,trap argentino,21,57.1875,586858.0625
trap argentino,trap triste,21,36.25,764430.5
reggaeton,trap triste,20,51.0,511595.0
trap latino,trap triste,20,51.0,511595.0
dance pop,urbano latino,20,49.93333333333333,275044.3333333333
reggaeton flow,trap argentino,19,56.583333333333336,525531.75
mexican pop,reggaeton colombiano,19,57.111111111111114,453699.5
pop venezolano,urbano latino,19,52.38461538461539,514889.07692307694
panamanian pop,reggaeton colombiano,18,55.111111111111114,496084.55555555556
reggaeton flow,reggaeton flow,18,63.857142857142854,443895.9285714286
edm,reggaeton,18,55.75,221844.58333333334
edm,urbano latino,18,55.75,221844.58333333334
pop dance,reggaeton,18,55.75,221844.58333333334
pop dance,urbano latino,18,55.75,221844.58333333334
latin viral pop,trap latino,18,59.07692307692308,400352.3846153846
panamanian pop,trap argentino,17,53.583333333333336,637410.3333333334
reggaeton colombiano,trap argentino,17,54.833333333333336,691259.9166666666
panamanian pop,reggaeton flow,17,46.642857142857146,512898.28571428574
latin hip hop,puerto rican pop,17,62.92857142857143,707886.5714285715
colombian pop,colombian pop,17,65.47058823529412,420901.35294117645
mexican pop,trap latino,17,48.375,298967.1875
bachata,reggaeton,17,61.0,431359.9
bachata,urbano latino,17,61.0,431359.9
r&b en espanol,reggaeton colombiano,16,57.125,650399.125
funk pop,reggaeton,16,61.3,115616.2
pop venezolano,reggaeton,16,54.5,648587.4
colombian pop,panamanian pop,15,57.666666666666664,451711.6
colombian pop,trap argentino,15,58.5,637944.9
puerto rican pop,reggaeton colombiano,15,62.916666666666664,613365.25
pop,pop dance,15,66.54545454545455,163407.54545454544
edm,trap latino,15,55.90909090909091,241090.72727272726
pop dance,trap latino,15,55.90909090909091,241090.72727272726
latin arena pop,reggaeton colombiano,15,53.785714285714285,470453.85714285716
latin pop,mexican pop,15,58.46666666666667,347622.13333333336
funk pop,urbano latino,15,61.44444444444444,100582.44444444444
pop nacional,reggaeton,15,59.888888888888886,120990.66666666667
dance pop,trap latino,15,52.15384615384615,301838.92307692306
panamanian pop,r&b en espanol,14,50.0,535051.3571428572
colombian pop,r&b en espanol,14,58.857142857142854,484187.5714285714
pop reggaeton,trap argentino,14,56.333333333333336,617800.3333333334
argentine hip hop,trap triste,14,36.25,764430.5
pop,puerto rican pop,14,65.375,274765.125
funk rj,reggaeton,14,59.888888888888886,120990.66666666667
pagode baiano,reggaeton,14,59.888888888888886,120990.66666666667
