Source,Target,Weight,Avg_Popularity,Avg_Streams
pop,rap,107,28.5974025974026,4505990.701298702
pop,pop,89,40.40506329113924,8387432.075949367
sertanejo,sertanejo universitario,89,32.44642857142857,11120234.839285715
arrocha,sertanejo universitario,74,29.037037037037038,11866256.518518519
hip hop,pop,73,31.418181818181818,3988291.581818182
pop,trap,66,32.84,4609890.08
sertanejo universitario,sertanejo universitario,63,31.34426229508197,11419263.737704918
dance pop,pop,59,43.58974358974359,7446749.179487179
edm,pop,58,43.27272727272727,8482508.25
pop,pop dance,57,35.41463414634146,8177001.219512195
arrocha,sertanejo,54,29.926829268292682,10689621.658536585
hip hop,rap,49,42.6,5958692.45
rap,trap,44,43.95238095238095,5259200.0
funk carioca,funk carioca,41,20.133333333333333,11183434.266666668
atl hip hop,pop,40,26.5625,5436093.0
pop,pop rap,39,49.77777777777778,5650836.481481481
funk carioca,sertanejo universitario,38,35.645161290322584,12129712.64516129
rap,rap,37,40.904761904761905,5615253.476190476
pop rap,rap,36,60.07692307692308,7095766.307692308
pop nacional,sertanejo universitario,35,20.575757575757574,17888486.90909091
pop,southern hip hop,34,34.96,4190592.08
agronejo,sertanejo universitario,34,29.666666666666668,10031327.555555556
sertanejo pop,sertanejo universitario,33,35.53125,10852857.90625
dance pop,rap,31,48.15,4869685.3
sertanejo,sertanejo,31,35.16129032258065,8624088.967741935
funk carioca,funk paulista,31,14.222222222222221,8444591.888888888
hip hop,trap,30,47.92307692307692,3876970.076923077
agronejo,sertanejo,28,32.523809523809526,7459857.476190476
electro house,pop,26,42.4,8868527.25
edm,pop dance,26,49.333333333333336,3929952.0
pop,r&b,24,40.45,5598994.15
funk carioca,pop nacional,23,20.352941176470587,17361575.82352941
agronejo,arrocha,23,28.77777777777778,11723698.611111112
pop rap,trap,23,56.3,4447555.2
hip hop,pop rap,23,53.666666666666664,4196218.333333333
atl hip hop,rap,22,36.285714285714285,4956824.571428572
arrocha,sertanejo pop,21,30.666666666666668,7355750.142857143
arrocha,funk carioca,21,29.238095238095237,12235726.61904762
melodic rap,rap,20,40.38461538461539,6540316.461538462
arrocha,arrocha,20,24.2,14030483.35
dance pop,pop dance,20,40.588235294117645,8827962.11764706
arrocha,pop nacional,19,21.894736842105264,17486967.05263158
pop nacional,sertanejo,19,27.842105263157894,14278179.368421054
dance pop,trap,19,55.142857142857146,6352934.714285715
pop nacional,pop nacional,18,19.27777777777778,20767784.555555556
funk carioca,funk pop,18,25.642857142857142,18401168.14285714
hip hop,melodic rap,18,36.666666666666664,5835359.166666667
dance pop,edm,18,47.0,8776558.5
funk pop,sertanejo universitario,18,29.875,14087164.9375
funk carioca,sertanejo,18,41.88235294117647,12616757.352941176
edm,rap,18,49.53846153846154,3057612.3846153845
sertanejo,sertanejo pop,17,36.5,10719878.0625
dance pop,hip hop,17,58.833333333333336,4467822.583333333
electro house,rap,17,49.53846153846154,3057612.3846153845
pop lgbtq+ brasileira,pop nacional,16,20.285714285714285,12752812.714285715
atl hip hop,hip hop,16,37.55555555555556,3251914.888888889
pop,uk dance,16,59.666666666666664,5634409.75
pop,uk pop,16,41.266666666666666,4958742.866666666
pop,pop nacional,15,23.363636363636363,16460221.818181818
pop,urbano latino,15,35.76923076923077,11961423.076923076
funk carioca,funk mtg,15,22.0,7276894.25
funk ostentacao,sertanejo universitario,15,41.666666666666664,14785375.2
melodic rap,pop,14,41.4,9282345.8
pop,progressive house,14,60.666666666666664,5870761.666666667
pop,reggaeton,14,35.76923076923077,11961423.076923076
funk pop,pop nacional,14,19.5,25731046.3
funk carioca,funk rj,14,28.88888888888889,19281292.0
funk carioca,funk ostentacao,14,30.583333333333332,15206342.166666666
pop dance,pop dance,14,45.375,4325697.375
canadian pop,rap,14,54.2,4892845.6
funk carioca,pop lgbtq+ brasileira,13,12.11111111111111,8054149.222222222
funk pop,sertanejo,13,29.46153846153846,12610479.307692308
funk paulista,funk paulista,13,0.0,8355096.25
funk mtg,funk paulista,13,0.0,6056402.0
electropop,pop,13,35.9,12944836.6
hip hop,hip hop,13,56.57142857142857,3626722.285714286
forro,sertanejo universitario,13,15.909090909090908,16105821.727272727
atl hip hop,dance pop,12,52.22222222222222,5052073.555555556
melodic rap,pop rap,12,54.75,5444090.5
funk pop,pop,12,39.125,22062565.125
edm,trap,12,53.90909090909091,2911372.0
pop dance,uk pop,12,38.6,2672352.8
electro house,pop dance,12,44.714285714285715,3721257.1428571427
dance pop,pop rap,12,67.66666666666667,5320084.555555556
canadian pop,pop,11,28.4,10535451.6
rap,southern hip hop,11,61.285714285714285,6272551.0
melodic rap,trap,11,41.54545454545455,7317376.636363637
trap,trap,11,49.666666666666664,5081795.222222222
funk carioca,pop,11,37.285714285714285,21051831.85714286
dance pop,urbano latino,11,52.44444444444444,4351197.111111111
funk rj,sertanejo universitario,11,19.9,12928486.3
funk carioca,sertanejo pop,11,44.27272727272727,13822703.818181818
funk ostentacao,sertanejo,11,39.54545454545455,11884055.0
electro house,trap,11,53.90909090909091,2911372.0
edm,hip hop,11,58.77777777777778,3247026.0
edm,edm,11,51.857142857142854,2160855.0
art pop,rap,10,27.857142857142858,163184.42857142858
atl hip hop,trap,10,39.111111111111114,3247501.0
agronejo,sertanejo pop,10,34.6,6272529.1
dance pop,dance pop,10,52.0,9163779.1
house,pop,10,61.375,3788901.5
detroit hip hop,pop,10,43.625,5329890.75
dance pop,reggaeton,10,52.44444444444444,4351197.111111111
arrocha,funk pop,10,29.444444444444443,14152143.777777778
electro house,hip hop,10,58.77777777777778,3247026.0
r&b,rap,10,44.375,7232659.5
moombahton,pop,10,24.5,12774228.5
pop rap,pop rap,10,49.75,6262605.0
