Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,trap,740,39.77350427350427,1764811.3547008547
hip hop,rap,561,40.861111111111114,1747582.5972222222
rap,rap,473,40.71367521367522,1810007.9316239315
hip hop,trap,439,40.71508379888268,1531550.5474860335
atl hip hop,rap,371,39.80392156862745,1817927.7189542484
rap,southern hip hop,337,40.717557251908396,1399275.9618320612
pop rap,rap,313,41.52272727272727,1768761.7878787878
atl hip hop,trap,291,38.751937984496124,1301913.7286821706
trap,trap,281,39.765060240963855,1421422.5060240964
melodic rap,rap,267,38.99159663865546,2164407.7899159663
southern hip hop,trap,259,40.17171717171717,1371841.7474747475
pop rap,trap,240,40.39393939393939,1785419.0707070706
atl hip hop,hip hop,232,39.84920634920635,1487929.7301587302
hip hop,pop rap,217,39.48039215686274,1148256.3333333333
hip hop,southern hip hop,215,40.54117647058823,1106905.4235294117
pop,rap,208,35.789855072463766,2994172.717391304
melodic rap,trap,206,38.018181818181816,2005434.9636363636
hip hop,hip hop,169,41.56310679611651,1557422.1553398059
hip hop,melodic rap,148,39.325842696629216,2155442.561797753
pop rap,southern hip hop,134,41.80357142857143,625576.7678571428
hip hop,pop,128,37.101010101010104,2778985.5757575757
r&b,rap,128,35.0,1437092.025974026
atl hip hop,southern hip hop,127,37.621212121212125,1151901.1666666667
pop,pop,123,38.47872340425532,4593720.712765957
pop,trap,118,38.78021978021978,3359654.0
atl hip hop,pop rap,114,37.296875,1819649.5
dirty south rap,rap,103,36.19512195121951,1386847.1707317072
atl hip hop,melodic rap,101,40.888888888888886,1664457.3194444445
hip hop,r&b,100,37.19047619047619,1157759.492063492
r&b,trap,96,33.25,736354.0833333334
gangster rap,rap,95,41.95652173913044,1064872.1304347827
pop,pop rap,89,39.74626865671642,2506141.76119403
slap house,trap,78,38.725,1291178.275
atl hip hop,atl hip hop,75,43.03846153846154,1355637.9423076923
miami hip hop,rap,75,40.023809523809526,1984534.0476190476
melodic rap,southern hip hop,74,41.21739130434783,1566388.7391304348
dirty south rap,trap,74,36.6764705882353,1329650.7352941176
atl hip hop,pop,70,34.18181818181818,4093658.5272727273
southern hip hop,southern hip hop,69,40.81395348837209,584510.8372093023
edm,pop,69,42.22222222222222,4500879.796296297
pop rap,pop rap,68,40.28260869565217,1260649.108695652
rap,slap house,67,40.04651162790697,1338033.0232558139
gangster rap,hip hop,66,43.26315789473684,1044861.8947368421
pop rap,r&b,65,39.16216216216216,1272743.0
r&b,southern hip hop,65,36.083333333333336,830321.9722222222
pop,pop dance,65,34.5,4195265.88
dirty south rap,hip hop,63,35.92307692307692,1324465.3846153845
gangster rap,trap,61,41.93939393939394,697982.2121212122
melodic rap,pop rap,60,39.89473684210526,3021684.210526316
pop,southern hip hop,60,40.729166666666664,2445035.4166666665
miami hip hop,trap,59,39.55882352941177,1840807.0294117648
dance pop,pop,57,47.91891891891892,3987748.5945945946
rap,toronto rap,54,34.525,1701010.125
canadian pop,rap,51,46.13513513513514,2771732.135135135
dance pop,rap,51,47.388888888888886,3474401.8055555555
melodic rap,slap house,50,40.48275862068966,1309024.6896551724
melodic rap,melodic rap,49,38.6,1403071.177777778
canadian hip hop,rap,47,34.23076923076923,1447401.1025641025
pop,r&b,44,38.515151515151516,3085570.0303030303
hip hop,miami hip hop,44,38.16,1312739.92
toronto rap,trap,44,33.333333333333336,1421479.8333333333
atl hip hop,r&b,43,27.6,787082.6
gangster rap,southern hip hop,42,42.84615384615385,698427.3846153846
dirty south rap,pop rap,42,36.666666666666664,341336.1904761905
dirty south rap,southern hip hop,42,36.08695652173913,338646.73913043475
chicago rap,rap,42,47.0,2281005.947368421
rage rap,rap,41,36.75,1679720.2
canadian hip hop,trap,41,32.05555555555556,1409354.6944444445
atl hip hop,slap house,40,39.0,1527389.875
east coast hip hop,rap,40,42.03703703703704,699526.5555555555
canadian pop,trap,39,43.86666666666667,3122279.433333333
dance pop,trap,39,48.13793103448276,3895945.8620689656
rage rap,trap,36,35.10526315789474,1700252.5263157894
atl hip hop,gangster rap,35,43.26086956521739,742765.0
detroit hip hop,rap,35,32.75,532722.875
gangster rap,pop rap,35,40.85,483429.9
memphis hip hop,rap,35,27.333333333333332,991949.25
dance pop,hip hop,35,48.15384615384615,3284528.346153846
hip hop,urban contemporary,35,36.12,2431631.24
atl hip hop,dirty south rap,34,30.63157894736842,1706852.2631578948
dance pop,pop rap,34,41.72,2645309.4
melodic rap,pop,34,45.04347826086956,5378888.304347826
rap,urban contemporary,34,35.0,2955931.0416666665
canadian pop,hip hop,33,50.629629629629626,3011588.2592592593
electro house,pop,32,47.53846153846154,3134148.730769231
edm,rap,32,56.333333333333336,3112820.7916666665
hip hop,toronto rap,31,42.0,1567149.9615384615
rap,tennessee hip hop,31,32.8,1182271.4
chicago rap,hip hop,31,47.44444444444444,2406324.777777778
atl trap,rap,30,46.25,1243637.0
edm,pop dance,30,21.071428571428573,1293964.5
hip pop,rap,28,36.857142857142854,1411677.7142857143
chicago rap,trap,28,39.25,3250409.8333333335
