Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,trap,312,47.50359712230216,255863.06474820143
german hip hop,german hip hop,311,18.262857142857143,260098.82285714286
rap,rap,212,47.214765100671144,249551.63758389262
hip hop,rap,210,47.73770491803279,297756.8278688525
atl hip hop,rap,153,44.42857142857143,214127.13095238095
melodic rap,rap,139,45.345238095238095,212662.4642857143
french hip hop,pop urbaine,137,30.74418604651163,92219.93023255814
pop,pop,131,49.95614035087719,660885.201754386
pop,rap,130,46.766666666666666,440716.86666666664
hip hop,trap,129,50.26027397260274,281892.5479452055
reggaeton,urbano latino,129,48.892857142857146,820696.2857142857
german hip hop,hamburg hip hop,128,31.71698113207547,317594.7924528302
melodic rap,trap,127,44.7972972972973,254392.06756756757
trap,trap,116,46.44155844155844,188003.2987012987
trap latino,urbano latino,107,50.76923076923077,774325.5384615385
atl hip hop,trap,106,46.0,157222.5090909091
pop rap,rap,105,52.723076923076924,335028.1076923077
reggaeton,trap latino,103,50.0,844980.08
french hip hop,rap francais,89,29.96875,75845.75
edm,pop,85,50.84126984126984,722875.8888888889
pop,pop dance,85,46.79365079365079,586490.9523809524
french hip hop,french hip hop,83,32.04255319148936,94494.97872340426
pop urbaine,rap francais,80,32.30769230769231,87813.84615384616
hip hop,pop,73,47.0,400274.36363636365
french hip hop,rap conscient,73,29.263157894736842,89698.13157894737
dance pop,pop,72,53.59183673469388,509653.8367346939
pop,trap,71,47.945454545454545,406769.32727272727
rap,southern hip hop,70,49.78431372549019,182775.17647058822
atl hip hop,hip hop,68,45.81818181818182,242418.22727272726
pop rap,trap,66,53.023809523809526,273316.6666666667
urbano latino,urbano latino,66,49.84615384615385,838509.5769230769
reggaeton,reggaeton,63,46.24,909282.6
hip hop,melodic rap,61,46.6530612244898,312570.0816326531
pop urbaine,pop urbaine,61,31.06451612903226,104854.32258064517
atl hip hop,melodic rap,58,44.577777777777776,203223.95555555556
hip hop,pop rap,58,50.09375,262000.75
hip hop,hip hop,57,47.88095238095238,217566.7142857143
pop urbaine,rap conscient,52,25.387096774193548,89525.19354838709
pop,pop rap,52,58.38461538461539,510733.9487179487
albanian hip hop,german hip hop,51,20.896551724137932,384557.275862069
southern hip hop,trap,46,47.96969696969697,136223.21212121213
trap latino,trap latino,44,46.25,1005320.25
