Source,Target,Weight,Avg_Popularity,Avg_Streams
reggaeton,urbano latino,1439,61.86328125,6225840.3125
trap latino,urbano latino,1429,61.765151515151516,5972685.606060606
reggaeton,trap latino,1236,61.475,6191616.220833333
urbano latino,urbano latino,847,61.31294964028777,5975776.748201439
reggaeton,reggaeton,643,60.853658536585364,6706146.370731708
trap latino,trap latino,618,62.483870967741936,6054938.33640553
reggaeton flow,urbano latino,310,58.911764705882355,5360755.676470588
reggaeton,reggaeton flow,282,59.0625,5492557.890625
reggaeton flow,trap latino,277,60.55555555555556,5403015.142857143
reggaeton colombiano,urbano latino,199,62.81944444444444,6686351.152777778
latin hip hop,urbano latino,184,62.07575757575758,4826328.545454546
latin hip hop,reggaeton,165,62.125,4768660.703125
latin hip hop,trap latino,149,63.42372881355932,5331802.372881356
reggaeton,reggaeton colombiano,146,63.09230769230769,6776276.815384615
reggaeton colombiano,trap latino,143,62.523809523809526,7024109.19047619
trap argentino,urbano latino,123,63.148936170212764,4492629.425531914
puerto rican pop,urbano latino,107,64.0,5418691.489795919
trap argentino,trap latino,105,62.906976744186046,4737261.209302326
puerto rican pop,reggaeton,98,62.604651162790695,5862587.2558139535
puerto rican pop,trap latino,95,63.72727272727273,5767700.0
urbano chileno,urbano chileno,95,39.775,3327980.25
latin pop,urbano latino,87,63.529411764705884,5571145.098039215
trap chileno,urbano chileno,77,39.03846153846154,4085762.0384615385
mambo chileno,urbano chileno,77,33.0,1431398.142857143
latin pop,reggaeton,76,63.265306122448976,5775573.693877551
trap boricua,urbano latino,68,64.59375,2172222.84375
reggaeton,trap argentino,67,64.07142857142857,5335867.678571428
trap boricua,trap latino,67,64.59375,2172222.84375
urbano chileno,urbano latino,64,43.55172413793103,3592013.724137931
latin pop,trap latino,61,63.125,5759148.45
trap triste,urbano latino,56,63.34375,2668142.28125
reggaeton,trap boricua,56,62.84615384615385,2447061.1923076925
panamanian pop,urbano latino,53,64.73913043478261,6321348.043478261
trap latino,trap triste,48,64.77777777777777,2088057.2962962964
panamanian pop,trap latino,47,64.73913043478261,6321348.043478261
panamanian pop,reggaeton,46,65.04545454545455,6607176.909090909
r&b en espanol,urbano latino,46,68.2,7031798.466666667
argentine hip hop,urbano latino,45,62.44827586206897,4273396.448275862
colombian pop,urbano latino,45,65.17857142857143,5262182.0
rap latina,urbano latino,45,58.77272727272727,4679275.136363637
reggaeton flow,reggaeton flow,42,56.17391304347826,3408639.217391304
reggaeton colombiano,reggaeton colombiano,40,63.0,5430832.5625
argentine hip hop,trap latino,40,63.42307692307692,4638109.730769231
r&b en espanol,trap latino,38,66.8125,6593838.25
r&b en espanol,reggaeton,37,66.92307692307692,7574681.0
argentine hip hop,trap argentino,37,58.0,3963811.7647058824
colombian pop,reggaeton,37,64.5,5999299.958333333
