Source,Target,Weight,Avg_Popularity,Avg_Streams
reggaeton,urbano latino,973,40.32843137254902,1667727.0539215687
trap latino,urbano latino,810,40.35672514619883,1638340.1286549708
reggaeton,trap latino,799,40.01685393258427,1595391.0617977527
urbano latino,urbano latino,495,40.3031914893617,1713450.2180851065
reggaeton,reggaeton,479,38.844919786096256,1640023.8770053475
trap latino,trap latino,342,38.321739130434786,1531587.7652173913
latin hip hop,reggaeton,203,41.57471264367816,1267486.3448275863
latin hip hop,urbano latino,202,41.373493975903614,1325116.0120481928
latin hip hop,trap latino,161,40.31818181818182,1498367.0454545454
reggaeton flow,urbano latino,153,39.42857142857143,1169733.5714285714
latin pop,urbano latino,147,47.320388349514566,1902629.3689320388
reggaeton,reggaeton flow,146,40.361111111111114,1249912.388888889
latin pop,reggaeton,141,46.04040404040404,1803138.808080808
reggaeton flow,trap latino,135,39.515151515151516,1229413.606060606
reggaeton colombiano,urbano latino,122,42.77922077922078,2260237.5584415584
reggaeton,reggaeton colombiano,115,41.0,2277029.2837837837
puerto rican pop,reggaeton,104,41.18867924528302,1866357.5849056605
puerto rican pop,urbano latino,102,42.42307692307692,1961480.0192307692
latin pop,trap latino,89,47.17142857142857,1887651.357142857
pop,pop,85,52.55714285714286,584472.3428571429
reggaeton colombiano,trap latino,79,43.470588235294116,2151200.3529411764
puerto rican pop,trap latino,79,38.55,1711164.025
colombian pop,latin pop,63,46.90196078431372,1893724.2745098039
colombian pop,reggaeton,63,47.15384615384615,2294117.019230769
colombian pop,urbano latino,62,49.53846153846154,2392255.153846154
pop,rap,55,42.833333333333336,592563.5952380953
pop,reggaeton,52,46.470588235294116,1271116.0588235294
pop,urbano latino,51,46.94117647058823,1276233.9411764706
latin pop,reggaeton colombiano,50,44.76744186046512,1954816.534883721
dance pop,pop,50,56.12903225806452,414349.51612903224
edm,pop,49,52.2972972972973,670857.2972972973
latin pop,latin pop,48,49.45652173913044,1451183.2826086956
pop,pop dance,43,47.96969696969697,440882.9090909091
hip hop,rap,38,43.52173913043478,319299.39130434784
latin hip hop,reggaeton flow,38,46.23809523809524,1441131.1904761905
pop,trap latino,37,41.76,1509672.64
dance pop,urbano latino,36,49.708333333333336,729916.375
dance pop,reggaeton,36,48.65217391304348,753656.9565217391
rap latina,urbano latino,36,48.111111111111114,2230751.277777778
hip hop,pop,34,41.07692307692308,299369.3461538461
rap,trap,34,44.666666666666664,369648.38095238095
latin hip hop,latin pop,33,47.225806451612904,775202.5161290322
rap,rap,33,44.09090909090909,336845.2727272727
colombian pop,reggaeton colombiano,31,50.77272727272727,2635053.8181818184
colombian pop,trap latino,31,49.17857142857143,2126412.285714286
rap latina,reggaeton,31,45.88235294117647,2016771.4117647058
latin hip hop,puerto rican pop,28,38.12,1432505.12
pop,trap,27,46.476190476190474,489967.4761904762
pop,pop rap,27,55.26315789473684,331114.7368421053
pop rap,rap,27,57.6,306759.0
colombian pop,colombian pop,27,49.0,2236556.68
rap latina,trap latino,27,46.25,2054317.875
trap argentino,urbano latino,27,44.666666666666664,3205748.0
trap argentino,trap latino,26,41.5,2884227.0
vallenato,vallenato moderno,26,34.666666666666664,35855.0
latin hip hop,reggaeton colombiano,25,34.333333333333336,1679821.9523809524
vallenato,vallenato,25,46.4,112612.2
dance pop,trap latino,24,42.0625,787834.3125
rap,reggaeton,23,43.76923076923077,2188488.923076923
reggaeton,trap argentino,23,44.666666666666664,3205748.0
latin viral pop,urbano latino,23,58.0,2232655.3571428573
rap,urbano latino,22,42.583333333333336,2370040.0833333335
bachata,reggaeton,22,60.083333333333336,2277370.5
bachata,urbano latino,22,60.083333333333336,2277370.5
colombian pop,vallenato,22,58.4,2015394.2
pop,reggaeton colombiano,21,48.0,1310920.2105263157
rap,trap latino,21,36.36363636363637,2426039.3636363638
latin viral pop,reggaeton,21,57.07692307692308,1959943.0
electro house,pop,20,38.53333333333333,581868.2
latin pop,pop,20,52.0,974702.8235294118
latin pop,spanish pop,20,39.642857142857146,665712.2857142857
reggaeton,spanish pop,20,43.375,829375.375
spanish pop,urbano latino,20,43.375,829375.375
pop,uk pop,20,59.42857142857143,598576.5714285715
mexican pop,reggaeton,19,43.05882352941177,1636005.2352941176
mexican pop,urbano latino,19,43.05882352941177,1636005.2352941176
latin arena pop,reggaeton,19,36.2,1478993.4
latin arena pop,urbano latino,18,36.2,1478993.4
argentine hip hop,urbano latino,18,44.666666666666664,3205748.0
melodic rap,rap,17,46.0,412020.9090909091
electro latino,reggaeton,17,37.76923076923077,810364.8461538461
electro latino,urbano latino,17,37.76923076923077,810364.8461538461
colombian pop,spanish pop,17,43.357142857142854,687700.5714285715
argentine hip hop,trap latino,17,41.5,2884227.0
reggaeton flow,reggaeton flow,16,48.25,1816357.75
bachata,trap latino,16,61.111111111111114,2847302.0
pop,r&b,16,47.92307692307692,362579.07692307694
argentine hip hop,reggaeton,16,44.666666666666664,3205748.0
puerto rican pop,reggaeton colombiano,15,33.53846153846154,2220475.3846153845
dance pop,latin pop,15,55.69230769230769,866939.5384615385
latin pop,vallenato,15,60.6,2050228.8
edm,pop dance,15,58.833333333333336,316069.0
latin viral pop,trap latino,15,58.63636363636363,2178607.272727273
electro latino,latin pop,15,36.18181818181818,480825.0
