Source,Target,Weight,Avg_Popularity,Avg_Streams
reggaeton,urbano latino,1413,65.13131313131314,929220.2878787878
trap latino,urbano latino,1356,64.46907216494846,916507.118556701
reggaeton,trap latino,1195,64.7741935483871,957146.6451612903
urbano latino,urbano latino,798,64.57286432160804,910911.5477386934
reggaeton,reggaeton,638,64.52777777777777,957800.0555555555
trap latino,trap latino,570,64.9074074074074,998678.2345679012
reggaeton colombiano,urbano latino,215,66.27397260273973,927119.0136986302
reggaeton,reggaeton colombiano,200,66.3013698630137,913602.095890411
reggaeton flow,urbano latino,182,63.58139534883721,1080943.5813953488
latin hip hop,urbano latino,181,65.78688524590164,716509.3606557377
trap argentino,urbano latino,175,49.42857142857143,776967.081632653
latin hip hop,reggaeton,174,66.08064516129032,705008.2258064516
reggaeton colombiano,trap latino,170,66.38095238095238,982915.6507936508
reggaeton,reggaeton flow,167,63.666666666666664,1101319.6666666667
reggaeton flow,trap latino,161,63.34146341463415,1081980.975609756
latin hip hop,trap latino,158,66.2280701754386,733370.1578947369
trap argentino,trap latino,147,48.659574468085104,802233.659574468
panamanian pop,urbano latino,127,61.61363636363637,1012066.3636363636
latin pop,urbano latino,121,66.28571428571429,672075.0952380953
colombian pop,urbano latino,117,67.825,758208.4
puerto rican pop,urbano latino,117,66.95918367346938,790845.612244898
latin pop,reggaeton,117,65.87096774193549,646786.3225806452
puerto rican pop,reggaeton,113,66.79166666666667,768128.5208333334
r&b en espanol,urbano latino,112,63.774193548387096,1277194.5483870967
rap,trap,107,67.52380952380952,292944.3333333333
panamanian pop,trap latino,106,61.61363636363637,1012066.3636363636
panamanian pop,reggaeton,106,61.58139534883721,1031072.4883720931
colombian pop,reggaeton,106,67.63414634146342,731693.5853658536
reggaeton,trap argentino,105,69.0,1208584.4827586208
puerto rican pop,trap latino,102,67.02272727272727,869414.7954545454
r&b en espanol,trap latino,93,63.774193548387096,1277194.5483870967
latin pop,mexican pop,92,63.61904761904762,253493.85714285713
r&b en espanol,reggaeton,90,63.46666666666667,1311063.2
latin pop,trap latino,89,66.74468085106383,723547.0212765958
colombian pop,trap latino,87,67.33333333333333,773387.7272727273
hip hop,rap,85,70.04347826086956,302914.04347826086
