Source,Target,Weight,Avg_Popularity,Avg_Streams
czech hip hop,czsk hip hop,541,33.670731707317074,318165.3658536585
czsk hip hop,czsk hip hop,310,36.28025477707006,348368.8407643312
czech hip hop,czech hip hop,251,32.63768115942029,295521.6884057971
czech drill,czsk hip hop,122,37.23943661971831,445932.40845070424
czech drill,czech hip hop,109,36.73134328358209,437639.74626865675
czech pop,czech pop,97,36.8,460365.55
czsk emo rap,czsk hip hop,73,36.78787878787879,527875.0909090909
czech hip hop,czsk emo rap,67,36.63333333333333,517628.23333333334
rap,trap,56,69.48148148148148,192379.0
pop,pop,55,71.12244897959184,352781.693877551
czech pop,czech pop rock,54,30.666666666666668,417615.3333333333
rap,rap,53,71.15625,236045.5625
hip hop,rap,51,75.125,238900.08333333334
czech pop,czech rock,44,32.666666666666664,283284.0
czsk hip hop,slovak hip hop,42,37.84,294648.88
dance pop,pop,38,70.0,483079.25
pop,rap,37,62.96153846153846,494220.07692307694
czsk hip hop,slovak trap,36,33.4,186162.6
melodic rap,rap,29,66.92857142857143,443966.0
czech hip hop,slovak hip hop,29,35.72222222222222,173078.72222222222
hip hop,trap,27,73.5,123828.35
czech folk,czech pop,26,32.42857142857143,121524.85714285714
pop,pop dance,26,64.29411764705883,578719.0
atl hip hop,rap,25,72.1875,217023.9375
czech folk rock,czech pop,24,46.0,775547.0
edm,pop,23,64.72222222222223,497941.1111111111
czech hip hop,slovak trap,22,30.76923076923077,107328.69230769231
czech drill,czech drill,20,38.666666666666664,195860.22222222222
pop dance,uk dance,18,79.125,2186055.75
czech pop,czsk hip hop,17,38.8,492709.3
canadian pop,rap,17,65.6,107676.33333333333
classic czech pop,czech pop,16,37.875,30247.375
pop,pop rap,16,68.38461538461539,276093.8461538461
czech pop,slovak pop,15,31.5,116355.25
pop dance,uk pop,15,74.11111111111111,1396727.2222222222
canadian hip hop,rap,14,75.9090909090909,279390.2727272727
hip hop,hip hop,14,75.21428571428571,143361.2142857143
atl hip hop,hip hop,14,77.8,84821.3
atl trap,rap,14,76.75,107692.625
hip hop,pop,14,60.90909090909091,737470.4545454546
dance pop,pop dance,14,70.5,1017045.125
czech pop,czech singer-songwriter,14,31.666666666666668,275100.0
rap,toronto rap,13,77.7,306816.3
melodic rap,trap,13,62.111111111111114,512370.77777777775
czech pop,polish pop,13,46.0,410356.0
dance pop,uk pop,13,73.22222222222223,1013400.7777777778
czech pop rock,czech rock,13,47.5,405622.5
pop rap,rap,13,74.66666666666667,380433.5
czech pop,hip hop tuga,13,46.0,775547.0
classic czech pop,czech folk,12,31.0,12118.833333333334
canadian hip hop,trap,12,75.11111111111111,316134.55555555556
gangster rap,rap,12,73.375,221355.0
pop,trap,12,73.375,482123.25
dance pop,dance pop,12,71.3,457242.8
uk dance,uk pop,12,76.77777777777777,1359916.7777777778
czech pop,deep german indie,12,46.0,775547.0
toronto rap,trap,11,77.25,355010.125
pop dance,pop dance,11,74.88888888888889,1512982.2222222222
melodic rap,pop,11,49.6,230088.5
rap,southern hip hop,11,69.0,79280.16666666667
chicago rap,rap,11,63.714285714285715,269203.28571428574
pop,uk pop,11,74.6,687785.8
czech folk,czech folk,10,26.166666666666668,13736.666666666666
canadian pop,trap,10,74.75,76926.0
atl trap,hip hop,10,77.42857142857143,116645.57142857143
canadian pop,pop,10,75.33333333333333,464054.77777777775
pop,trap queen,10,69.77777777777777,217536.66666666666
uk drill,uk hip hop,10,55.666666666666664,184931.0
trap,trap,10,73.875,560168.375
dance pop,rap,10,66.375,940239.75
dance pop,edm,10,68.125,546735.5
classic czech pop,classic czech pop,9,33.857142857142854,12450.857142857143
czech drill,czsk emo rap,9,39.714285714285715,1152011.4285714286
canadian pop,hip hop,9,75.55555555555556,133281.0
atl hip hop,canadian hip hop,9,75.625,354663.375
gangster rap,hip hop,9,76.83333333333333,286760.0
hip hop,melodic rap,9,76.0,582234.3333333334
uk dance,uk dance,9,79.42857142857143,2240274.5714285714
brooklyn drill,rap,9,58.285714285714285,67881.42857142857
brooklyn drill,trap,9,58.833333333333336,78290.83333333333
north carolina hip hop,rap,9,78.0,360055.8
atl hip hop,trap,9,75.85714285714286,433643.4285714286
czsk emo rap,czsk emo rap,8,26.5,540569.5
czech hip hop,czech pop,8,38.666666666666664,546857.0
czech folk,czech rock,8,31.2,166693.2
classic czech pop,slovak pop,8,36.5,18607.166666666668
atl hip hop,canadian pop,8,75.28571428571429,86786.28571428571
atl hip hop,toronto rap,8,78.14285714285714,404596.71428571426
r&b,rap,8,58.2,50640.8
big room,pop,8,69.83333333333333,574611.3333333334
pop rap,seattle hip hop,8,85.0,912285.0
czsk hip hop,polish hip hop,8,37.5,398046.75
czech folk rock,czech pop rock,8,46.0,775547.0
czech folk,slovak pop,7,36.2,12214.4
canadian hip hop,hip hop,7,76.57142857142857,100472.57142857143
hip hop,toronto rap,7,76.57142857142857,100472.57142857143
atl hip hop,melodic rap,7,65.71428571428571,438687.85714285716
czsk hip hop,czsk viral pop,7,30.75,350781.0
pop rap,pop rap,7,82.0,610834.3333333334
edm,uk pop,7,71.5,886181.6666666666
pop,uk dance,7,75.6,698358.8
czech pop rock,czech pop rock,7,47.5,405622.5
czech rock,slovak pop,6,29.666666666666668,166561.33333333334
rap,slap house,6,70.4,428071.2
canadian pop,melodic rap,6,48.666666666666664,120294.5
czsk hip hop,urbano latino,6,32.0,48828.333333333336
australian dance,pop,6,62.0,501585.6
chicago rap,pop,6,38.666666666666664,412169.1666666667
german dance,scandipop,6,71.6,1719656.4
melodic rap,melodic rap,6,55.166666666666664,433968.5
houston rap,pop,6,65.8,187551.4
hip hop,southern hip hop,6,69.0,79280.16666666667
electro house,pop,6,51.666666666666664,23444.0
big room,dance pop,6,65.2,679329.8
rap,trap queen,6,73.33333333333333,135422.66666666666
hip hop,pop rap,6,74.0,10559.6
pop rap,trap,6,75.66666666666667,752829.6666666666
pop,progressive electro house,6,64.8,299679.0
czech hip hop,polish hip hop,6,35.666666666666664,334207.6666666667
dirty south rap,rap,6,69.0,10691.0
uk hip hop,uk hip hop,6,71.0,442931.0
london rap,uk hip hop,6,71.0,442931.0
atl trap,canadian hip hop,5,74.4,116277.0
canadian hip hop,gangster rap,5,73.2,94762.0
atl trap,canadian pop,5,74.4,116277.0
canadian pop,gangster rap,5,73.2,94762.0
czech hip hop,urbano latino,5,32.0,48828.333333333336
pop,rock,5,60.6,297712.8
australian dance,dance pop,5,62.0,501585.6
czsk hip hop,spanish indie pop,5,27.5,43679.25
czsk hip hop,spanish modern rock,5,27.5,43679.25
dance pop,trap queen,5,73.75,243812.0
cali rap,pop,5,75.25,352738.75
