Source,Target,Weight,Avg_Popularity,Avg_Streams
german hip hop,german hip hop,398,18.340336134453782,2983781.8655462186
german hip hop,hamburg hip hop,212,27.16,5025944.413333333
pop,rap,129,31.14457831325301,5240344.180722891
rap,trap,114,39.404761904761905,5853328.404761905
pop,pop,105,40.756410256410255,9561673.615384616
hip hop,rap,99,39.61702127659574,5671540.574468086
rap,rap,82,39.53333333333333,5617683.933333334
deep german hip hop,german hip hop,75,24.526315789473685,4601591.263157895
hip hop,trap,75,40.59375,4196914.59375
pop,pop dance,75,33.03508771929825,7405619.824561403
hip hop,pop,75,33.280701754385966,4929928.719298245
pop,trap,73,37.30357142857143,5677088.214285715
edm,pop,70,37.53703703703704,8477738.851851853
pop rap,rap,67,47.878787878787875,5913423.818181818
german drill,german hip hop,65,19.901960784313726,2058814.0
pop,pop rap,65,43.30612244897959,4634305.6122448975
dance pop,pop,59,44.2,7613279.75
atl hip hop,rap,55,33.84,5371679.48
melodic rap,rap,55,34.32,7580554.0
hamburg hip hop,hamburg hip hop,53,24.17142857142857,5115259.142857143
pop rap,trap,53,46.15384615384615,4473633.192307692
hip hop,pop rap,44,45.23809523809524,2227002.1904761903
trap,trap,42,37.888888888888886,4259586.222222222
german cloud rap,german hip hop,42,8.037037037037036,2692292.037037037
albanian hip hop,german hip hop,39,2.75,3004090.9166666665
edm,pop dance,39,29.5625,4540297.4375
pop,r&b,38,38.74074074074074,5945648.592592592
german hip hop,german pop,38,23.833333333333332,1815776.25
pop,southern hip hop,38,40.275862068965516,3834056.0
atl hip hop,pop,37,29.533333333333335,7550173.466666667
deep german hip hop,hamburg hip hop,36,27.59259259259259,5954046.37037037
hip hop,melodic rap,36,33.42857142857143,7818686.428571428
atl hip hop,trap,36,33.94736842105263,2937570.789473684
atl hip hop,hip hop,35,35.473684210526315,3026816.6842105263
melodic rap,trap,35,33.8,8234368.7
rap,southern hip hop,35,43.85,5913638.1
r&b,rap,35,35.48,4656031.04
southern hip hop,trap,34,43.4375,4404252.9375
dance pop,rap,33,49.95454545454545,7722657.363636363
electro house,pop,30,41.56,4607700.0
hip hop,r&b,29,36.9,2260687.05
dance pop,trap,29,48.90909090909091,6814190.045454546
hip hop,hip hop,28,46.95454545454545,2604686.8636363638
dance pop,pop dance,27,38.08695652173913,6095018.826086956
melodic rap,pop,26,38.705882352941174,8634382.176470589
hip hop,southern hip hop,25,44.69230769230769,708567.0
dance pop,edm,25,44.27272727272727,6719406.5
dance pop,pop rap,25,46.15,5435987.05
pop,uk pop,24,40.82608695652174,7701240.652173913
edm,rap,23,45.0,4728579.944444444
pop dance,uk pop,23,42.57142857142857,6413388.571428572
pop dance,pop dance,23,31.058823529411764,4274651.823529412
dance pop,hip hop,22,48.94117647058823,6577320.176470588
canadian pop,rap,22,53.53846153846154,2952536.3076923075
edm,trap,21,45.0,3778950.388888889
pop rap,pop rap,21,46.76923076923077,3235696.4615384615
pop rap,southern hip hop,21,44.3,735244.2
atl hip hop,melodic rap,20,28.357142857142858,5492091.928571428
pop,uk dance,20,52.625,7318542.3125
pop rap,r&b,20,45.27272727272727,3365331.090909091
atl hip hop,pop rap,20,43.69230769230769,3493064.3076923075
german hip hop,german trap,19,1.0,260069.6875
slap house,trap,19,34.7,2123319.5
melodic rap,pop rap,19,50.75,8802905.333333334
r&b,trap,19,35.875,790186.125
electro house,rap,19,50.13333333333333,5213229.4
electro house,pop dance,18,21.53846153846154,3774433.076923077
dance pop,southern hip hop,18,49.42857142857143,5733410.214285715
reggaeton,urbano latino,18,52.666666666666664,158477.0
edm,uk pop,17,44.8,8050648.266666667
edm,edm,17,36.38461538461539,4979065.384615385
electro house,trap,17,50.13333333333333,4073673.933333333
german pop,german pop,17,29.58823529411765,2798309.1764705884
trap latino,urbano latino,17,37.0,183169.5
german hip hop,swedish hip hop,16,20.333333333333332,3248611.8333333335
pop dance,rap,16,30.0,4184589.4545454546
pop,progressive house,16,52.5,6726156.428571428
hip hop,urban contemporary,16,37.166666666666664,3275663.0
rap,urban contemporary,16,37.166666666666664,4731189.25
rap,slap house,15,34.7,2123319.5
edm,southern hip hop,15,37.69230769230769,2642686.0
canadian pop,pop,15,22.714285714285715,7152519.071428572
melodic rap,slap house,14,28.25,2479178.625
edm,pop rap,14,32.72727272727273,2857378.8181818184
pop dance,pop rap,14,27.833333333333332,1399564.0833333333
pop dance,trap,14,29.0,2588997.272727273
pop,pop r&b,14,45.25,7141857.0
dance pop,uk pop,14,39.75,5893984.666666667
pop,progressive electro house,14,46.15384615384615,5995002.153846154
edm,electro house,14,25.454545454545453,3744225.909090909
electropop,pop,14,38.09090909090909,11058199.454545455
canadian pop,hip hop,14,49.9,3792587.9
art pop,pop,13,35.142857142857146,1342322.5714285714
metropopolis,pop,13,39.666666666666664,3946868.8333333335
german hip hop,mexican indie,13,24.25,4106993.5833333335
german hip hop,mexican rock,13,24.25,4106993.5833333335
german hip hop,psicodelia mexicana,13,24.25,4106993.5833333335
big room,edm,13,46.111111111111114,7023635.777777778
big room,pop dance,13,46.111111111111114,7023635.777777778
atl hip hop,dance pop,13,51.4,7248964.4
edm,hip hop,13,56.5,5857744.5
r&b,southern hip hop,13,35.875,790186.125
canadian pop,trap,13,53.0,3763068.3
reggaeton,trap latino,13,79.0,92914.0
atl hip hop,slap house,12,33.333333333333336,2337239.3333333335
albanian hip hop,albanian hip hop,12,0.2,5482269.2
house,pop,12,49.0,3754059.4
pop,tropical house,12,42.7,9197299.4
alt z,pop dance,12,35.63636363636363,4761212.363636363
pop,reggaeton,12,33.63636363636363,6853634.090909091
pop,urbano latino,12,33.6,7534784.7
dutch house,pop dance,12,23.333333333333332,4024464.6666666665
electro house,hip hop,12,56.5,5857744.5
gangster rap,rap,12,41.285714285714285,1686296.7142857143
alt z,pop,12,50.72727272727273,4516204.545454546
german cloud rap,hamburg hip hop,12,0.2,4275735.4
rap,toronto rap,12,53.0,2761147.25
dancehall,pop,11,27.666666666666668,6498370.333333333
pop dance,southern hip hop,11,25.88888888888889,1319269.4444444445
uk dance,uk pop,11,28.2,5975893.7
detroit hip hop,pop,11,31.333333333333332,3527503.4444444445
dutch house,edm,11,25.454545454545453,4387073.818181818
pop dance,progressive electro house,11,35.72727272727273,4278809.7272727275
edm,electropop,11,29.444444444444443,2665182.4444444445
electropop,pop dance,11,31.555555555555557,3186909.4444444445
chicago rap,rap,11,45.2,6783524.2
miami hip hop,rap,11,55.285714285714285,9219273.285714285
canadian pop,pop rap,11,48.0,4950113.571428572
dance pop,r&b,11,42.55555555555556,9674307.666666666
