Source,Target,Weight,Avg_Popularity,Avg_Streams
danish hip hop,danish pop,113,43.09090909090909,495934.11363636365
danish pop,danish pop,60,42.853658536585364,695313.3414634146
danish hip hop,danish hip hop,55,45.52777777777778,536843.3333333334
rap,trap,32,49.416666666666664,99349.41666666667
atl hip hop,rap,27,46.4,80334.6
atl hip hop,trap,24,35.857142857142854,108264.71428571429
rap,rap,22,58.75,112445.625
pop,pop,22,80.5909090909091,282662.1818181818
hip hop,rap,21,68.92307692307692,177724.6923076923
dance pop,pop,21,81.38461538461539,187487.61538461538
melodic rap,rap,17,35.57142857142857,110011.57142857143
melodic rap,trap,16,27.666666666666668,125177.16666666667
pop,rap,15,65.93333333333334,367943.8
movie tunes,movie tunes,15,78.0,905366.0
gangster rap,rap,14,64.8,206145.8
pop,pop dance,14,71.25,688256.3333333334
trap,trap,13,35.857142857142854,108264.71428571429
atl hip hop,melodic rap,13,27.666666666666668,125177.16666666667
pop dance,uk dance,13,76.22222222222223,406642.55555555556
atl hip hop,atl hip hop,12,28.833333333333332,125199.5
dance pop,pop dance,12,76.77777777777777,276436.3333333333
hip hop,pop,11,55.36363636363637,348699.9090909091
gangster rap,hip hop,11,72.0,228144.0
pop rap,rap,11,69.0,111412.85714285714
dance pop,dance pop,11,83.85714285714286,143891.0
edm,pop,11,73.5,808097.0
dance pop,uk pop,10,80.85714285714286,369779.71428571426
edm,pop dance,10,67.42857142857143,254491.42857142858
pop dance,uk pop,10,79.16666666666667,390718.1666666667
hip hop,trap,9,55.0,163076.2857142857
pop dance,pop dance,9,70.44444444444444,326511.1111111111
dance pop,rap,9,81.5,300854.5
uk dance,uk pop,9,81.83333333333333,285889.8333333333
atl trap,rap,8,36.0,126939.0
dance pop,hip hop,8,57.142857142857146,202336.7142857143
pop,trap,8,72.85714285714286,165758.2857142857
atl hip hop,hip hop,8,51.2,150537.4
rap,southern hip hop,8,58.5,225201.25
atl hip hop,southern hip hop,8,57.0,241473.66666666666
