Source,Target,Weight,Avg_Popularity,Avg_Streams
reggaeton,urbano latino,2279,51.377162629757784,409691.09342560556
trap latino,urbano latino,2176,51.13718411552347,415279.5848375451
reggaeton,trap latino,1992,50.67153284671533,406105.07664233574
urbano latino,urbano latino,1245,51.4452296819788,411582.0212014134
reggaeton,reggaeton,1048,50.309963099631,407516.68634686345
trap latino,trap latino,952,50.36480686695279,431006.2746781116
reggaeton flow,urbano latino,356,48.63414634146341,364121.9024390244
reggaeton,reggaeton flow,328,48.63414634146341,364121.9024390244
reggaeton flow,trap latino,328,48.3625,366471.5875
latin hip hop,urbano latino,276,54.084210526315786,503351.5263157895
latin hip hop,reggaeton,271,54.084210526315786,503351.5263157895
latin hip hop,trap latino,239,53.359550561797754,517172.4943820225
reggaeton colombiano,urbano latino,213,57.5632183908046,481103.4597701149
reggaeton,reggaeton colombiano,202,57.32222222222222,469203.3777777778
latin pop,latin pop,199,60.37931034482759,210644.44827586206
trap argentino,urbano latino,196,56.75,375115.3
reggaeton colombiano,trap latino,170,56.714285714285715,495511.2337662338
latin pop,puerto rican pop,167,60.1578947368421,204545.36842105264
puerto rican pop,urbano latino,166,53.945945945945944,432991.75675675675
trap argentino,trap latino,165,56.026315789473685,380192.2894736842
puerto rican pop,reggaeton,159,53.11267605633803,422655.57746478874
reggaeton,trap argentino,155,56.578947368421055,389860.34210526315
latin pop,mexican pop,151,61.714285714285715,267098.14285714284
latin pop,ranchera,150,68.0,46057.666666666664
panamanian pop,urbano latino,147,52.11904761904762,558429.5714285715
puerto rican pop,trap latino,147,52.515625,450802.40625
dembow,rap dominicano,141,18.724137931034484,127646.5172413793
latin pop,urbano latino,135,60.43421052631579,350482.5263157895
latin pop,reggaeton,129,59.63768115942029,359672.85507246375
panamanian pop,reggaeton,122,51.375,576219.95
rap dominicano,urbano latino,121,32.0,318902.675
r&b en espanol,urbano latino,118,55.689655172413794,530926.0
panamanian pop,trap latino,117,52.073170731707314,571393.4634146341
rap dominicano,reggaeton,117,32.35897435897436,326957.5128205128
colombian pop,urbano latino,115,60.15909090909091,408148.0
rap dominicano,trap latino,111,29.113636363636363,284997.4318181818
colombian pop,reggaeton,104,60.51111111111111,399452.3333333333
dembow,urbano latino,101,31.393939393939394,288848.54545454547
dembow,reggaeton,98,31.8125,297726.1875
latin pop,trap latino,98,60.1578947368421,403500.56140350876
r&b en espanol,trap latino,97,55.689655172413794,530926.0
