Source,Target,Weight,Avg_Popularity,Avg_Streams
reggaeton,urbano latino,811,30.69503546099291,625588.1631205673
trap latino,urbano latino,690,30.33884297520661,591987.0909090909
reggaeton,trap latino,687,31.32,610968.464
urbano latino,urbano latino,407,29.846153846153847,599497.5076923077
reggaeton,reggaeton,404,30.776119402985074,620531.104477612
trap latino,trap latino,300,28.08433734939759,439845.4939759036
latin hip hop,urbano latino,206,31.136986301369863,541751.8767123288
latin hip hop,reggaeton,205,31.789473684210527,564753.0657894737
latin hip hop,trap latino,157,30.75438596491228,499653.01754385966
reggaeton flow,urbano latino,155,37.38461538461539,426155.3076923077
reggaeton,reggaeton flow,153,37.38461538461539,426155.3076923077
reggaeton flow,trap latino,149,37.38461538461539,426155.3076923077
latin pop,urbano latino,103,38.282051282051285,755638.8205128205
latin pop,reggaeton,102,37.81818181818182,754130.1948051949
pop,rap,93,27.557377049180328,171175.65573770492
puerto rican pop,reggaeton,91,32.11363636363637,751783.7954545454
puerto rican pop,urbano latino,89,31.857142857142858,740084.4285714285
reggaeton,reggaeton colombiano,84,29.510204081632654,648158.7551020408
reggaeton colombiano,urbano latino,84,28.617021276595743,671542.9361702128
pop,pop,80,37.885714285714286,380615.5714285714
puerto rican pop,trap latino,64,26.14814814814815,742752.6666666666
dance pop,pop,63,40.69230769230769,319127.0256410256
latin pop,trap latino,63,37.48,753950.74
reggaeton colombiano,trap latino,61,28.685714285714287,471229.9142857143
hip hop,pop,56,31.475,193521.225
edm,pop,55,38.325581395348834,312165.4651162791
pop,pop dance,55,32.41463414634146,307088.2926829268
pop,trap,51,34.44117647058823,204278.5588235294
colombian pop,latin pop,46,34.65714285714286,712483.9142857143
pop,urbano latino,45,30.03030303030303,508867.2121212121
pop,reggaeton,44,29.545454545454547,481278.57575757575
colombian pop,reggaeton,42,35.81818181818182,815263.4242424242
latin pop,latin pop,40,40.89473684210526,664050.3157894737
colombian pop,urbano latino,40,36.645161290322584,824027.1935483871
dance pop,rap,39,43.0,220989.45
latin hip hop,latin pop,39,37.47222222222222,646398.6388888889
hip hop,rap,38,36.94736842105263,204059.47368421053
rap,trap,38,34.611111111111114,193291.44444444444
pop,pop rap,38,45.38461538461539,256225.57692307694
dance pop,urbano latino,37,38.44444444444444,669231.1111111111
dance pop,reggaeton,35,37.07692307692308,657417.8461538461
atl hip hop,pop,34,26.72,169050.24
latin hip hop,reggaeton flow,32,37.8125,499892.75
pop rap,rap,32,59.72727272727273,285972.45454545453
latin pop,reggaeton colombiano,30,40.36,879013.0
pop,trap latino,30,24.571428571428573,565228.7619047619
latin hip hop,puerto rican pop,29,23.16,713502.2
electro house,pop,29,35.166666666666664,178927.45833333334
rap,rap,29,32.8421052631579,150569.52631578947
hip hop,trap,27,35.0,127596.92857142857
rap,reggaeton,26,20.785714285714285,71942.92857142857
latin hip hop,reggaeton colombiano,26,30.142857142857142,342507.4285714286
edm,pop dance,26,52.111111111111114,138016.66666666666
rap,urbano latino,25,17.923076923076923,72403.84615384616
dance pop,trap latino,25,28.944444444444443,609324.4444444445
rap,trap latino,24,14.0,60282.416666666664
dance pop,trap,24,46.875,260150.6875
dance pop,pop dance,23,32.523809523809526,238593.09523809524
pop rap,trap,23,55.55555555555556,164754.55555555556
pop,r&b,22,43.666666666666664,237102.72222222222
latin hip hop,latin hip hop,22,25.875,333067.6875
