Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,trap,111,64.37735849056604,43425.981132075474
rap,rap,93,67.0,55819.9375
hip hop,rap,90,67.94642857142857,46733.30357142857
melodic rap,rap,67,63.02439024390244,46435.170731707316
pop,pop,53,60.98039215686274,42107.60784313725
atl hip hop,rap,50,69.2,37913.76666666667
pop,rap,47,58.975,47645.025
hip hop,trap,45,66.65714285714286,51264.34285714286
pop rap,rap,44,65.76,42488.32
melodic rap,trap,42,62.38709677419355,44192.032258064515
estonian hip hop,estonian pop,39,30.185185185185187,234190.22222222222
estonian pop,estonian pop,32,24.9,127672.15
trap,trap,32,65.54166666666667,64197.0
dance pop,pop,32,60.4,25387.76
hip hop,melodic rap,29,69.66666666666667,53546.458333333336
atl hip hop,hip hop,28,68.45454545454545,32531.909090909092
pop rap,trap,28,64.625,39196.6875
canadian hip hop,rap,26,72.94117647058823,73403.70588235294
rap,toronto rap,26,72.94117647058823,73403.70588235294
atl hip hop,trap,26,66.3529411764706,41669.117647058825
reggaeton,urbano latino,24,73.33333333333333,4021.6666666666665
hip hop,hip hop,23,65.34782608695652,48715.913043478264
melodic rap,pop rap,23,65.6470588235294,38188.05882352941
hip hop,pop,22,63.85,26120.15
canadian hip hop,trap,20,70.92857142857143,76716.85714285714
toronto rap,trap,20,70.92857142857143,76716.85714285714
canadian pop,rap,19,73.29411764705883,67955.5294117647
rap,southern hip hop,19,64.47058823529412,23168.117647058825
reggaeton,trap latino,19,73.33333333333333,4021.6666666666665
pop,trap,18,68.9375,35338.75
melodic rap,pop,17,50.76470588235294,47596.294117647056
reggaeton,reggaeton,17,73.33333333333333,4021.6666666666665
edm,pop,16,60.6,32979.6
pop,pop rap,16,60.92857142857143,19769.5
latin pop,reggaeton,16,55.0,1054.0
pop,pop dance,14,55.333333333333336,10703.25
canadian pop,pop,14,64.75,46241.666666666664
hip hop,pop rap,14,63.083333333333336,45251.833333333336
canadian hip hop,hip hop,13,72.66666666666667,67269.33333333333
hip hop,toronto rap,13,72.66666666666667,67269.33333333333
pop,reggaeton,13,63.25,32656.875
canadian trap,rap,13,70.33333333333333,94954.66666666667
gangster rap,rap,13,65.9,13495.3
detroit hip hop,hip hop,13,61.833333333333336,6851.5
k-pop,pop,13,54.07692307692308,8503.0
trap latino,urbano latino,13,73.33333333333333,4021.6666666666665
r&b,rap,13,65.3,26175.5
atl hip hop,canadian hip hop,12,71.18181818181819,70887.81818181818
canadian pop,trap,12,72.2,73671.1
atl hip hop,toronto rap,12,71.18181818181819,70887.81818181818
atl hip hop,melodic rap,12,70.72727272727273,40063.90909090909
rap,slap house,12,65.6,33114.0
detroit hip hop,rap,12,66.3,38957.7
north carolina hip hop,rap,12,68.14285714285714,153985.57142857142
pop,r&b,12,54.9,13777.0
latin pop,urbano latino,12,55.0,1054.0
canadian pop,hip hop,11,72.0909090909091,71889.27272727272
pop,urbano latino,11,63.25,32656.875
dance pop,reggaeton,11,60.666666666666664,40580.666666666664
melodic rap,melodic rap,11,55.18181818181818,45172.0
chicago rap,pop,11,43.5,65211.0
edm,rap,11,40.666666666666664,45525.88888888889
chicago rap,rap,11,50.4,58160.9
dance pop,rap,11,62.0,29738.8
atl trap,rap,11,68.5,42291.375
brooklyn drill,rap,11,72.14285714285714,56127.0
mexican pop,reggaeton,11,55.0,1054.0
atl hip hop,canadian pop,10,73.0,64809.444444444445
canadian trap,trap,10,70.33333333333333,94954.66666666667
canadian hip hop,pop rap,10,72.625,92798.75
atl trap,hip hop,10,68.5,42291.375
gangster rap,hip hop,10,66.75,11137.25
trap,uk hip hop,10,43.857142857142854,4936.571428571428
pop,uk pop,10,59.333333333333336,26307.222222222223
pop dance,uk dance,10,80.0,330658.3333333333
latin viral pop,reggaeton,10,55.0,1054.0
reggaeton,reggaeton colombiano,10,55.0,1054.0
melodic rap,slap house,9,60.375,125839.875
pop,trap latino,9,61.857142857142854,35766.142857142855
dance pop,urbano latino,9,60.666666666666664,40580.666666666664
pop rap,toronto rap,9,72.14285714285714,100613.85714285714
estonian indie,estonian pop,9,17.0,86104.71428571429
uk hip hop,uk hip hop,9,45.333333333333336,10176.0
slap house,trap,9,65.71428571428571,12855.57142857143
k-pop girl group,pop,9,69.57142857142857,12649.714285714286
rap,uk hip hop,9,47.857142857142854,7168.0
rage rap,rap,9,70.0,5134.0
estonian hip hop,estonian hip hop,9,28.444444444444443,263459.8888888889
russian hip hop,russian pop,9,17.0,13105.666666666666
latin pop,trap latino,9,55.0,1054.0
hip hop,southern hip hop,8,61.75,43879.25
dance pop,trap latino,8,60.666666666666664,40580.666666666664
dance pop,hip hop,8,58.714285714285715,33617.142857142855
rap,uk pop,8,60.875,19790.5
atl hip hop,slap house,8,66.0,12688.285714285714
hip hop,rage rap,8,70.0,5134.0
urbano latino,urbano latino,8,73.33333333333333,4021.6666666666665
pop,urban contemporary,8,38.6,6498.6
latin viral pop,urbano latino,8,55.0,1054.0
mexican pop,urbano latino,8,55.0,1054.0
chicago rap,edm,7,35.333333333333336,62775.5
brostep,rap,7,34.333333333333336,62746.333333333336
electropop,pop,7,51.714285714285715,65091.57142857143
canadian trap,pop rap,7,70.8,111076.6
detroit hip hop,detroit hip hop,7,61.333333333333336,9486.666666666666
canadian pop,melodic rap,7,70.0,49738.142857142855
atl hip hop,pop,7,70.71428571428571,36092.857142857145
atl hip hop,atl hip hop,7,66.2,1784.2
pluggnb,rap,7,68.5,6057.833333333333
pop,slap house,7,62.5,12553.333333333334
north carolina hip hop,trap,7,69.83333333333333,179421.83333333334
russian hip hop,russian hip hop,7,10.2,100819.4
melodic rap,southern hip hop,7,69.28571428571429,5548.714285714285
hip hop,r&b,7,60.833333333333336,27667.0
electro house,pop,7,58.0,4026.5
uk dance,uk pop,7,72.0,106993.5
pop dance,pop dance,7,69.4,199602.0
electro house,melodic rap,6,55.4,187435.0
melodic rap,pop dance,6,55.4,187435.0
canadian hip hop,melodic rap,6,67.33333333333333,71967.0
melodic rap,toronto rap,6,67.33333333333333,71967.0
brostep,chicago rap,6,29.4,75079.6
edm,melodic rap,6,42.4,72201.8
progressive electro house,rap,6,41.2,72166.8
atl hip hop,pop rap,6,68.16666666666667,70173.33333333333
london rap,uk hip hop,6,45.333333333333336,10176.0
hip hop,uk pop,6,55.666666666666664,17475.166666666668
estonian electronic,estonian pop,6,32.333333333333336,169756.66666666666
hip hop,pluggnb,6,68.5,6057.833333333333
plugg,rap,6,69.4,7005.4
atl hip hop,southern hip hop,6,59.4,1347.6
rage rap,trap,6,68.6,1761.2
pop,tropical house,6,63.0,16266.666666666666
canadian contemporary r&b,pop,6,61.166666666666664,23736.5
deep underground hip hop,rap,6,67.33333333333333,47831.0
kentucky hip hop,rap,6,67.33333333333333,47831.0
melodic rap,north carolina hip hop,6,65.83333333333333,136254.0
southern hip hop,trap,6,64.0,2653.6666666666665
pop dance,rap,6,43.8,9995.8
brooklyn drill,trap,6,70.8,61660.8
uk dance,uk dance,6,71.5,248271.75
edm,pop dance,6,57.5,5482.0
pop dance,uk pop,6,71.8,127558.2
ohio hip hop,rap,6,66.83333333333333,42057.833333333336
cali rap,rap,6,64.25,4069.75
russian dance,russian pop,6,37.0,10141.0
detroit hip hop,east coast hip hop,6,62.0,4812.0
big room,reggaeton,6,55.0,1054.0
edm,reggaeton,6,55.0,1054.0
pop dance,reggaeton,6,55.0,1054.0
latin viral pop,trap latino,6,55.0,1054.0
latin pop,reggaeton colombiano,6,55.0,1054.0
detroit hip hop,reggaeton,6,55.0,1054.0
pop r&b,reggaeton,6,55.0,1054.0
reggaeton colombiano,urbano latino,6,55.0,1054.0
mexican pop,trap latino,6,55.0,1054.0
pop dance,slap house,5,55.4,188443.6
pop rap,reggaeton,5,61.8,48486.0
pop rap,trap latino,5,61.8,48486.0
pop rap,urbano latino,5,61.8,48486.0
australian hip hop,chicago rap,5,38.75,13668.25
australian hip hop,rap,5,38.75,13668.25
chicago rap,progressive electro house,5,36.75,89938.5
chicago rap,melodic rap,5,26.4,9329.2
chicago rap,trap,5,26.4,7486.0
north carolina hip hop,pop,5,59.6,46543.2
dance pop,trap,5,63.2,46489.0
estonian hip hop,estonian indie,5,14.0,130020.5
detroit hip hop,gangster rap,5,61.333333333333336,9486.666666666666
detroit hip hop,hardcore hip hop,5,61.333333333333336,9486.666666666666
estonian electronic,estonian hip hop,5,29.25,185689.5
art pop,pop,5,76.6,80253.8
cali rap,melodic rap,5,55.6,104081.6
atl hip hop,rage rap,5,69.0,1573.5
hip hop,plugg,5,69.4,7005.4
deep underground hip hop,trap,5,67.33333333333333,47831.0
kentucky hip hop,trap,5,67.33333333333333,47831.0
trap latino,trap latino,5,73.33333333333333,4021.6666666666665
canadian pop,dance pop,5,56.4,35765.0
pop,reggaeton colombiano,5,68.0,27487.5
east coast hip hop,rap,5,64.33333333333333,16818.666666666668
brooklyn drill,hip hop,5,73.0,81108.75
gangster rap,trap,5,65.2,10403.0
cali rap,pop,5,67.25,3700.25
alt z,pop,5,69.8,26929.6
pop dance,scandipop,5,64.8,110781.8
dance pop,dance pop,5,52.666666666666664,1903.6666666666667
hip hop,slap house,5,62.6,49069.0
dancefloor dnb,drum and bass,5,58.0,1489.0
east coast hip hop,hip hop,5,58.5,3013.5
dfw rap,trap,5,76.4,10038.0
dfw rap,rap,5,77.0,11863.75
atl trap,trap,5,66.4,53592.2
dance pop,uk pop,5,66.75,87009.75
pop,southern hip hop,5,70.2,5854.6
