Source,Target,Weight,Avg_Popularity,Avg_Streams
egyptian hip hop,egyptian trap,80,29.03125,165783.4375
egyptian hip hop,egyptian hip hop,45,29.03125,165783.4375
egyptian trap,egyptian trap,36,31.76,162447.56
movie tunes,movie tunes,15,78.0,87043.0
rap,trap,13,49.666666666666664,7168.0
atl hip hop,rap,12,43.0,8583.5
atl hip hop,trap,12,43.0,8583.5
egyptian hip hop,egyptian pop,10,32.4,280274.6
egyptian pop,egyptian trap,10,32.4,280274.6
egyptian pop,mahraganat,9,31.875,223464.875
mahraganat,mahraganat,9,31.666666666666668,147478.33333333334
atl hip hop,melodic rap,8,43.0,8583.5
melodic rap,rap,8,43.0,8583.5
melodic rap,trap,8,43.0,8583.5
pop,pop,8,81.625,46547.375
rap,rap,7,49.666666666666664,7168.0
pop,rap,7,68.14285714285714,115200.0
hip hop,rap,6,49.666666666666664,7168.0
atl hip hop,atl hip hop,6,43.0,8583.5
trap,trap,6,43.0,8583.5
hip hop,trap,5,49.666666666666664,7168.0
rap,southern hip hop,5,49.666666666666664,7168.0
gangster rap,rap,5,49.666666666666664,7168.0
egyptian hip hop,mahraganat,5,52.333333333333336,374675.6666666667
hip hop,pop,5,62.8,145739.0
modern salsa,movie tunes,5,78.0,87043.0
movie tunes,salsa colombiana,5,78.0,87043.0
hollywood,movie tunes,5,78.0,87043.0
egyptian alternative,egyptian hip hop,4,45.75,77125.0
egyptian alternative,egyptian trap,4,45.75,77125.0
arabic hip hop,egyptian hip hop,4,12.5,207026.25
arabic hip hop,egyptian trap,4,12.5,207026.25
atl hip hop,hip hop,4,43.0,8583.5
hip hop,melodic rap,4,43.0,8583.5
atl hip hop,southern hip hop,4,43.0,8583.5
melodic rap,southern hip hop,4,43.0,8583.5
southern hip hop,trap,4,43.0,8583.5
atl hip hop,atl trap,4,43.0,8583.5
atl hip hop,gangster rap,4,43.0,8583.5
atl trap,rap,4,43.0,8583.5
atl trap,trap,4,43.0,8583.5
gangster rap,trap,4,43.0,8583.5
egyptian trap,mahraganat,4,52.333333333333336,374675.6666666667
dance pop,pop,4,84.33333333333333,44187.666666666664
arab pop,egyptian pop,4,38.0,8958.0
modern rock,speedrun,3,56.0,229477.33333333334
modern rock,video game music,3,56.0,229477.33333333334
pop,speedrun,3,56.0,229477.33333333334
pop,video game music,3,56.0,229477.33333333334
rock,speedrun,3,56.0,229477.33333333334
rock,video game music,3,56.0,229477.33333333334
gangster rap,hip hop,3,49.666666666666664,7168.0
canadian contemporary r&b,rap,3,72.33333333333333,36163.0
canadian pop,rap,3,72.33333333333333,36163.0
mahraganat,shaabi,3,33.333333333333336,123255.66666666667
atl trap,hip hop,2,43.0,8583.5
atl trap,southern hip hop,2,43.0,8583.5
gangster rap,southern hip hop,2,43.0,8583.5
atl trap,melodic rap,2,43.0,8583.5
gangster rap,melodic rap,2,43.0,8583.5
melodic rap,melodic rap,2,43.0,8583.5
indie poptimism,pop,2,73.0,16345.5
indie poptimism,post-teen pop,2,73.0,16345.5
pop,post-teen pop,2,73.0,16345.5
hip hop,modern rock,2,45.0,312105.0
modern rock,rap,2,45.0,312105.0
modern rock,underground hip hop,2,45.0,312105.0
pop,underground hip hop,2,45.0,312105.0
hip hop,rock,2,45.0,312105.0
rap,rock,2,45.0,312105.0
rock,underground hip hop,2,45.0,312105.0
hip hop,speedrun,2,45.0,312105.0
hip hop,video game music,2,45.0,312105.0
rap,speedrun,2,45.0,312105.0
rap,video game music,2,45.0,312105.0
speedrun,underground hip hop,2,45.0,312105.0
underground hip hop,video game music,2,45.0,312105.0
canadian contemporary r&b,pop,2,81.5,37229.0
canadian pop,pop,2,81.5,37229.0
canadian contemporary r&b,hip hop,2,69.0,48331.5
canadian pop,hip hop,2,69.0,48331.5
pop,pop rap,2,77.5,26408.5
pop,trap,2,78.0,28293.5
egyptian pop,egyptian pop,2,48.0,10217.5
middle east hip hop,palestinian hip hop,2,53.0,100055.0
dance pop,rap,2,85.0,36850.5
colombian pop,ghanaian alternative,2,80.0,65003.0
edm,pop,2,49.0,48001.0
pop,pop dance,2,49.0,48001.0
canadian contemporary r&b,dance pop,1,84.0,62632.0
canadian pop,dance pop,1,84.0,62632.0
canadian contemporary r&b,new orleans rap,1,70.0,48765.0
canadian pop,new orleans rap,1,70.0,48765.0
new orleans rap,pop,1,70.0,48765.0
canadian contemporary r&b,pop rap,1,70.0,48765.0
canadian pop,pop rap,1,70.0,48765.0
canadian contemporary r&b,trap,1,70.0,48765.0
canadian pop,trap,1,70.0,48765.0
dance pop,glam rock,1,73.0,9834.0
dance pop,mellow gold,1,73.0,9834.0
dance pop,piano rock,1,73.0,9834.0
dance pop,rock,1,73.0,9834.0
glam rock,pop,1,73.0,9834.0
mellow gold,pop,1,73.0,9834.0
piano rock,pop,1,73.0,9834.0
pop,rock,1,73.0,9834.0
glam rock,uk pop,1,73.0,9834.0
mellow gold,uk pop,1,73.0,9834.0
piano rock,uk pop,1,73.0,9834.0
rock,uk pop,1,73.0,9834.0
alternative dance,dance pop,1,73.0,9834.0
aussietronica,dance pop,1,73.0,9834.0
australian dance,dance pop,1,73.0,9834.0
australian electropop,dance pop,1,73.0,9834.0
alternative dance,pop,1,73.0,9834.0
aussietronica,pop,1,73.0,9834.0
australian dance,pop,1,73.0,9834.0
australian electropop,pop,1,73.0,9834.0
alternative dance,uk pop,1,73.0,9834.0
aussietronica,uk pop,1,73.0,9834.0
australian dance,uk pop,1,73.0,9834.0
australian electropop,uk pop,1,73.0,9834.0
alternative dance,glam rock,1,73.0,9834.0
aussietronica,glam rock,1,73.0,9834.0
australian dance,glam rock,1,73.0,9834.0
australian electropop,glam rock,1,73.0,9834.0
alternative dance,mellow gold,1,73.0,9834.0
aussietronica,mellow gold,1,73.0,9834.0
australian dance,mellow gold,1,73.0,9834.0
australian electropop,mellow gold,1,73.0,9834.0
alternative dance,piano rock,1,73.0,9834.0
aussietronica,piano rock,1,73.0,9834.0
australian dance,piano rock,1,73.0,9834.0
australian electropop,piano rock,1,73.0,9834.0
alternative dance,rock,1,73.0,9834.0
aussietronica,rock,1,73.0,9834.0
australian dance,rock,1,73.0,9834.0
australian electropop,rock,1,73.0,9834.0
k-pop,permanent wave,1,84.0,12826.0
k-pop,pop,1,84.0,12826.0
k-pop boy group,permanent wave,1,84.0,12826.0
k-pop boy group,pop,1,84.0,12826.0
permanent wave,pop,1,84.0,12826.0
art pop,pop,1,91.0,182473.0
art pop,pop r&b,1,91.0,182473.0
electropop,pop,1,91.0,182473.0
electropop,pop r&b,1,91.0,182473.0
pop,pop r&b,1,91.0,182473.0
egyptian pop,shaabi,1,43.0,18399.0
canadian contemporary r&b,dfw rap,1,79.0,11826.0
canadian pop,dfw rap,1,79.0,11826.0
dfw rap,pop,1,79.0,11826.0
canadian contemporary r&b,melodic rap,1,79.0,11826.0
canadian pop,melodic rap,1,79.0,11826.0
melodic rap,pop,1,79.0,11826.0
arab pop,shaabi,1,44.0,12522.0
arabic hip hop,middle east hip hop,1,53.0,100055.0
arabic hip hop,palestinian hip hop,1,53.0,100055.0
middle east hip hop,middle east hip hop,1,53.0,100055.0
palestinian hip hop,palestinian hip hop,1,53.0,100055.0
dance pop,dance pop,1,85.0,4052.0
dance pop,dancehall,1,85.0,4052.0
dance pop,pop rap,1,85.0,4052.0
dancehall,pop,1,85.0,4052.0
dance pop,uk pop,1,85.0,4052.0
dancehall,uk pop,1,85.0,4052.0
pop,uk pop,1,85.0,4052.0
pop rap,uk pop,1,85.0,4052.0
egyptian hip hop,rap maroc,1,0.0,199002.0
egyptian trap,rap maroc,1,0.0,199002.0
albanian hip hop,albanian pop,1,76.0,9967.0
albanian pop,german hip hop,1,76.0,9967.0
albanian hip hop,tallava,1,76.0,9967.0
german hip hop,tallava,1,76.0,9967.0
albanian pop,swedish hip hop,1,76.0,9967.0
albanian pop,swedish trap pop,1,76.0,9967.0
swedish hip hop,tallava,1,76.0,9967.0
swedish trap pop,tallava,1,76.0,9967.0
albanian hip hop,swedish hip hop,1,76.0,9967.0
albanian hip hop,swedish trap pop,1,76.0,9967.0
german hip hop,swedish hip hop,1,76.0,9967.0
german hip hop,swedish trap pop,1,76.0,9967.0
arab pop,moroccan pop,1,50.0,40207.0
moroccan pop,moroccan pop,1,50.0,40207.0
egyptian hip hop,shaabi,1,57.0,297570.0
egyptian trap,shaabi,1,57.0,297570.0
arab pop,brostep,1,61.0,35253.0
arab pop,edm,1,61.0,35253.0
arab pop,pop,1,61.0,35253.0
arab pop,progressive electro house,1,61.0,35253.0
belly dance,brostep,1,61.0,35253.0
belly dance,edm,1,61.0,35253.0
belly dance,pop,1,61.0,35253.0
belly dance,progressive electro house,1,61.0,35253.0
brostep,egyptian pop,1,61.0,35253.0
edm,egyptian pop,1,61.0,35253.0
egyptian pop,pop,1,61.0,35253.0
egyptian pop,progressive electro house,1,61.0,35253.0
brostep,persian pop,1,61.0,35253.0
edm,persian pop,1,61.0,35253.0
persian pop,pop,1,61.0,35253.0
persian pop,progressive electro house,1,61.0,35253.0
brostep,rif,1,61.0,35253.0
edm,rif,1,61.0,35253.0
pop,rif,1,61.0,35253.0
progressive electro house,rif,1,61.0,35253.0
dance pop,r&b,1,84.0,65879.0
pop,r&b,1,84.0,65879.0
afro r&b,colombian pop,1,80.0,65003.0
afrobeats,colombian pop,1,80.0,65003.0
alternative r&b,colombian pop,1,80.0,65003.0
colombian pop,ghanaian pop,1,80.0,65003.0
afro r&b,ghanaian alternative,1,80.0,65003.0
afrobeats,ghanaian alternative,1,80.0,65003.0
alternative r&b,ghanaian alternative,1,80.0,65003.0
ghanaian alternative,ghanaian alternative,1,80.0,65003.0
ghanaian alternative,ghanaian pop,1,80.0,65003.0
canadian contemporary r&b,edm,1,14.0,86149.0
canadian pop,edm,1,14.0,86149.0
canadian contemporary r&b,pop dance,1,14.0,86149.0
canadian pop,pop dance,1,14.0,86149.0
canadian contemporary r&b,progressive electro house,1,14.0,86149.0
canadian pop,progressive electro house,1,14.0,86149.0
pop,progressive electro house,1,14.0,86149.0
arabic hip hop,mahraganat,1,50.0,553158.0
chicago rap,gangster rap,1,63.0,4337.0
chicago rap,hip hop,1,63.0,4337.0
chicago rap,pop rap,1,63.0,4337.0
chicago rap,rap,1,63.0,4337.0
chicago rap,southern hip hop,1,63.0,4337.0
chicago rap,trap,1,63.0,4337.0
hip hop,hip hop,1,63.0,4337.0
hip hop,pop rap,1,63.0,4337.0
hip hop,southern hip hop,1,63.0,4337.0
pop rap,rap,1,63.0,4337.0
egyptian pop,lebanese pop,1,17.0,12316.0
arab pop,arab pop,1,53.0,2036.0
deep underground hip hop,lgbtq+ hip hop,1,81.0,429792.0
kentucky hip hop,lgbtq+ hip hop,1,81.0,429792.0
lgbtq+ hip hop,pop rap,1,81.0,429792.0
lgbtq+ hip hop,rap,1,81.0,429792.0
dance pop,hip hop,1,86.0,7822.0
hip hop,uk pop,1,86.0,7822.0
dance pop,north carolina hip hop,1,86.0,7822.0
north carolina hip hop,pop,1,86.0,7822.0
north carolina hip hop,uk pop,1,86.0,7822.0
rap,uk pop,1,86.0,7822.0
dance pop,trap,1,86.0,7822.0
trap,uk pop,1,86.0,7822.0
australian hip hop,canadian pop,1,35.0,291865.0
australian hip hop,pop,1,35.0,291865.0
gambian hip hop,singer-songwriter pop,1,75.0,3742.0
hollywood,modern salsa,1,78.0,87043.0
hollywood,salsa colombiana,1,78.0,87043.0
arab alternative,classic arab pop,1,0.0,232688.0
arab alternative,microtonal,1,0.0,232688.0
classic arab pop,egyptian alternative,1,0.0,232688.0
egyptian alternative,microtonal,1,0.0,232688.0
classic arab pop,egyptian hip hop,1,0.0,232688.0
egyptian hip hop,microtonal,1,0.0,232688.0
classic arab pop,egyptian pop,1,0.0,232688.0
egyptian pop,microtonal,1,0.0,232688.0
big room,pop,1,84.0,9853.0
brostep,pop,1,84.0,9853.0
dutch edm,pop,1,84.0,9853.0
house,pop,1,84.0,9853.0
pop,slap house,1,84.0,9853.0
pop,trance,1,84.0,9853.0
egyptian alternative,egyptian pop,1,36.0,88151.0
