Source,Target,Weight,Avg_Popularity,Avg_Streams
reggaeton,urbano latino,1783,60.00869565217391,7242889.630434782
trap latino,urbano latino,1663,59.43290043290043,7284332.402597402
reggaeton,trap latino,1500,59.60180995475113,7198852.1809954755
urbano latino,urbano latino,983,59.82832618025751,7283548.034334764
reggaeton,reggaeton,825,59.62559241706161,7350506.578199052
trap latino,trap latino,696,60.25757575757576,7570280.853535353
spanish pop,spanish pop,350,52.17142857142857,7399453.485714286
latin arena pop,spanish pop,339,53.17391304347826,8225636.869565218
reggaeton flow,urbano latino,291,57.306451612903224,6193953.919354838
reggaeton,reggaeton flow,270,57.26229508196721,6232723.131147541
latin hip hop,urbano latino,268,60.63013698630137,6678945.547945205
reggaeton flow,trap latino,260,57.0655737704918,6060981.672131147
latin hip hop,reggaeton,255,60.63013698630137,6678945.547945205
latin hip hop,trap latino,226,60.48529411764706,7033734.352941177
latin pop,spanish pop,221,55.67567567567568,6790394.0
spanish pop,spanish pop rock,199,53.07142857142857,6598593.714285715
reggaeton colombiano,urbano latino,193,61.96825396825397,9087394.158730159
reggaeton,reggaeton colombiano,190,61.3235294117647,8738766.735294119
cantautor,spanish pop,181,51.0,1073317.6363636365
pop flamenco,spanish pop,181,54.90909090909091,4257537.181818182
reggaeton colombiano,trap latino,155,61.152542372881356,9317806.033898305
trap argentino,urbano latino,152,46.285714285714285,4144361.163265306
puerto rican pop,urbano latino,150,60.66153846153846,6928477.769230769
latin pop,reggaeton,148,60.68852459016394,5528338.31147541
latin pop,urbano latino,144,60.516666666666666,5494149.666666667
puerto rican pop,reggaeton,141,60.806451612903224,6929568.0322580645
trap argentino,trap latino,128,45.61702127659574,4211282.617021277
puerto rican pop,trap latino,123,62.39655172413793,7719902.448275862
latin arena pop,latin pop,114,52.8235294117647,2798885.0588235296
panamanian pop,urbano latino,113,59.2,6254045.625
latin pop,trap latino,113,60.702127659574465,5989373.106382979
r&b en espanol,urbano latino,103,61.93333333333333,7170893.833333333
panamanian pop,reggaeton,102,59.2,6254045.625
panamanian pop,trap latino,95,59.2,6254045.625
rumba,spanish pop,93,58.0,5285727.375
latin arena pop,pop flamenco,93,63.666666666666664,1141336.6666666667
latin arena pop,spanish pop rock,92,65.25,1155222.0
colombian pop,reggaeton,88,63.421052631578945,6237500.263157895
spanish pop,spanish rock,88,44.111111111111114,3327796.222222222
colombian pop,urbano latino,87,64.87096774193549,6745842.387096774
r&b en espanol,trap latino,85,61.93333333333333,7170893.833333333
r&b en espanol,reggaeton,85,61.464285714285715,7388693.785714285
cantautor,spanish indie pop,84,56.0,392231.0
reggaeton,trap argentino,82,65.08695652173913,5693856.478260869
latin arena pop,latin arena pop,78,59.75,5869986.5
rap latina,urbano latino,77,58.714285714285715,3115832.0714285714
pop,reggaeton,76,61.371428571428574,8577652.17142857
pop,urbano latino,74,61.371428571428574,8577652.17142857
cantautor,latin arena pop,73,48.5,1210691.0
mexican pop,spanish pop,70,54.9375,5661087.75
latin pop,pop flamenco,68,67.0,2014441.3333333333
musica canaria,spanish pop,68,54.5,1690364.0
rap latina,reggaeton,67,56.86363636363637,3329409.909090909
rap latina,trap latino,66,57.96,3462065.6
flamenco,spanish pop,66,69.0,1683261.5
cantautor,cantautor,65,60.5,1712195.5
colombian pop,trap latino,64,65.34615384615384,6942451.307692308
argentine hip hop,trap argentino,62,31.0,2865143.6923076925
pop,trap latino,61,62.7,9878561.033333333
latin pop,spanish pop rock,58,57.0,1064593.625
latin pop,latin pop,56,55.88,2605972.48
cantautor,spanish pop rock,53,49.42857142857143,1619580.0
pop flamenco,spanish pop rock,51,63.666666666666664,1141336.6666666667
pop reggaeton,urbano latino,50,64.0,8972589.166666666
argentine hip hop,urbano latino,48,53.588235294117645,3737597.1764705884
