Source,Target,Weight,Avg_Popularity,Avg_Streams
finnish dance pop,finnish hip hop,164,24.24137931034483,752030.5862068966
finnish dance pop,finnish pop,157,26.767857142857142,820764.3035714285
finnish hip hop,finnish pop,153,26.37719298245614,786747.7631578947
rap,trap,145,58.142857142857146,410123.3142857143
finnish hip hop,finnish hip hop,138,23.142857142857142,635530.619047619
rap,rap,132,53.53846153846154,393816.4175824176
hip hop,rap,125,56.7536231884058,342369.3188405797
pop,pop,119,54.0,568505.3333333334
pop,rap,110,51.73972602739726,475822.2465753425
finnish pop,finnish pop,89,25.8,862666.3466666667
edm,pop,89,52.41538461538462,331109.93846153846
pop,pop dance,88,48.26229508196721,292592.68852459016
melodic rap,rap,83,49.7037037037037,507931.1111111111
pop rap,rap,72,58.8125,272922.0
finnish pop,suomi rock,71,26.354166666666668,593602.1875
finnish dance pop,finnish dance pop,71,25.75862068965517,690721.0344827586
finnish hip hop,suomi rock,69,28.166666666666668,648726.7407407408
hip hop,trap,65,59.404761904761905,344227.28571428574
atl hip hop,rap,65,56.57142857142857,419389.1142857143
finnish dance pop,suomi rock,60,27.192307692307693,638102.25
pop,trap,55,47.093023255813954,515214.06976744183
hip hop,pop,54,45.285714285714285,394429.85714285716
dance pop,pop,54,59.395348837209305,546933.6976744186
finnish pop,iskelma,54,23.72972972972973,770989.7027027027
finnish hip hop,suomirap,50,15.909090909090908,44447.545454545456
edm,pop dance,49,45.666666666666664,242978.7142857143
electro house,pop,48,48.60526315789474,282244.2105263158
finnish hip hop,finnish trap,46,15.806451612903226,543701.1290322581
finnish dance pop,iskelma,44,27.214285714285715,754692.7380952381
rap,southern hip hop,43,54.78125,205999.375
melodic rap,trap,42,56.666666666666664,520700.45454545453
pop rap,trap,42,58.74193548387097,288807.22580645164
trap,trap,42,57.12903225806452,238434.32258064515
pop,reggaeton,42,56.26923076923077,434213.0
pop,urbano latino,41,56.30769230769231,431079.8461538461
atl hip hop,trap,39,57.4,264006.45
finnish hip hop,iskelma,39,26.88888888888889,720521.8611111111
pop,pop rap,39,47.25,342481.28125
pop,trap latino,38,58.88,461442.4
pop,uk pop,37,50.78787878787879,543075.2121212122
dance pop,pop dance,34,50.266666666666666,311041.63333333336
hip hop,pop rap,34,56.18518518518518,187837.88888888888
suomi rock,suomi rock,33,28.0,489120.77777777775
hip hop,melodic rap,33,54.214285714285715,527320.2142857143
pop dance,pop dance,32,46.583333333333336,379878.0
dance pop,edm,32,50.733333333333334,311990.86666666664
hip hop,hip hop,32,57.77777777777778,271322.037037037
atl hip hop,hip hop,29,61.89473684210526,271528.4736842105
pop,r&b,28,49.48,370646.36
iskelma,suomi rock,28,22.666666666666668,402436.5333333333
rap,slap house,27,51.05,283010.3
