Source,Target,Weight,Avg_Popularity,Avg_Streams
french hip hop,pop urbaine,510,28.544117647058822,2716090.068627451
french hip hop,rap francais,294,27.984848484848484,2544664.090909091
french hip hop,french hip hop,289,30.01,2773519.215
pop urbaine,rap francais,279,27.56910569105691,2514715.6341463416
pop urbaine,pop urbaine,234,27.88198757763975,2890084.6086956523
french hip hop,rap conscient,166,28.25,3302516.9423076925
french hip hop,r&b francais,161,28.086021505376344,2712377.139784946
pop urbaine,r&b francais,152,27.033333333333335,2796803.511111111
pop urbaine,rap conscient,127,25.34065934065934,3493736.5934065934
hip hop,rap,124,46.042857142857144,1200100.1857142858
rap,trap,105,51.967213114754095,1246833.9672131147
pop,pop,97,49.794871794871796,3798120.1025641025
rap,rap,95,48.97014925373134,1197122.9552238807
pop,rap,90,46.078125,2075836.609375
rap francais,rap francais,89,23.25,1704386.8392857143
rap conscient,rap francais,71,25.27777777777778,3128448.3518518517
edm,pop,65,51.11904761904762,5030739.642857143
pop,pop dance,64,46.189189189189186,4463735.540540541
dance pop,pop,64,55.10526315789474,3143004.1315789474
hip hop,trap,63,56.583333333333336,1141434.6666666667
french hip hop,rap marseille,60,34.69444444444444,1387523.4722222222
r&b francais,rap francais,59,22.55263157894737,1930425.2894736843
pop rap,rap,56,53.0,1184382.638888889
pop urbaine,rap marseille,54,33.333333333333336,1376787.5
hip hop,pop,51,42.4390243902439,1534670.0975609757
reggaeton,urbano latino,48,60.0,8566806.0
atl hip hop,rap,46,48.18181818181818,1216079.1515151516
pop,trap,45,47.5945945945946,1656409.5675675676
reggaeton,trap latino,43,57.25,10647048.75
trap latino,urbano latino,43,57.25,10647048.75
r&b francais,r&b francais,41,28.423076923076923,3424658.230769231
hip hop,pop rap,39,49.041666666666664,785117.7916666666
melodic rap,rap,38,53.07692307692308,1336734.576923077
pop,pop rap,38,59.89655172413793,2052929.2068965517
hip hop,hip hop,38,47.96296296296296,657101.4444444445
french hip hop,french pop,37,24.93103448275862,4081522.206896552
rap,southern hip hop,37,53.24,648432.52
electro house,pop,34,45.041666666666664,4195502.25
r&b francais,rap conscient,32,23.379310344827587,3257127.896551724
rap conscient,rap conscient,31,30.925925925925927,3780241.407407407
edm,pop dance,31,49.84615384615385,2905532.6153846155
r&b,rap,29,36.78260869565217,1139056.652173913
pop rap,trap,29,59.9,1118127.0
melodic rap,trap,28,48.28,1576122.28
atl hip hop,hip hop,28,56.45,1250240.4
hip hop,melodic rap,27,47.833333333333336,1483530.7916666667
hip hop,southern hip hop,27,53.5,353141.9285714286
french pop,pop urbaine,26,20.55,2554293.5
hip hop,r&b,26,37.1578947368421,950472.8421052631
r&b francais,rap marseille,26,35.04761904761905,1601178.142857143
french hip hop,trap antillais,25,28.58823529411765,2718530.470588235
trap,trap,25,56.95238095238095,1091742.6666666667
pop urbaine,trap antillais,24,28.58823529411765,2718530.470588235
french hip hop,old school rap francais,24,37.78260869565217,3415819.652173913
french hip hop,rap algerien,24,33.8,4097478.6
reggaeton,reggaeton,24,60.0,8566806.0
urbano latino,urbano latino,24,60.0,8566806.0
atl hip hop,pop,23,43.35,1984584.2
french pop,r&b francais,22,21.866666666666667,5291122.066666666
pop urbaine,rap algerien,22,33.857142857142854,4382053.642857143
dance pop,rap,22,56.42857142857143,2409952.8571428573
belgian hip hop,french hip hop,21,26.294117647058822,4245506.470588235
miami hip hop,rap,21,66.73333333333333,1613354.0
emo rap,rap,20,33.1764705882353,1835307.1176470588
rap marseille,rap marseille,20,37.15384615384615,565355.9230769231
southern hip hop,trap,20,55.07692307692308,519868.23076923075
dance pop,edm,20,61.8125,4745420.625
dance pop,pop dance,20,58.4,3498264.2
trap latino,trap latino,20,57.25,10647048.75
dance pop,pop rap,20,61.61538461538461,1833949.6153846155
belgian pop,french hip hop,19,10.555555555555555,1839217.4444444445
drill francais,french hip hop,19,31.09090909090909,1998558.0909090908
old school rap francais,pop urbaine,19,34.1578947368421,3658726.210526316
big room,pop,19,59.92857142857143,5093969.428571428
atl hip hop,trap,19,53.53333333333333,1070116.6666666667
belgian hip hop,belgian pop,18,7.529411764705882,1345409.0588235294
drill francais,pop urbaine,18,31.09090909090909,1998558.0909090908
pop dance,pop dance,18,47.833333333333336,3087219.25
pop,uk pop,18,53.833333333333336,5408811.75
rap francais,trap antillais,17,28.181818181818183,2138569.0
rap francais,rap marseille,17,29.714285714285715,731911.2857142857
pop,r&b,17,50.92857142857143,2146761.785714286
electro house,pop dance,17,39.92857142857143,2873140.214285714
moombahton,pop,16,26.0,2841804.8
french pop,rap conscient,16,20.916666666666668,4657922.25
pop,southern hip hop,16,54.30769230769231,1302041.5384615385
dance pop,dance pop,16,55.1875,3404921.875
drill francais,rap francais,15,26.22222222222222,2329253.222222222
atl hip hop,pop rap,15,52.583333333333336,1182632.6666666667
pop rap,southern hip hop,15,52.18181818181818,283550.0909090909
french hip hop,rap belge,15,22.076923076923077,4386547.846153846
pop,uk dance,15,59.92307692307692,8176271.615384615
arabic hip hop,french hip hop,15,20.214285714285715,4343825.214285715
pop,progressive electro house,15,52.666666666666664,5159102.916666667
canadian pop,rap,15,44.69230769230769,1566734.0
pop,reggaeton,15,54.888888888888886,5814745.666666667
pop,urbano latino,15,54.888888888888886,5814745.666666667
dfw rap,trap,14,39.285714285714285,1929414.0
melodic rap,pop,14,57.42857142857143,1908089.0714285714
gangster rap,rap,14,38.5,198565.7
old school rap francais,rap conscient,14,39.76923076923077,3462783.923076923
arabic hip hop,pop urbaine,14,21.76923076923077,4602548.692307692
edm,electro house,14,44.38461538461539,2677260.3846153845
latin hip hop,reggaeton,14,49.333333333333336,8850946.666666666
latin hip hop,urbano latino,14,49.333333333333336,8850946.666666666
dance pop,trap,14,57.55555555555556,2768564.4444444445
rap,slap house,14,60.44444444444444,1512565.2222222222
hip pop,pop,13,35.583333333333336,740033.5
atl hip hop,melodic rap,13,42.69230769230769,1591012.076923077
dfw rap,rap,13,45.0,1593318.9166666667
rap,west coast rap,13,43.1,1252475.4
gangster rap,hip hop,13,35.77777777777778,207990.22222222222
pop rap,pop rap,13,55.27272727272727,462809.36363636365
edm,edm,13,53.81818181818182,2875186.6363636362
latin hip hop,trap latino,13,49.333333333333336,8850946.666666666
dance pop,hip hop,13,58.375,995618.625
miami hip hop,trap,13,64.72727272727273,1573027.6363636365
slap house,trap,13,57.57142857142857,691020.8571428572
pop,queens hip hop,12,33.36363636363637,804506.6363636364
conscious hip hop,rap,12,53.25,2022816.75
french pop,french pop,12,5.75,6300220.0
canadian hip hop,rap,12,39.166666666666664,2592908.75
canadian pop,hip hop,12,37.45454545454545,1267119.9090909092
rap,toronto rap,12,39.166666666666664,1784429.5833333333
electropop,pop,12,55.125,1191361.375
rap,trap latino,12,54.44444444444444,5461893.666666667
emo rap,trap,12,35.4,1322692.5
edm,uk pop,12,55.111111111111114,5695997.555555556
rap conscient,trap antillais,11,31.272727272727273,3469547.272727273
puerto rican pop,reggaeton,11,42.8,1884102.0
puerto rican pop,urbano latino,11,42.8,1884102.0
rap algerien,rap francais,11,26.833333333333332,2760450.0
