Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,trap,223,60.885714285714286,2777111.9142857143
rap,rap,198,62.833333333333336,2752007.4015151514
hip hop,rap,173,65.03157894736842,2367117.2210526317
melodic rap,rap,107,59.53703703703704,3379599.277777778
atl hip hop,rap,100,62.82539682539682,2851254.4603174604
hip hop,trap,90,64.20967741935483,2809952.870967742
uk hip hop,uk hip hop,90,48.63636363636363,2593780.6363636362
pop rap,rap,70,67.675,2008899.25
pop,pop,70,65.51666666666667,5382213.416666667
grime,uk hip hop,61,46.75,2764410.6
pop,rap,60,61.59090909090909,4910319.795454546
atl trap,rap,59,63.542857142857144,2393746.4
chicago rap,rap,58,56.7906976744186,975650.8139534884
trap,trap,57,60.84444444444444,2332437.4444444445
melodic rap,trap,57,58.3235294117647,4133309.6470588236
atl hip hop,trap,54,61.916666666666664,2110784.5833333335
hip hop,hip hop,50,66.97727272727273,2722897.25
atl hip hop,hip hop,48,65.83333333333333,2715344.5833333335
dance pop,pop,45,67.1875,8222738.09375
brooklyn drill,rap,45,58.86206896551724,2907194.6551724137
london rap,uk hip hop,43,46.48,4381711.12
pop rap,trap,41,67.5909090909091,2602337.590909091
chicago rap,trap,39,51.60606060606061,390451.2727272727
gangster rap,rap,38,64.29629629629629,2152866.296296296
canadian pop,rap,37,66.6774193548387,4839870.903225807
pop,pop dance,36,63.18518518518518,8019589.037037037
melodic drill,uk hip hop,35,55.42857142857143,4963433.035714285
atl trap,trap,34,61.88,1327725.68
hip hop,pop,34,44.13793103448276,3918280.7586206896
atl trap,hip hop,33,65.2,2994401.0
atl hip hop,melodic rap,32,62.041666666666664,3884003.1666666665
rap,southern hip hop,32,66.22727272727273,2205752.0454545454
r&b,rap,32,61.4,3072409.28
canadian hip hop,rap,31,70.44,6437953.36
uk drill,uk hip hop,31,55.84615384615385,6031750.076923077
hip hop,pop rap,31,69.75,1787598.0416666667
pop dance,uk pop,31,66.3913043478261,12049168.869565217
rap,toronto rap,30,70.95833333333333,6697944.875
pop dance,uk dance,29,72.5,16879584.5
hip hop,melodic rap,28,63.857142857142854,2586113.761904762
uk dance,uk pop,28,70.33333333333333,10486888.041666666
neo soul,pop,27,10.266666666666667,2622192.2666666666
brooklyn drill,trap,27,58.85,3298811.7
edm,pop,27,62.473684210526315,5792739.52631579
dance pop,neo soul,26,6.285714285714286,2804611.214285714
rap,uk hip hop,26,50.95,1680906.7
trap,uk hip hop,26,51.8125,3767450.125
chicago drill,rap,25,54.89473684210526,1013967.7368421053
drill,rap,25,54.89473684210526,1013967.7368421053
canadian hip hop,trap,24,69.78947368421052,6984719.0
canadian pop,trap,24,68.9,5211255.1
dance pop,uk pop,24,69.5,14336777.333333334
melodic rap,pop rap,23,66.64285714285714,2737285.8571428573
toronto rap,trap,23,70.44444444444444,7361750.222222222
canadian pop,hip hop,23,73.04761904761905,4834479.666666667
pop,uk pop,23,70.47619047619048,10291713.904761905
pop,uk dance,23,68.04761904761905,9601671.523809524
atl hip hop,pop rap,22,66.4375,2380509.375
melodic rap,melodic rap,22,57.27272727272727,4494307.954545454
afroswing,uk hip hop,21,46.833333333333336,4985355.75
atl hip hop,chicago rap,20,59.6,217978.4
canadian hip hop,hip hop,20,70.36842105263158,4859537.578947368
hip hop,toronto rap,20,70.36842105263158,4859537.578947368
miami hip hop,rap,20,60.166666666666664,978214.1666666666
pop,trap,20,67.73333333333333,5870437.533333333
gangster rap,hip hop,19,68.4,2975190.2666666666
dance pop,pop dance,19,71.46153846153847,15846643.23076923
edm,uk pop,19,66.625,11152242.375
chicago rap,hip hop,19,61.526315789473685,1671441.1578947369
chicago drill,trap,18,51.333333333333336,119717.73333333334
drill,trap,18,51.333333333333336,119717.73333333334
atl trap,melodic rap,18,62.25,538096.4166666666
north carolina hip hop,rap,18,64.33333333333333,3886477.9166666665
hip hop,southern hip hop,18,66.17647058823529,2762962.0588235296
grime,london rap,18,45.07142857142857,5146418.357142857
atl trap,chicago rap,17,59.588235294117645,233808.58823529413
movie tunes,movie tunes,17,75.33333333333333,461052.6666666667
afrobeats,uk hip hop,17,49.63636363636363,5529613.7272727275
melodic rap,pop,17,55.0,2743503.9375
chicago rap,melodic rap,16,46.84615384615385,677054.9230769231
nyc rap,rap,16,51.07692307692308,4597984.461538462
manchester hip hop,uk hip hop,16,53.27272727272727,5689908.818181818
uk dance,uk dance,16,70.07142857142857,15192619.92857143
escape room,pop,15,12.6,2674277.466666667
dance pop,hip hop,15,16.333333333333332,6007198.266666667
indie soul,neo soul,15,6.0,2664118.3846153845
atl trap,pop rap,15,64.0,376304.5
canadian pop,pop,15,65.5,5319373.571428572
hip hop,r&b,15,66.71428571428571,1820321.642857143
pop dance,pop dance,15,72.84615384615384,19058542.307692308
southern hip hop,trap,15,65.91666666666667,2405097.75
indie soul,pop,14,6.615384615384615,2655027.0
atl hip hop,atl trap,14,63.0,2544614.5714285714
gangster rap,trap,14,65.6923076923077,2440036.846153846
atl hip hop,canadian pop,14,70.66666666666667,5877941.25
pop,trap queen,14,58.166666666666664,6584067.166666667
atl hip hop,chicago drill,13,59.07692307692308,128446.46153846153
atl hip hop,drill,13,59.07692307692308,128446.46153846153
atl trap,chicago drill,13,59.07692307692308,128446.46153846153
atl trap,drill,13,59.07692307692308,128446.46153846153
dance pop,escape room,13,6.538461538461538,2654567.4615384615
escape room,neo soul,13,6.538461538461538,2654567.4615384615
hip hop,neo soul,13,2.6923076923076925,2826003.3076923075
dance pop,indie soul,13,1.6666666666666667,2870585.3333333335
conscious hip hop,rap,13,64.72727272727273,1443292.0
atl hip hop,canadian hip hop,13,74.54545454545455,9055185.090909092
brooklyn drill,melodic rap,13,57.6,6370103.8
canadian pop,pop rap,13,72.0,3274940.153846154
dance pop,uk dance,13,69.25,13448202.166666666
dirty south rap,rap,13,65.75,2621477.5
alternative hip hop,hip hop,13,20.333333333333332,157620.33333333334
dance pop,rap,13,68.63636363636364,11017724.0
brooklyn drill,hip hop,13,56.333333333333336,1686285.1666666667
neo soul,neo soul,12,1.6666666666666667,2870585.3333333335
queens hip hop,rap,12,54.75,1196735.125
atl hip hop,toronto rap,12,76.2,9940887.9
london rap,uk drill,12,61.4,13314272.0
miami hip hop,trap,12,56.875,621740.625
pop,pop rap,12,74.36363636363636,3004517.272727273
hip hop,uk hip hop,12,53.90909090909091,1256340.5454545454
brooklyn drill,uk hip hop,12,63.8,10151366.2
atl hip hop,pop,12,59.4,228301.0
east coast hip hop,rap,12,65.11111111111111,1567751.5555555555
atl hip hop,atl hip hop,11,61.55555555555556,2132813.5555555555
rap,slap house,11,68.625,4014469.375
edm,pop dance,11,62.3,13955970.7
dance pop,dance pop,11,69.63636363636364,12513937.909090908
dance pop,edm,11,71.5,12310095.3
pop,r&b,11,53.6,11031740.9
pop rap,pop rap,11,71.8,5392638.2
gangster rap,pop rap,10,61.1,847450.3
gangster rap,melodic rap,10,64.3,966839.8
new york drill,rap,10,54.333333333333336,833616.0
australian hip hop,rap,10,38.285714285714285,1468677.7142857143
canadian hip hop,pop rap,10,71.8,4961461.9
pop rap,toronto rap,10,71.8,4961461.9
grime,grime,10,39.6,2146801.0
instrumental grime,uk hip hop,10,40.6,463887.4
pop,rock,10,58.8,4687045.2
chicago rap,pop,10,47.77777777777778,2327531.4444444445
edm,uk dance,10,65.6,11642825.9
grime,rap,10,49.5,802029.125
dirty south rap,hip hop,10,65.75,2621477.5
east coast hip hop,hip hop,10,47.75,1220416.5
afrobeats,grime,10,49.333333333333336,6561304.555555556
rage rap,rap,10,46.857142857142854,546276.1428571428
philly rap,rap,10,64.28571428571429,219021.42857142858
r&b,trap,10,62.75,2604488.625
brooklyn drill,chicago rap,9,58.666666666666664,860743.5
canadian pop,melodic rap,9,53.25,3259380.5
nyc rap,trap,9,54.375,5505629.0
australian hip hop,chicago rap,9,42.333333333333336,1660720.0
hip hop,miami hip hop,9,67.77777777777777,1279726.0
atl hip hop,brooklyn drill,9,59.111111111111114,5865835.0
houston rap,pop,9,56.857142857142854,3734299.714285714
melodic drill,uk drill,9,57.833333333333336,8490036.5
pop dance,uk contemporary r&b,9,68.0,14347489.42857143
rage rap,trap,9,42.833333333333336,525597.3333333334
uk hip hop,uk pop,9,53.0,7696730.0
dfw rap,rap,9,77.2,5104942.8
house,uk dance,9,68.5,20180498.5
atl hip hop,gangster rap,8,67.71428571428571,3601672.0
uk dance,uk hip hop,8,56.625,9293226.875
canadian hip hop,gangster rap,8,72.25,4897976.375
canadian pop,gangster rap,8,72.25,4897976.375
brooklyn drill,brooklyn drill,8,57.625,2326181.5
brooklyn drill,new york drill,8,54.333333333333336,833616.0
afrobeats,nigerian pop,8,64.6,2870050.8
london rap,melodic drill,8,61.833333333333336,11150528.333333334
pop,uk hip hop,8,53.0,9044571.0
pop dance,pop house,8,73.0,10508219.6
grime,trap,8,52.142857142857146,6765354.714285715
abstract hip hop,alternative hip hop,8,0.0,62431.0
alternative hip hop,instrumental hip hop,8,0.0,62431.0
alternative hip hop,psychedelic hip hop,8,0.0,62431.0
abstract hip hop,hip hop,8,0.0,62431.0
hip hop,instrumental hip hop,8,0.0,62431.0
hip hop,psychedelic hip hop,8,0.0,62431.0
grime,uk drill,8,55.166666666666664,7878288.166666667
grime,melodic drill,8,57.5,8140955.875
new york drill,uk hip hop,8,69.0,22933415.0
afrobeats,pop,8,65.33333333333333,3350586.6666666665
