Source,Target,Weight,Avg_Popularity,Avg_Streams
reggaeton,urbano latino,307,71.70491803278688,108356005.09836066
trap latino,urbano latino,300,70.85483870967742,105404217.03225806
rap,trap,249,61.16379310344828,37285502.23275862
reggaeton,trap latino,249,71.71929824561404,105848396.33333333
rap,rap,216,62.55474452554745,37961001.56204379
hip hop,rap,195,64.72277227722772,33879524.83168317
urbano latino,urbano latino,189,69.73846153846154,104601353.93846154
reggaeton,reggaeton,135,71.70588235294117,109231849.23529412
trap latino,trap latino,122,70.81132075471699,94837540.49056605
melodic rap,rap,120,56.271186440677965,43299406.18644068
hip hop,trap,105,64.26865671641791,39310733.76119403
atl hip hop,rap,103,64.0,42371269.65625
reggaeton colombiano,urbano latino,101,68.16666666666667,90559803.0
pop rap,rap,89,63.795918367346935,24165043.18367347
pop,pop,86,65.47368421052632,75647130.89473684
melodic rap,trap,69,54.285714285714285,49356139.5952381
reggaeton,reggaeton colombiano,68,70.77272727272727,85562349.5909091
reggaeton colombiano,trap latino,67,71.04545454545455,90948542.0909091
pop,rap,67,61.03921568627451,78235045.98039216
trap,trap,64,60.28260869565217,42410047.91304348
atl trap,rap,58,64.6969696969697,37112829.666666664
dance pop,pop,57,66.64102564102564,70346504.8974359
pop rap,trap,56,64.125,28605170.6875
chicago rap,rap,55,56.7027027027027,16541887.64864865
atl hip hop,trap,54,63.14705882352941,44213196.88235294
hip hop,hip hop,50,68.83333333333333,39285061.666666664
atl hip hop,hip hop,47,67.26470588235294,48618811.0
reggaeton flow,urbano latino,42,72.4,89567466.3
brooklyn drill,rap,41,57.48,35124785.64
hip hop,pop rap,41,66.5,22048073.0
chicago rap,trap,40,53.903225806451616,10578590.903225806
reggaeton,reggaeton flow,39,72.4,89567466.3
canadian pop,rap,38,67.53125,68426655.0
rap,southern hip hop,38,62.25925925925926,26787488.62962963
hip hop,pop,37,43.32258064516129,76529920.58064516
gangster rap,rap,36,65.12,30042631.08
trap argentino,urbano latino,36,66.0,53010303.071428575
reggaeton flow,trap latino,36,72.44444444444444,86507704.44444445
atl hip hop,melodic rap,35,62.81481481481482,50391412.666666664
hip hop,melodic rap,35,59.96153846153846,35915374.038461536
r&b,rap,35,61.64,27766449.24
canadian hip hop,rap,34,70.46153846153847,87883109.23076923
pop,pop dance,34,67.375,46527453.25
rap,toronto rap,33,70.96,91062855.6
atl trap,trap,32,62.18181818181818,29642377.40909091
trap argentino,trap latino,32,66.0,53010303.071428575
atl trap,hip hop,31,67.0909090909091,52419200.18181818
latin hip hop,urbano latino,31,69.5,87871566.0
edm,pop,30,67.54545454545455,48978272.86363637
german hip hop,german hip hop,29,40.411764705882355,3549423.117647059
pop,trap,29,66.85714285714286,74319709.09523809
melodic rap,pop rap,28,60.888888888888886,34755138.222222224
melodic rap,melodic rap,28,53.642857142857146,46444790.64285714
reggaeton colombiano,reggaeton colombiano,27,56.857142857142854,51358090.14285714
chicago drill,rap,26,58.625,18337377.0
drill,rap,26,58.625,18337377.0
canadian hip hop,trap,25,72.6842105263158,99889320.4736842
canadian pop,trap,25,71.23809523809524,70925970.14285715
brooklyn drill,trap,25,59.05263157894737,42037885.631578945
dance pop,neo soul,24,1.6666666666666667,73344172.41666667
neo soul,pop,24,1.6666666666666667,73344172.41666667
