Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,trap,309,54.11538461538461,93242.41538461538
greek hip hop,greek trap,305,26.862068965517242,415062.0344827586
rap,rap,258,52.626666666666665,93251.2
hip hop,rap,253,53.810344827586206,91999.85344827586
greek trap,greek trap,205,26.63095238095238,424224.45238095237
pop rap,rap,160,53.90588235294118,65102.211764705884
melodic rap,rap,155,52.7816091954023,88460.52873563218
hip hop,trap,138,55.55421686746988,92234.3373493976
atl hip hop,rap,138,53.36986301369863,88704.52054794521
pop,rap,127,48.258823529411764,107524.98823529412
melodic rap,trap,108,53.955882352941174,82490.23529411765
trap,trap,105,52.45205479452055,59962.05479452055
pop,pop,105,54.86516853932584,155695.05617977527
pop rap,trap,99,52.57377049180328,56420.18032786885
greek hip hop,greek hip hop,98,29.903846153846153,532327.3653846154
atl hip hop,trap,95,51.0377358490566,60320.58490566038
rap,southern hip hop,82,49.44230769230769,82350.94230769231
hip hop,pop rap,73,51.18181818181818,67219.13636363637
pop,trap,70,43.089285714285715,109802.625
hip hop,melodic rap,67,55.92307692307692,89190.13461538461
rap,underground hip hop,66,55.142857142857146,8051.142857142857
hip hop,pop,65,43.98,85086.3
atl hip hop,hip hop,64,56.90909090909091,71974.56818181818
hip hop,hip hop,61,53.2,97469.84444444445
reggaeton,urbano latino,60,66.88888888888889,118059.66666666667
reggaeton,trap latino,59,66.88888888888889,118059.66666666667
trap latino,urbano latino,59,66.88888888888889,118059.66666666667
edm,pop,58,56.651162790697676,110788.44186046511
pop,pop dance,55,50.175,75712.325
southern hip hop,trap,52,48.166666666666664,51680.63333333333
greek trap,greek underground rap,51,31.823529411764707,151119.64705882352
melodic rap,pop rap,49,56.17948717948718,45660.692307692305
atl hip hop,melodic rap,46,51.583333333333336,98761.91666666667
pop,pop rap,46,45.26315789473684,67453.1052631579
cali rap,rap,44,51.23529411764706,65933.64705882352
hip hop,underground hip hop,44,54.6,5381.6
atl hip hop,pop rap,41,49.45161290322581,56322.51612903226
hip hop,southern hip hop,40,47.03448275862069,117523.96551724138
atl trap,rap,39,57.76,96647.16
miami hip hop,rap,36,54.4,61654.5
greek hip hop,greek underground rap,34,33.8421052631579,141696.36842105264
gangster rap,rap,34,56.10344827586207,116591.68965517242
melodic rap,pop,34,48.05882352941177,94715.5
pop,reggaeton,32,60.611111111111114,181895.66666666666
rap,slap house,31,53.17391304347826,108385.91304347826
r&b,rap,31,49.80769230769231,43656.38461538462
conscious hip hop,rap,30,57.588235294117645,71756.11764705883
pop,uk pop,30,53.851851851851855,135798.03703703705
pop,urbano latino,30,60.64705882352941,189257.41176470587
reggaeton,reggaeton,30,66.88888888888889,118059.66666666667
urbano latino,urbano latino,30,66.88888888888889,118059.66666666667
melodic rap,melodic rap,29,51.111111111111114,88062.51851851853
dfw rap,rap,29,40.40909090909091,153962.54545454544
north carolina hip hop,rap,29,57.4,71495.8
dance pop,pop,29,59.07692307692308,182046.57692307694
pop,trap latino,29,65.05882352941177,199367.88235294117
atl hip hop,pop,29,43.24,111744.44
trap latino,trap latino,29,67.0,131860.0
pop rap,southern hip hop,28,41.125,32922.1875
cali rap,trap,28,49.6,69270.26666666666
underground hip hop,underground hip hop,27,46.0,4993.333333333333
electro house,pop,26,50.4,66883.35
atl trap,trap,25,57.68421052631579,45417.42105263158
cali rap,pop rap,25,47.083333333333336,45449.5
canadian pop,rap,25,49.45,162300.6
atl trap,hip hop,24,58.27777777777778,72728.11111111111
cali rap,hip hop,24,45.38461538461539,76933.07692307692
gangster rap,hip hop,23,57.45,121178.45
atl hip hop,atl hip hop,23,53.26315789473684,45770.63157894737
pop rap,pop rap,23,46.1578947368421,34598.26315789474
melodic rap,southern hip hop,23,52.89473684210526,38273.84210526316
pop,southern hip hop,23,33.63157894736842,35186.89473684211
canadian hip hop,rap,23,50.55555555555556,180053.61111111112
atl hip hop,southern hip hop,22,43.411764705882355,39182.705882352944
miami hip hop,trap,22,54.06666666666667,68441.73333333334
rap,toronto rap,22,53.5625,193710.6875
rap,trap latino,21,53.857142857142854,253197.64285714287
dfw rap,trap,21,48.94117647058823,176135.82352941178
pop dance,uk pop,21,48.77777777777778,75773.27777777778
trap,underground hip hop,21,51.5,4690.666666666667
hip hop,r&b,21,50.26315789473684,49341.15789473684
rap,reggaeton,20,51.69230769230769,243517.61538461538
rap,urbano latino,20,51.69230769230769,243517.61538461538
pop dance,uk dance,20,42.142857142857146,171344.85714285713
pop,r&b,20,46.55555555555556,98643.22222222222
edm,pop dance,19,54.18181818181818,43110.545454545456
electropop,pop,19,37.8235294117647,162054.29411764705
slap house,trap,18,61.714285714285715,135070.7142857143
dfw rap,hip hop,18,40.1875,109590.6875
pop,uk dance,18,52.8,78739.66666666667
latin hip hop,reggaeton,18,62.0,45284.333333333336
latin hip hop,urbano latino,18,62.0,45284.333333333336
conscious hip hop,hip hop,17,53.75,69230.58333333333
queens hip hop,rap,17,48.142857142857146,25413.14285714286
pop rap,underground hip hop,17,43.5,4054.0
edm,rap,17,48.333333333333336,170458.08333333334
emo rap,rap,17,43.5,98038.16666666667
canadian pop,pop,17,50.357142857142854,202661.7142857143
latin hip hop,trap latino,17,61.2,52809.8
melodic rap,slap house,16,56.357142857142854,143735.57142857142
gangster rap,trap,16,59.285714285714285,42129.71428571428
edm,uk pop,16,50.0,99553.13333333333
pluggnb,rap,16,54.6,10535.0
rap,uk pop,16,65.25,136272.33333333334
canadian hip hop,trap,16,58.333333333333336,217886.25
toronto rap,trap,16,58.333333333333336,217886.25
hip hop,miami hip hop,16,49.083333333333336,72200.83333333333
atl trap,melodic rap,15,59.642857142857146,107704.64285714286
pop,slap house,15,45.666666666666664,81007.16666666667
hip hop,north carolina hip hop,15,57.875,102710.25
moombahton,pop,15,40.333333333333336,78559.88888888889
philly rap,rap,15,39.44444444444444,112227.44444444444
pop dance,pop dance,15,52.38461538461539,106612.61538461539
house,pop,15,57.36363636363637,96398.0
dance pop,edm,15,58.42857142857143,89517.85714285714
hip hop,queens hip hop,15,48.142857142857146,25413.14285714286
conscious hip hop,trap,15,60.07142857142857,83944.78571428571
north carolina hip hop,trap,15,60.69230769230769,70319.07692307692
emo rap,trap,15,50.09090909090909,84123.63636363637
atl hip hop,slap house,14,67.18181818181819,163948.18181818182
dance pop,pop dance,14,56.07692307692308,87055.07692307692
contemporary country,pop,14,68.9090909090909,52093.818181818184
atl hip hop,atl trap,13,64.18181818181819,66570.81818181818
atl hip hop,gangster rap,13,58.75,46585.166666666664
rap,sudanese hip hop,13,46.0,4993.333333333333
rap,sudanese pop,13,46.0,4993.333333333333
pop dance,rap,13,50.44444444444444,217293.44444444444
melodic rap,miami hip hop,13,59.4,34710.2
canadian pop,trap,13,54.333333333333336,214207.41666666666
chicago rap,rap,13,59.083333333333336,77799.66666666667
hip hop,trap latino,12,47.8,246481.3
indie poptimism,pop,12,45.90909090909091,93109.90909090909
uk dance,uk pop,12,54.54545454545455,73424.63636363637
cali rap,southern hip hop,12,45.714285714285715,10935.42857142857
pop,post-teen pop,12,68.66666666666667,128920.55555555556
r&b,trap,12,48.55555555555556,20899.88888888889
rap,singer-songwriter pop,12,65.625,119553.75
miami hip hop,underground hip hop,12,51.666666666666664,1505.6666666666667
pop rap,reggaeton,11,50.0,217054.44444444444
reggaeton,trap,11,46.875,216017.75
pop rap,trap latino,11,50.333333333333336,206781.44444444444
trap,trap latino,11,50.77777777777778,234131.11111111112
pop rap,urbano latino,11,50.0,217054.44444444444
trap,urbano latino,11,46.875,216017.75
north carolina hip hop,underground hip hop,11,51.0,6179.5
philly rap,trap,11,34.0,10899.125
queens hip hop,underground hip hop,11,46.0,4993.333333333333
hip hop,sudanese hip hop,11,46.0,4993.333333333333
sudanese hip hop,underground hip hop,11,46.0,4993.333333333333
hip hop,sudanese pop,11,46.0,4993.333333333333
sudanese pop,underground hip hop,11,46.0,4993.333333333333
edm,reggaeton,11,56.875,231283.5
edm,urbano latino,11,56.875,231283.5
pop dance,reggaeton,11,56.875,231283.5
pop dance,urbano latino,11,56.875,231283.5
pop,reggaeton colombiano,11,55.0,260865.88888888888
edm,trap,11,38.875,175220.375
pop,pop r&b,11,71.3,259078.6
canadian pop,hip hop,11,57.3,234164.0
dirty south rap,rap,11,51.5,148605.0
oakland hip hop,rap,11,54.833333333333336,18693.833333333332
miami hip hop,pop rap,11,47.111111111111114,52810.22222222222
alt z,pop,11,38.44444444444444,41207.555555555555
plugg,rap,11,46.333333333333336,29481.333333333332
plugg,trap,11,46.333333333333336,29481.333333333332
canadian trap,rap,11,43.42857142857143,40873.857142857145
cali rap,underground hip hop,11,69.0,2190.0
hip hop,reggaeton,10,40.5,227106.625
hip hop,urbano latino,10,40.5,227106.625
conscious hip hop,underground hip hop,10,51.0,6179.5
edm,uk dance,10,34.0,54429.25
house,uk dance,10,34.0,54429.25
edm,electro house,10,50.666666666666664,31886.0
hip hop,pluggnb,10,42.333333333333336,5941.666666666667
electronic trap,rap,10,44.857142857142854,220213.14285714287
pop,puerto rican pop,10,68.0,162198.5
pop,pop soul,10,61.2,103644.8
emo rap,melodic rap,10,56.57142857142857,125605.28571428571
