Source,Target,Weight,Avg_Popularity,Avg_Streams
reggaeton,urbano latino,895,30.156462585034014,371532.5238095238
reggaeton,trap latino,783,30.66417910447761,362459.77611940296
trap latino,urbano latino,781,29.96124031007752,363195.0930232558
reggaeton,reggaeton,449,29.99290780141844,368090.91489361704
urbano latino,urbano latino,446,29.301470588235293,363292.5955882353
trap latino,trap latino,348,27.41304347826087,296917.23913043475
latin hip hop,reggaeton,227,31.433734939759034,350467.0602409639
latin hip hop,urbano latino,225,30.825,343062.95
latin hip hop,trap latino,182,30.384615384615383,326642.53846153844
reggaeton flow,urbano latino,173,32.43333333333333,294160.63333333336
reggaeton,reggaeton flow,171,32.43333333333333,294160.63333333336
reggaeton flow,trap latino,166,32.43333333333333,294160.63333333336
pop,rap,93,26.43548387096774,119607.7258064516
puerto rican pop,reggaeton,88,32.13636363636363,483865.5227272727
puerto rican pop,urbano latino,85,31.88095238095238,485524.04761904763
latin pop,urbano latino,85,37.723076923076924,438412.92307692306
latin pop,reggaeton,84,37.15625,436696.125
pop,pop,80,37.142857142857146,256937.87142857144
reggaeton,reggaeton colombiano,79,30.755555555555556,396003.4666666667
reggaeton colombiano,urbano latino,79,29.837209302325583,427158.74418604653
puerto rican pop,trap latino,62,26.59259259259259,505694.18518518517
dance pop,pop,58,40.888888888888886,210436.88888888888
hip hop,pop,58,29.571428571428573,122907.07142857143
reggaeton colombiano,trap latino,57,30.387096774193548,347829.32258064515
pop,trap,52,34.416666666666664,139062.38888888888
edm,pop,52,36.45238095238095,233806.16666666666
latin pop,trap latino,52,38.05,463737.425
pop,pop dance,51,26.897435897435898,238295.8205128205
pop,urbano latino,48,30.41176470588235,249617.4411764706
pop,reggaeton,47,29.941176470588236,233906.88235294117
hip hop,rap,41,37.89473684210526,145521.2105263158
dance pop,urbano latino,39,36.714285714285715,322481.46428571426
latin hip hop,reggaeton flow,38,31.85,328732.5
rap,trap,38,38.21052631578947,153508.8947368421
atl hip hop,pop,37,27.571428571428573,127043.21428571429
colombian pop,latin pop,37,31.551724137931036,350432.2068965517
dance pop,reggaeton,37,35.333333333333336,313554.85185185185
dance pop,rap,34,39.25,162741.5
pop,pop rap,34,44.130434782608695,153888.26086956522
rap,rap,32,36.35,132353.65
latin pop,latin pop,32,38.21875,340650.15625
pop,trap latino,32,27.818181818181817,276179.7727272727
colombian pop,reggaeton,31,33.92,416460.76
latin hip hop,latin pop,30,37.035714285714285,407082.3214285714
colombian pop,urbano latino,29,34.869565217391305,449939.3043478261
pop rap,rap,29,60.1,203853.3
latin hip hop,puerto rican pop,28,24.48,507369.12
hip hop,trap,28,36.285714285714285,98206.85714285714
rap,reggaeton,28,22.933333333333334,46069.13333333333
rap,urbano latino,27,20.428571428571427,47264.0
latin pop,reggaeton colombiano,27,37.130434782608695,422345.60869565216
rap,trap latino,26,17.0,37070.769230769234
electro house,pop,26,32.40909090909091,118786.0
dance pop,trap latino,26,29.68421052631579,287442.94736842107
latin hip hop,reggaeton colombiano,23,35.166666666666664,281271.55555555556
reggaeton flow,reggaeton flow,22,42.0,383909.5
melodic rap,rap,22,32.375,137419.6875
pop,southern hip hop,22,38.5,136057.125
dance pop,trap,21,44.857142857142854,173993.85714285713
pop rap,trap,21,55.5,139846.625
latin hip hop,latin hip hop,21,21.88235294117647,206858.0
hip hop,melodic rap,20,28.866666666666667,120350.06666666667
melodic rap,pop,20,31.846153846153847,141737.15384615384
pop,r&b,20,45.625,153648.375
dance pop,pop dance,20,26.27777777777778,211010.44444444444
latin pop,pop,20,31.65,231483.15
atl hip hop,rap,19,30.642857142857142,121016.0
dance pop,edm,19,34.22222222222222,181967.0
edm,rap,19,37.46153846153846,113036.46153846153
electro house,rap,19,37.46153846153846,113036.46153846153
atl hip hop,dance pop,18,39.166666666666664,96091.08333333333
colombian pop,reggaeton colombiano,18,34.714285714285715,441947.14285714284
pop,reggaeton colombiano,18,36.93333333333333,304043.0
hip hop,pop rap,18,50.666666666666664,164688.0
reggaeton,trap,17,19.416666666666668,51451.916666666664
trap,urbano latino,17,19.416666666666668,51451.916666666664
dance pop,hip hop,17,45.54545454545455,179715.27272727274
mexican pop,urbano latino,17,47.411764705882355,318718.1176470588
trap,trap latino,16,15.272727272727273,39786.09090909091
puerto rican pop,reggaeton flow,15,31.3,350832.8
dance pop,dance pop,15,31.666666666666668,139190.66666666666
dance pop,latin pop,15,39.93333333333333,247793.0
dance pop,reggaeton colombiano,15,35.916666666666664,383589.3333333333
mexican pop,reggaeton,15,49.2,354684.93333333335
pop rap,reggaeton,15,36.76923076923077,100794.76923076923
edm,pop dance,15,38.2,160679.8
dance pop,melodic rap,14,23.25,91144.25
dancehall,reggaeton,14,14.142857142857142,221050.14285714287
dancehall,trap latino,14,14.142857142857142,221050.14285714287
dancehall,urbano latino,14,14.142857142857142,221050.14285714287
pop,uk pop,14,36.92307692307692,221522.76923076922
pop,uk dance,14,65.0,225327.5
pop rap,urbano latino,14,35.0,106749.25
atl hip hop,hip hop,13,25.875,93364.875
moombahton,pop,13,10.090909090909092,106726.90909090909
pop dance,rap,13,8.571428571428571,62798.42857142857
hip hop,reggaeton,13,26.454545454545453,47281.818181818184
colombian pop,colombian pop,13,29.307692307692307,271355.46153846156
latin pop,mexican pop,13,46.23076923076923,228894.15384615384
electropop,pop,13,41.9,346678.2
pop rap,pop rap,13,57.8,99713.2
atl hip hop,reggaeton,12,8.75,38285.125
atl hip hop,trap latino,12,8.75,38285.125
atl hip hop,urbano latino,12,8.75,38285.125
edm,trap,12,40.583333333333336,108558.83333333333
electro house,trap,12,40.583333333333336,108558.83333333333
moombahton,rap,12,9.833333333333334,72812.66666666667
hip hop,urbano latino,12,23.3,49075.9
colombian pop,trap latino,12,34.111111111111114,320822.8888888889
pop,progressive house,12,61.1,305642.2
melodic rap,reggaeton,11,15.75,43331.25
melodic rap,trap latino,11,15.75,43331.25
melodic rap,urbano latino,11,15.75,43331.25
dance pop,electro house,11,28.545454545454547,98190.90909090909
hip hop,trap latino,11,18.666666666666668,34553.666666666664
melodic rap,pop rap,11,52.285714285714285,157209.2857142857
pop dance,uk pop,11,32.7,178618.1
electro latino,reggaeton,11,0.0,298925.5714285714
latin arena pop,urbano latino,11,33.7,268054.4
atl hip hop,edm,10,40.6,69523.4
atl hip hop,electro house,10,40.6,69523.4
edm,hip hop,10,42.3,129880.6
electro house,hip hop,10,42.3,129880.6
dance pop,slap house,10,11.8,54021.6
pop,slap house,10,11.8,54021.6
melodic rap,trap,10,38.5,192755.2
trap,trap,10,46.875,137966.625
pop rap,trap latino,10,30.0,108699.6
dance pop,pop rap,10,45.625,197473.625
electro latino,latin pop,10,35.5,303433.625
electro latino,urbano latino,10,0.0,330777.3333333333
canadian pop,pop,10,16.333333333333332,333559.3333333333
hip hop,hip hop,10,56.5,123779.75
canadian pop,rap,10,49.333333333333336,158937.0
latin arena pop,reggaeton,10,33.625,322826.25
puerto rican pop,reggaeton colombiano,9,33.77777777777778,481612.1111111111
latin pop,puerto rican pop,9,43.22222222222222,380510.3333333333
rap latina,urbano latino,9,31.142857142857142,531831.0
reggaeton,traphall,9,15.666666666666666,196749.66666666666
trap latino,traphall,9,15.666666666666666,196749.66666666666
traphall,urbano latino,9,15.666666666666666,196749.66666666666
dance pop,latin hip hop,9,51.888888888888886,325287.8888888889
latin hip hop,pop,9,41.44444444444444,414161.6666666667
reggaeton colombiano,reggaeton flow,9,70.75,405875.5
pop dance,pop dance,9,38.2,160679.8
bachata,reggaeton,9,66.4,406484.6
bachata,urbano latino,9,66.4,406484.6
dance pop,moombahton,8,13.875,57655.5
rap,southern hip hop,8,62.5,217332.66666666666
southern hip hop,trap,8,59.4,125186.8
detroit hip hop,pop,8,36.833333333333336,106255.33333333333
cubaton,reggaeton,8,39.4,551281.2
r&b,rap,8,44.0,158985.57142857142
colombian pop,mexican pop,8,20.875,180739.25
alt z,pop,8,50.5,31430.125
mexican pop,trap latino,8,42.625,193897.75
bachata,trap latino,8,70.25,486830.25
reggaeton,spanish pop,8,23.0,273842.28571428574
rap,slap house,7,22.166666666666668,45193.833333333336
conscious hip hop,pop,7,20.857142857142858,184217.7142857143
rap latina,reggaeton,7,31.142857142857142,531831.0
rap latina,trap latino,7,31.142857142857142,531831.0
dancehall,latin hip hop,7,11.75,329068.0
colombian pop,latin hip hop,7,44.333333333333336,358956.8333333333
pop,queens hip hop,7,19.428571428571427,203399.14285714287
house,pop,7,71.8,178721.2
pop rap,reggaeton colombiano,7,41.0,172705.57142857142
dancehall,pop,7,38.333333333333336,172187.16666666666
cubaton,urbano latino,7,39.4,551281.2
reggaeton colombiano,reggaeton colombiano,7,30.0,445358.0
cubaton,latin pop,7,59.4,463360.4
pop,tropical house,7,34.833333333333336,256727.66666666666
edm,uk pop,7,47.5,237324.0
latin arena pop,latin pop,7,37.57142857142857,264030.4285714286
latin hip hop,mexican pop,7,58.285714285714285,205863.0
miami hip hop,rap,7,51.0,239151.33333333334
canadian pop,hip hop,7,49.333333333333336,158937.0
new orleans rap,rap,7,50.666666666666664,164688.0
atl hip hop,pop rap,7,49.0,164279.66666666666
latin arena pop,trap latino,7,35.0,267162.0
latin pop,reggaeton flow,7,54.75,417957.75
spanish pop,urbano latino,7,26.833333333333332,301513.5
modern rock,pop rap,7,72.5,13221.5
modern rock,trap,7,72.5,13221.5
atl hip hop,slap house,6,22.166666666666668,45193.833333333336
melodic rap,slap house,6,22.166666666666668,45193.833333333336
slap house,trap,6,22.166666666666668,45193.833333333336
edm,melodic rap,6,20.333333333333332,45215.833333333336
electro house,melodic rap,6,20.333333333333332,45215.833333333336
