Source,Target,Weight,Avg_Popularity,Avg_Streams
cantopop,cantopop,41,39.666666666666664,407735.3333333333
cantopop,hk-pop,15,41.23076923076923,398206.1538461539
c-pop,classic mandopop,15,31.333333333333332,61033.0
pop,pop,15,73.46666666666667,142130.66666666666
movie tunes,movie tunes,15,78.0,282137.0
pop,rap,14,60.5,111763.07142857143
cantopop,classic mandopop,13,32.75,47382.0
classic cantopop,classic mandopop,12,31.333333333333332,61033.0
c-pop,cantopop,12,33.5,46939.25
c-pop,classic cantopop,11,32.333333333333336,60442.666666666664
hip hop,pop,10,52.4,121526.6
rap,trap,9,73.0,22243.0
rap,rap,8,77.0,18515.166666666668
hip hop,rap,8,77.75,24317.0
hk-pop,hk-pop,8,40.25,343486.875
cantopop,classic cantopop,8,20.5,3716.5
classic mandopop,classic mandopop,7,19.0,4602.0
gangster rap,rap,7,77.75,24317.0
atl hip hop,rap,7,71.0,41537.0
c-pop,c-pop,7,39.5,89350.5
dance pop,neo soul,6,23.666666666666668,95221.0
neo soul,pop,6,23.666666666666668,95221.0
cantopop,mandopop,6,28.5,203926.75
gangster rap,hip hop,6,77.75,24317.0
melodic rap,rap,6,82.5,37210.5
atl hip hop,trap,6,78.0,71836.0
dance pop,hip hop,5,46.0,117095.4
c-pop,mandopop,5,19.0,4602.0
pop,trap,5,76.0,70008.4
classic cantopop,classic cantopop,5,17.666666666666668,3411.0
dance pop,pop,5,80.8,137256.2
canadian pop,pop,5,65.8,156887.8
melodic rap,trap,5,82.5,37210.5
modern salsa,movie tunes,5,78.0,282137.0
movie tunes,salsa colombiana,5,78.0,282137.0
hollywood,movie tunes,5,78.0,282137.0
cantopop,hong kong hip hop,4,39.0,210070.75
classic cantopop,mandopop,4,19.0,4602.0
classic mandopop,mandopop,4,19.0,4602.0
g funk,gangster rap,4,85.0,11059.5
g funk,hip hop,4,85.0,11059.5
g funk,rap,4,85.0,11059.5
g funk,west coast rap,4,85.0,11059.5
gangster rap,west coast rap,4,85.0,11059.5
hip hop,west coast rap,4,85.0,11059.5
rap,west coast rap,4,85.0,11059.5
canadian pop,rap,4,54.25,81772.75
melodic rap,pop,4,42.5,71982.75
atl hip hop,melodic rap,4,78.0,71836.0
dance pop,rap,4,79.75,158931.25
dance pop,escape room,3,23.666666666666668,95221.0
escape room,pop,3,23.666666666666668,95221.0
dance pop,indie soul,3,23.666666666666668,95221.0
indie soul,pop,3,23.666666666666668,95221.0
escape room,neo soul,3,23.666666666666668,95221.0
hip hop,neo soul,3,23.666666666666668,95221.0
indie soul,neo soul,3,23.666666666666668,95221.0
neo soul,neo soul,3,23.666666666666668,95221.0
hip hop,hip hop,3,77.66666666666667,8477.333333333334
hip hop,pop rap,3,77.66666666666667,8477.333333333334
pop rap,rap,3,77.66666666666667,8477.333333333334
pop,pop rap,3,69.66666666666667,67075.33333333333
canadian contemporary r&b,rap,3,72.33333333333333,107155.33333333333
atl trap,rap,3,71.0,41537.0
k-pop,pop,3,51.333333333333336,147095.33333333334
permanent wave,pop,3,83.0,217069.0
hk-pop,hong kong hip hop,3,21.0,368171.0
pop,uk pop,3,77.0,115216.66666666667
canadian contemporary r&b,pop,3,82.66666666666667,267148.0
hip hop,trap,3,70.5,37574.5
rap,southern hip hop,3,70.5,37574.5
atl hip hop,atl hip hop,3,78.0,71836.0
trap,trap,3,78.0,71836.0
edm,pop,3,83.66666666666667,36987.0
pop,pop dance,3,83.66666666666667,36987.0
pop,post-teen pop,3,69.0,10232.333333333334
cantopop,singaporean mandopop,2,48.5,765219.5
cantopop,singaporean singer-songwriter,2,48.5,765219.5
cantopop,taiwan pop,2,48.5,765219.5
hk-pop,singaporean mandopop,2,48.5,765219.5
hk-pop,singaporean singer-songwriter,2,48.5,765219.5
hk-pop,taiwan pop,2,48.5,765219.5
g funk,g funk,2,85.0,11059.5
g funk,pop rap,2,85.0,11059.5
gangster rap,gangster rap,2,85.0,11059.5
gangster rap,pop rap,2,85.0,11059.5
pop rap,west coast rap,2,85.0,11059.5
west coast rap,west coast rap,2,85.0,11059.5
hip hop,modern rock,2,45.0,228021.5
modern rock,rap,2,45.0,228021.5
modern rock,underground hip hop,2,45.0,228021.5
pop,underground hip hop,2,45.0,228021.5
hip hop,rock,2,45.0,228021.5
rap,rock,2,45.0,228021.5
rock,underground hip hop,2,45.0,228021.5
modern rock,speedrun,2,45.0,228021.5
modern rock,video game music,2,45.0,228021.5
pop,speedrun,2,45.0,228021.5
pop,video game music,2,45.0,228021.5
rock,speedrun,2,45.0,228021.5
rock,video game music,2,45.0,228021.5
hip hop,speedrun,2,45.0,228021.5
hip hop,video game music,2,45.0,228021.5
rap,speedrun,2,45.0,228021.5
rap,video game music,2,45.0,228021.5
speedrun,underground hip hop,2,45.0,228021.5
underground hip hop,video game music,2,45.0,228021.5
