Source,Target,Weight,Avg_Popularity,Avg_Streams
reggaeton,urbano latino,735,28.603960396039604,309085.48514851485
trap latino,urbano latino,667,29.52173913043478,312358.89130434784
reggaeton,trap latino,661,29.440860215053764,311766.0430107527
urbano latino,urbano latino,370,28.589473684210525,310297.5894736842
reggaeton,reggaeton,365,28.520833333333332,310606.7708333333
trap latino,trap latino,302,26.720588235294116,279632.4705882353
reggaeton flow,urbano latino,166,31.607142857142858,248713.42857142858
latin hip hop,urbano latino,165,34.125,317683.5833333333
latin hip hop,reggaeton,164,33.94,321022.36
reggaeton,reggaeton flow,164,31.607142857142858,248713.42857142858
reggaeton flow,trap latino,160,31.607142857142858,248713.42857142858
latin hip hop,trap latino,140,32.68292682926829,309562.2195121951
pop,rap,67,27.0,109012.07142857143
puerto rican pop,reggaeton,65,23.73076923076923,447102.6923076923
puerto rican pop,urbano latino,64,26.73076923076923,429636.23076923075
reggaeton colombiano,urbano latino,60,32.62068965517241,324572.4137931034
pop,pop,58,40.13461538461539,207453.0576923077
reggaeton,reggaeton colombiano,58,33.035714285714285,309854.25
latin pop,urbano latino,55,41.225,312491.05
latin pop,reggaeton,54,40.38461538461539,313043.1794871795
puerto rican pop,trap latino,52,21.61111111111111,438361.1111111111
reggaeton colombiano,trap latino,45,35.9,283431.9
hip hop,pop,39,32.84615384615385,122876.46153846153
latin pop,trap latino,39,41.74074074074074,308095.22222222225
dance pop,pop,37,43.5,186435.54166666666
pop,trap,36,36.84,130757.08
hip hop,rap,35,36.3125,135666.125
edm,pop,34,42.0,171130.2068965517
latin hip hop,reggaeton flow,32,37.1875,285010.125
rap,trap,31,36.6875,139758.625
pop,pop dance,31,31.96,181739.68
pop,urbano latino,30,30.85,215769.75
rap,rap,29,34.588235294117645,118461.29411764706
atl hip hop,pop,28,31.09090909090909,103461.95454545454
pop,reggaeton,28,28.57894736842105,211812.47368421053
dance pop,rap,27,43.0,133602.0
dance pop,urbano latino,26,38.388888888888886,249156.16666666666
dance pop,reggaeton,24,36.294117647058826,246697.23529411765
pop rap,rap,24,58.5,214788.0
colombian pop,latin pop,23,35.705882352941174,224000.4705882353
pop,trap latino,23,28.9375,199089.6875
reggaeton flow,reggaeton flow,22,42.0,301117.8333333333
pop,pop rap,22,52.5,194333.5
latin hip hop,puerto rican pop,20,19.764705882352942,446360.0
melodic rap,rap,20,32.642857142857146,120916.28571428571
hip hop,trap,20,33.54545454545455,96228.36363636363
colombian pop,reggaeton,20,40.875,248259.625
colombian pop,urbano latino,20,42.25,263319.1875
rap,reggaeton,19,14.333333333333334,24678.0
rap,urbano latino,19,14.333333333333334,24678.0
latin hip hop,latin pop,19,43.470588235294116,308609.5294117647
atl hip hop,rap,18,32.53846153846154,94242.30769230769
hip hop,melodic rap,18,28.615384615384617,106682.69230769231
rap,trap latino,18,8.0,15858.75
latin pop,latin pop,18,47.0,237382.33333333334
dance pop,trap latino,18,30.0,196646.3076923077
dance pop,trap,17,46.583333333333336,138794.5
latin pop,reggaeton colombiano,17,41.733333333333334,267392.26666666666
pop,r&b,16,37.5,135176.25
latin hip hop,reggaeton colombiano,16,39.45454545454545,241255.54545454544
melodic rap,pop,15,31.363636363636363,111152.63636363637
electro house,pop,15,35.76923076923077,92770.30769230769
dance pop,hip hop,15,49.5,134516.3
edm,rap,15,41.7,88239.4
electro house,rap,15,41.7,88239.4
latin hip hop,latin hip hop,15,23.90909090909091,157039.18181818182
puerto rican pop,reggaeton flow,14,28.88888888888889,246560.77777777778
atl hip hop,dance pop,14,40.1,68843.1
pop rap,trap,14,51.833333333333336,157295.0
dance pop,pop dance,13,28.083333333333332,150366.41666666666
atl hip hop,hip hop,12,28.714285714285715,63490.0
reggaeton,trap,12,16.125,26235.875
trap,urbano latino,12,16.125,26235.875
dance pop,edm,12,37.90909090909091,140246.0
pop,southern hip hop,12,52.42857142857143,199000.14285714287
pop,uk pop,12,39.25,163245.83333333334
hip hop,pop rap,12,37.0,181737.5
atl hip hop,reggaeton,11,9.142857142857142,16379.285714285714
atl hip hop,trap latino,11,9.142857142857142,16379.285714285714
trap,trap latino,11,9.142857142857142,16379.285714285714
atl hip hop,urbano latino,11,9.142857142857142,16379.285714285714
dancehall,reggaeton,11,10.4,114203.8
dancehall,trap latino,11,10.4,114203.8
dancehall,urbano latino,11,10.4,114203.8
dance pop,melodic rap,10,19.5,65970.66666666667
moombahton,rap,10,10.6,29349.0
pop dance,rap,10,10.6,29349.0
dance pop,latin pop,10,40.6,179319.6
latin pop,pop,10,27.7,236512.9
melodic rap,pop rap,10,51.833333333333336,157295.0
colombian pop,reggaeton colombiano,10,45.0,320021.75
dance pop,reggaeton colombiano,10,40.0,295912.25
pop,reggaeton colombiano,10,42.25,299322.75
pop,uk dance,10,74.42857142857143,201053.7142857143
canadian pop,rap,10,49.333333333333336,122992.33333333333
dance pop,dance pop,9,33.44444444444444,155420.77777777778
edm,trap,9,46.333333333333336,90122.44444444444
electro house,trap,9,46.333333333333336,90122.44444444444
edm,hip hop,9,46.333333333333336,90122.44444444444
electro house,hip hop,9,46.333333333333336,90122.44444444444
melodic rap,trap,9,36.666666666666664,179097.0
pop,progressive house,9,59.75,211849.625
canadian pop,pop,9,18.375,232390.0
reggaeton colombiano,reggaeton flow,9,70.75,214773.0
colombian pop,trap latino,9,51.166666666666664,150604.33333333334
mexican pop,reggaeton,9,51.888888888888886,224854.22222222222
mexican pop,urbano latino,9,51.888888888888886,224854.22222222222
moombahton,pop,8,15.0,66331.71428571429
atl hip hop,edm,8,42.125,46007.5
atl hip hop,electro house,8,42.125,46007.5
dance pop,slap house,8,13.25,18863.25
pop,slap house,8,13.25,18863.25
rap latina,urbano latino,8,36.333333333333336,361789.0
hip hop,reggaeton,8,21.5,27620.5
hip hop,urbano latino,8,21.5,27620.5
reggaeton,traphall,8,0.0,166721.5
trap latino,traphall,8,0.0,166721.5
traphall,urbano latino,8,0.0,166721.5
electropop,pop,8,49.166666666666664,377893.0
melodic rap,reggaeton,7,2.4,15904.8
melodic rap,trap latino,7,2.4,15904.8
melodic rap,urbano latino,7,2.4,15904.8
colombian pop,colombian pop,7,29.285714285714285,188268.42857142858
latin pop,puerto rican pop,7,41.857142857142854,203458.0
hip hop,trap latino,7,12.8,14098.2
pop dance,uk pop,7,36.714285714285715,104306.0
dance pop,pop rap,7,57.333333333333336,231256.83333333334
hip hop,hip hop,7,49.333333333333336,122992.33333333333
miami hip hop,rap,7,51.0,201316.0
canadian pop,hip hop,7,49.333333333333336,122992.33333333333
atl hip hop,pop rap,7,49.0,123925.33333333333
latin arena pop,reggaeton,7,35.6,134421.0
edm,pop dance,7,30.5,176350.5
bachata,reggaeton,7,76.0,313085.3333333333
bachata,trap latino,7,76.0,313085.3333333333
bachata,urbano latino,7,76.0,313085.3333333333
rap,slap house,6,25.4,16191.0
puerto rican pop,reggaeton colombiano,6,34.666666666666664,415030.5
dance pop,electro house,6,30.833333333333332,89079.16666666667
latin pop,vallenato,6,33.666666666666664,173898.33333333334
rap latina,reggaeton,6,36.333333333333336,361789.0
rap latina,trap latino,6,36.333333333333336,361789.0
trap,trap,6,40.333333333333336,162926.16666666666
pop rap,reggaeton,6,35.4,65000.8
pop rap,urbano latino,6,35.4,65000.8
