Source,Target,Weight,Avg_Popularity,Avg_Streams
pop,rap,167,33.69724770642202,145151.9633027523
pop,pop,148,39.23931623931624,258643.2393162393
rap,trap,123,42.36206896551724,118153.20689655172
hip hop,rap,119,41.854838709677416,120127.03225806452
pop,pop dance,110,32.023809523809526,205288.70238095237
edm,pop,106,37.674698795180724,218271.7590361446
hip hop,pop,98,36.06666666666667,137082.28
rap,rap,97,43.45161290322581,114873.85483870968
dance pop,pop,96,40.21212121212121,183099.36363636365
pop,trap,91,38.608695652173914,167471.08695652173
pop rap,rap,78,44.46341463414634,133138.8780487805
pop,pop rap,77,42.31578947368421,161737.35087719298
hip hop,trap,75,43.63414634146341,89949.26829268293
atl hip hop,rap,65,39.457142857142856,108902.82857142857
edm,pop dance,64,23.322580645161292,76568.35483870968
electro house,pop,57,38.91304347826087,103724.45652173914
atl hip hop,pop,52,30.170731707317074,193859.07317073172
pop rap,trap,52,44.733333333333334,112157.23333333334
dance pop,rap,51,46.1764705882353,172641.91176470587
hip hop,pop rap,51,41.96153846153846,69787.07692307692
pop,r&b,50,39.82051282051282,139735.10256410256
melodic rap,rap,48,43.25,173403.7857142857
reggaeton,urbano latino,44,32.36363636363637,26610.636363636364
pop,southern hip hop,44,41.6764705882353,147380.70588235295
atl hip hop,hip hop,42,40.407407407407405,60905.851851851854
edm,rap,40,44.096774193548384,108725.54838709677
atl hip hop,trap,40,40.95652173913044,70661.91304347826
r&b,rap,40,38.470588235294116,98355.76470588235
dance pop,edm,39,38.35294117647059,177775.17647058822
dance pop,pop dance,39,35.06060606060606,174966.81818181818
rap,southern hip hop,38,44.28,120866.6
trap,trap,38,45.96551724137931,107623.55172413793
trap latino,urbano latino,37,27.2,28437.0
dance pop,trap,36,47.18518518518518,198615.33333333334
electro house,pop dance,35,20.22222222222222,54841.03703703704
pop dance,pop dance,35,24.93103448275862,81740.06896551725
hip hop,hip hop,35,43.689655172413794,70833.13793103448
edm,electro house,34,24.40740740740741,39085.22222222222
dance pop,pop rap,34,44.24,156964.56
