Source,Target,Weight,Avg_Popularity,Avg_Streams
hip hop,rap,164,48.90625,501444.5520833333
pop,pop,161,48.96296296296296,904233.8740740741
rap,trap,156,51.71910112359551,515916.0449438202
pop,rap,151,44.41228070175438,585845.0614035088
rap,rap,131,50.0531914893617,519629.42553191487
dance pop,pop,104,55.294117647058826,671657.7647058824
pop,pop dance,95,45.36,800899.7466666667
hollywood,movie tunes,94,54.421052631578945,656938.3684210526
edm,pop,92,48.932432432432435,985879.5405405406
hip hop,trap,86,54.75,476836.82692307694
hip hop,pop,81,45.82539682539682,581191.1587301587
pop rap,rap,76,57.361702127659576,685384.2765957447
hollywood,hollywood,74,54.6875,552767.8125
pop,trap,70,48.771929824561404,674263.8947368421
atl hip hop,rap,66,48.97727272727273,496812.0909090909
pop,uk pop,65,45.291666666666664,864329.5833333334
melodic rap,rap,63,51.7906976744186,554146.0930232558
pop,pop rap,56,58.06818181818182,658180.3409090909
hip hop,hip hop,52,49.794871794871796,284946.6153846154
east coast hip hop,hardcore hip hop,50,56.0,4953.0
hip hop,pop rap,49,53.333333333333336,442989.1111111111
melodic rap,trap,48,50.473684210526315,684691.6052631579
hollywood,show tunes,47,52.5,623337.7142857143
pop,uk dance,46,53.825,1262459.75
rap,southern hip hop,45,56.78787878787879,413486.8787878788
electro house,pop,42,44.24242424242424,1021269.8484848485
pop rap,trap,41,64.08,564567.92
dance pop,rap,41,52.193548387096776,633889.7419354839
r&b,rap,40,40.05882352941177,503227.5882352941
trap,trap,40,57.3125,426028.15625
movie tunes,show tunes,39,53.666666666666664,780678.7333333333
hip hop,melodic rap,39,50.0,654459.5151515151
atl hip hop,hip hop,37,51.46153846153846,489560.8076923077
pop,r&b,37,52.13333333333333,634927.6
atl hip hop,pop,36,46.65625,674594.71875
hip hop,r&b,34,37.888888888888886,416826.2962962963
miami hip hop,rap,32,66.26086956521739,564293.1304347826
hip hop,southern hip hop,32,53.1578947368421,158858.94736842104
hip pop,pop,31,34.84615384615385,275834.3461538461
hollywood,pop,30,52.75,837147.25
atl hip hop,trap,30,55.04545454545455,412567.54545454547
pop dance,uk pop,29,46.592592592592595,1000730.5555555555
dance pop,pop rap,29,60.45454545454545,368907.4090909091
dance pop,pop dance,28,55.16,600459.88
dance pop,uk pop,28,49.1578947368421,1202458.894736842
uk dance,uk pop,28,44.875,1323081.75
pop,southern hip hop,28,58.904761904761905,633298.8571428572
east coast hip hop,east coast hip hop,28,56.0,4953.0
dance pop,dance pop,27,63.34782608695652,771926.3913043478
edm,pop dance,27,42.2,753330.7333333333
dance pop,edm,25,64.33333333333333,1077153.6666666667
melodic rap,pop,25,51.48,810564.52
dance pop,trap,25,59.833333333333336,728128.8333333334
pop,queens hip hop,24,31.40909090909091,320326.95454545453
edm,uk pop,24,52.523809523809526,1396261.5238095238
canadian pop,rap,24,45.666666666666664,656527.0555555555
movie tunes,movie tunes,23,55.57142857142857,580654.7142857143
dance pop,hip hop,23,58.23529411764706,362985.4705882353
emo rap,rap,22,37.421052631578945,453596.05263157893
southern hip hop,trap,22,62.266666666666666,348525.5333333333
electropop,pop,22,48.44444444444444,818273.5555555555
afroswing,uk hip hop,22,41.0,365360.125
miami hip hop,trap,22,64.33333333333333,477396.6111111111
edm,rap,22,53.1578947368421,797141.052631579
hip hop,miami hip hop,21,63.529411764705884,568294.1764705882
afroswing,grime,21,41.0,365360.125
dance pop,r&b,21,54.06666666666667,128186.8
grime,uk hip hop,21,42.42857142857143,90271.85714285714
east coast hip hop,hip hop,21,46.0,66462.4
hardcore hip hop,hardcore hip hop,21,56.0,4953.0
dance pop,hollywood,20,52.27272727272727,590391.2727272727
conscious hip hop,rap,20,60.53846153846154,752607.6923076923
melodic rap,pop rap,20,62.75,954028.875
pop,progressive electro house,20,55.0,1486830.9411764706
atl hip hop,melodic rap,19,47.526315789473685,584061.6842105263
big room,pop,19,61.13333333333333,941995.5333333333
gangster rap,rap,19,38.06666666666667,104197.66666666667
rap,uk pop,19,49.214285714285715,1030105.5
canadian pop,pop,19,40.8,615456.6666666666
chicago rap,rap,19,49.46666666666667,528404.2666666667
hip pop,rap,18,44.333333333333336,255841.26666666666
rap,slap house,18,45.333333333333336,579148.3333333334
gangster rap,hip hop,18,36.285714285714285,103123.21428571429
atl hip hop,pop rap,18,56.07692307692308,637578.6923076923
pop rap,pop rap,18,61.0,386721.0
dance pop,southern hip hop,18,67.08333333333333,510646.0
rap,west coast rap,17,47.214285714285715,471488.5
hollywood,post-teen pop,17,53.42857142857143,1155199.7142857143
dance pop,uk dance,17,61.84615384615385,1121410.4615384615
slap house,trap,17,40.3,206827.2
canadian pop,hip hop,17,43.357142857142854,622605.7857142857
pop dance,pop dance,17,41.53333333333333,689529.8
pop dance,rap,17,52.142857142857146,984198.2857142857
metropopolis,pop,17,57.25,712813.4166666666
post-teen pop,show tunes,16,49.666666666666664,802726.0
contemporary country,pop,16,42.857142857142854,997386.0
pop rap,southern hip hop,16,58.27272727272727,81294.36363636363
edm,trap,16,48.0,492228.5714285714
pop,reggaeton,16,50.3,1239475.3
moombahton,pop,15,22.0,793350.9
hip hop,urban contemporary,15,44.285714285714285,167798.57142857142
rap,urban contemporary,15,44.142857142857146,167826.07142857142
canadian pop,trap,15,51.61538461538461,740147.6923076923
hardcore hip hop,hip hop,15,52.25,201687.25
chicago rap,trap,15,57.30769230769231,584337.0
dance pop,hip pop,15,52.0,421985.375
hip hop,neo soul,15,38.666666666666664,91500.77777777778
pop,uk funky,15,58.07692307692308,1506221.923076923
emo rap,trap,15,41.75,288913.0833333333
pop,urbano latino,15,50.3,1239475.3
dfw rap,trap,14,39.285714285714285,1196684.0714285714
hip hop,hip pop,14,43.785714285714285,225999.14285714287
canadian hip hop,rap,14,41.76923076923077,954617.6923076923
rap,toronto rap,14,41.76923076923077,882768.6153846154
rap,trap soul,14,47.5,572890.4166666666
rap,trap latino,14,56.0,959303.6
hip hop,west coast rap,14,51.54545454545455,140134.0
conscious hip hop,hip hop,14,60.888888888888886,518109.0
neo soul,rap,14,40.9,82849.5
pop,progressive house,14,64.23076923076923,1546010.3846153845
pop,trap latino,14,59.9,1146464.5
miami hip hop,pop rap,14,69.41666666666667,535622.5
electro house,rap,14,53.46153846153846,621913.1538461539
house,pop,14,55.84615384615385,1799963.2307692308
pop,urban contemporary,14,48.54545454545455,27226.18181818182
dfw rap,rap,13,45.0,1020480.75
show tunes,show tunes,13,50.0,750088.7777777778
pop,show tunes,13,49.5,629142.3333333334
movie tunes,pop,13,54.833333333333336,1173246.8333333333
uk pop,uk pop,13,46.84615384615385,672983.0
queens hip hop,rap,13,44.2,144403.6
uk hip hop,uk pop,13,30.0,683627.5454545454
pop dance,trap,13,46.72727272727273,559923.9090909091
dance pop,urban contemporary,13,54.25,23460.375
australian pop,pop,12,35.166666666666664,688243.0
detroit hip hop,pop,12,33.44444444444444,554506.4444444445
canadian hip hop,trap,12,48.09090909090909,558059.0
