Source,Target,Weight,Avg_Popularity,Avg_Streams
hip hop,rap,166,52.916666666666664,107039.04166666667
rap,rap,156,52.08045977011494,129384.35632183908
rap,trap,146,54.6764705882353,136038.7794117647
pop,pop,118,53.673469387755105,261133.72448979592
pop,rap,99,52.516129032258064,194636.4516129032
pop rap,rap,84,54.916666666666664,78384.25
melodic rap,rap,76,51.6875,148969.60416666666
atl hip hop,rap,75,53.25,114191.80555555556
edm,pop,72,55.604166666666664,236728.10416666666
hip hop,trap,70,56.13636363636363,111764.93181818182
pop,pop dance,67,50.97674418604651,182581.06976744186
hip hop,pop,51,48.21052631578947,107548.57894736843
pop,trap,45,51.48571428571429,198089.08571428573
melodic rap,trap,43,53.375,154772.125
pop rap,trap,42,54.357142857142854,66887.67857142857
rap,underground hip hop,42,48.666666666666664,6108.0
hip hop,hip hop,41,53.827586206896555,116846.06896551725
atl hip hop,trap,40,50.09090909090909,65186.72727272727
atl hip hop,hip hop,39,57.32,69878.88
electro house,pop,38,49.166666666666664,155611.08333333334
hip hop,melodic rap,38,54.53333333333333,116616.1
trap,trap,38,52.629629629629626,73319.51851851853
hip hop,pop rap,38,51.67857142857143,83641.03571428571
pop,reggaeton,35,60.89473684210526,226630.47368421053
pop,pop rap,35,50.57142857142857,111512.14285714286
dance pop,pop,34,61.18518518518518,259112.22222222222
pop,urbano latino,33,60.94444444444444,236880.33333333334
pop,trap latino,32,65.11111111111111,245120.11111111112
rap,southern hip hop,32,47.68,109977.4
moombahton,pop,28,36.2,159746.8
rap,slap house,28,51.904761904761905,101000.14285714286
hip hop,underground hip hop,28,48.666666666666664,6108.0
israeli mediterranean,israeli pop,28,12.48,458633.32
reggaeton,urbano latino,28,74.57142857142857,165669.2857142857
reggaeton,trap latino,27,74.57142857142857,165669.2857142857
trap latino,urbano latino,27,74.57142857142857,165669.2857142857
dfw rap,rap,24,38.89473684210526,218813.31578947368
atl hip hop,pop rap,23,49.88235294117647,46441.64705882353
conscious hip hop,rap,23,63.18181818181818,115147.36363636363
atl hip hop,pop,22,49.72222222222222,149136.0
rap,trap latino,21,53.857142857142854,297061.9285714286
north carolina hip hop,rap,21,52.625,104114.375
melodic rap,pop rap,21,57.94444444444444,68083.5
r&b,rap,21,48.44444444444444,48574.333333333336
pop,uk pop,21,63.35,242959.1
israeli pop,israeli rock,20,34.35,114271.4
rap,reggaeton,20,51.69230769230769,301512.23076923075
rap,urbano latino,20,51.69230769230769,301512.23076923075
electropop,pop,20,37.611111111111114,219376.05555555556
atl hip hop,melodic rap,20,48.44444444444444,150437.61111111112
miami hip hop,rap,19,61.90909090909091,120318.18181818182
indie poptimism,pop,18,39.294117647058826,170228.35294117648
gangster rap,rap,18,58.266666666666666,189149.0
melodic rap,pop,18,55.05555555555556,274826.1111111111
israeli pop,israeli pop,18,8.75,576518.0
canadian pop,rap,18,50.285714285714285,186927.57142857142
edm,pop dance,18,64.625,79856.75
atl trap,rap,17,59.81818181818182,181927.45454545456
israeli mediterranean,israeli mediterranean,17,11.941176470588236,350000.64705882355
dfw rap,hip hop,16,41.285714285714285,113832.0
dfw rap,trap,16,48.714285714285715,263341.78571428574
edm,rap,16,52.36363636363637,312121.2727272727
israeli mediterranean,mizrahi,16,6.384615384615385,305570.6153846154
pop,r&b,16,51.714285714285715,155342.7142857143
hip hop,r&b,16,52.2,47869.4
hip hop,southern hip hop,16,47.4375,142003.625
dance pop,edm,16,66.71428571428571,129431.14285714286
slap house,trap,15,60.916666666666664,105925.41666666667
pop,southern hip hop,15,43.81818181818182,42122.36363636364
israeli hip hop,israeli pop,15,15.1,446361.1
dance pop,pop dance,15,65.0,103297.61538461539
australian pop,pop,14,34.714285714285715,169519.92857142858
