Source,Target,Weight,Avg_Popularity,Avg_Streams
italian hip hop,italian pop,246,33.83216783216783,5032717.62937063
italian hip hop,italian hip hop,203,29.442307692307693,4031089.519230769
italian hip hop,trap italiana,136,31.195652173913043,4803528.847826087
italian pop,italian pop,113,35.853658536585364,7170399.902439024
pop,pop,102,50.53012048192771,3405936.578313253
reggaeton,urbano latino,99,57.578947368421055,7830933.47368421
trap latino,urbano latino,85,51.43478260869565,7652586.217391305
hip hop,rap,82,46.41304347826087,1729564.108695652
reggaeton,trap latino,80,50.76190476190476,8542897.285714285
italian adult pop,italian pop,77,37.91111111111111,5484947.888888889
pop,rap,76,45.0377358490566,2724501.6981132077
rap,trap,75,51.425,1812798.4
rap,rap,73,48.583333333333336,1604678.9583333333
italian pop,trap italiana,72,30.19047619047619,7690090.547619048
edm,pop,64,53.022222222222226,4087662.3777777776
pop,pop dance,63,48.54545454545455,3493489.909090909
dance pop,pop,54,56.878787878787875,3288348.1515151514
italian hip hop,rap napoletano,53,35.31707317073171,5269502.585365853
urbano latino,urbano latino,51,56.72222222222222,7877609.944444444
italian pop,rap napoletano,48,33.90625,4135567.84375
reggaeton,reggaeton,48,55.94117647058823,8641818.647058824
hip hop,pop,42,40.27272727272727,1887060.5757575757
pop rap,rap,41,60.714285714285715,2275372.8571428573
italian adult pop,italian hip hop,38,29.35483870967742,5896430.838709678
italian hip hop,rap genovese,37,38.67741935483871,3322519.580645161
atl hip hop,rap,37,47.26086956521739,1558631.8695652173
hip hop,trap,37,59.26315789473684,1431195.894736842
trap latino,trap latino,36,49.86666666666667,9700548.066666666
melodic rap,rap,34,52.95454545454545,1740549.1363636365
pop,trap,34,46.75,2067835.0
italian hip hop,italian underground hip hop,33,32.035714285714285,3451381.4285714286
electro house,pop,32,45.52173913043478,3992328.1304347827
latin pop,reggaeton,32,60.15,3662769.05
latin pop,urbano latino,32,60.15,3662769.05
italian adult pop,italian adult pop,31,40.758620689655174,7784897.482758621
italian pop,trap latino,29,31.3,11679729.75
italian pop,rome indie,29,41.36363636363637,4251918.909090909
indie liguria,italian hip hop,28,39.5,3805861.75
italian hip hop,rome indie,28,40.52173913043478,6900066.695652174
pop,pop rap,28,59.0,4009744.2
italian hip hop,trap latino,27,31.3,11679729.75
edm,pop dance,27,53.36363636363637,2902239.090909091
trap italiana,trap italiana,24,28.0,6945762.681818182
latin pop,trap latino,24,56.6875,3916414.625
rap,trap latino,23,42.46153846153846,10230621.538461538
latin hip hop,reggaeton,23,61.714285714285715,9922285.42857143
latin hip hop,urbano latino,23,61.714285714285715,9922285.42857143
hip hop,pop rap,23,61.166666666666664,1500259.0
hip hop,melodic rap,22,45.833333333333336,2077790.2777777778
melodic rap,trap,22,46.333333333333336,2177912.238095238
pop,uk pop,22,57.2,4338789.466666667
italian pop,italian underground hip hop,21,37.27777777777778,5258356.777777778
pop,reggaeton,21,58.92857142857143,5069590.214285715
emo rap,rap,21,35.111111111111114,2039115.0
miami hip hop,rap,21,68.42857142857143,1902738.357142857
pop,urbano latino,20,58.92857142857143,5069590.214285715
latin hip hop,trap latino,20,61.714285714285715,9922285.42857143
hip hop,hip hop,20,55.61538461538461,964142.5384615385
r&b,rap,19,34.2,1920703.4
dance pop,edm,19,68.0,3727732.066666667
puerto rican pop,urbano latino,19,51.30769230769231,6228559.692307692
atl hip hop,hip hop,19,57.0,1345591.6666666667
pop rap,trap,19,68.4,1905460.9
big room,pop,18,60.53333333333333,4341631.0
dance pop,pop dance,18,56.733333333333334,1978850.9333333333
pop,uk dance,18,60.9375,6847947.625
puerto rican pop,reggaeton,18,47.63636363636363,7190405.181818182
reggaeton colombiano,urbano latino,18,48.888888888888886,8209356.222222222
pop,progressive electro house,18,53.266666666666666,5286024.666666667
atl hip hop,pop,17,39.666666666666664,2527817.6
reggaeton,reggaeton colombiano,17,48.888888888888886,8209356.222222222
trap italiana,trap latino,16,30.866666666666667,11108781.466666667
hip hop,r&b,16,32.27272727272727,1336420.3636363635
rap,southern hip hop,16,51.5,1563235.6
canadian pop,rap,16,38.36363636363637,1010918.8181818182
italian adult pop,rap napoletano,16,23.545454545454547,4277444.7272727275
trap,trap,16,60.833333333333336,1578859.6666666667
atl hip hop,trap,16,56.0,1309629.111111111
pop,trap latino,15,54.9,5837144.9
trap,trap latino,15,35.666666666666664,8395915.333333334
reggaeton colombiano,trap latino,15,52.375,9882941.5
electropop,pop,15,51.72727272727273,1308249.2727272727
dfw rap,trap,14,39.285714285714285,2437127.5714285714
hip pop,pop,14,45.84615384615385,387953.07692307694
pop dance,pop dance,14,51.3,2999848.9
pop,r&b,14,53.81818181818182,2997467.727272727
italian indie pop,italian pop,14,39.142857142857146,2907700.6428571427
italian hip hop,milan indie,14,38.0,10908237.555555556
italian pop,milan indie,14,39.333333333333336,10508549.333333334
brostep,italian hip hop,13,8.875,5227189.875
edm,italian hip hop,13,8.875,5227189.875
dfw rap,rap,13,45.0,1877668.1666666667
pop,queens hip hop,13,44.666666666666664,416877.4166666667
edm,edm,13,58.666666666666664,3541866.111111111
atl hip hop,trap latino,13,35.666666666666664,8395915.333333334
italian hip hop,rap maroc,13,18.0,922255.5
italian adult pop,rome indie,13,38.583333333333336,4759016.583333333
puerto rican pop,trap latino,13,46.25,6565968.0
canadian pop,hip hop,13,40.5,810601.3
latin pop,pop,13,53.8,4400428.7
edm,electro house,13,47.0,4622906.454545454
electro house,pop dance,13,40.27272727272727,4448898.2727272725
rap,urbano latino,13,50.55555555555556,9035042.0
miami hip hop,trap,13,66.9,1871950.1
emo rap,trap,13,38.36363636363637,1389937.3636363635
reggaeton flow,urbano latino,13,76.5,15321981.0
moombahton,pop,12,20.0,1313530.857142857
italian pop,rap,12,35.75,9068245.375
melodic rap,pop rap,12,55.75,2899051.375
italian hip hop,italian indie pop,12,27.90909090909091,3037959.8181818184
pop,pop r&b,12,62.8,1495563.4
dance pop,reggaeton,12,70.25,3559040.625
rap,reggaeton,12,51.0,9949100.0
canadian pop,pop,12,35.666666666666664,1313980.5555555555
reggaeton,reggaeton flow,12,75.33333333333333,12544906.333333334
atl hip hop,melodic rap,11,39.63636363636363,2060516.6363636365
pop,progressive house,11,72.5,5167554.2
italian pop,trap,11,33.714285714285715,9361112.285714285
pop,southern hip hop,11,52.0,1923428.375
melodic rap,pop,11,55.09090909090909,2198087.5454545454
dance pop,rap,11,62.625,2635049.375
dance pop,urbano latino,11,70.25,3559040.625
dutch house,edm,11,42.333333333333336,5432498.0
dutch house,pop dance,11,42.333333333333336,5432498.0
dance pop,dance pop,11,59.54545454545455,3483868.1818181816
chicago rap,rap,11,40.42857142857143,1839082.4285714286
dutch house,pop,11,54.25,5206695.625
edm,progressive electro house,11,55.333333333333336,3272399.777777778
pop dance,progressive electro house,11,55.333333333333336,3272399.777777778
reggaeton flow,trap latino,11,76.5,15321981.0
indie poptimism,pop,10,38.375,1712948.75
australian pop,pop,10,33.3,3410845.3
pop,reggaeton colombiano,10,60.55555555555556,3506109.222222222
dfw rap,hip hop,10,30.6,2961507.1
conscious hip hop,rap,10,51.42857142857143,2281414.8571428573
big room,edm,10,56.0,4273900.857142857
big room,pop dance,10,56.0,4273900.857142857
contemporary country,pop,10,42.0,2670527.777777778
rap napoletano,rome indie,10,38.22222222222222,5477659.444444444
rap latina,reggaeton,10,70.75,5198298.0
rap latina,urbano latino,10,70.75,5198298.0
hip hop,miami hip hop,10,65.66666666666667,1730157.7777777778
pop rap,pop rap,10,69.33333333333333,1155520.0
rap,slap house,10,60.166666666666664,3489168.0
edm,uk pop,10,64.625,5488923.0
australian dance,pop,9,35.333333333333336,3789054.777777778
australian dance,edm,9,29.875,3246563.125
australian pop,edm,9,31.75,3242652.625
australian dance,pop dance,9,29.875,3246563.125
australian pop,pop dance,9,31.75,3242652.625
conscious hip hop,pop,9,39.77777777777778,1956456.111111111
rap genovese,trap italiana,9,34.125,3138977.125
italian hip hop,rap siciliano,9,28.714285714285715,2047324.142857143
italian pop,urbano latino,9,33.875,5598160.125
italian hip hop,rap,9,32.142857142857146,9339040.285714285
rap,trap italiana,9,32.142857142857146,9339040.285714285
italian pop,rap maroc,9,21.6,1096842.0
classic italian pop,italian adult pop,9,30.555555555555557,3489857.888888889
italian pop,rap genovese,9,26.833333333333332,3796140.5
rap napoletano,rap napoletano,9,29.666666666666668,5638567.777777778
atl hip hop,pop rap,9,63.8,2256383.6
slap house,trap,9,57.4,702313.8
emo rap,melodic rap,9,44.0,1579916.375
southern hip hop,trap,9,58.2,264116.0
pop dance,uk pop,9,60.75,5002441.125
dutch edm,pop,8,62.125,4045524.375
dutch edm,pop dance,8,55.833333333333336,4982267.0
pop dance,progressive house,8,42.5,5319760.666666667
atl hip hop,italian pop,8,29.166666666666668,9725850.833333334
italian hip hop,trap,8,29.166666666666668,9725850.833333334
trap,trap italiana,8,29.166666666666668,9725850.833333334
italian indie pop,rome indie,8,47.625,3188827.875
classic italian pop,italian pop,8,30.375,3917509.875
canadian hip hop,rap,8,29.625,4270863.0
rap,toronto rap,8,29.625,2768249.5
dance pop,latin pop,8,68.0,3271510.5
pop,puerto rican pop,8,41.8,9217215.4
pop,uk funky,8,62.142857142857146,9095721.285714285
dance pop,electro house,8,67.25,6549301.625
trap,urbano latino,8,44.8,4776107.2
melodic rap,miami hip hop,8,70.57142857142857,2163059.4285714286
italian underground hip hop,rap napoletano,8,37.0,6388836.625
edm,rap,8,71.66666666666667,6677767.166666667
dance pop,uk pop,8,48.666666666666664,6405365.333333333
atl hip hop,dfw rap,7,35.0,2598727.4285714286
dutch edm,edm,7,55.2,5971563.6
edm,progressive house,7,39.2,6376556.0
italian pop,reggaeton,7,32.0,6151814.714285715
italian hip hop,urbano latino,7,33.285714285714285,6368236.0
atl hip hop,italian hip hop,7,29.166666666666668,9725850.833333334
atl hip hop,trap italiana,7,29.166666666666668,9725850.833333334
italian pop,melodic rap,7,29.166666666666668,9725850.833333334
melodic rap,trap latino,7,29.0,11607883.2
rap,trap soul,7,42.8,2833711.6
latin hip hop,puerto rican pop,7,49.0,5758823.5
pop,swedish pop,7,58.285714285714285,1571502.7142857143
italian adult pop,italian indie pop,7,43.0,2454196.4285714286
rome indie,rome indie,7,44.57142857142857,2034698.2857142857
canadian pop,trap,7,50.833333333333336,1400054.8333333333
emo rap,hip hop,7,49.142857142857146,1349355.142857143
hip pop,rap,7,40.4,308168.6
queens hip hop,rap,7,40.4,308168.6
dance pop,pop rap,7,58.166666666666664,2479973.0
pop,pop edm,7,64.0,2970154.0
indie liguria,italian pop,7,14.5,3231736.75
pop,tropical house,7,50.857142857142854,2126406.5714285714
reggaeton,trap,7,44.25,5539489.5
pop dance,rap,7,70.0,7937240.2
detroit hip hop,pop,7,34.75,2466447.0
hip hop,southern hip hop,7,51.5,43572.5
