Source,Target,Weight,Avg_Popularity,Avg_Streams
pop,pop,41,66.3076923076923,1658776.923076923
pop,rap,24,59.4,1147562.75
dance pop,pop,18,64.2,1483857.6
hip hop,rap,15,75.7,538794.2
rap,rap,14,76.33333333333333,699276.5
j-pop,j-pop,13,17.384615384615383,4033787.923076923
j-rap,j-rap,12,32.75,960938.625
rap,trap,12,76.16666666666667,765336.6666666666
anime rock,j-pop,11,19.4,3814583.6
canadian pop,pop,11,70.11111111111111,1237595.6666666667
k-pop,pop,10,55.3,2953906.2
j-pop,j-rock,9,22.875,4240477.75
canadian pop,rap,9,76.11111111111111,1385395.0
pop,trap,9,66.125,1609682.875
anime rap,anime rap,9,39.111111111111114,75157.44444444444
anime rap,j-division,9,39.111111111111114,75157.44444444444
electropop,pop,8,57.142857142857146,2810018.4285714286
edm,pop,8,69.71428571428571,549648.8571428572
hip hop,pop,8,64.57142857142857,1392491.0
j-pop,japanese punk rock,7,7.714285714285714,451917.28571428574
j-pop,japanese singer-songwriter,7,24.571428571428573,7368616.714285715
melodic rap,pop,7,52.285714285714285,1171040.142857143
j-rap,japanese trap,7,42.4,716641.4
pop,r&b,7,47.333333333333336,246336.16666666666
j-rap,japanese r&b,7,12.5,1029831.25
melodic rap,rap,7,78.5,1152767.0
anime rock,j-rock,6,21.666666666666668,5634746.166666667
art pop,pop,6,75.33333333333333,2043696.1666666667
dance pop,rap,6,62.0,708383.5
pop,uk pop,6,61.2,337942.2
atl hip hop,rap,6,74.8,435234.8
canadian hip hop,rap,6,79.0,493419.8
rap,toronto rap,6,79.0,493419.8
j-rock,japanese punk rock,5,10.8,375358.0
canadian pop,melodic rap,5,72.6,1545040.6
k-pop girl group,pop,5,69.0,2409676.0
pop,pop dance,5,67.0,242383.5
pop,viral pop,5,65.6,1227473.6
j-rap,japanese soul,5,39.333333333333336,1999721.3333333333
melodic rap,trap,5,79.5,1589126.0
pop rap,rap,5,77.33333333333333,545871.6666666666
j-pop,japanese r&b,5,26.0,31933.5
hip hop,hip hop,5,74.8,346466.2
hip hop,trap,5,75.8,698630.6
pop,urban contemporary,5,24.0,116405.0
anime rock,japanese singer-songwriter,4,35.0,9321727.5
