Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,trap,146,64.96969696969697,65586.90909090909
rap,rap,116,66.34615384615384,79617.98717948717
hip hop,rap,106,67.31746031746032,73290.96825396825
melodic rap,rap,90,63.78846153846154,59134.11538461538
pop,pop,73,60.45070422535211,59905.80281690141
atl hip hop,rap,67,66.9,51632.425
melodic rap,trap,59,62.775,50989.9
pop rap,rap,56,66.5,70502.16666666667
hip hop,trap,55,65.825,78553.35
pop,rap,54,57.391304347826086,67233.78260869565
dance pop,pop,47,63.69444444444444,45856.72222222222
trap,trap,43,67.64516129032258,69177.16129032258
atl hip hop,trap,39,65.91666666666667,42500.5
hip hop,melodic rap,35,68.28571428571429,65309.392857142855
pop rap,trap,33,68.3529411764706,60338.58823529412
canadian hip hop,rap,29,72.77777777777777,128002.83333333333
atl hip hop,hip hop,29,69.0909090909091,65603.68181818182
rap,toronto rap,29,72.77777777777777,128002.83333333333
lithuanian pop,lithuanian pop,28,22.416666666666668,85570.25
hip hop,hip hop,26,64.42307692307692,94081.73076923077
hip hop,pop,26,63.95454545454545,47453.954545454544
rap,southern hip hop,25,63.91304347826087,51951.95652173913
atl hip hop,melodic rap,25,64.3157894736842,29663.263157894737
pop,trap,24,65.55,67849.05
edm,pop,24,64.81818181818181,57470.818181818184
pop,pop rap,24,61.36842105263158,27001.63157894737
canadian hip hop,trap,22,70.86666666666666,121887.06666666667
toronto rap,trap,22,70.86666666666666,121887.06666666667
melodic rap,pop rap,22,71.06666666666666,73378.4
pop,pop dance,22,60.666666666666664,26443.277777777777
canadian pop,rap,20,71.44444444444444,129176.88888888889
melodic rap,melodic rap,20,54.3125,48613.8125
hip hop,pop rap,20,62.4,83144.4
pop,uk pop,20,64.10526315789474,37069.78947368421
pop,r&b,20,54.4375,31275.8125
r&b,rap,20,64.46666666666667,60951.53333333333
melodic rap,pop,19,47.5,64899.22222222222
canadian pop,pop,18,67.875,74011.3125
lithuanian hip hop,lithuanian trap,17,31.25,229548.41666666666
lithuanian pop,lithuanian trap,16,32.07692307692308,217019.07692307694
lithuanian trap,lithuanian trap,16,33.6,241440.2
pop,reggaeton,16,67.16666666666667,46060.083333333336
pop,urbano latino,16,67.16666666666667,46060.083333333336
canadian trap,rap,16,70.28571428571429,111083.14285714286
lithuanian hip hop,lithuanian pop,16,26.5,100021.78571428571
canadian hip hop,hip hop,15,72.46153846153847,135899.23076923078
hip hop,toronto rap,15,72.46153846153847,135899.23076923078
pop,trap latino,15,66.63636363636364,42773.454545454544
gangster rap,rap,15,64.0,31657.916666666668
north carolina hip hop,rap,15,68.375,183021.0
pop dance,uk dance,15,75.42857142857143,312214.14285714284
dance pop,rap,14,60.61538461538461,47775.46153846154
atl trap,rap,14,66.18181818181819,65227.90909090909
rap,slap house,14,64.91666666666667,60124.416666666664
detroit hip hop,hip hop,14,58.57142857142857,20420.85714285714
detroit hip hop,rap,13,63.81818181818182,59597.36363636364
k-pop,pop,13,54.07692307692308,19907.69230769231
atl hip hop,canadian hip hop,12,71.18181818181819,119439.63636363637
canadian pop,trap,12,72.2,145662.2
atl hip hop,toronto rap,12,71.18181818181819,119439.63636363637
rage rap,rap,12,65.81818181818181,5617.545454545455
canadian trap,trap,12,70.28571428571429,111083.14285714286
canadian hip hop,pop rap,12,72.33333333333333,137307.22222222222
atl hip hop,canadian pop,11,69.7,118687.4
canadian pop,hip hop,11,72.0909090909091,152846.0909090909
hip hop,rage rap,11,65.81818181818181,5617.545454545455
melodic rap,southern hip hop,11,66.63636363636364,20143.81818181818
melodic rap,slap house,11,59.55555555555556,165883.44444444444
pop rap,toronto rap,11,71.875,145902.25
edm,rap,11,39.888888888888886,42986.333333333336
chicago rap,rap,11,50.4,80823.1
hip hop,r&b,11,60.77777777777778,56459.555555555555
uk dance,uk pop,11,72.5,183106.8
brooklyn drill,rap,11,73.57142857142857,104621.85714285714
dance pop,hip hop,10,58.111111111111114,52673.333333333336
gangster rap,hip hop,10,66.75,17454.0
slap house,trap,10,66.25,39282.375
atl hip hop,atl hip hop,10,68.0,2229.875
reggaeton,trap latino,10,80.0,65290.333333333336
reggaeton,urbano latino,10,80.0,65290.333333333336
trap latino,urbano latino,10,80.0,65290.333333333336
pop,slap house,10,62.125,24086.875
pop dance,uk pop,10,72.0,226068.75
dance pop,dance pop,10,62.375,10617.375
hip hop,southern hip hop,9,59.22222222222222,106265.33333333333
southern hip hop,trap,9,64.77777777777777,14086.111111111111
rage rap,trap,9,63.375,1483.5
dance pop,reggaeton,9,65.42857142857143,59804.142857142855
dance pop,trap latino,9,65.42857142857143,59804.142857142855
dance pop,urbano latino,9,65.42857142857143,59804.142857142855
canadian trap,pop rap,9,70.66666666666667,122549.33333333333
chicago rap,pop,9,37.0,74066.5
lithuanian edm,lithuanian pop,9,11.88888888888889,120987.88888888889
atl trap,hip hop,9,71.28571428571429,86399.71428571429
deep underground hip hop,rap,9,68.0,64540.0
kentucky hip hop,rap,9,68.0,64540.0
pop,tropical house,9,62.888888888888886,35829.444444444445
atl hip hop,pop,9,59.888888888888886,54003.11111111111
k-pop girl group,pop,9,69.57142857142857,29767.0
pop dance,pop dance,9,75.14285714285714,310976.28571428574
north carolina hip hop,trap,9,69.85714285714286,208934.57142857142
pop rap,pop rap,9,67.85714285714286,37284.28571428572
pop rap,r&b,9,65.83333333333333,43338.666666666664
pop,urban contemporary,9,38.833333333333336,21447.0
dance pop,uk pop,9,66.75,74777.75
atl hip hop,rage rap,8,62.857142857142854,1536.7142857142858
electropop,pop,8,53.0,85421.75
rap,uk pop,8,58.5,30406.25
atl hip hop,slap house,8,66.0,30490.428571428572
deep underground hip hop,trap,8,68.0,64540.0
kentucky hip hop,trap,8,68.0,64540.0
cali rap,melodic rap,8,59.285714285714285,85838.28571428571
cali rap,rap,8,65.66666666666667,22060.5
dance pop,pop rap,8,61.285714285714285,7376.142857142857
east coast hip hop,rap,8,59.0,27542.4
pop,uk dance,8,68.75,66659.375
dance pop,trap,7,61.142857142857146,66347.71428571429
detroit hip hop,detroit hip hop,7,61.333333333333336,11264.666666666666
canadian pop,melodic rap,7,70.0,90084.71428571429
pluggnb,rap,7,68.5,9109.0
dance pop,pop dance,7,70.33333333333333,130393.5
pop dance,rap,7,46.0,22771.0
melodic rap,north carolina hip hop,7,66.42857142857143,147445.14285714287
r&b,trap,7,73.4,70788.0
east coast hip hop,hip hop,7,54.75,2277.25
detroit hip hop,east coast hip hop,7,50.5,3363.5
dance pop,r&b,7,54.4,10520.8
electro house,pop,7,72.16666666666667,18733.166666666668
alt z,pop,7,70.42857142857143,44611.857142857145
pop,southern hip hop,7,70.66666666666667,17531.666666666668
russian hip hop,russian pop,7,26.5,11768.0
hip hop,philly rap,6,62.833333333333336,1497.6666666666667
philly rap,rap,6,62.833333333333336,1497.6666666666667
rage rap,southern hip hop,6,61.5,1619.8333333333333
philly rap,trap,6,62.833333333333336,1497.6666666666667
electro house,melodic rap,6,55.4,270707.0
melodic rap,pop dance,6,55.4,270707.0
pop,puerto rican pop,6,61.6,43691.0
canadian hip hop,melodic rap,6,67.33333333333333,92882.0
melodic rap,toronto rap,6,67.33333333333333,92882.0
atl hip hop,pop rap,6,68.16666666666667,86211.5
chicago rap,edm,6,29.6,59942.8
brostep,rap,6,28.4,59977.6
hip hop,uk pop,6,55.666666666666664,35328.666666666664
deep underground hip hop,hip hop,6,68.0,64540.0
hip hop,kentucky hip hop,6,68.0,64540.0
hip hop,pluggnb,6,68.5,9109.0
plugg,rap,6,69.4,10561.4
uk dance,uk dance,6,79.75,518531.75
dance pop,edm,6,71.5,41598.666666666664
cali rap,pop,6,64.4,19666.4
canadian contemporary r&b,pop,6,67.66666666666667,46467.166666666664
uk hip hop,uk hip hop,6,45.0,1071.0
edm,pop rap,6,42.333333333333336,22733.0
pop dance,pop rap,6,42.333333333333336,22733.0
pop dance,scandipop,6,63.5,168406.16666666666
canadian pop,dance pop,6,64.0,74677.33333333333
canadian trap,hip hop,6,70.75,71375.75
new orleans rap,rap,6,73.0,121029.0
pop,reggaeton colombiano,6,72.5,54133.0
pop,trap queen,6,66.33333333333333,116055.66666666667
house,pop,6,72.0,89537.0
edm,pop dance,6,66.0,47402.4
contemporary country,pop,6,53.833333333333336,23270.166666666668
brooklyn drill,trap,6,72.8,118330.6
dfw rap,trap,6,64.33333333333333,45373.833333333336
dfw rap,rap,6,62.4,50803.4
atl trap,trap,6,71.5,74318.16666666667
atl hip hop,philly rap,5,62.0,1575.0
pop dance,slap house,5,56.2,274981.2
dance pop,puerto rican pop,5,61.6,43691.0
pop rap,reggaeton,5,61.8,60951.2
pop rap,trap latino,5,61.8,60951.2
pop rap,urbano latino,5,61.8,60951.2
australian hip hop,chicago rap,5,38.75,14143.75
australian hip hop,rap,5,38.75,14143.75
brostep,chicago rap,5,20.75,74657.75
edm,melodic rap,5,37.0,62833.5
progressive electro house,rap,5,35.5,62877.0
chicago rap,melodic rap,5,26.4,7856.0
chicago rap,trap,5,26.4,14806.6
north carolina hip hop,pop,5,59.6,91716.4
north carolina hip hop,pop rap,5,68.0,81228.0
detroit hip hop,gangster rap,5,61.333333333333336,11264.666666666666
detroit hip hop,hardcore hip hop,5,61.333333333333336,11264.666666666666
pop dance,uk contemporary r&b,5,69.2,231199.4
australian pop,pop,5,37.8,19883.6
art pop,pop,5,76.6,152910.2
hip hop,plugg,5,69.4,10561.4
atl hip hop,southern hip hop,5,62.0,1365.75
pop dance,pop house,5,79.0,375213.5
pop house,uk dance,5,79.0,375213.5
dfw rap,melodic rap,5,53.25,45874.5
pop,viral pop,5,52.8,93819.8
reggaeton,reggaeton,5,80.0,65290.333333333336
trap latino,trap latino,5,80.0,65290.333333333336
urbano latino,urbano latino,5,80.0,65290.333333333336
edm,hip hop,5,38.0,33571.5
hip hop,pop dance,5,38.0,33571.5
edm,scandipop,5,60.4,44106.2
