Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,trap,27,27.09090909090909,7301.363636363636
atl hip hop,rap,24,23.5,7931.2
atl hip hop,trap,22,11.0,9645.5
melodic rap,rap,17,19.0,8691.666666666666
rap,rap,16,32.0,7794.5
melodic rap,trap,16,11.0,9645.5
movie tunes,movie tunes,15,78.0,19438.0
atl hip hop,melodic rap,14,12.571428571428571,10867.42857142857
trap,trap,12,11.0,9645.5
hip hop,rap,11,45.714285714285715,12468.142857142857
atl hip hop,atl hip hop,10,14.666666666666666,12454.666666666666
german hip hop,german hip hop,9,44.857142857142854,2267.714285714286
hip hop,trap,8,39.0,12343.0
gangster rap,rap,8,47.0,16986.2
atl hip hop,hip hop,7,34.2,14611.0
hip hop,melodic rap,7,34.2,14611.0
atl trap,rap,7,30.0,14647.0
rap,southern hip hop,6,37.25,17868.75
atl hip hop,atl trap,6,21.5,18037.0
atl trap,trap,6,21.5,18037.0
german hip hop,hamburg hip hop,6,53.0,2634.75
pop,rap,6,61.833333333333336,29237.166666666668
pop,pop,6,66.0,30144.166666666668
atl hip hop,southern hip hop,5,28.666666666666668,23490.666666666668
melodic rap,southern hip hop,5,28.666666666666668,23490.666666666668
southern hip hop,trap,5,28.666666666666668,23490.666666666668
atl hip hop,gangster rap,5,28.666666666666668,23569.666666666668
gangster rap,trap,5,28.666666666666668,23569.666666666668
gangster rap,hip hop,5,58.75,20909.0
modern salsa,movie tunes,5,78.0,19438.0
movie tunes,salsa colombiana,5,78.0,19438.0
hollywood,movie tunes,5,78.0,19438.0
atl trap,melodic rap,4,21.5,18037.0
melodic rap,melodic rap,4,21.5,18013.25
hip hop,pop,4,57.0,43330.0
canadian pop,rap,4,75.0,1511.25
gangster rap,melodic rap,3,28.666666666666668,23569.666666666668
deep german hip hop,german hip hop,3,52.0,2900.6666666666665
canadian contemporary r&b,rap,3,72.33333333333333,1661.3333333333333
pop urbaine,r&b francais,3,68.5,2890.0
italo dance,slap house,3,82.0,73477.0
edm,pop,3,62.0,116021.66666666667
pop,pop dance,3,62.0,116021.66666666667
atl trap,hip hop,2,43.0,34707.0
atl trap,southern hip hop,2,43.0,34707.0
gangster rap,southern hip hop,2,43.0,34707.0
deep german hip hop,hamburg hip hop,2,51.5,2801.5
hamburg hip hop,hamburg hip hop,2,51.5,2801.5
hip hop,modern rock,2,45.0,84676.0
modern rock,rap,2,45.0,84676.0
modern rock,underground hip hop,2,45.0,84676.0
pop,underground hip hop,2,45.0,84676.0
hip hop,rock,2,45.0,84676.0
rap,rock,2,45.0,84676.0
rock,underground hip hop,2,45.0,84676.0
modern rock,speedrun,2,45.0,84676.0
modern rock,video game music,2,45.0,84676.0
pop,speedrun,2,45.0,84676.0
pop,video game music,2,45.0,84676.0
rock,speedrun,2,45.0,84676.0
rock,video game music,2,45.0,84676.0
hip hop,speedrun,2,45.0,84676.0
hip hop,video game music,2,45.0,84676.0
rap,speedrun,2,45.0,84676.0
rap,video game music,2,45.0,84676.0
speedrun,underground hip hop,2,45.0,84676.0
underground hip hop,video game music,2,45.0,84676.0
canadian contemporary r&b,hip hop,2,69.0,1984.0
canadian pop,hip hop,2,69.0,1984.0
canadian pop,trap,2,76.5,1808.0
pop,trap,2,67.0,1821.0
french hip hop,pop urbaine,2,68.5,2890.0
pop urbaine,rap conscient,2,68.5,2890.0
french hip hop,r&b francais,2,68.5,2890.0
pop,singer-songwriter pop,2,77.5,7120.5
pop,uk pop,2,77.5,7120.5
canadian pop,melodic rap,2,81.0,1038.5
canadian contemporary r&b,pop,2,43.5,32610.5
canadian pop,pop,2,43.5,32610.5
italo dance,melbourne bounce international,2,82.0,73477.0
german cloud rap,german hip hop,2,51.0,2783.0
reggaeton,urbano latino,2,82.0,3205.0
hip hop,hip hop,2,74.5,7111.0
hip hop,pop rap,2,74.5,7111.0
pop rap,rap,2,74.5,7111.0
g funk,gangster rap,2,86.0,13219.0
g funk,hip hop,2,86.0,13219.0
g funk,rap,2,86.0,13219.0
g funk,west coast rap,2,86.0,13219.0
gangster rap,west coast rap,2,86.0,13219.0
hip hop,west coast rap,2,86.0,13219.0
rap,west coast rap,2,86.0,13219.0
french hip hop,french pop,2,66.5,1051.5
french pop,pop urbaine,2,66.5,1051.5
chicago rap,rap,2,31.5,1047.5
chicago rap,trap,2,31.5,1047.5
canadian contemporary r&b,new orleans rap,1,70.0,2555.0
canadian pop,new orleans rap,1,70.0,2555.0
new orleans rap,pop,1,70.0,2555.0
canadian contemporary r&b,pop rap,1,70.0,2555.0
canadian pop,pop rap,1,70.0,2555.0
pop,pop rap,1,70.0,2555.0
canadian contemporary r&b,trap,1,70.0,2555.0
dance pop,glam rock,1,73.0,169430.0
dance pop,mellow gold,1,73.0,169430.0
dance pop,piano rock,1,73.0,169430.0
dance pop,rock,1,73.0,169430.0
glam rock,pop,1,73.0,169430.0
mellow gold,pop,1,73.0,169430.0
piano rock,pop,1,73.0,169430.0
pop,rock,1,73.0,169430.0
glam rock,uk pop,1,73.0,169430.0
mellow gold,uk pop,1,73.0,169430.0
piano rock,uk pop,1,73.0,169430.0
rock,uk pop,1,73.0,169430.0
alternative dance,dance pop,1,73.0,169430.0
aussietronica,dance pop,1,73.0,169430.0
australian dance,dance pop,1,73.0,169430.0
australian electropop,dance pop,1,73.0,169430.0
alternative dance,pop,1,73.0,169430.0
aussietronica,pop,1,73.0,169430.0
australian dance,pop,1,73.0,169430.0
australian electropop,pop,1,73.0,169430.0
alternative dance,uk pop,1,73.0,169430.0
aussietronica,uk pop,1,73.0,169430.0
australian dance,uk pop,1,73.0,169430.0
australian electropop,uk pop,1,73.0,169430.0
alternative dance,glam rock,1,73.0,169430.0
aussietronica,glam rock,1,73.0,169430.0
australian dance,glam rock,1,73.0,169430.0
australian electropop,glam rock,1,73.0,169430.0
alternative dance,mellow gold,1,73.0,169430.0
aussietronica,mellow gold,1,73.0,169430.0
australian dance,mellow gold,1,73.0,169430.0
australian electropop,mellow gold,1,73.0,169430.0
alternative dance,piano rock,1,73.0,169430.0
aussietronica,piano rock,1,73.0,169430.0
australian dance,piano rock,1,73.0,169430.0
australian electropop,piano rock,1,73.0,169430.0
alternative dance,rock,1,73.0,169430.0
aussietronica,rock,1,73.0,169430.0
australian dance,rock,1,73.0,169430.0
australian electropop,rock,1,73.0,169430.0
atl hip hop,hip pop,1,64.0,1087.0
atl hip hop,pop,1,64.0,1087.0
atl hip hop,queens hip hop,1,64.0,1087.0
atl trap,hip pop,1,64.0,1087.0
atl trap,pop,1,64.0,1087.0
atl trap,queens hip hop,1,64.0,1087.0
hip pop,rap,1,64.0,1087.0
queens hip hop,rap,1,64.0,1087.0
hip pop,trap,1,64.0,1087.0
queens hip hop,trap,1,64.0,1087.0
k-pop,permanent wave,1,84.0,96938.0
