Source,Target,Weight,Avg_Popularity,Avg_Streams
pop,rap,111,29.985294117647058,64219.33823529412
pop,pop,85,40.96774193548387,105330.32258064517
hip hop,pop,59,31.955555555555556,59759.688888888886
pop,trap,58,35.06818181818182,75798.25
hip hop,rap,56,44.76,84683.96
rap,trap,52,44.34782608695652,103005.26086956522
rap,rap,51,41.275862068965516,89899.3448275862
edm,pop,44,42.17142857142857,107409.42857142857
pop,pop rap,41,43.2,53733.4
pop,pop dance,41,34.21875,102996.6875
pop rap,rap,39,51.3125,84725.0
atl hip hop,pop,36,30.93103448275862,95528.96551724138
dance pop,pop,35,48.916666666666664,87501.375
latvian pop,latvian pop,33,8.8,1462.8
pop,r&b,30,36.25,58917.6
hip hop,trap,28,52.07142857142857,79377.5
pop,southern hip hop,28,38.142857142857146,47858.71428571428
atl hip hop,rap,26,39.0,115010.92857142857
dance pop,rap,24,55.86666666666667,93708.66666666667
melodic rap,rap,23,40.25,132490.75
melodic rap,pop,22,35.92307692307692,113708.0
pop rap,trap,22,47.38461538461539,76308.46153846153
dance pop,trap,20,60.0,84794.8
latvian pop,latvian rock,20,1.0,1269.0
hip hop,pop rap,20,45.125,41950.875
electro house,pop,19,44.6,64147.6
edm,rap,19,53.785714285714285,65323.71428571428
hip hop,melodic rap,18,40.666666666666664,132605.16666666666
pop,uk dance,16,59.25,86301.91666666667
atl hip hop,hip hop,16,46.42857142857143,59056.42857142857
dance pop,hip hop,16,64.41666666666667,78074.08333333333
electro house,rap,16,52.583333333333336,75320.83333333333
pop,pop r&b,15,46.888888888888886,88266.66666666667
dance pop,edm,15,50.07692307692308,76263.07692307692
edm,trap,15,57.92307692307692,59259.307692307695
r&b,rap,14,31.076923076923077,50547.307692307695
dance pop,pop dance,14,42.333333333333336,64632.833333333336
pop,uk pop,14,47.46153846153846,101069.23076923077
pop dance,uk pop,14,43.666666666666664,64325.833333333336
canadian pop,rap,14,52.5,44540.333333333336
dance pop,pop rap,14,66.9,65656.5
metropopolis,pop,13,39.666666666666664,35888.5
melodic rap,pop rap,13,48.77777777777778,100257.22222222222
art pop,pop,12,28.333333333333332,16444.333333333332
pop,progressive house,12,61.1,88356.1
edm,hip hop,12,63.1,73305.9
electro house,trap,12,57.36363636363637,69062.63636363637
edm,uk pop,12,46.3,73853.4
hip hop,hip hop,12,54.5,34795.875
edm,pop dance,12,38.0,29014.6
melodic rap,trap,11,41.63636363636363,169467.9090909091
trap,trap,11,51.54545454545455,85962.0
dance pop,southern hip hop,11,64.22222222222223,58199.444444444445
electropop,pop,11,39.888888888888886,97263.0
pop rap,pop rap,11,52.2,50008.8
miami hip hop,rap,11,56.714285714285715,63944.71428571428
detroit hip hop,pop,10,27.625,39977.75
atl hip hop,dance pop,10,56.5,104845.375
electro house,hip hop,10,63.0,81315.77777777778
house,rap,10,66.25,74568.75
progressive house,rap,10,66.25,74568.75
rap,uk dance,10,66.25,74568.75
canadian pop,pop,10,16.333333333333332,104268.88888888889
chicago rap,rap,10,49.0,54822.2
canadian pop,hip hop,10,52.5,44540.333333333336
art pop,rap,9,26.0,19369.6
nz pop,pop,9,23.666666666666668,31554.666666666668
dfw rap,pop,9,23.666666666666668,31554.666666666668
hip hop,r&b,9,31.875,29440.125
rap,southern hip hop,9,58.142857142857146,103706.57142857143
edm,southern hip hop,9,53.875,43684.5
house,trap,9,66.25,74568.75
progressive house,trap,9,66.25,74568.75
trap,uk dance,9,66.25,74568.75
atl hip hop,pop rap,9,41.8,73017.8
atl hip hop,trap,9,41.714285714285715,65562.71428571429
edm,pop rap,9,50.166666666666664,43140.0
pop r&b,rap,8,40.2,37060.0
house,pop,8,59.833333333333336,55106.5
hip hop,house,8,66.71428571428571,84280.85714285714
hip hop,progressive house,8,66.71428571428571,84280.85714285714
hip hop,uk dance,8,66.71428571428571,84280.85714285714
dance pop,uk pop,8,41.333333333333336,28386.166666666668
chicago rap,hip hop,8,49.0,54822.2
canadian pop,pop rap,8,46.0,61478.0
rap,toronto rap,8,49.5,28343.0
pop dance,rap,8,31.8,63353.0
rap,urban contemporary,8,46.833333333333336,79022.66666666667
metropopolis,rap,7,32.5,23936.5
atl hip hop,edm,7,64.57142857142857,73075.85714285714
electro house,southern hip hop,7,53.285714285714285,48573.0
hip hop,miami hip hop,7,47.0,50105.2
miami hip hop,trap,7,54.0,53358.4
new orleans rap,rap,7,46.666666666666664,81580.33333333333
canadian pop,trap,7,52.5,66259.0
electro house,pop rap,7,48.6,49875.0
dance pop,r&b,7,53.833333333333336,94068.83333333333
pop dance,pop dance,7,38.0,29014.6
hip hop,urban contemporary,7,46.833333333333336,55177.166666666664
dfw rap,rap,6,26.5,174452.16666666666
nz pop,rap,6,23.666666666666668,31554.666666666668
dance pop,dance pop,6,58.166666666666664,62175.333333333336
dance pop,progressive house,6,54.166666666666664,93762.0
dance pop,uk dance,6,71.6,104826.0
rap,slap house,6,59.0,43041.5
atl hip hop,electro house,6,64.66666666666667,85052.33333333333
pop,tropical house,6,41.8,142817.6
atl hip hop,melodic rap,6,38.666666666666664,193472.83333333334
contemporary country,pop,6,39.0,66117.5
country,pop,6,39.0,66117.5
country road,pop,6,39.0,66117.5
pop,progressive electro house,6,44.2,113971.6
modern alternative rock,pop,6,38.25,50282.75
dance pop,melodic rap,6,42.0,118956.75
