Source,Target,Weight,Avg_Popularity,Avg_Streams
french hip hop,pop urbaine,50,49.73076923076923,21280.115384615383
rap,rap,39,54.48,24923.2
rap,trap,35,52.1,27664.45
hip hop,rap,34,59.90909090909091,18331.81818181818
pop,rap,33,49.76190476190476,24382.0
melodic rap,rap,31,48.31578947368421,20430.36842105263
french hip hop,french hip hop,26,49.73076923076923,21280.115384615383
pop,pop,26,53.3,41937.95
pop urbaine,pop urbaine,24,49.541666666666664,22909.541666666668
french hip hop,r&b francais,22,47.63157894736842,22447.526315789473
french hip hop,rap francais,22,54.23529411764706,14198.882352941177
pop urbaine,r&b francais,21,47.111111111111114,23633.11111111111
pop urbaine,rap francais,21,54.6875,14939.625
rap maroc,trap maroc,19,31.25,36702.333333333336
hip hop,pop,19,49.666666666666664,20734.533333333333
hip hop,melodic rap,17,53.714285714285715,11656.285714285714
atl hip hop,rap,17,49.111111111111114,35645.666666666664
pop,trap,17,44.57142857142857,33398.5
french hip hop,rap maroc,17,33.7,68448.6
rap maroc,rap maroc,16,25.125,33748.8125
reggaeton,trap latino,16,82.0,40449.0
reggaeton,urbano latino,16,82.0,40449.0
trap latino,urbano latino,16,82.0,40449.0
pop rap,rap,15,64.88888888888889,7741.0
melodic rap,trap,14,39.583333333333336,21325.75
hip hop,trap,13,68.1,31129.8
dfw rap,rap,13,39.90909090909091,22459.636363636364
rap,slap house,12,64.11111111111111,16254.555555555555
pop,pop rap,12,51.625,28372.625
french hip hop,trap maroc,12,32.75,43901.125
pop urbaine,rap maroc,12,35.714285714285715,90501.14285714286
pop,reggaeton,11,59.888888888888886,35790.666666666664
pop,trap latino,11,59.888888888888886,35790.666666666664
pop,urbano latino,11,59.888888888888886,35790.666666666664
gangster rap,rap,10,62.285714285714285,67264.85714285714
rap,reggaeton,10,51.5,37106.0
rap,trap latino,10,51.5,37106.0
rap,urbano latino,10,51.5,37106.0
rap,southern hip hop,10,51.714285714285715,30160.571428571428
r&b francais,rap francais,10,53.4,11460.1
atl trap,rap,9,59.166666666666664,51379.0
dfw rap,trap,9,40.111111111111114,26065.333333333332
atl hip hop,hip hop,8,70.2,24229.6
gangster rap,hip hop,8,72.0,47288.0
dfw rap,hip hop,8,43.5,6659.0
french hip hop,rap conscient,8,49.625,19880.0
arabic hip hop,rap maroc,8,17.125,43494.625
reggaeton,reggaeton,8,82.0,40449.0
trap latino,trap latino,8,82.0,40449.0
urbano latino,urbano latino,8,82.0,40449.0
atl trap,hip hop,7,70.2,24229.6
melodic rap,slap house,7,60.333333333333336,19876.166666666668
slap house,trap,7,70.16666666666667,21726.833333333332
trap maroc,trap maroc,7,34.42857142857143,50075.57142857143
melodic rap,pop,7,39.57142857142857,32415.285714285714
pop urbaine,rap conscient,7,48.57142857142857,22561.85714285714
electropop,pop,7,41.57142857142857,16671.428571428572
french hip hop,rap marseille,7,52.714285714285715,11294.285714285714
reggaeton,reggaeton colombiano,7,83.0,53923.5
reggaeton colombiano,trap latino,7,83.0,53923.5
reggaeton colombiano,urbano latino,7,83.0,53923.5
pop urbaine,trap maroc,7,35.0,60046.2
atl hip hop,slap house,6,70.2,24229.6
pop,reggaeton colombiano,6,58.5,45968.166666666664
pop rap,reggaeton,6,50.833333333333336,49948.833333333336
pop rap,trap latino,6,50.833333333333336,49948.833333333336
pop rap,urbano latino,6,50.833333333333336,49948.833333333336
french hip hop,rai,6,21.75,64465.25
pop urbaine,rai,6,21.75,64465.25
