Source,Target,Weight,Avg_Popularity,Avg_Streams
reggaeton,urbano latino,945,59.6,18416332.944827586
trap latino,urbano latino,856,59.906976744186046,18812135.72868217
reggaeton,trap latino,770,59.234375,18718772.25
urbano latino,urbano latino,524,60.268115942028984,18246986.34057971
reggaeton,reggaeton,429,58.56390977443609,18079282.887218047
trap latino,trap latino,350,59.28865979381443,19214521.030927837
latin pop,latin pop,212,56.542857142857144,10377842.485714287
latin pop,mexican pop,171,48.4,12218729.333333334
latin pop,ranchera,164,48.53333333333333,10074178.733333332
latin pop,puerto rican pop,158,55.916666666666664,9049740.666666666
reggaeton colombiano,urbano latino,142,61.08064516129032,21132069.19354839
reggaeton,reggaeton colombiano,139,60.3125,20596591.59375
reggaeton flow,urbano latino,138,58.107142857142854,16530542.535714285
latin hip hop,urbano latino,129,57.125,18461751.541666668
latin hip hop,reggaeton,126,57.125,18461751.541666668
latin pop,reggaeton,124,59.4,16265204.228571428
latin pop,urbano latino,123,60.56164383561644,17933696.97260274
reggaeton,reggaeton flow,120,58.62068965517241,16380217.72413793
reggaeton flow,trap latino,118,57.851851851851855,16135783.333333334
trap argentino,urbano latino,117,55.391304347826086,13428971.086956521
reggaeton colombiano,trap latino,108,60.23529411764706,21090561.94117647
latin hip hop,trap latino,108,57.390243902439025,19964998.073170733
latin pop,musica mexicana,106,51.0,11555325.307692308
trap argentino,trap latino,95,53.95238095238095,12671034.80952381
reggaeton,trap argentino,92,54.59090909090909,13660932.590909092
latin pop,trap latino,82,60.35294117647059,19994838.74509804
panamanian pop,urbano latino,81,54.857142857142854,19111896.14285714
colombian pop,urbano latino,80,62.75,20670892.03125
colombian pop,reggaeton,76,61.90909090909091,18773905.454545453
mexican pop,ranchera,75,45.0,8552174.333333334
latin arena pop,latin pop,74,46.90909090909091,12164117.636363637
latin pop,pop,73,56.13333333333333,6996055.266666667
r&b en espanol,urbano latino,72,59.294117647058826,19249949.23529412
colombian pop,latin pop,70,63.75,16727606.375
panamanian pop,reggaeton,68,54.857142857142854,19111896.14285714
dance pop,latin pop,67,54.666666666666664,5271585.25
