Source,Target,Weight,Avg_Popularity,Avg_Streams
pop,pop,86,56.36585365853659,1146349.7926829269
rap,trap,57,66.95833333333333,815061.25
rap,rap,49,69.59375,836279.40625
hip hop,rap,45,72.75,571310.625
pop,rap,43,60.58974358974359,896178.7692307692
melodic rap,rap,37,64.05,845714.3
malaysian pop,malaysian pop,36,24.11764705882353,625673.3529411765
dance pop,pop,29,65.33333333333333,843489.4166666666
atl hip hop,rap,26,68.25,596534.625
hip hop,trap,23,71.6,625406.4
melodic rap,trap,23,59.2,895915.3333333334
k-pop,pop,20,51.833333333333336,1622264.2222222222
canadian hip hop,rap,19,74.07692307692308,544477.0769230769
rap,toronto rap,19,74.07692307692308,544477.0769230769
pop,trap,19,65.23529411764706,1229813.7647058824
pop rap,rap,19,73.88888888888889,611379.0
canadian pop,rap,17,73.125,1120449.0625
hip hop,pop,17,65.33333333333333,559752.7333333333
melodic rap,pop,17,52.470588235294116,1198019.8235294118
canadian pop,pop,17,65.33333333333333,1602044.8
trap,trap,16,68.8,806327.0
malay rap,malay rap,16,35.22222222222222,1069173.0
edm,pop,16,71.5,1017253.8571428572
malaysian hip hop,malaysian pop,16,16.25,136881.25
atl hip hop,hip hop,15,72.18181818181819,354796.0909090909
electropop,pop,15,65.0,2005938.7692307692
canadian hip hop,trap,13,72.55555555555556,633212.7777777778
toronto rap,trap,13,72.55555555555556,633212.7777777778
hip hop,melodic rap,13,70.22222222222223,703090.4444444445
pop,uk pop,13,68.08333333333333,844655.25
pop rap,trap,13,72.6,617027.4
k-pop girl group,pop,13,68.4,1207651.6
malaysian pop,singaporean hip hop,13,25.5,239953.75
hip hop,hip hop,12,71.75,518988.3333333333
atl trap,rap,12,64.44444444444444,614535.6666666666
pop,r&b,12,59.666666666666664,326894.3333333333
malaysian hip hop,singaporean hip hop,11,12.333333333333334,63169.333333333336
pop,pop rap,11,64.33333333333333,490984.3333333333
australian pop,pop,10,32.0,566228.9
pop,viral pop,10,35.0,1142570.9
canadian hip hop,hip hop,10,74.55555555555556,556804.5555555555
hip hop,toronto rap,10,74.55555555555556,556804.5555555555
atl hip hop,trap,10,66.66666666666667,512348.5
gangster rap,rap,10,62.25,505318.25
pop,reggaeton,10,66.5,518225.875
pop,urbano latino,10,66.5,518225.875
alt z,pop,10,63.3,1118795.7
pop,pop dance,10,69.125,533172.625
reggaeton,trap latino,10,80.0,142187.33333333334
reggaeton,urbano latino,10,80.0,142187.33333333334
trap latino,urbano latino,10,80.0,142187.33333333334
pop dance,uk dance,10,80.0,772865.0
atl hip hop,canadian hip hop,9,71.875,502336.0
canadian pop,hip hop,9,73.44444444444444,773001.5555555555
atl hip hop,toronto rap,9,71.875,502336.0
melodic rap,melodic rap,9,53.666666666666664,937369.6666666666
canadian trap,rap,9,69.25,636953.0
dance pop,rap,9,66.44444444444444,676455.1111111111
rap,slap house,9,67.85714285714286,266031.0
pop,trap latino,9,65.57142857142857,502643.85714285716
r&b,rap,9,75.14285714285714,433701.4285714286
atl hip hop,canadian pop,8,75.0,1566263.4285714286
canadian pop,trap,8,75.28571428571429,1713212.857142857
melodic rap,slap house,8,69.0,633640.2857142857
atl trap,hip hop,8,69.16666666666667,288822.8333333333
melodic rap,pop rap,8,72.6,617027.4
malaysian hip hop,malaysian hip hop,8,27.333333333333332,631662.6666666666
k-pop girl group,speedrun,7,70.0,358387.5
k-pop girl group,video game music,7,70.0,358387.5
atl hip hop,melodic rap,7,57.714285714285715,629535.7142857143
canadian trap,trap,7,69.25,636953.0
rap,uk pop,7,64.14285714285714,256128.0
gangster rap,hip hop,7,66.6,48932.4
slap house,trap,7,67.6,123132.8
atl hip hop,pop,7,62.42857142857143,1837346.2857142857
chicago rap,pop,7,43.57142857142857,688866.5714285715
canadian hip hop,pop rap,7,72.66666666666667,611239.6666666666
dance pop,k-pop,7,61.42857142857143,675919.0
k-pop boy group,pop,7,28.0,1839081.5714285714
indie poptimism,pop,7,66.33333333333333,2294318.8333333335
hip hop,pop rap,7,76.8,604772.8
north carolina hip hop,rap,7,73.75,1398041.75
la pop,pop,6,11.666666666666666,700899.8333333334
rap,southern hip hop,6,73.2,506637.0
dance pop,hip hop,6,64.83333333333333,822311.3333333334
dance pop,trap,6,64.83333333333333,822311.3333333334
atl hip hop,slap house,6,67.6,123132.8
dance pop,reggaeton,6,66.5,131850.25
dance pop,trap latino,6,66.5,131850.25
dance pop,urbano latino,6,66.5,131850.25
canadian pop,melodic rap,6,71.0,1905359.5
pop rap,toronto rap,6,72.0,730346.6
pop,post-teen pop,6,69.5,1522938.1666666667
canadian contemporary r&b,pop,6,57.333333333333336,991104.3333333334
etherpop,pop,6,63.4,2746301.0
indietronica,pop,6,67.16666666666667,310025.0
hip hop,r&b,6,75.4,149613.8
electro house,pop,6,68.2,871628.0
pop dance,pop dance,6,76.0,603926.25
contemporary country,pop,6,60.0,786153.1666666666
pop dance,uk pop,6,75.4,1136863.0
nz pop,pop,5,64.33333333333333,2028891.0
art pop,pop,5,76.6,1964151.2
pop,tropical house,5,66.0,426913.6
pop,speedrun,5,70.0,358387.5
pop,video game music,5,70.0,358387.5
canadian pop,pop rap,5,67.6,770558.4
reggaeton,reggaeton,5,80.0,142187.33333333334
trap latino,trap latino,5,80.0,142187.33333333334
urbano latino,urbano latino,5,80.0,142187.33333333334
north carolina hip hop,trap,5,73.75,1398041.75
canadian pop,dance pop,5,67.2,1356889.6
pop,reggaeton colombiano,5,74.2,461123.8
k-pop,k-pop,5,53.6,904293.4
pop,singer-songwriter pop,5,74.75,2385854.75
uk dance,uk dance,5,80.0,772865.0
country,pop,5,64.0,942057.4
malaysian pop,rock kapak,5,36.0,156446.5
classic malaysian pop,rock kapak,5,35.0,123692.5
alt z,k-pop girl group,5,72.33333333333333,475724.3333333333
pop,urban contemporary,5,41.666666666666664,79598.66666666667
k-pop,k-rap,5,42.333333333333336,160298.0
electro house,melodic rap,4,69.5,1055092.5
melodic rap,pop dance,4,69.5,1055092.5
electropop,uk pop,4,54.25,1394414.25
canadian hip hop,melodic rap,4,66.0,475296.5
melodic rap,toronto rap,4,66.0,475296.5
hip hop,uk pop,4,57.5,329914.0
dance pop,north carolina hip hop,4,60.0,924757.75
north carolina hip hop,pop,4,60.0,924757.75
trap,uk pop,4,57.25,341891.5
atl trap,slap house,4,67.5,140836.5
modern rock,pop,4,72.75,751477.0
canadian trap,pop rap,4,69.66666666666667,831831.3333333334
alt z,electropop,4,52.0,1297540.25
australian dance,pop,4,60.5,590085.75
edm,rap,4,52.75,294509.25
malay rap,malaysian hip hop,4,42.666666666666664,741861.6666666666
pop,trap queen,4,71.75,1125852.75
pop,pop r&b,4,83.33333333333333,3068088.0
indietronica,rap,4,70.33333333333333,133547.66666666666
chicago rap,rap,4,56.5,742413.5
metropopolis,pop,4,70.75,461141.0
r&b,trap,4,76.0,675052.0
pop,southern hip hop,4,73.0,437051.6666666667
dance pop,r&b,4,57.0,80153.66666666667
country road,pop,4,61.25,1172979.75
brooklyn drill,rap,4,81.0,752431.0
classic malaysian pop,malay rap,4,38.0,256428.5
malay rap,malaysian pop,4,39.5,530256.5
k-pop,korean r&b,4,41.333333333333336,134639.0
pop dance,pop house,4,79.0,705575.0
pop house,uk dance,4,79.0,705575.0
