Source,Target,Weight,Avg_Popularity,Avg_Streams
reggaeton,urbano latino,518,75.25301204819277,117416.69879518072
trap latino,urbano latino,501,74.52380952380952,118442.69047619047
reggaeton,trap latino,443,75.23684210526316,118308.81578947368
urbano latino,urbano latino,294,74.4367816091954,115231.41379310345
reggaeton,reggaeton,235,74.6268656716418,118392.62686567164
trap latino,trap latino,215,74.12676056338029,120681.69014084506
reggaeton flow,urbano latino,127,74.15,83494.2
reggaeton,reggaeton flow,117,74.15,83494.2
reggaeton flow,trap latino,110,74.55555555555556,89273.77777777778
reggaeton colombiano,urbano latino,78,72.34615384615384,98566.88461538461
reggaeton,reggaeton colombiano,60,71.78260869565217,98560.13043478261
reggaeton colombiano,trap latino,59,71.72727272727273,104087.5
latin hip hop,urbano latino,58,76.68181818181819,104149.09090909091
latin hip hop,reggaeton,54,77.0,99685.65217391304
trap argentino,urbano latino,51,69.0,83889.46666666666
latin hip hop,trap latino,47,76.63157894736842,119708.63157894737
trap argentino,trap latino,43,69.0,83889.46666666666
puerto rican pop,urbano latino,34,75.64285714285714,111775.78571428571
reggaeton,trap argentino,33,72.4,88348.1
puerto rican pop,reggaeton,29,75.27272727272727,90365.81818181818
puerto rican pop,trap latino,28,75.27272727272727,116038.27272727272
panamanian pop,urbano latino,25,72.55555555555556,133607.77777777778
panamanian pop,trap latino,24,72.55555555555556,133607.77777777778
panamanian pop,reggaeton,22,72.55555555555556,133607.77777777778
r&b en espanol,urbano latino,20,76.0,87347.5
latin pop,urbano latino,19,76.6923076923077,124105.46153846153
reggaeton flow,reggaeton flow,17,73.72727272727273,89028.36363636363
r&b en espanol,trap latino,17,76.0,87347.5
r&b en espanol,reggaeton,17,75.2,93049.0
latin pop,reggaeton,16,76.33333333333333,133690.58333333334
latin pop,trap latino,15,78.1,153742.4
reggaeton flow,trap argentino,14,70.33333333333333,77762.66666666667
argentine hip hop,trap latino,14,67.0,73986.5
argentine hip hop,urbano latino,14,67.0,73986.5
musica mexicana,nueva musica mexicana,13,75.71428571428571,83385.71428571429
reggaeton colombiano,reggaeton colombiano,13,70.25,56925.75
latin hip hop,reggaeton flow,12,76.16666666666667,116487.83333333333
reggaeton colombiano,reggaeton flow,11,70.0,46738.166666666664
latin hip hop,reggaeton colombiano,10,70.5,57502.5
trap boricua,trap latino,10,76.71428571428571,95104.57142857143
trap boricua,urbano latino,10,76.71428571428571,95104.57142857143
musica mexicana,norteno,9,76.16666666666667,85014.66666666667
norteno,nueva musica mexicana,9,76.16666666666667,85014.66666666667
argentine hip hop,trap argentino,9,63.833333333333336,85086.16666666667
pop,rap,9,62.77777777777778,37507.444444444445
pop,reggaeton,9,75.5,119771.5
pop,trap latino,9,75.5,119771.5
pop,urbano latino,9,75.5,119771.5
r&b en espanol,reggaeton flow,8,72.66666666666667,76740.0
puerto rican pop,reggaeton flow,8,78.8,145515.4
musica mexicana,sierreno,8,76.0,75745.0
nueva musica mexicana,sierreno,8,76.0,75745.0
colombian pop,urbano latino,8,74.28571428571429,42347.57142857143
trap argentino,trap argentino,8,63.833333333333336,85086.16666666667
trap latino,trap triste,8,77.57142857142857,87774.85714285714
trap triste,urbano latino,8,77.57142857142857,87774.85714285714
reggaeton,trap boricua,8,75.2,106645.2
rap latina,urbano latino,8,75.4,101365.2
musica mexicana,musica mexicana,7,75.71428571428571,83385.71428571429
colombian pop,reggaeton,7,73.16666666666667,47891.5
pop,pop,7,81.57142857142857,46110.28571428572
rap latina,reggaeton,7,75.5,123458.75
rap latina,trap latino,7,75.5,123458.75
panamanian pop,reggaeton flow,6,66.66666666666667,103478.33333333333
rap,reggaeton,6,46.75,108642.75
rap,trap latino,6,46.75,108642.75
rap,urbano latino,6,46.75,108642.75
banda,musica mexicana,6,76.16666666666667,85014.66666666667
banda,nueva musica mexicana,6,76.16666666666667,85014.66666666667
nueva musica mexicana,nueva musica mexicana,6,75.5,75389.5
corrido,musica mexicana,6,76.0,75745.0
corrido,nueva musica mexicana,6,76.0,75745.0
norteno,sierreno,6,77.5,94373.75
colombian pop,trap latino,6,75.8,46695.4
puerto rican pop,reggaeton colombiano,6,72.5,46608.25
dembow,reggaeton,6,71.4,51820.2
dembow,urbano latino,6,71.4,51820.2
argentine hip hop,reggaeton,6,75.0,72343.66666666667
latin pop,latin pop,6,66.25,37896.5
latin pop,mexican rock-and-roll,6,39.0,2055.0
pop reggaeton,reggaeton,5,76.5,223818.5
pop reggaeton,trap latino,5,76.5,223818.5
