Source,Target,Weight,Avg_Popularity,Avg_Streams
dutch hip hop,dutch rap pop,899,25.13803680981595,2431447.472392638
dutch hip hop,dutch hip hop,781,24.630922693266832,2067895.6658354115
dutch rap pop,dutch rap pop,323,25.645502645502646,2615300.126984127
rap,trap,146,49.392405063291136,1460029.6329113925
hip hop,rap,140,50.03947368421053,1530647.3289473683
pop,pop,125,50.51851851851852,3949974.8518518517
rap,rap,116,47.975903614457835,1363746.9759036144
pop,rap,106,46.857142857142854,2330938.324675325
dutch hip hop,dutch pop,97,24.8125,2023077.75
edm,pop,81,53.9344262295082,4730990.016393443
pop,pop dance,81,49.77049180327869,3722773.606557377
pop rap,rap,72,55.175,1944025.1
hip hop,trap,72,57.775,1559151.5
dance pop,pop,69,55.04347826086956,3782672.086956522
hip hop,pop,62,46.833333333333336,1757766.1458333333
melodic rap,rap,60,46.829268292682926,1360439.8292682928
atl hip hop,rap,59,48.675,1421870.8
dutch pop,dutch rap pop,57,24.511627906976745,2465145.697674419
pop,trap,56,49.733333333333334,2004627.888888889
reggaeton,urbano latino,55,56.5,5552881.125
melodic rap,trap,52,43.205128205128204,1655851.282051282
antilliaanse rap,dutch hip hop,48,22.8125,1181444.40625
dutch hip hop,dutch trap,47,18.0,373734.9666666667
reggaeton,trap latino,47,54.42857142857143,6022931.428571428
edm,pop dance,46,49.76190476190476,3733444.6666666665
rap,southern hip hop,45,52.53333333333333,1093241.5333333334
hip hop,pop rap,45,55.666666666666664,1379071.619047619
trap latino,urbano latino,45,51.333333333333336,6440046.333333333
dutch hip hop,nederreggae,44,27.0,2063629.3870967743
hip hop,hip hop,43,52.892857142857146,864046.1071428572
trap,trap,42,47.794117647058826,1149865.5
pop,pop rap,41,61.516129032258064,2650050.806451613
electro house,pop,40,47.6875,4096061.03125
pop rap,trap,39,56.78260869565217,1635606.1304347827
pop,uk pop,38,53.535714285714285,3791834.964285714
dutch pop,dutch rock,38,41.5,46610.0
dutch hip hop,rap belge,34,21.333333333333332,1758899.5714285714
atl hip hop,hip hop,34,56.04347826086956,1535113.8695652173
dutch pop,dutch pop,32,40.2,2929514.6
hip hop,melodic rap,31,52.7037037037037,2094840.3703703703
r&b,rap,31,34.4,1432853.88
emo rap,rap,29,29.142857142857142,1366587.0476190476
pop,uk dance,29,55.375,6105736.958333333
reggaeton,reggaeton,29,56.5,5552881.125
dance pop,edm,28,60.30434782608695,4776918.9130434785
dutch rap pop,nederreggae,28,28.0,2408584.9545454546
hip hop,southern hip hop,28,53.23076923076923,503258.53846153844
basshall,dutch hip hop,28,26.444444444444443,1513180.3333333333
dutch hip hop,ritmo kombina,27,10.3,896491.4
dance pop,pop dance,27,56.04347826086956,3269110.6086956523
atl hip hop,pop,27,47.869565217391305,2321233.3913043477
atl hip hop,trap,27,52.45,1403925.65
electro house,pop dance,27,44.333333333333336,2989052.1904761903
edm,electro house,26,44.95,3508843.45
urbano latino,urbano latino,26,54.142857142857146,5843258.142857143
miami hip hop,rap,26,66.88888888888889,1678114.8333333333
dutch hip hop,maluku pop,25,20.866666666666667,629831.7333333333
hip hop,r&b,25,35.666666666666664,1150374.0
dutch hip hop,moombahton,25,19.46153846153846,450162.3846153846
dance pop,rap,25,57.6875,3389353.5625
pop dance,pop dance,24,48.55,3422814.35
pop,r&b,24,45.578947368421055,3379792.4736842103
dutch hip hop,dutch house,24,36.1,4823587.3
big room,pop,23,57.611111111111114,5322196.722222222
southern hip hop,trap,23,52.4375,759292.75
canadian pop,rap,23,45.1764705882353,1684364.705882353
dutch house,edm,23,42.529411764705884,3535722.2352941176
dutch house,pop dance,23,42.529411764705884,3535722.2352941176
edm,progressive electro house,23,49.11764705882353,3211144.9411764704
pop,progressive electro house,23,51.94736842105263,5326848.157894737
pop dance,progressive electro house,23,49.11764705882353,3211144.9411764704
emo rap,trap,22,26.8,863344.0666666667
edm,edm,22,48.888888888888886,4055923.111111111
antilliaanse rap,dutch rap pop,22,31.0,1629723.0714285714
pop,southern hip hop,22,58.23529411764706,1573416.1176470588
big room,edm,21,45.642857142857146,4494136.571428572
big room,pop dance,21,45.642857142857146,4494136.571428572
pop,reggaeton,21,54.57142857142857,3751762.4285714286
christmas product,muziek voor kinderen,20,3.9,89137.85
pop,urbano latino,20,54.57142857142857,3751762.4285714286
trap latino,trap latino,20,57.25,9649935.5
basshall,dutch rap pop,20,21.785714285714285,982278.2142857143
melodic rap,pop,19,51.05555555555556,2669896.5555555555
dutch hip hop,progressive electro house,19,39.857142857142854,6361323.714285715
atl hip hop,melodic rap,18,43.111111111111114,1637369.0
melodic rap,pop rap,18,50.92857142857143,2594237.714285714
canadian pop,hip hop,18,45.46666666666667,1477147.6666666667
pop dance,uk pop,18,55.06666666666667,3993811.2
edm,rap,18,51.666666666666664,3699999.466666667
gangster rap,rap,17,40.166666666666664,230038.66666666666
edm,uk pop,17,64.76923076923077,6741487.615384615
dance pop,trap,17,57.0,2606449.75
dutch hip hop,electro house,17,40.166666666666664,6462658.5
hip pop,pop,16,42.333333333333336,1368548.7333333334
emo rap,melodic rap,16,30.76923076923077,793655.9230769231
conscious hip hop,rap,16,57.6,1739195.0
rap,toronto rap,16,36.2,2433868.8666666667
pop rap,pop rap,16,58.5,872853.0833333334
electropop,pop,16,50.57142857142857,2275752.0
dutch house,pop,16,52.25,3163575.5
canadian pop,pop,16,41.61538461538461,2437889.5384615385
miami hip hop,trap,16,65.53846153846153,1678771.6923076923
dutch house,dutch rap pop,16,36.875,5825131.875
dutch rock,dutch rock,16,41.5,46610.0
pop,queens hip hop,15,41.07142857142857,1458637.7142857143
latin pop,reggaeton,15,44.81818181818182,723675.3636363636
puerto rican pop,reggaeton,15,36.625,1064850.375
latin pop,urbano latino,15,44.81818181818182,723675.3636363636
pop,progressive house,15,63.214285714285715,6761164.857142857
dutch rap pop,dutch trap,15,19.307692307692307,245246.53846153847
canadian hip hop,rap,15,38.785714285714285,3030797.6428571427
dutch rap pop,maluku pop,15,21.88888888888889,989921.0
atl hip hop,pop rap,15,57.7,2399489.1
pop rap,southern hip hop,15,54.333333333333336,194852.0
pop dance,rap,15,47.583333333333336,4468809.583333333
puerto rican pop,urbano latino,14,36.625,1064850.375
pop dance,progressive house,14,39.36363636363637,3104829.5454545454
dfw rap,trap,14,39.285714285714285,2868418.9285714286
canadian pop,trap,14,50.916666666666664,1879074.0
pop,trap latino,14,57.8,3694662.4
gangster rap,hip hop,14,46.55555555555556,271072.77777777775
pop,pop r&b,14,61.916666666666664,5343869.75
dance pop,dance pop,14,63.07142857142857,4739553.142857143
latin hip hop,reggaeton,14,49.333333333333336,8774217.666666666
latin hip hop,urbano latino,14,49.333333333333336,8774217.666666666
latin pop,pop,14,47.90909090909091,3161052.8181818184
dutch hip hop,turkce drill,14,28.75,2357916.75
dutch hip hop,turkish trap,14,28.75,2357916.75
dance pop,pop rap,14,68.54545454545455,1861643.9090909092
chicago rap,rap,14,48.1,1720437.4
hip hop,miami hip hop,14,64.5,1943533.6666666667
rap,slap house,14,53.8,2733894.2
edm,progressive house,13,37.4,3129668.1
dutch edm,pop dance,13,47.9,6242425.9
dfw rap,rap,13,45.0,2260908.0
dutch rap pop,moombahton,13,20.2,538312.9
moombahton,pop,13,33.4,2166884.0
canadian hip hop,trap,13,39.083333333333336,1289320.6666666667
toronto rap,trap,13,39.083333333333336,1289320.6666666667
dutch hip hop,j-rap,13,26.142857142857142,2940932.8571428573
dutch rap pop,j-rap,13,26.142857142857142,2940932.8571428573
big room,dutch house,13,50.27272727272727,4669496.909090909
big room,electro house,13,50.27272727272727,4669496.909090909
big room,progressive electro house,13,50.27272727272727,4669496.909090909
latin hip hop,trap latino,13,49.333333333333336,8774217.666666666
dutch rap pop,rap belge,13,22.583333333333332,2293549.3333333335
dance pop,uk pop,13,61.125,8539564.0
pop,uk funky,13,55.72727272727273,5332626.818181818
rap,trap latino,13,54.8,4089101.3
dutch hip hop,edm,13,46.5,9272123.75
dutch hip hop,pop dance,13,46.5,9272123.75
dutch edm,edm,12,46.666666666666664,6618646.111111111
alt z,pop,12,30.5,1741793.7
melodic rap,southern hip hop,12,47.333333333333336,2110649.3333333335
rap,uk pop,12,52.6,2395947.7
edm,trap,12,46.63636363636363,964606.6363636364
slap house,trap,12,49.625,863821.875
dance pop,hip hop,12,67.75,956777.25
melodic rap,melodic rap,11,34.0,781524.2727272727
latin pop,trap latino,11,39.0,615079.3333333334
puerto rican pop,trap latino,11,35.666666666666664,1413044.5
atl trap,rap,11,39.888888888888886,441250.44444444444
dutch rap pop,ritmo kombina,11,15.666666666666666,1622259.3333333333
gangster rap,trap,11,39.333333333333336,115924.88888888889
contemporary country,pop,11,45.3,5870784.6
dance pop,electro house,11,63.27272727272727,6025095.7272727275
uk dance,uk pop,11,56.111111111111114,8822220.111111112
dutch drill,dutch hip hop,11,25.875,223962.625
pop,post-teen pop,11,60.5,4652311.5
r&b,trap,11,35.0,527744.1428571428
desi pop,dutch hip hop,11,24.857142857142858,1261794.4285714286
conscious hip hop,hip hop,11,58.0,1327305.2857142857
metropopolis,pop,11,55.0,2204079.222222222
dutch rap pop,electro house,11,43.0,7448612.8
dutch edm,pop,10,55.3,5976252.0
dfw rap,hip hop,10,30.6,3281856.4
conscious hip hop,pop,10,42.5,2234067.9
australian pop,pop,10,39.6,3201213.7
atl hip hop,canadian pop,10,53.888888888888886,1243101.0
rap,trap soul,10,43.5,2341997.25
pop,swedish pop,10,52.3,3926088.6
dutch rap pop,turkce drill,10,32.857142857142854,2514450.285714286
dutch rap pop,turkish trap,10,32.857142857142854,2514450.285714286
dance pop,reggaeton,10,68.0,3170190.5
