Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,trap,220,49.549549549549546,806754.9639639639
hip hop,rap,179,47.86666666666667,888865.8666666667
rap,rap,160,48.70796460176991,817409.2654867256
pop,pop,144,49.31496062992126,1895046.3700787402
pop,rap,137,44.3235294117647,1068179.6274509805
pop,pop dance,113,44.86363636363637,1627413.5568181819
hip hop,trap,104,53.89473684210526,780274.052631579
edm,pop,102,48.6025641025641,1884652.3461538462
melodic rap,rap,94,48.01639344262295,748493.0655737704
pop rap,rap,91,55.175438596491226,1035411.3684210526
dance pop,pop,90,53.095238095238095,1378051.126984127
atl hip hop,rap,85,49.111111111111114,798417.1111111111
hip hop,pop,84,43.93846153846154,1078892.6
melodic rap,trap,82,46.82142857142857,961222.7678571428
pop,trap,79,44.046875,950967.484375
trap,trap,73,51.905660377358494,580832.5094339623
pop rap,trap,59,58.111111111111114,772917.5555555555
pop,pop rap,58,53.13636363636363,1480314.7727272727
rap,southern hip hop,57,53.51219512195122,635454.7073170731
pop,uk pop,55,47.25,1212479.3181818181
electro house,pop,54,40.666666666666664,1553269.7142857143
hip hop,pop rap,54,54.86206896551724,779082.5862068966
hip hop,hip hop,53,50.8421052631579,537047.1578947369
east coast hip hop,hardcore hip hop,50,56.0,14176.0
hip hop,melodic rap,48,47.625,1107373.7
edm,pop dance,47,45.958333333333336,1595053.7083333333
atl hip hop,hip hop,47,54.172413793103445,838590.6551724138
norwegian hip hop,norwegian pop rap,45,17.473684210526315,1067914.894736842
norwegian pop,norwegian pop rap,44,19.36842105263158,1221846.3684210526
atl hip hop,trap,44,53.62068965517241,717189.5172413794
r&b,rap,43,38.411764705882355,863238.3529411765
pop,uk dance,43,56.270270270270274,2236364.189189189
norwegian hip hop,norwegian pop,38,17.0,992931.375
atl hip hop,pop,37,42.666666666666664,1051232.4545454546
hip hop,r&b,37,37.6,694993.24
dance pop,rap,37,51.0,855303.2222222222
southern hip hop,trap,36,56.15384615384615,381085.73076923075
miami hip hop,rap,35,63.46153846153846,950712.4230769231
hip hop,southern hip hop,35,52.31578947368421,250885.31578947368
dance pop,pop dance,34,47.67857142857143,1263989.642857143
pop dance,uk pop,34,44.13333333333333,1223072.3
pop,southern hip hop,32,54.083333333333336,907937.9166666666
dance pop,edm,31,56.333333333333336,1876766.8333333333
norwegian pop,norwegian pop,30,12.090909090909092,810054.3181818182
pop,r&b,30,47.38461538461539,1805458.7692307692
dance pop,trap,30,49.095238095238095,696958.9523809524
edm,uk pop,29,48.88,1391210.72
edm,rap,28,46.04,1001906.44
east coast hip hop,east coast hip hop,28,56.0,14176.0
pop dance,pop dance,27,45.73913043478261,1614659.4347826086
norwegian pop rap,norwegian pop rap,27,16.894736842105264,1190436.9473684211
atl hip hop,melodic rap,26,46.26923076923077,946264.3846153846
emo rap,rap,26,38.5,966138.0909090909
melodic rap,pop,26,47.26923076923077,1087765.0384615385
pop dance,rap,26,45.68181818181818,1109776.5909090908
electropop,pop,26,47.7,1753799.1
dance pop,pop rap,26,55.63157894736842,953119.947368421
melodic rap,pop rap,25,58.476190476190474,1346140.7142857143
big room,pop,24,55.78947368421053,2565372.8947368423
pop,progressive electro house,24,52.526315789473685,2755034.5263157897
electro house,pop dance,24,42.8421052631579,1587358.894736842
dance pop,uk pop,24,47.526315789473685,1365757.7368421052
east coast hip hop,hip hop,24,47.57142857142857,182791.2857142857
hollywood,movie tunes,23,60.77777777777778,398690.77777777775
canadian pop,rap,23,49.125,1254021.6875
pop,reggaeton,23,49.733333333333334,1900825.2
edm,electro house,23,45.72222222222222,1686416.6666666667
dance pop,hip hop,23,53.5,384837.6875
r&b,trap,23,43.8,239817.46666666667
miami hip hop,trap,23,61.1578947368421,978835.7894736842
rap,slap house,22,40.86666666666667,1123153.4666666666
slap house,trap,22,36.30769230769231,577801.9230769231
atl hip hop,pop rap,22,56.1875,1039393.125
pop rap,southern hip hop,22,53.2,179539.06666666668
pop,urbano latino,22,49.733333333333334,1900825.2
edm,edm,21,46.411764705882355,1975053.5294117648
edm,trap,21,42.78947368421053,483703.15789473685
pop dance,pop rap,21,46.0,1619819.5263157894
hip hop,miami hip hop,21,61.35294117647059,1055919.7647058824
dance pop,southern hip hop,21,56.92857142857143,407709.0
hardcore hip hop,hardcore hip hop,21,56.0,14176.0
chicago rap,rap,20,48.0,758745.4375
norwegian hip hop,norwegian hip hop,20,12.5,1277918.8333333333
pop rap,pop rap,20,56.3125,452853.8125
alt z,pop dance,20,43.89473684210526,1078585.2631578948
big room,pop dance,19,43.53333333333333,2152421.8666666667
edm,pop rap,19,48.35294117647059,734457.1176470588
pop dance,trap,19,43.11764705882353,481965.17647058825
canadian hip hop,rap,19,39.75,1453945.6875
pop,trap latino,19,55.357142857142854,1789916.357142857
canadian pop,hip hop,19,46.25,1015175.4375
metropopolis,pop,19,54.46153846153846,789095.6923076923
emo rap,trap,19,42.46666666666667,704503.5333333333
melodic rap,melodic rap,18,45.05555555555556,513634.8888888889
moombahton,pop,18,26.0,869403.9230769231
big room,edm,18,43.214285714285715,2297133.5714285714
gangster rap,rap,18,45.142857142857146,284319.71428571426
rap,toronto rap,18,39.75,1209769.3125
edm,progressive electro house,18,46.642857142857146,2055590.0
pop dance,progressive electro house,18,46.642857142857146,2055590.0
hollywood,hollywood,18,63.25,250721.75
uk dance,uk pop,18,49.1875,2330331.25
hip pop,pop,17,43.375,575729.5625
conscious hip hop,rap,17,57.0,1370131.9090909092
hip pop,rap,17,39.07692307692308,356712.46153846156
rap,trap soul,17,45.266666666666666,995607.0
hip hop,pop dance,17,41.2,377348.13333333336
dance pop,dance pop,17,60.35294117647059,1541126.7647058824
dutch house,edm,17,45.46153846153846,2199402.3076923075
dutch house,pop dance,17,45.46153846153846,2199402.3076923075
hip hop,urban contemporary,17,40.30769230769231,163132.92307692306
pop rap,r&b,17,53.36363636363637,768052.0909090909
pop,queens hip hop,16,42.266666666666666,613351.2
melodic rap,southern hip hop,16,52.0,1263181.875
canadian pop,pop,16,40.57142857142857,988538.7857142857
pop,pop r&b,16,60.714285714285715,3141658.785714286
edm,hip hop,16,42.8,406468.93333333335
hardcore hip hop,hip hop,16,53.0,498295.4
rap,uk pop,16,53.166666666666664,1204189.0833333333
dutch house,pop,16,50.18181818181818,1770801.3636363635
rap,urban contemporary,16,41.15384615384615,168863.46153846153
nordic orchestra,norwegian pop,15,18.357142857142858,668607.9285714285
norwegian pop,orchestra,15,18.357142857142858,668607.9285714285
norwegian pop,radio symphony,15,18.357142857142858,668607.9285714285
norwegian pop,russelater,15,38.357142857142854,831954.5714285715
russelater,russelater,15,34.06666666666667,1504948.8666666667
chicago rap,trap,15,59.07692307692308,842012.2307692308
rap,trap latino,15,56.63636363636363,1831296.7272727273
canadian hip hop,trap,15,43.23076923076923,776580.2307692308
canadian pop,trap,15,55.75,1219940.75
toronto rap,trap,15,43.23076923076923,776580.2307692308
classic norwegian pop,nordic orchestra,14,18.357142857142858,668607.9285714285
classic norwegian pop,orchestra,14,18.357142857142858,668607.9285714285
classic norwegian pop,radio symphony,14,18.357142857142858,668607.9285714285
mississippi hip hop,trap,14,34.285714285714285,330333.5714285714
dfw rap,trap,14,39.285714285714285,2362590.8571428573
norwegian pop,scandinavian r&b,14,13.2,1539618.3
hip hop,hip pop,14,39.69230769230769,253184.23076923078
edm,southern hip hop,14,46.30769230769231,465267.76923076925
gangster rap,hip hop,14,40.81818181818182,330617.7272727273
miami hip hop,pop rap,14,66.33333333333333,1045738.8333333334
pop,progressive house,13,65.5,3255017.25
dfw rap,rap,13,45.0,1896158.25
rap,west coast rap,13,50.75,997684.5
norwegian pop rap,scandinavian r&b,13,17.333333333333332,1835909.7777777778
pop,swedish pop,13,52.76923076923077,2143508.6153846155
queens hip hop,rap,13,33.2,318418.3
pop,post-teen pop,13,57.416666666666664,2356746.0833333335
pop,uk funky,13,54.81818181818182,3759577.3636363638
contemporary country,pop,13,37.75,2170497.3333333335
pop dance,southern hip hop,13,43.5,422449.3333333333
pop,tropical house,13,45.53846153846154,1914858.3846153845
dance pop,reggaeton,13,57.375,1151383.75
latin pop,pop,13,46.1,2146812.8
r&b,southern hip hop,13,42.875,420437.125
dance pop,r&b,13,48.25,274805.4166666667
alt z,edm,13,45.5,1001045.5833333334
alt z,pop,13,47.083333333333336,945206.0
east coast hip hop,rap,13,51.333333333333336,279196.8888888889
indie poptimism,pop,12,30.7,1880832.8
australian pop,pop,12,33.833333333333336,2205171.5833333335
conscious hip hop,pop,12,46.333333333333336,1570405.0
melodic rap,slap house,12,36.1,1316470.0
indie pop rap,rap,12,45.666666666666664,743522.0
dance pop,urbano latino,12,57.375,1151383.75
dance pop,electro house,12,57.90909090909091,2000809.7272727273
hip hop,toronto rap,12,31.75,391483.25
electro house,rap,12,56.09090909090909,1231819.0909090908
house,pop,12,62.27272727272727,2539254.4545454546
atl hip hop,r&b,12,44.90909090909091,316770.36363636365
norwegian hip hop,norwegian trap,11,7.714285714285714,2124430.285714286
florida drill,rap,11,55.25,797970.5
florida rap,rap,11,55.25,797970.5
atl hip hop,southern hip hop,11,52.0,490563.8888888889
electropop,pop dance,11,36.0,265100.0
hip hop,trap soul,11,43.0,34987.11111111111
dance pop,uk dance,11,62.0,1593410.5555555555
edm,pop edm,11,58.25,1358850.625
pop,pop edm,11,52.5,2007050.5
pop dance,pop edm,11,57.857142857142854,1551339.7142857143
conscious hip hop,hip hop,11,58.0,1111622.857142857
melodic rap,miami hip hop,11,67.5,1085079.6
emo rap,melodic rap,11,44.1,785918.1
australian pop,edm,10,29.333333333333332,2516393.3333333335
australian pop,pop dance,10,29.333333333333332,2516393.3333333335
dutch edm,pop dance,10,44.5,2849307.5
dfw rap,hip hop,10,30.6,2641561.7
norwegian hip hop,scandinavian r&b,10,6.166666666666667,2228885.8333333335
hip hop,queens hip hop,10,34.0,183831.6
hip pop,trap,10,40.1,139425.2
atl hip hop,atl hip hop,10,54.625,241262.75
atl trap,rap,10,52.125,324944.125
country,pop,10,31.0,1677931.4444444445
pop,trap soul,10,42.111111111111114,1628510.7777777778
movie tunes,show tunes,10,62.666666666666664,393057.3333333333
hip hop,trap latino,10,51.44444444444444,1027545.6666666666
pop dance,post-teen pop,10,49.5,809061.4
atl hip hop,canadian hip hop,10,49.5,278387.0
atl hip hop,canadian pop,10,62.875,848029.25
atl hip hop,toronto rap,10,49.5,278387.0
pop,reggaeton colombiano,10,49.0,1469830.5
detroit hip hop,pop,10,30.714285714285715,1749879.142857143
art pop,pop,10,58.25,1037658.0
big room,electro house,10,48.4,2646072.1
canadian hip hop,hip hop,10,38.1,393966.3
emo rap,hip hop,10,52.22222222222222,789445.3333333334
dance pop,metropopolis,10,46.285714285714285,213063.85714285713
candy pop,pop,10,57.333333333333336,221835.33333333334
pop,swedish electropop,10,44.875,330494.0
atl hip hop,dance pop,10,45.8,889666.0
trap,trap soul,10,51.22222222222222,333082.3333333333
miami hip hop,pop,10,64.33333333333333,903218.0
dirty south rap,rap,10,64.28571428571429,316768.28571428574
hollywood,show tunes,10,66.8,326054.2
