Source,Target,Weight,Avg_Popularity,Avg_Streams
hip hop,rap,218,53.927083333333336,546855.6458333334
rap,rap,208,52.82113821138211,581119.2926829269
rap,trap,199,55.44,606178.05
pop rap,rap,128,55.87323943661972,444839.40845070424
pop,rap,120,54.76543209876543,708393.9012345679
melodic rap,rap,116,50.943661971830984,598262.3802816902
pop,pop,102,52.47826086956522,906499.5108695652
hip hop,trap,97,55.58730158730159,522327.0317460318
atl hip hop,rap,81,54.93617021276596,582400.9361702128
rap,underground hip hop,75,55.857142857142854,40217.42857142857
hip hop,pop,68,51.264150943396224,453242.3962264151
hip hop,pop rap,67,54.3,391421.85
pop rap,trap,66,54.91304347826087,398049.10869565216
hip hop,hip hop,61,55.829268292682926,461658.43902439025
melodic rap,trap,61,56.71739130434783,729245.2608695652
hip hop,underground hip hop,58,51.22222222222222,213515.88888888888
rap,southern hip hop,57,53.27272727272727,482385.1818181818
pop,trap,56,53.48888888888889,850174.6
hip hop,melodic rap,51,53.8974358974359,557698.0512820513
trap,trap,48,56.575,484664.575
r&b,rap,48,52.138888888888886,389173.1111111111
pop,pop rap,45,51.972972972972975,512960.7027027027
edm,pop,42,56.85294117647059,854424.2352941176
atl hip hop,hip hop,40,60.2962962962963,442149.037037037
underground hip hop,underground hip hop,39,49.6,37624.2
atl hip hop,trap,37,55.0,558833.3076923077
melodic rap,pop rap,37,56.2,397799.4666666667
pop,pop dance,37,50.275862068965516,493513.3448275862
miami hip hop,rap,35,59.1764705882353,458917.0
gangster rap,rap,31,55.392857142857146,514934.64285714284
conscious hip hop,rap,31,59.705882352941174,455008.5882352941
dance pop,pop,31,54.6551724137931,829143.1034482758
cali rap,rap,31,48.57142857142857,463188.21428571426
dfw rap,rap,30,41.69565217391305,969191.3478260869
hip hop,r&b,30,49.75,372487.1666666667
hip hop,southern hip hop,30,52.95652173913044,558166.6521739131
melodic rap,pop,28,57.0,1043965.75
pop,r&b,28,52.52,707833.84
southern hip hop,trap,28,52.04761904761905,435494.61904761905
rap,slap house,27,52.2,429588.5
atl hip hop,pop rap,27,55.75,357057.5
pop,uk pop,24,55.52173913043478,963552.4347826086
atl trap,rap,23,59.357142857142854,780541.2142857143
pop rap,underground hip hop,23,52.333333333333336,32295.166666666668
atl hip hop,melodic rap,23,52.7,840152.55
atl hip hop,pop,23,56.0,673775.9523809524
gangster rap,hip hop,22,58.78947368421053,482165.3157894737
dfw rap,trap,21,48.94117647058823,1352538.1764705882
melodic rap,melodic rap,21,51.476190476190474,847632.2857142857
north carolina hip hop,rap,21,52.625,503659.25
canadian pop,rap,21,47.8,927673.3333333334
electropop,pop,20,32.388888888888886,1149830.888888889
conscious hip hop,hip hop,20,56.857142857142854,295652.85714285716
trap,underground hip hop,20,56.2,51213.2
cali rap,hip hop,20,43.22222222222222,567284.8888888889
pop rap,pop rap,20,54.357142857142854,248495.92857142858
rap,trap latino,19,59.0,784033.4545454546
miami hip hop,trap,19,62.0,424135.6153846154
pop,southern hip hop,19,44.2,462255.26666666666
rap,uk pop,19,62.93333333333333,1027055.2
dfw rap,hip hop,18,40.1875,550873.625
r&b,trap,18,49.25,141460.83333333334
rap,reggaeton,18,56.7,574737.7
rap,urbano latino,18,56.7,574737.7
pop dance,uk dance,18,42.857142857142854,591689.7142857143
cali rap,underground hip hop,18,64.0,27021.5
pop,reggaeton,18,72.2,346008.4
pop,trap latino,18,72.54545454545455,426094.7272727273
chicago rap,rap,17,56.333333333333336,513805.8
pluggnb,rap,17,30.714285714285715,165324.57142857142
melodic rap,southern hip hop,17,55.9375,411081.3125
canadian hip hop,rap,17,48.733333333333334,877738.3333333334
hip hop,miami hip hop,17,54.583333333333336,464480.5
cali rap,trap,17,45.666666666666664,517764.5
pop,urbano latino,17,72.3,345453.0
pop,slap house,16,45.61538461538461,296809.07692307694
pop rap,r&b,16,53.36363636363637,266613.0909090909
queens hip hop,rap,16,56.166666666666664,483810.3333333333
conscious hip hop,trap,16,62.4,517711.73333333334
pop,uk dance,16,57.714285714285715,1015217.9285714285
rap,singer-songwriter pop,16,61.166666666666664,910851.75
rap,toronto rap,16,51.15384615384615,994663.3846153846
pop dance,uk pop,16,48.84615384615385,683999.0
electro house,pop,16,55.92857142857143,659737.4285714285
pop rap,southern hip hop,15,44.125,348074.625
contemporary country,pop,15,65.5,861783.5833333334
atl trap,hip hop,14,59.5,417262.9
slap house,trap,14,62.27272727272727,575544.2727272727
hip hop,queens hip hop,14,56.166666666666664,483810.3333333333
hip hop,north carolina hip hop,14,58.285714285714285,524485.2857142857
dance pop,rap,14,67.76923076923077,797170.2307692308
house,pop,14,58.18181818181818,1084625.3636363635
canadian pop,pop,14,54.69230769230769,954988.7692307692
melodic rap,slap house,13,54.666666666666664,655433.1666666666
rap,sudanese hip hop,13,46.0,54221.666666666664
rap,sudanese pop,13,46.0,54221.666666666664
emo rap,rap,13,48.333333333333336,548309.0
pop,pop r&b,13,70.66666666666667,1642028.25
edm,uk pop,13,47.916666666666664,773779.6666666666
edm,pop dance,13,49.875,400755.0
gangster rap,trap,13,55.916666666666664,127614.0
pop dance,pop dance,12,48.4,672559.7
psychedelic hip hop,rap,12,42.666666666666664,44489.333333333336
chicago rap,melodic rap,12,51.75,464950.6666666667
pop,pop soul,12,58.166666666666664,568931.5
melodic rap,miami hip hop,12,60.22222222222222,161566.66666666666
emo rap,trap,12,53.5,480482.625
pop,rock,12,50.90909090909091,298136.63636363635
cali rap,pop rap,12,44.285714285714285,398105.5714285714
hip hop,trap latino,11,54.333333333333336,730860.5555555555
queens hip hop,underground hip hop,11,46.0,54221.666666666664
hip hop,sudanese hip hop,11,46.0,54221.666666666664
sudanese hip hop,underground hip hop,11,46.0,54221.666666666664
hip hop,sudanese pop,11,46.0,54221.666666666664
sudanese pop,underground hip hop,11,46.0,54221.666666666664
conscious hip hop,pop rap,11,53.90909090909091,86475.63636363637
atl trap,trap,11,60.111111111111114,376570.6666666667
canadian hip hop,trap,11,57.4,767197.7
miami hip hop,pop rap,11,56.75,357418.375
chicago rap,trap,11,67.3,508936.0
atl hip hop,slap house,10,70.0,756395.625
pop rap,reggaeton,10,57.625,457084.625
pop rap,trap latino,10,58.0,519400.5
trap,trap latino,10,58.5,796693.25
pop rap,urbano latino,10,57.625,457084.625
reggaeton,trap,10,55.142857142857146,499507.85714285716
trap,urbano latino,10,55.142857142857146,499507.85714285716
conscious hip hop,underground hip hop,10,53.0,53611.5
north carolina hip hop,underground hip hop,10,48.666666666666664,69598.66666666667
atl hip hop,southern hip hop,10,50.8,417322.6
oakland hip hop,rap,10,57.75,62072.0
alternative r&b,underground hip hop,10,64.0,27021.5
conscious hip hop,pop,10,55.2,420036.9
canadian pop,hip hop,10,60.375,926600.875
toronto rap,trap,10,56.44444444444444,851814.1111111111
rap,urban contemporary,10,39.5,50536.0
uk dance,uk pop,10,59.666666666666664,485526.77777777775
dance pop,edm,10,54.111111111111114,500610.22222222225
canadian pop,r&b,10,36.3,660918.7
miami hip hop,underground hip hop,10,69.0,41620.0
hip hop,reggaeton,9,47.857142857142854,423824.14285714284
hip hop,urbano latino,9,47.857142857142854,423824.14285714284
atl hip hop,underground hip hop,9,42.666666666666664,44489.333333333336
psychedelic hip hop,underground hip hop,9,42.666666666666664,44489.333333333336
