Source,Target,Weight,Avg_Popularity,Avg_Streams
reggaeton,urbano latino,2220,59.841750841750844,393077.6195286195
trap latino,urbano latino,2091,59.42611683848797,389702.3092783505
reggaeton,trap latino,1884,59.43262411347518,403830.6170212766
urbano latino,urbano latino,1230,59.63175675675676,387841.0033783784
reggaeton,reggaeton,1016,59.36329588014981,414390.36329588015
trap latino,trap latino,884,59.926530612244896,426445.61632653064
latin hip hop,urbano latino,333,58.64705882352941,321835.3823529412
reggaeton flow,urbano latino,321,59.78082191780822,390170.4520547945
latin hip hop,reggaeton,320,58.64705882352941,321835.3823529412
reggaeton,reggaeton flow,299,59.77777777777778,391387.5138888889
reggaeton flow,trap latino,289,59.53521126760563,389760.25352112675
latin hip hop,trap latino,286,59.159574468085104,338500.43617021275
reggaeton colombiano,urbano latino,264,61.447916666666664,402040.4479166667
reggaeton,reggaeton colombiano,241,61.4,404627.22105263156
reggaeton colombiano,trap latino,204,61.204819277108435,439193.4096385542
trap argentino,urbano latino,190,52.680851063829785,416495.9574468085
puerto rican pop,urbano latino,174,62.1,352640.8857142857
panamanian pop,urbano latino,172,53.666666666666664,520443.8181818182
latin pop,urbano latino,171,59.3855421686747,267318.4578313253
puerto rican pop,reggaeton,166,61.588235294117645,350813.17647058825
latin pop,reggaeton,163,59.098765432098766,266217.34567901236
trap argentino,trap latino,157,52.43478260869565,424013.7173913043
panamanian pop,reggaeton,149,53.390625,532698.265625
puerto rican pop,trap latino,148,62.5625,380538.203125
panamanian pop,trap latino,140,55.935483870967744,532508.4354838709
colombian pop,urbano latino,139,63.58181818181818,313178.83636363636
r&b en espanol,urbano latino,138,60.875,560775.0
reggaeton,trap argentino,131,65.23529411764706,551768.9705882353
latin pop,trap latino,131,59.84615384615385,289632.1846153846
colombian pop,reggaeton,123,63.75925925925926,322299.3703703704
r&b en espanol,reggaeton,114,60.56410256410256,573694.5384615385
r&b en espanol,trap latino,111,60.8974358974359,575062.8717948718
latin pop,mexican pop,106,63.54545454545455,73280.72727272728
colombian pop,trap latino,98,64.07317073170732,373322.1219512195
rap latina,urbano latino,94,59.888888888888886,299677.2962962963
rap latina,trap latino,84,59.30769230769231,281841.1153846154
rap latina,reggaeton,82,58.541666666666664,300011.5416666667
pop reggaeton,urbano latino,76,64.07407407407408,575746.8148148148
pop,reggaeton,67,63.3,463918.1
pop,urbano latino,67,63.3,463918.1
pop reggaeton,reggaeton,65,63.96153846153846,597630.7307692308
latin pop,latin pop,63,60.027027027027025,97241.0
pop reggaeton,trap latino,58,64.78260869565217,675182.3478260869
pop,trap latino,57,63.77777777777778,506579.18518518517
latin hip hop,reggaeton flow,54,56.74193548387097,265244.22580645164
latin pop,reggaeton colombiano,50,57.810810810810814,205285.67567567568
rap,trap,46,72.6,165047.26666666666
argentine hip hop,urbano latino,45,61.888888888888886,324633.44444444444
latin arena pop,latin pop,42,63.5,43598.61111111111
trap boricua,urbano latino,42,68.0625,188589.6875
colombian pop,reggaeton colombiano,41,62.166666666666664,191675.41666666666
rap,rap,40,69.04,167960.32
colombian pop,latin pop,40,61.21875,221774.15625
rap dominicano,urbano latino,39,57.294117647058826,171737.4705882353
reggaeton,trap boricua,39,68.0625,188589.6875
trap boricua,trap latino,39,68.0625,188589.6875
argentine hip hop,trap latino,39,61.625,356377.75
argentine hip hop,trap argentino,38,28.666666666666668,190392.8
panamanian pop,panamanian pop,38,17.90909090909091,146095.0
pop,pop,38,67.0,116819.58333333333
latin arena pop,mexican pop,37,65.76923076923077,10712.23076923077
rap dominicano,reggaeton,37,57.294117647058826,171737.4705882353
rap dominicano,trap latino,37,57.375,180762.625
mexican pop,mexican pop,36,66.25,2612.25
latin hip hop,reggaeton colombiano,34,57.130434782608695,314847.652173913
dembow,urbano latino,34,57.2,192830.4
reggaeton colombiano,reggaeton colombiano,34,62.72,269894.92
hip hop,rap,33,71.76470588235294,170551.23529411765
dembow,reggaeton,33,57.2,192830.4
dembow,trap latino,33,57.285714285714285,204651.5
trap argentino,trap argentino,31,28.666666666666668,190392.8
latin hip hop,puerto rican pop,31,58.82608695652174,214452.91304347827
salsa,tropical,29,30.2,7847.666666666667
pop,rap,29,60.8,112780.24
latin hip hop,latin pop,28,54.82608695652174,217931.34782608695
trap triste,urbano latino,28,67.15384615384616,165217.07692307694
r&b en espanol,trap argentino,27,65.04166666666667,626540.9583333334
latin hip hop,panamanian pop,27,61.0,766501.2857142857
melodic rap,rap,27,64.92857142857143,111448.64285714286
edm,reggaeton,25,50.42857142857143,83930.28571428571
edm,urbano latino,25,50.42857142857143,83930.28571428571
pop dance,reggaeton,25,50.42857142857143,83930.28571428571
pop dance,urbano latino,25,50.42857142857143,83930.28571428571
reggaeton flow,reggaeton flow,24,61.6875,523945.375
puerto rican pop,reggaeton flow,24,65.66666666666667,442850.77777777775
panamanian pop,reggaeton colombiano,23,61.95238095238095,537258.5714285715
argentine hip hop,reggaeton,23,70.0,452275.4
reggaeton,trap triste,23,67.54545454545455,192065.0909090909
trap latino,trap triste,23,67.41666666666667,173095.25
latin hip hop,latin hip hop,22,54.2,226657.75
puerto rican pop,reggaeton colombiano,22,63.9375,417121.4375
reggaeton flow,trap argentino,22,65.06666666666666,598283.7333333333
latin viral pop,reggaeton,22,58.72727272727273,165407.27272727274
rap,toronto rap,21,67.14285714285714,110245.21428571429
edm,trap latino,21,49.833333333333336,96174.66666666667
pop dance,trap latino,21,49.833333333333336,96174.66666666667
canadian hip hop,rap,20,67.14285714285714,110245.21428571429
electronic trap,reggaeton,20,53.8,44482.6
electronic trap,urbano latino,20,53.8,44482.6
melodic rap,trap,20,67.4,127037.6
rap,reggaeton,20,55.13333333333333,360651.5333333333
rap,trap latino,20,55.13333333333333,360651.5333333333
rap,urbano latino,20,55.13333333333333,360651.5333333333
latin viral pop,urbano latino,20,58.6,171156.8
r&b en espanol,reggaeton flow,19,61.92857142857143,640340.1428571428
salsa,salsa puertorriquena,19,27.428571428571427,8286.214285714286
pop rap,rap,19,70.375,131407.625
panamanian pop,r&b en espanol,18,58.111111111111114,596746.8333333334
salsa puertorriquena,tropical,18,27.428571428571427,8286.214285714286
atl hip hop,rap,18,69.81818181818181,108072.45454545454
pop,reggaeton colombiano,18,61.666666666666664,538966.0
electro latino,urbano latino,18,54.23076923076923,124756.23076923077
pop venezolano,urbano latino,18,59.27272727272727,200620.72727272726
canadian pop,rap,17,69.3125,111433.1875
pop rap,reggaeton,17,57.785714285714285,212650.92857142858
pop rap,trap latino,17,57.785714285714285,212650.92857142858
pop rap,urbano latino,17,57.785714285714285,212650.92857142858
electronic trap,trap latino,17,53.8,44482.6
panamanian pop,trap argentino,16,66.53846153846153,544066.7692307692
bases de freestyle,trap argentino,16,7.7,67560.8
r&b en espanol,reggaeton colombiano,16,68.8,625928.9333333333
dance pop,reggaeton,16,58.0,327333.23076923075
dance pop,urbano latino,16,58.0,327333.23076923075
trap,trap,16,70.0,182335.125
mexican pop,reggaeton,16,65.53846153846153,288665.6153846154
colombian pop,panamanian pop,15,65.2,515475.73333333334
salsa,salsa,15,30.2,7847.666666666667
panamanian pop,reggaeton flow,15,62.15384615384615,544414.5384615385
hip hop,trap,15,74.4,200512.6
pop,puerto rican pop,15,58.416666666666664,158608.41666666666
pop rap,trap,15,66.8,68875.6
electro latino,reggaeton,15,52.666666666666664,128800.08333333333
colombian pop,colombian pop,15,63.333333333333336,154422.93333333332
mexican pop,urbano latino,15,66.0,303728.4166666667
reggaeton colombiano,trap argentino,14,69.9090909090909,722031.0909090909
tropical,tropical,14,28.785714285714285,8266.5
cuatro puertorriqueno,salsa,14,30.142857142857142,12711.142857142857
puerto rican folk,salsa,14,30.142857142857142,12711.142857142857
cuatro puertorriqueno,tropical,14,30.142857142857142,12711.142857142857
puerto rican folk,tropical,14,30.142857142857142,12711.142857142857
canadian hip hop,trap,14,69.66666666666667,127557.88888888889
toronto rap,trap,14,69.66666666666667,127557.88888888889
latin hip hop,rap latina,14,52.9,146035.8
dance pop,trap latino,14,59.09090909090909,386077.0
latin pop,pop,14,56.53846153846154,177381.46153846153
latin pop,puerto rican pop,14,53.214285714285715,140786.64285714287
pop venezolano,trap latino,14,58.0,191818.88888888888
dembow,rap dominicano,14,38.0,97379.33333333333
dance pop,pop,14,68.0,145710.15384615384
reggaeton colombiano,reggaeton flow,14,63.54545454545455,462898.45454545453
latin viral pop,trap latino,14,55.714285714285715,91701.85714285714
funk pop,reggaeton,13,61.25,410423.25
funk pop,urbano latino,13,61.25,410423.25
funk rj,reggaeton,13,61.25,410423.25
funk rj,urbano latino,13,61.25,410423.25
pagode baiano,reggaeton,13,61.25,410423.25
pagode baiano,urbano latino,13,61.25,410423.25
pop nacional,reggaeton,13,61.25,410423.25
pop nacional,urbano latino,13,61.25,410423.25
panamanian pop,pop reggaeton,12,68.66666666666667,634192.75
colombian pop,r&b en espanol,12,67.16666666666667,536484.5
panamanian pop,puerto rican pop,12,53.583333333333336,291387.8333333333
k-pop,pop,12,57.916666666666664,29724.666666666668
bachata,urbano latino,12,66.22222222222223,278392.8888888889
canadian pop,pop,12,71.3,122967.8
latin arena pop,reggaeton,12,66.88888888888889,330037.3333333333
colombian pop,trap argentino,11,71.75,736277.625
pop reggaeton,trap argentino,11,71.75,736277.625
dembow,latin hip hop,11,59.0,246671.83333333334
latin hip hop,rap dominicano,11,59.0,246671.83333333334
rap latina,trap argentino,11,67.3,493555.7
electro latino,trap latino,11,51.0,89769.77777777778
reggaeton flow,trap boricua,11,64.25,271674.125
pop venezolano,reggaeton,11,63.57142857142857,220929.14285714287
bachata,reggaeton,11,66.22222222222223,278392.8888888889
funk pop,trap latino,11,61.25,410423.25
funk rj,trap latino,11,61.25,410423.25
pagode baiano,trap latino,11,61.25,410423.25
pop nacional,trap latino,11,61.25,410423.25
latin arena pop,urbano latino,11,67.75,357803.0
atl hip hop,hip hop,10,73.125,106715.375
hip hop,toronto rap,10,66.44444444444444,132718.33333333334
colombian pop,puerto rican pop,10,64.75,301066.5
rap latina,reggaeton colombiano,10,56.77777777777778,366559.1111111111
colombian pop,latin hip hop,10,58.111111111111114,287377.55555555556
melodic rap,pop,10,51.0,63852.0
colombian hip hop,reggaeton,10,57.2,191723.4
bachata,trap latino,10,65.125,217764.75
mexican pop,reggaeton colombiano,10,68.22222222222223,250358.0
latin pop,reggaeton flow,10,59.888888888888886,265970.44444444444
pop reggaeton,r&b en espanol,9,70.22222222222223,689074.5555555555
puerto rican pop,trap argentino,9,65.625,387255.625
atl hip hop,canadian hip hop,9,68.625,95479.75
canadian hip hop,hip hop,9,74.375,145082.375
canadian pop,hip hop,9,72.55555555555556,148209.88888888888
hip hop,hip hop,9,74.77777777777777,168870.0
atl hip hop,toronto rap,9,68.625,95479.75
atl hip hop,trap,9,65.6,136431.4
melodic rap,pop rap,9,66.8,68875.6
canadian trap,rap,9,64.75,84524.5
reggaeton,trap,9,60.166666666666664,220528.83333333334
trap,trap latino,9,60.166666666666664,220528.83333333334
trap,urbano latino,9,60.166666666666664,220528.83333333334
latin hip hop,pop,9,51.166666666666664,343999.3333333333
pop reggaeton,reggaeton colombiano,9,54.5,568145.875
latin pop,r&b en espanol,9,61.5,435638.625
latin pop,trap argentino,9,63.375,555214.25
argentine hip hop,argentine hip hop,9,56.8,368180.0
pop venezolano,trap argentino,9,52.0,140069.0
pop,trap,9,74.77777777777777,91451.22222222222
k-pop girl group,pop,9,69.57142857142857,43763.142857142855
colombian hip hop,urbano latino,9,57.2,191723.4
hip hop,pop,9,70.88888888888889,144434.88888888888
atl hip hop,canadian pop,8,73.85714285714286,110913.28571428571
canadian pop,trap,8,74.14285714285714,165364.57142857142
canadian hip hop,pop rap,8,69.42857142857143,106590.0
canadian trap,trap,8,64.75,84524.5
latin pop,panamanian pop,8,55.625,435740.125
panamanian pop,rap latina,8,56.75,300280.875
colombian pop,reggaeton flow,8,64.71428571428571,511325.4285714286
rap latina,reggaeton flow,8,59.285714285714285,291085.4285714286
colombian pop,mexican pop,8,69.125,245503.875
mexican pop,trap latino,8,64.16666666666667,426024.8333333333
pop dance,uk dance,8,79.0,31726.5
cuatro puertorriqueno,salsa puertorriquena,7,30.142857142857142,12711.142857142857
puerto rican folk,salsa puertorriquena,7,30.142857142857142,12711.142857142857
dance pop,puerto rican pop,7,61.857142857142854,138227.42857142858
edm,reggaeton colombiano,7,46.166666666666664,95852.0
pop dance,reggaeton colombiano,7,46.166666666666664,95852.0
dance pop,reggaeton colombiano,7,57.0,474513.28571428574
pop rap,toronto rap,7,68.33333333333333,114301.66666666667
rap,rap dominicano,7,57.4,289767.0
puerto rican pop,rap latina,7,53.57142857142857,163493.14285714287
r&b en espanol,rap latina,7,66.0,637260.2857142857
hip hop,reggaeton,7,38.333333333333336,41518.0
hip hop,trap latino,7,38.333333333333336,41518.0
hip hop,urbano latino,7,38.333333333333336,41518.0
dembow,dembow,7,38.0,97379.33333333333
rap dominicano,rap dominicano,7,38.0,97379.33333333333
colombian hip hop,reggaeton colombiano,7,61.75,235662.5
electro latino,latin pop,7,60.0,206517.5
latin arena pop,reggaeton colombiano,7,69.33333333333333,245555.16666666666
r&b,rap,7,62.4,13068.6
latin arena pop,trap latino,7,65.0,448399.0
hip hop,melodic rap,7,75.0,184809.8
pop argentino,reggaeton,7,29.6,85571.4
pop argentino,urbano latino,7,29.6,85571.4
rap,southern hip hop,6,72.2,84635.8
latin hip hop,r&b en espanol,6,63.833333333333336,620274.0
latin hip hop,trap argentino,6,66.66666666666667,380267.6666666667
melodic rap,melodic rap,6,63.166666666666664,82029.16666666667
dembow,rap,6,59.5,357822.5
pop,rap latina,6,51.0,307118.3333333333
edm,latin hip hop,6,38.333333333333336,59833.666666666664
electronic trap,latin hip hop,6,38.333333333333336,59833.666666666664
latin hip hop,pop dance,6,38.333333333333336,59833.666666666664
argentine hip hop,pop venezolano,6,51.75,165081.0
r&b argentino,trap argentino,6,38.5,312609.0
canadian pop,melodic rap,6,71.0,77550.33333333333
colombian hip hop,trap latino,6,55.75,235805.75
dance pop,latin pop,6,59.333333333333336,38638.166666666664
colombian pop,rap latina,6,66.0,519921.8333333333
chicago rap,pop,6,30.0,49094.0
hip hop,pop rap,6,76.25,177476.75
latin pop,latin viral pop,6,61.75,201014.75
latin pop,pop venezolano,6,50.5,122254.25
pop,pop rap,6,65.16666666666667,55154.333333333336
atl trap,rap,6,70.5,106659.0
edm,pop,6,68.0,96534.2
north carolina hip hop,rap,6,79.66666666666667,371883.3333333333
puerto rican pop,r&b en espanol,5,66.8,789849.4
melodic rap,slap house,5,56.4,142637.2
pop rap,puerto rican pop,5,56.6,82323.2
salsa puertorriquena,salsa puertorriquena,5,19.6,4134.6
canadian trap,pop rap,5,64.75,84524.5
emo rap,reggaeton,5,59.666666666666664,423790.6666666667
miami hip hop,reggaeton,5,59.666666666666664,423790.6666666667
