Source,Target,Weight,Avg_Popularity,Avg_Streams
reggaeton,urbano latino,1189,65.36945812807882,3355081.0591133004
trap latino,urbano latino,1125,64.89447236180905,3276715.7085427134
reggaeton,trap latino,985,64.80978260869566,3350511.217391304
urbano latino,urbano latino,688,64.79523809523809,3278250.161904762
reggaeton,reggaeton,535,64.22485207100591,3478050.153846154
trap latino,trap latino,471,65.84472049689441,3244037.664596273
reggaeton colombiano,urbano latino,235,64.15116279069767,3098138.802325581
reggaeton,reggaeton colombiano,186,64.60975609756098,3030091.1951219514
reggaeton flow,urbano latino,182,63.13636363636363,3350440.3636363638
reggaeton,reggaeton flow,168,63.166666666666664,3490102.595238095
reggaeton colombiano,trap latino,162,64.34722222222223,3271955.25
reggaeton flow,trap latino,157,65.15,3318726.075
trap argentino,urbano latino,150,65.12765957446808,2303378.9574468085
latin hip hop,urbano latino,127,65.70454545454545,2552853.7954545454
trap argentino,trap latino,126,66.11627906976744,2437400.3488372094
latin pop,urbano latino,123,65.25714285714285,2803807.2
latin hip hop,reggaeton,115,65.5813953488372,2533484.2558139535
latin pop,reggaeton,115,64.70588235294117,2753160.529411765
latin hip hop,trap latino,103,65.76190476190476,2621945.214285714
reggaeton,trap argentino,92,66.27272727272727,2436425.1818181816
puerto rican pop,urbano latino,81,67.68571428571428,2842269.0857142857
colombian pop,urbano latino,79,65.51162790697674,2506568.8139534886
latin pop,trap latino,79,65.3061224489796,2931734.7551020407
puerto rican pop,reggaeton,76,66.21875,3022474.375
puerto rican pop,trap latino,74,67.15151515151516,2970885.4242424243
colombian pop,reggaeton,73,65.07317073170732,2468016.5853658537
r&b en espanol,urbano latino,67,69.85714285714286,2805172.6666666665
panamanian pop,urbano latino,60,69.05263157894737,2912664.8947368423
r&b en espanol,reggaeton,57,69.7,2820125.9
r&b en espanol,trap latino,53,69.63157894736842,2724753.3157894737
argentine hip hop,urbano latino,53,65.1923076923077,2363078.6923076925
panamanian pop,trap latino,51,69.05263157894737,2912664.8947368423
panamanian pop,reggaeton,50,69.05263157894737,2912664.8947368423
reggaeton colombiano,reggaeton colombiano,48,64.04166666666667,2878749.2083333335
argentine hip hop,trap latino,48,64.88,2363023.72
colombian pop,trap latino,48,65.6896551724138,2456295.3103448274
rap latina,urbano latino,48,61.714285714285715,2621913.714285714
pop reggaeton,urbano latino,41,67.1,1448298.9
colombian pop,latin pop,41,65.46428571428571,1781096.5714285714
argentine hip hop,trap argentino,39,64.0,2113229.117647059
rap latina,reggaeton,39,63.5,2997492.8125
latin pop,reggaeton colombiano,39,65.4074074074074,2293119.3333333335
pop reggaeton,reggaeton,37,67.21052631578948,1502474.8421052631
rap latina,trap latino,37,61.75,2734796.3125
pop reggaeton,trap latino,35,67.21052631578948,1502474.8421052631
latin pop,latin pop,35,64.55172413793103,2189764.3448275863
trap argentino,trap argentino,34,64.0,2113229.117647059
trap triste,urbano latino,33,66.15384615384616,1989895.0
pop,reggaeton,32,66.11111111111111,3640516.6666666665
pop,urbano latino,32,66.11111111111111,3640516.6666666665
trap latino,trap triste,30,66.33333333333333,2069660.9166666667
trap argentino,trap triste,29,66.22222222222223,2587857.4444444445
colombian pop,reggaeton colombiano,28,66.52631578947368,1698565.3157894737
pop,trap latino,28,65.70588235294117,3803469.0
pop,pop,25,63.91304347826087,1327664.5217391304
argentine hip hop,reggaeton,25,66.92857142857143,2410700.785714286
trap boricua,urbano latino,23,69.72727272727273,2095092.4545454546
latin hip hop,reggaeton colombiano,23,67.8,4896743.4
trap boricua,trap latino,22,69.72727272727273,2095092.4545454546
reggaeton,trap boricua,21,68.6,2191983.6
reggaeton flow,reggaeton flow,20,58.75,2695538.75
reggaeton flow,trap argentino,17,69.0,2876836.0
puerto rican pop,reggaeton flow,17,67.75,3989801.0
pop venezolano,urbano latino,17,64.28571428571429,1667303.9285714286
latin hip hop,reggaeton flow,16,66.54545454545455,2611534.0
electro latino,reggaeton,16,64.375,3455783.125
latin pop,mexican pop,16,64.38461538461539,2313616.846153846
pop argentino,urbano latino,16,66.08333333333333,3588251.6666666665
pop venezolano,trap latino,15,63.57142857142857,1436507.0714285714
rap dominicano,urbano latino,15,63.714285714285715,4364735.714285715
latin viral pop,urbano latino,15,64.91666666666667,2796050.8333333335
latin viral pop,reggaeton,15,64.36363636363636,2926770.727272727
colombian pop,colombian pop,14,66.0,891531.3333333334
electro latino,urbano latino,14,64.375,3455783.125
pop argentino,trap latino,14,66.5,3690337.5
r&b en espanol,trap argentino,13,69.81818181818181,1514910.9090909092
k-pop,pop,13,50.0,983108.3
latin hip hop,latin pop,13,68.25,2771885.5833333335
reggaeton colombiano,reggaeton flow,13,65.55555555555556,4401593.111111111
rap dominicano,reggaeton,13,63.714285714285715,4364735.714285715
panamanian pop,reggaeton colombiano,12,69.2,2450053.9
r&b en espanol,reggaeton flow,12,70.66666666666667,2335299.6666666665
argentine hip hop,trap triste,12,66.71428571428571,1179392.857142857
r&b en espanol,reggaeton colombiano,12,69.41666666666667,1827690.4166666667
mexican pop,reggaeton,12,66.41666666666667,1942938.8333333333
mexican pop,urbano latino,12,66.41666666666667,1942938.8333333333
dembow,urbano latino,12,64.71428571428571,2883440.4285714286
reggaeton,trap triste,12,68.2,751607.8
reggaeton colombiano,trap argentino,11,67.55555555555556,1808044.7777777778
latin pop,rap latina,11,61.125,1805095.75
dembow,reggaeton,11,64.71428571428571,2883440.4285714286
pop argentino,reggaeton,11,67.33333333333333,4238522.666666667
rap latina,trap argentino,11,61.111111111111114,1326654.6666666667
dance pop,neo soul,10,4.0,1337632.6
neo soul,pop,10,4.0,1337632.6
latin hip hop,panamanian pop,10,67.66666666666667,2114584.0
classic peruvian pop,musica criolla,10,42.8,30399.8
puerto rican pop,reggaeton colombiano,10,69.875,5427470.125
latin pop,r&b en espanol,10,65.375,1361138.5
pop argentino,trap argentino,10,65.14285714285714,1809132.5714285714
rap dominicano,trap latino,10,64.4,4579170.4
pop,reggaeton colombiano,10,69.6,2761650.0
latin pop,trap argentino,10,65.44444444444444,1823990.888888889
electro latino,trap latino,10,67.0,5016849.0
dance pop,pop,10,76.625,1782769.125
pop,rap,10,61.44444444444444,2500031.5555555555
pop reggaeton,reggaeton colombiano,9,61.75,1354865.0
classic peruvian pop,musica afroperuana,9,42.8,30399.8
musica afroperuana,musica criolla,9,42.8,30399.8
trap triste,trap triste,9,61.8,1189889.6
argentine hip hop,argentine hip hop,9,69.28571428571429,1240484.142857143
colombian pop,r&b en espanol,9,67.375,1452751.375
bachata,urbano latino,9,69.28571428571429,3196232.5714285714
colombian pop,mexican pop,9,65.66666666666667,2163292.111111111
latin hip hop,puerto rican pop,9,70.25,2855242.375
funk pop,reggaeton,9,61.333333333333336,1162077.0
funk pop,urbano latino,9,61.333333333333336,1162077.0
funk rj,reggaeton,9,61.333333333333336,1162077.0
funk rj,urbano latino,9,61.333333333333336,1162077.0
pagode baiano,reggaeton,9,61.333333333333336,1162077.0
pagode baiano,urbano latino,9,61.333333333333336,1162077.0
pop nacional,reggaeton,9,61.333333333333336,1162077.0
pop nacional,urbano latino,9,61.333333333333336,1162077.0
urbano latino,venezuelan hip hop,9,51.75,2471433.0
panamanian pop,trap argentino,8,71.16666666666667,729438.6666666666
k-pop boy group,pop,8,52.125,979615.0
colombian pop,trap argentino,8,66.0,746512.3333333334
mexican pop,reggaeton colombiano,8,66.875,2343980.5
bachata,reggaeton,8,69.28571428571429,3196232.5714285714
dembow,trap latino,8,65.8,2505357.0
latin pop,latin viral pop,8,63.42857142857143,2638863.4285714286
dance pop,reggaeton,8,64.0,2142304.75
dance pop,trap latino,8,64.0,2142304.75
dance pop,urbano latino,8,64.0,2142304.75
pop venezolano,reggaeton,8,68.25,2458076.0
trap venezolano,urbano latino,8,68.66666666666667,3175835.0
latin viral pop,trap latino,8,64.8,3178141.2
hip hop,pop,7,27.142857142857142,2184978.5714285714
pop venezolano,trap argentino,7,57.2,529574.0
latin pop,reggaeton flow,7,62.0,5394244.666666667
reggaeton flow,trap boricua,7,68.75,2584977.0
latin pop,pop argentino,7,68.85714285714286,4763122.571428572
latin hip hop,latin hip hop,7,67.85714285714286,2779360.0
rap latina,reggaeton colombiano,7,65.5,4419121.5
argentine hip hop,rap latina,7,57.5,1363528.5
dance pop,hip hop,6,17.666666666666668,2220606.3333333335
panamanian pop,r&b en espanol,6,72.33333333333333,2160289.1666666665
puerto rican pop,trap argentino,6,68.0,3154153.2
r&b argentino,trap latino,6,68.2,3494749.4
r&b argentino,urbano latino,6,68.2,3494749.4
colombian pop,electro latino,6,61.2,1839098.4
electro latino,latin pop,6,61.25,2185416.25
electro latino,reggaeton colombiano,6,61.833333333333336,2808367.6666666665
latin arena pop,reggaeton,6,69.66666666666667,2137280.1666666665
latin arena pop,urbano latino,6,69.66666666666667,2137280.1666666665
latin hip hop,rap latina,6,62.6,2383433.4
edm,reggaeton,6,71.66666666666667,2601165.1666666665
pop dance,reggaeton,6,71.66666666666667,2601165.1666666665
edm,trap latino,6,71.66666666666667,2601165.1666666665
pop dance,trap latino,6,71.66666666666667,2601165.1666666665
edm,urbano latino,6,71.66666666666667,2601165.1666666665
pop dance,urbano latino,6,71.66666666666667,2601165.1666666665
pop argentino,trap triste,6,67.75,1537576.25
panamanian pop,reggaeton flow,6,71.5,1479617.25
reggaeton,uk pop,6,71.5,3848540.0
trap latino,uk pop,6,71.5,3848540.0
uk pop,urbano latino,6,71.5,3848540.0
rap,reggaeton,6,75.6,3389168.8
rap,trap latino,6,75.6,3389168.8
rap,urbano latino,6,75.6,3389168.8
