Source,Target,Weight,Avg_Popularity,Avg_Streams
pop,rap,161,31.471698113207548,666768.216981132
pop,pop,132,40.81553398058252,1261260.213592233
hip hop,rap,107,42.5,641900.82
rap,trap,101,42.62222222222222,689172.2
pop,pop dance,96,34.785714285714285,986724.4
hip hop,pop,95,33.32,622251.1866666666
pop,trap,90,35.47142857142857,727724.3571428572
edm,pop,88,40.11940298507463,1084565.6119402985
rap,rap,84,43.09803921568628,628640.7450980392
pop,pop rap,75,42.160714285714285,655992.5535714285
dance pop,pop,72,48.125,1025795.4791666666
pop rap,rap,70,46.93939393939394,724499.4242424242
hip hop,trap,63,47.96551724137931,583494.551724138
atl hip hop,rap,54,38.67741935483871,595720.1935483871
polish hip hop,polish hip hop,53,24.594594594594593,596077.3243243244
polish hip hop,polish trap,52,27.666666666666668,669995.6
edm,pop dance,50,36.19047619047619,372209.61904761905
atl hip hop,pop,49,28.875,899572.425
pop rap,trap,46,46.8,592031.36
dance pop,rap,46,45.774193548387096,798212.2903225806
hip hop,pop rap,45,44.68181818181818,332419.7272727273
pop,r&b,42,39.064516129032256,795348.0967741936
electro house,pop,42,44.88235294117647,604170.8823529412
pop,southern hip hop,41,38.71875,704980.0
atl hip hop,hip hop,39,41.18181818181818,333537.4090909091
melodic rap,rap,36,41.57142857142857,1077585.142857143
rap,southern hip hop,35,49.63157894736842,734958.947368421
atl hip hop,trap,34,38.22727272727273,345595.0909090909
dance pop,trap,34,48.2,910168.88
dance pop,pop rap,33,48.130434782608695,663234.4347826086
dance pop,hip hop,32,48.43478260869565,754185.3478260869
hip hop,hip hop,31,47.52173913043478,322947.73913043475
r&b,rap,29,37.12,568439.24
trap,trap,29,48.1,689303.25
pop,uk dance,28,56.30434782608695,1024456.0869565217
melodic rap,pop,28,41.35294117647059,1131475.9411764706
edm,rap,28,47.40909090909091,625096.3636363636
dance pop,pop dance,28,41.708333333333336,951798.125
pop,uk pop,27,39.96153846153846,1011253.6923076923
pop dance,pop dance,27,35.73684210526316,409685.84210526315
dance pop,edm,26,46.130434782608695,1081114.7826086956
hip hop,melodic rap,26,42.125,1174174.375
southern hip hop,trap,26,48.25,718346.6666666666
hip hop,southern hip hop,26,49.61538461538461,193743.53846153847
pop dance,uk pop,25,41.21739130434783,866024.0434782609
canadian pop,rap,24,57.07142857142857,325341.0714285714
electro house,rap,23,47.27777777777778,741029.4444444445
electropop,pop,23,35.0,1055736.25
art pop,rap,22,24.928571428571427,87578.78571428571
hip hop,r&b,22,38.44444444444444,383568.1666666667
melodic rap,trap,22,42.3125,1196815.3125
edm,edm,22,38.25,391998.8125
dance pop,southern hip hop,21,49.6875,724000.9375
electro house,pop dance,21,32.4375,303643.75
edm,trap,20,54.388888888888886,676236.1666666666
atl hip hop,pop rap,20,42.15384615384615,436718.8461538461
pop rap,pop rap,20,45.75,578414.4166666666
pop,progressive house,19,57.5625,1111851.25
canadian pop,pop,18,22.0,1089488.4117647058
melodic rap,pop rap,18,50.45454545454545,1068175.0909090908
edm,uk pop,17,45.86666666666667,1067900.2
atl hip hop,dance pop,17,45.0,999010.9166666666
rap,urban contemporary,17,37.0,578114.5384615385
edm,electro house,17,33.69230769230769,255983.38461538462
art pop,pop,16,28.5,207584.6
metropopolis,pop,16,45.888888888888886,322851.3333333333
dance pop,uk pop,16,42.92857142857143,610436.7857142857
uk dance,uk pop,16,31.733333333333334,656268.1333333333
pop,progressive electro house,16,49.57142857142857,572289.3571428572
hip hop,urban contemporary,16,37.0,459084.8461538461
pop rap,southern hip hop,16,43.81818181818182,214135.0
east coast hip hop,pop,15,25.666666666666668,67818.8
dance pop,dance pop,15,48.733333333333334,766075.8
house,pop,15,58.5,623047.4166666666
pop,reggaeton,15,36.53846153846154,666258.1538461539
pop,urbano latino,15,36.75,721112.0833333334
edm,hip hop,15,62.25,953400.4166666666
electro house,trap,15,56.214285714285715,839904.3571428572
atl hip hop,southern hip hop,15,40.142857142857146,31568.85714285714
electropop,pop dance,15,25.833333333333332,421760.5
canadian pop,hip hop,15,54.72727272727273,409120.63636363635
pop,pop r&b,14,45.25,926458.25
alt z,pop dance,14,42.15384615384615,391365.0
house,rap,14,61.45454545454545,804281.6363636364
