Source,Target,Weight,Avg_Popularity,Avg_Streams
pop,rap,165,32.527272727272724,437273.63636363635
rap,trap,156,42.015151515151516,372644.69696969696
hip hop,rap,133,40.3013698630137,335355.31506849313
pop,pop,130,37.22222222222222,770427.494949495
rap,rap,108,40.534246575342465,360247.3561643836
hip hop,trap,98,43.588235294117645,265217.82352941175
hip hop,pop,95,34.310810810810814,443836.7297297297
reggaeton,urbano latino,89,37.44,156820.16
pop,trap,86,36.28358208955224,514854.22388059704
melodic rap,rap,79,39.85294117647059,550257.6764705882
dance pop,pop,78,38.3,622087.84
edm,pop,78,39.741379310344826,740859.3620689656
pop,pop dance,74,33.37735849056604,729707.7358490566
atl hip hop,rap,72,37.44186046511628,345520.3953488372
pop rap,rap,71,45.484848484848484,543796.3939393939
pop,pop rap,70,38.660377358490564,425551.2641509434
trap latino,urbano latino,67,38.72727272727273,177314.04545454544
reggaeton,trap latino,62,41.095238095238095,158704.2380952381
atl hip hop,hip hop,55,38.94736842105263,157513.97368421053
melodic rap,trap,53,39.464285714285715,594421.9285714285
hip hop,melodic rap,50,38.357142857142854,529713.9285714285
atl hip hop,trap,50,36.096774193548384,196056.61290322582
trap,trap,49,43.19444444444444,323198.8611111111
hip hop,pop rap,48,40.666666666666664,221515.45833333334
atl hip hop,pop,47,29.5,676257.7894736842
urbano latino,urbano latino,47,37.04347826086956,169802.78260869565
pop rap,trap,46,46.75,475028.7083333333
edm,pop dance,46,31.058823529411764,211266.82352941178
dance pop,rap,43,45.1875,493696.9375
reggaeton,reggaeton,42,39.22727272727273,151697.45454545456
pop,southern hip hop,41,38.18181818181818,430533.0
pop,r&b,39,40.51724137931034,537673.7586206896
electro house,pop,38,43.206896551724135,455902.1724137931
hip hop,hip hop,38,45.4375,181123.28125
rap,southern hip hop,36,48.708333333333336,435691.7083333333
slap house,trap,35,38.55555555555556,111497.88888888889
r&b,rap,35,39.18518518518518,384933.77777777775
melodic rap,pop,30,43.78947368421053,725741.052631579
canadian pop,rap,30,55.55,215356.85
