Source,Target,Weight,Avg_Popularity,Avg_Streams
reggaeton,urbano latino,1995,61.95402298850575,1070040.6398467433
trap latino,urbano latino,1895,61.232824427480914,1071801.217557252
reggaeton,trap latino,1692,61.35627530364373,1106537.2874493927
urbano latino,urbano latino,1113,61.47191011235955,1065681.913857678
reggaeton,reggaeton,909,61.08119658119658,1131661.97008547
trap latino,trap latino,803,61.47982062780269,1124798.2825112108
reggaeton flow,urbano latino,293,61.23529411764706,1203329.8235294118
reggaeton,reggaeton flow,271,61.25373134328358,1210049.2835820895
reggaeton flow,trap latino,260,61.015151515151516,1173847.8636363635
reggaeton colombiano,urbano latino,253,62.78651685393258,1106451.7303370787
latin hip hop,urbano latino,248,62.78313253012048,817941.6746987952
trap argentino,urbano latino,241,51.37837837837838,817114.5135135135
latin hip hop,reggaeton,236,62.78313253012048,817941.6746987952
reggaeton,reggaeton colombiano,232,62.63953488372093,1086101.941860465
trap argentino,trap latino,212,50.80281690140845,843184.9295774648
latin hip hop,trap latino,206,63.87012987012987,873605.6493506493
reggaeton colombiano,trap latino,200,62.25974025974026,1177681.0649350649
latin pop,urbano latino,159,58.01234567901235,710372.2839506173
panamanian pop,urbano latino,154,59.84615384615385,1171443.5192307692
reggaeton,trap argentino,151,64.75,1246208.9772727273
puerto rican pop,urbano latino,150,63.067796610169495,1051716.186440678
latin pop,reggaeton,146,58.9054054054054,752439.8918918918
puerto rican pop,reggaeton,141,62.142857142857146,1058096.1785714286
r&b en espanol,urbano latino,138,61.26315789473684,1540903.6842105263
colombian pop,urbano latino,135,64.58,980284.92
panamanian pop,reggaeton,133,59.74,1217166.74
puerto rican pop,trap latino,129,63.64150943396226,1155164.3207547169
panamanian pop,trap latino,128,59.84615384615385,1171443.5192307692
latin pop,trap latino,125,59.36507936507937,770826.0476190476
colombian pop,reggaeton,121,64.51020408163265,900910.3469387755
r&b en espanol,reggaeton,115,60.945945945945944,1568133.0
r&b en espanol,trap latino,114,61.26315789473684,1540903.6842105263
colombian pop,trap latino,102,64.7560975609756,1041918.6585365854
latin pop,mexican pop,97,60.25,155713.45
rap latina,urbano latino,87,59.206896551724135,713096.6206896552
rap latina,trap latino,78,59.03703703703704,756797.7777777778
argentine hip hop,trap argentino,76,36.42424242424242,325577.6666666667
rap latina,reggaeton,72,57.041666666666664,806669.0833333334
pop reggaeton,urbano latino,71,65.22727272727273,1721478.5909090908
