Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,trap,206,62.29126213592233,124170.53398058252
rap,rap,187,64.26771653543307,127918.00787401575
hip hop,rap,171,67.24468085106383,132166.1170212766
romanian trap,romanian trap,147,27.78494623655914,195171.93548387097
melodic rap,rap,107,58.833333333333336,160259.61111111112
atl hip hop,rap,99,64.53225806451613,149300.01612903227
hip hop,trap,83,66.08620689655173,146471.08620689655
pop rap,rap,80,67.33333333333333,121275.22222222222
romanian rap,romanian trap,66,26.714285714285715,145810.48571428572
melodic rap,trap,63,55.7,134458.125
pop,pop,62,67.82,193180.0
atl hip hop,trap,52,64.65625,163573.6875
atl trap,rap,51,66.48275862068965,158162.3448275862
pop,rap,49,62.138888888888886,176463.58333333334
trap,trap,48,61.10526315789474,157178.73684210525
manele,manele,47,31.52173913043478,226248.5652173913
pop rap,trap,46,65.08,145098.28
hip hop,hip hop,45,70.65116279069767,137292.3023255814
atl hip hop,hip hop,42,67.28125,186673.75
brooklyn drill,rap,41,60.96153846153846,132522.11538461538
chicago rap,rap,38,58.08,69389.16
atl hip hop,melodic rap,37,62.206896551724135,145832.58620689655
gangster rap,rap,37,65.62962962962963,139193.4814814815
hip hop,pop rap,35,71.76923076923077,116515.96153846153
canadian hip hop,rap,35,70.62962962962963,254494.74074074073
canadian pop,rap,35,67.26666666666667,173164.93333333332
rap,toronto rap,34,71.11538461538461,263110.8076923077
hip hop,melodic rap,31,63.25,205696.25
dance pop,pop,31,69.61904761904762,246384.09523809524
rap,southern hip hop,30,65.43478260869566,117683.47826086957
atl trap,trap,29,63.05,119157.15
melodic rap,pop rap,26,61.1764705882353,213729.0588235294
atl trap,hip hop,26,70.10526315789474,232880.2105263158
canadian hip hop,trap,25,72.6842105263158,298779.2105263158
brooklyn drill,trap,25,59.05263157894737,159754.15789473685
manele,romanian pop,25,40.1,306472.5
edm,pop,25,66.41176470588235,155269.5294117647
pop,pop dance,25,66.6470588235294,163179.88235294117
atl hip hop,pop rap,24,66.6470588235294,170358.64705882352
melodic rap,melodic rap,24,54.625,112723.66666666667
toronto rap,trap,24,73.5,313684.8888888889
chicago rap,trap,24,51.611111111111114,25716.166666666668
hip hop,pop,23,49.578947368421055,220410.0
canadian hip hop,hip hop,23,70.61904761904762,197538.80952380953
hip hop,toronto rap,23,70.61904761904762,197538.80952380953
canadian pop,trap,23,71.15789473684211,194549.8947368421
romanian pop,romanian pop,23,42.22222222222222,310667.22222222225
atl hip hop,atl trap,22,59.53846153846154,81733.76923076923
atl trap,melodic rap,22,60.9375,22606.9375
canadian pop,hip hop,22,72.61904761904762,181970.2857142857
r&b,rap,22,67.1875,99608.875
gangster rap,hip hop,21,69.6470588235294,194403.0588235294
atl trap,pop rap,18,62.42857142857143,74628.21428571429
north carolina hip hop,rap,18,71.0909090909091,251574.45454545456
pop dance,uk dance,18,79.125,874051.625
rap,slap house,17,67.14285714285714,251794.5
chicago rap,hip hop,17,64.2,94912.26666666666
pop,trap,17,69.84615384615384,203685.46153846153
gangster rap,trap,16,63.0,119932.66666666667
hip hop,southern hip hop,16,68.06666666666666,151980.6
atl hip hop,atl hip hop,15,60.53846153846154,84653.76923076923
miami hip hop,rap,15,57.7,64097.3
pop dance,uk pop,15,76.3,455285.2
chicago drill,rap,14,62.25,40110.5
drill,rap,14,62.25,40110.5
pop,trap queen,14,64.66666666666667,169237.66666666666
canadian hip hop,pop rap,13,72.0,225337.83333333334
pop rap,toronto rap,13,72.0,225337.83333333334
atl hip hop,canadian hip hop,13,74.54545454545455,455170.2727272727
atl hip hop,canadian pop,13,72.45454545454545,303017.0
brooklyn drill,melodic rap,13,57.6,182443.4
rage rap,rap,13,48.4,61247.2
uk dance,uk pop,13,76.4,425756.9
dance pop,neo soul,12,3.3333333333333335,147660.83333333334
neo soul,pop,12,3.3333333333333335,147660.83333333334
atl hip hop,toronto rap,12,76.2,497639.6
conscious hip hop,rap,12,71.9090909090909,79324.18181818182
canadian pop,pop,12,68.54545454545455,276917.9090909091
nyc rap,rap,12,51.9,105719.4
brooklyn drill,hip hop,12,63.45454545454545,165573.54545454544
melodic rap,pop,12,55.0,41944.583333333336
pop,uk pop,12,74.8,216691.9
gangster rap,pop rap,11,61.0,87999.81818181818
atl hip hop,gangster rap,11,62.0,147181.1
gangster rap,melodic rap,11,63.0,50411.181818181816
slap house,trap,11,56.666666666666664,130307.77777777778
canadian pop,pop rap,11,71.45454545454545,65700.0
rage rap,trap,11,41.75,72236.5
southern hip hop,trap,11,61.7,103948.2
chicago rap,melodic rap,11,35.375,37700.375
dance pop,rap,11,71.0,393792.3
dance pop,uk pop,11,76.28571428571429,397449.85714285716
hip hop,r&b,11,70.44444444444444,62795.444444444445
atl hip hop,chicago rap,10,65.33333333333333,21605.222222222223
new york drill,rap,10,54.333333333333336,29519.166666666668
melodic rap,rage rap,10,41.75,72236.5
uk drill,uk hip hop,10,69.0,164130.0
pop dance,pop dance,10,78.625,669310.25
new orleans rap,rap,10,66.66666666666667,65154.333333333336
dirty south rap,rap,10,67.83333333333333,87124.83333333333
houston rap,pop,10,59.625,150255.625
romanian rap,romanian rap,10,26.166666666666668,57165.166666666664
dance pop,hip hop,9,27.22222222222222,341121.0
canadian pop,melodic rap,9,53.25,174148.75
nyc rap,trap,9,54.375,103844.125
uk dance,uk dance,9,79.42857142857143,901096.0
atl hip hop,brooklyn drill,9,59.111111111111114,219357.66666666666
frauenrap,manele,9,40.0,113932.5
german hip hop,manele,9,40.0,113932.5
kosovan pop,manele,9,40.0,113932.5
romanian pop,romanian rap,9,42.888888888888886,476056.6666666667
north carolina hip hop,trap,9,72.75,338936.625
pop,pop rap,9,64.75,86822.5
dfw rap,rap,9,77.2,15461.4
trap,uk hip hop,9,65.2,115277.0
escape room,pop,8,17.875,118430.375
canadian hip hop,gangster rap,8,72.25,204080.625
canadian pop,gangster rap,8,72.25,204080.625
chicago drill,trap,8,56.0,15566.0
drill,trap,8,56.0,15566.0
k-pop,pop,8,51.333333333333336,106873.66666666667
brooklyn drill,brooklyn drill,8,57.625,47978.375
brooklyn drill,new york drill,8,54.333333333333336,29519.166666666668
queens hip hop,rap,8,69.0,71736.8
rap,underground hip hop,8,55.0,16423.0
hip hop,slap house,8,64.875,288292.875
dirty south rap,hip hop,8,67.83333333333333,87124.83333333333
miami hip hop,trap,8,47.166666666666664,26686.5
pop,reggaeton,8,60.57142857142857,80881.57142857143
pop,urbano latino,8,60.57142857142857,80881.57142857143
edm,uk pop,8,75.33333333333333,229717.33333333334
pop,progressive electro house,8,61.2,214585.6
pop,uk dance,8,75.66666666666667,168893.83333333334
atl hip hop,pop,8,65.42857142857143,16770.14285714286
atl trap,atl trap,8,51.333333333333336,3849.3333333333335
moldovan pop,romanian pop,8,40.333333333333336,573159.0
atl hip hop,slap house,7,58.5,178756.5
melodic rap,slap house,7,62.833333333333336,340762.6666666667
canadian hip hop,melodic rap,7,70.16666666666667,462310.8333333333
gangster rap,toronto rap,7,74.28571428571429,228881.14285714287
brooklyn drill,chicago rap,7,52.0,51059.25
conscious hip hop,hip hop,7,74.14285714285714,94975.57142857143
atl hip hop,southern hip hop,7,60.0,136540.57142857142
philly rap,rap,7,53.5,12058.666666666666
chicago drill,hip hop,7,74.6,55827.0
drill,hip hop,7,74.6,55827.0
romanian pop,romanian trap,7,36.666666666666664,562895.1666666666
pop,trap latino,7,58.5,77402.33333333333
brostep,pop,7,73.33333333333333,139523.33333333334
kentucky hip hop,rap,7,71.25,96796.5
dfw rap,trap,7,77.8,77360.8
rap,trap soul,7,69.8,87231.4
rap,uk hip hop,7,65.2,50166.2
atl trap,gangster rap,7,51.333333333333336,3849.3333333333335
dance pop,pop dance,7,79.75,675015.0
dance pop,escape room,6,3.3333333333333335,147660.83333333334
dance pop,indie soul,6,3.3333333333333335,147660.83333333334
indie soul,pop,6,3.3333333333333335,147660.83333333334
escape room,neo soul,6,3.3333333333333335,147660.83333333334
hip hop,neo soul,6,3.3333333333333335,147660.83333333334
indie soul,neo soul,6,3.3333333333333335,147660.83333333334
neo soul,neo soul,6,3.3333333333333335,147660.83333333334
hip hop,miami hip hop,6,73.66666666666667,95810.5
atl trap,canadian hip hop,6,74.33333333333333,338882.5
atl trap,canadian pop,6,74.33333333333333,338882.5
melodic rap,toronto rap,6,72.6,548677.6
canadian hip hop,southern hip hop,6,72.5,301353.6666666667
canadian pop,southern hip hop,6,72.5,301353.6666666667
southern hip hop,toronto rap,6,72.5,301353.6666666667
brooklyn drill,nyc rap,6,56.0,61935.0
pluggnb,rap,6,60.166666666666664,95536.5
melodic rap,southern hip hop,6,65.16666666666667,209434.0
melodic drill,uk hip hop,6,69.0,164130.0
london rap,uk drill,6,69.0,164130.0
pop,rock,6,72.83333333333333,155931.16666666666
dance pop,trap queen,6,72.6,161411.0
brooklyn drill,southern hip hop,6,60.6,21743.6
chicago rap,pop,6,38.166666666666664,25394.166666666668
atl hip hop,north carolina hip hop,6,71.83333333333333,258021.33333333334
canadian contemporary r&b,pop,6,70.0,667180.8333333334
dance pop,edm,6,73.6,260285.0
rap,trap queen,6,73.33333333333333,209726.66666666666
canadian trap,rap,6,68.66666666666667,682050.6666666666
