Source,Target,Weight,Avg_Popularity,Avg_Streams
russian hip hop,russian trap,113,29.7,534227.06
russian hip hop,russian hip hop,76,33.574074074074076,726393.7962962963
russian trap,russian trap,59,35.24242424242424,610019.1818181818
rap,trap,48,72.58823529411765,577641.4117647059
rap,rap,40,70.52,677844.64
kazakh hip hop,russian hip hop,38,43.333333333333336,1111228.6
russian drill,russian trap,36,31.6,221350.7
hip hop,rap,35,73.71428571428571,457884.38095238095
russian drill,russian hip hop,31,31.8,294874.15
russian hip hop,russian pop,29,35.95238095238095,1045135.8571428572
melodic rap,rap,27,63.666666666666664,514626.4666666667
atl hip hop,rap,26,70.14285714285714,366948.5714285714
pop,pop,26,64.96153846153847,364550.6923076923
kazakh hip hop,russian trap,22,43.7,1104636.4
central asian hip hop,russian hip hop,21,41.416666666666664,961528.0833333334
pop rap,rap,21,70.9090909090909,553479.0
melodic rap,trap,19,68.54545454545455,627727.0909090909
russian alt pop,russian hip hop,18,32.6875,957694.8125
russian grime,russian trap,18,39.4,602936.2
russian pop,russian pop,17,34.06666666666667,1094818.3333333333
atl hip hop,trap,16,69.22222222222223,452406.1111111111
trap,trap,16,71.7,789804.4
pop,rap,15,53.166666666666664,601427.1666666666
hip hop,trap,15,74.08333333333333,586680.75
central asian hip hop,russian trap,14,42.888888888888886,1158099.7777777778
pop rap,trap,13,68.0,741714.6
dance pop,pop,13,64.66666666666667,221876.66666666666
russian dance,russian pop,13,40.5,1623833.0
central asian hip hop,kazakh hip hop,12,40.625,1207004.875
russian gangster rap,russian hip hop,12,19.5,677444.1
russian grime,russian hip hop,12,32.833333333333336,528458.8333333334
canadian hip hop,rap,12,74.25,765524.75
rap,toronto rap,12,74.25,765524.75
k-pop girl group,pop,11,69.25,423239.875
atl hip hop,hip hop,11,71.0,239886.6
hip hop,melodic rap,11,71.2,482457.0
kazakh hip hop,kazakh hip hop,10,40.625,1207004.875
k-pop,pop,10,56.1,420157.7
reggaeton,trap latino,10,80.0,35556.333333333336
reggaeton,urbano latino,10,80.0,35556.333333333336
trap latino,urbano latino,10,80.0,35556.333333333336
canadian hip hop,trap,9,73.83333333333333,794839.1666666666
toronto rap,trap,9,73.83333333333333,794839.1666666666
melodic rap,pop rap,9,69.0,623625.0
canadian pop,pop,9,71.0,57990.42857142857
pop,pop rap,9,61.125,82344.875
russian drill,russian drill,9,33.285714285714285,325493.28571428574
russian dance,russian hip hop,9,41.2,1665992.2
k-pop girl group,speedrun,8,69.4,334201.4
k-pop girl group,video game music,8,69.4,334201.4
kazakh indie,russian hip hop,7,34.8,620274.0
kazakh indie,russian trap,7,34.8,620274.0
chicago rap,pop,7,38.333333333333336,366001.8333333333
melodic rap,pop,7,40.0,274012.14285714284
russian gangster rap,russian trap,7,9.666666666666666,666724.3333333334
canadian trap,rap,7,69.66666666666667,1212213.3333333333
atl hip hop,melodic rap,7,71.8,556089.8
hip hop,hip hop,7,77.0,613739.2857142857
canadian hip hop,hip hop,7,76.83333333333333,572362.1666666666
hip hop,toronto rap,7,76.83333333333333,572362.1666666666
canadian pop,rap,7,76.0,509774.28571428574
russian alt pop,russian trap,7,30.666666666666668,1385562.0
hip hop,pop,7,68.16666666666667,102047.83333333333
kazakh hip hop,kazakh indie,6,34.8,620274.0
kavkaz,russian hip hop,6,14.75,539134.5
canadian hip hop,pop rap,6,72.0,998360.6
pop rap,toronto rap,6,72.0,998360.6
canadian trap,trap,6,69.66666666666667,1212213.3333333333
russian pop,russian trap,6,41.833333333333336,1244811.6666666667
atl hip hop,atl hip hop,6,72.25,32811.0
pluggnb,rap,6,66.2,44105.0
rap,southern hip hop,6,67.0,41024.2
canadian pop,hip hop,6,76.5,495784.8333333333
hip hop,pop rap,6,76.25,790945.0
pop,reggaeton,6,67.5,104510.5
pop,urbano latino,6,67.5,104510.5
r&b,rap,6,76.0,252628.75
north carolina hip hop,rap,6,79.66666666666667,1680821.3333333333
central asian hip hop,kazakh indie,5,34.8,620274.0
melodic rap,slap house,5,56.4,538943.2
russian alt pop,russian rock,5,24.2,89567.0
russian electronic,russian hip hop,5,23.4,374178.8
russian pop,russian reggae,5,23.25,91886.0
russian pop,russian rock,5,23.25,91886.0
kavkaz,russian trap,5,14.75,539134.5
russian emo rap,trap,5,0.0,910037.4
russian hip hop,trap,5,0.0,910037.4
russian trap,trap,5,0.0,910037.4
melodic rap,melodic rap,5,63.4,577489.2
hip hop,pluggnb,5,66.2,44105.0
plugg,rap,5,66.75,46962.25
rage rap,rap,5,66.75,46962.25
belarusian hip hop,russian hip hop,5,20.0,1003934.5
pop,speedrun,5,70.0,400009.75
pop,video game music,5,70.0,400009.75
reggaeton,reggaeton,5,80.0,35556.333333333336
trap latino,trap latino,5,80.0,35556.333333333336
urbano latino,urbano latino,5,80.0,35556.333333333336
pop,r&b,5,69.0,18011.0
gangster rap,rap,5,76.25,198537.5
brooklyn drill,rap,5,76.33333333333333,424465.3333333333
russian gangster rap,russian pop,5,32.0,1297119.25
pop,trap latino,5,65.66666666666667,128148.66666666667
chicago rap,rap,5,59.5,270873.0
atl trap,rap,5,77.75,484981.75
alt z,k-pop girl group,5,72.33333333333333,526865.6666666666
electro house,melodic rap,4,53.0,502181.5
electro house,slap house,4,53.0,502181.5
melodic rap,pop dance,4,53.0,502181.5
