Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,trap,31,66.9,46011.7
rap,rap,25,72.4,51026.6
atl hip hop,rap,22,64.71428571428571,46457.142857142855
hip hop,rap,21,72.63636363636364,45477.09090909091
melodic rap,rap,19,70.71428571428571,78727.14285714286
atl hip hop,trap,17,64.6,60327.8
melodic rap,trap,16,68.33333333333333,70962.0
movie tunes,movie tunes,15,78.0,215090.0
gangster rap,rap,13,69.375,43203.75
pop,rap,13,69.92307692307692,174493.92307692306
pop,pop,13,80.76923076923077,139660.92307692306
atl hip hop,melodic rap,11,64.6,60327.8
gangster rap,hip hop,11,69.375,43203.75
trap,trap,11,64.6,60327.8
hip hop,trap,9,58.8,34359.4
rap,southern hip hop,9,61.6,33942.6
atl trap,rap,8,59.0,36914.8
hip hop,pop,8,56.75,204152.0
hip hop,melodic rap,7,62.5,71582.75
atl hip hop,atl hip hop,7,55.0,53671.0
atl hip hop,hip hop,7,55.0,53671.0
pop,trap,7,73.14285714285714,66495.85714285714
hip hop,hip hop,7,79.42857142857143,29867.0
atl hip hop,southern hip hop,6,61.25,40780.5
melodic rap,southern hip hop,6,61.25,40780.5
southern hip hop,trap,6,61.25,40780.5
g funk,hip hop,6,81.75,44506.5
g funk,rap,6,81.75,44506.5
hip hop,west coast rap,6,81.75,44506.5
pop rap,rap,6,77.75,69280.0
rap,west coast rap,6,81.75,44506.5
dance pop,pop,6,82.2,162545.0
canadian pop,rap,6,76.6,59836.0
atl hip hop,atl trap,5,55.0,53671.0
atl hip hop,gangster rap,5,55.0,53671.0
atl trap,trap,5,55.0,53671.0
gangster rap,trap,5,55.0,53671.0
pop,uk pop,5,79.6,66268.6
canadian hip hop,rap,5,81.33333333333333,54323.0
rap,toronto rap,5,81.33333333333333,54323.0
dance pop,rap,5,80.8,147022.2
modern salsa,movie tunes,5,78.0,215090.0
movie tunes,salsa colombiana,5,78.0,215090.0
hollywood,movie tunes,5,78.0,215090.0
atl trap,hip hop,4,55.0,53671.0
melodic rap,melodic rap,4,62.75,101005.0
khaliji,khaliji,4,10.0,183519.75
khaliji,sheilat,4,0.0,153029.5
g funk,gangster rap,4,85.0,66006.0
g funk,west coast rap,4,85.0,66006.0
gangster rap,west coast rap,4,85.0,66006.0
canadian contemporary r&b,pop,4,83.0,174498.0
canadian pop,hip hop,4,76.0,26701.75
canadian hip hop,trap,4,78.5,79080.0
toronto rap,trap,4,78.5,79080.0
dance pop,hip hop,4,61.25,109993.25
atl trap,southern hip hop,3,55.0,53671.0
gangster rap,southern hip hop,3,55.0,53671.0
modern rock,speedrun,3,56.0,491475.6666666667
modern rock,video game music,3,56.0,491475.6666666667
pop,speedrun,3,56.0,491475.6666666667
pop,video game music,3,56.0,491475.6666666667
