Source,Target,Weight,Avg_Popularity,Avg_Streams
swedish hip hop,swedish trap pop,165,39.32727272727273,851619.5272727272
swedish trap pop,swedish trap pop,89,38.72,869370.02
swedish hip hop,swedish hip hop,76,38.333333333333336,943529.4222222222
swedish gangsta rap,swedish trap pop,58,36.10344827586207,1058301.4137931035
swedish gangsta rap,swedish hip hop,56,36.285714285714285,1091480.5
swedish hip hop,swedish trap,34,37.857142857142854,823721.1904761905
swedish drill,swedish trap pop,33,37.68181818181818,686540.5909090909
swedish trap,swedish trap pop,33,36.833333333333336,864671.2222222222
swedish drill,swedish hip hop,27,36.94736842105263,751902.6315789474
swedish hip hop,swedish reggae,20,43.0,936837.2222222222
swedish pop,swedish pop,20,38.45,1003057.05
pop,pop,20,73.27777777777777,536042.6111111111
swedish reggae,swedish trap pop,17,43.0,936837.2222222222
rap,trap,17,61.142857142857146,221043.85714285713
pop,pop dance,17,66.83333333333333,1125444.5
classic swedish pop,swedish pop,15,39.84615384615385,1143913.6923076923
atl hip hop,rap,15,59.8,215428.2
swedish idol pop,swedish pop,15,42.4,1317774.1
movie tunes,movie tunes,15,78.0,2509765.0
hip hop,rap,14,69.875,394776.125
edm,pop,14,66.55555555555556,1484860.7777777778
rap,rap,13,66.77777777777777,260549.11111111112
atl hip hop,trap,12,43.0,500265.5
dance pop,pop,12,72.77777777777777,259988.88888888888
swedish hip hop,swedish pop,11,41.81818181818182,951056.8181818182
swedish pop,swedish pop rap,11,45.90909090909091,1654123.8181818181
pop,rap,11,68.0909090909091,638595.5454545454
swedish gangsta rap,swedish trap,11,29.75,522832.5
gangster rap,rap,11,68.0,447823.5714285714
edm,pop dance,11,64.71428571428571,31343.571428571428
swedish hip hop,swedish underground rap,10,28.166666666666668,1220248.8333333333
swedish trap pop,swedish underground rap,10,28.166666666666668,1220248.8333333333
epa dunk,swedish eurodance,9,44.833333333333336,44677.333333333336
swedish gangsta rap,swedish gangsta rap,9,29.88888888888889,685506.2222222222
melodic rap,rap,9,56.333333333333336,341325.0
gangster rap,hip hop,9,68.0,447823.5714285714
pop dance,uk dance,9,69.42857142857143,281319.14285714284
dance pop,pop dance,9,71.125,236131.875
swedish drill,swedish gangsta rap,8,30.625,1065978.25
atl hip hop,melodic rap,8,43.0,500265.5
melodic rap,trap,8,43.0,500265.5
pop dance,uk pop,8,72.33333333333333,194296.83333333334
pop dance,pop dance,8,66.875,154590.875
swedish drill,swedish trap,7,31.428571428571427,318049.71428571426
hip hop,trap,7,59.6,298828.2
atl trap,rap,6,54.0,263424.25
swedish pop,swedish trap pop,6,53.666666666666664,981791.5
atl hip hop,atl hip hop,6,43.0,500265.5
trap,trap,6,43.0,500265.5
g funk,hip hop,6,81.75,462487.0
g funk,rap,6,81.75,462487.0
hip hop,west coast rap,6,81.75,462487.0
rap,west coast rap,6,81.75,462487.0
hip hop,pop,6,63.333333333333336,783726.6666666666
dance pop,uk pop,6,79.2,334921.8
pop,uk pop,6,76.2,286669.0
pop,progressive electro house,6,54.6,844576.4
dance pop,edm,6,66.8,157190.4
swedish gangsta rap,swedish underground rap,5,27.4,1428036.4
epa dunk,russelater,5,42.75,25003.75
pop,trap,5,70.4,102905.6
atl hip hop,hip hop,5,56.333333333333336,341325.0
hip hop,melodic rap,5,56.333333333333336,341325.0
rap,southern hip hop,5,49.666666666666664,428272.3333333333
hip hop,hip hop,5,78.0,426846.8
swedish idol pop,swedish idol pop,5,31.4,1521587.6
italo dance,slap house,5,69.66666666666667,1189403.3333333333
pop,slap house,5,63.0,852967.5
dutch house,edm,5,51.0,30164.666666666668
dutch house,pop dance,5,51.0,30164.666666666668
house,uk dance,5,73.75,458533.75
edm,uk pop,5,69.75,31680.75
modern salsa,movie tunes,5,78.0,2509765.0
movie tunes,salsa colombiana,5,78.0,2509765.0
hollywood,movie tunes,5,78.0,2509765.0
swedish reggae,swedish underground rap,4,31.0,1135051.5
russelater,swedish eurodance,4,43.0,23934.0
swedish eurodance,swedish eurodance,4,43.0,23934.0
afrobeats,pop,4,54.5,458233.25
nigerian pop,pop,4,54.5,458233.25
pop,post-teen pop,4,68.0,342555.5
swedish gangsta rap,swedish idol pop,4,62.25,1417808.0
swedish gangsta rap,swedish pop,4,62.25,1417808.0
swedish gangsta rap,swedish pop rap,4,62.25,1417808.0
swedish hip hop,swedish idol pop,4,62.25,1417808.0
swedish hip hop,swedish pop rap,4,62.25,1417808.0
swedish idol pop,swedish trap,4,62.25,1417808.0
swedish pop,swedish trap,4,62.25,1417808.0
swedish pop rap,swedish trap,4,62.25,1417808.0
swedish idol pop,swedish trap pop,4,62.25,1417808.0
swedish pop rap,swedish trap pop,4,62.25,1417808.0
atl hip hop,southern hip hop,4,43.0,500265.5
melodic rap,southern hip hop,4,43.0,500265.5
southern hip hop,trap,4,43.0,500265.5
atl hip hop,atl trap,4,43.0,500265.5
atl hip hop,gangster rap,4,43.0,500265.5
atl trap,trap,4,43.0,500265.5
gangster rap,trap,4,43.0,500265.5
hip hop,pop rap,4,58.25,294603.75
pop rap,rap,4,58.25,294603.75
g funk,gangster rap,4,85.0,433726.0
g funk,west coast rap,4,85.0,433726.0
gangster rap,west coast rap,4,85.0,433726.0
canadian pop,rap,4,75.0,490900.0
pop,rock,4,61.5,1225356.5
pop,uk dance,4,72.0,39108.25
uk dance,uk pop,4,79.0,354440.6666666667
edm,edm,4,58.0,26442.0
edm,slap house,4,56.0,27982.0
pop dance,slap house,4,56.0,27982.0
edm,electro house,4,51.0,30164.666666666668
edm,progressive electro house,4,51.0,30164.666666666668
electro house,pop dance,4,51.0,30164.666666666668
pop dance,progressive electro house,4,51.0,30164.666666666668
edm,uk dance,4,63.25,33628.5
uk dance,uk dance,4,78.75,464746.0
electro house,pop,4,58.0,110181.33333333333
dance pop,rap,4,82.75,429111.5
swedish dancehall,swedish hip hop,4,45.666666666666664,575580.0
swedish dancehall,swedish trap pop,4,45.666666666666664,575580.0
pop rap,pop rap,4,43.0,29512.0
pop rap,seattle hip hop,4,86.0,32347.0
afrobeats,singer-songwriter pop,3,50.666666666666664,545740.0
nigerian pop,singer-songwriter pop,3,50.666666666666664,545740.0
afrobeats,uk pop,3,50.666666666666664,545740.0
nigerian pop,uk pop,3,50.666666666666664,545740.0
indie poptimism,pop,3,74.66666666666667,448367.3333333333
indie poptimism,post-teen pop,3,74.66666666666667,448367.3333333333
fotbollslatar,swedish gangsta rap,3,62.666666666666664,1528634.6666666667
fotbollslatar,swedish hip hop,3,62.666666666666664,1528634.6666666667
fotbollslatar,swedish trap,3,62.666666666666664,1528634.6666666667
fotbollslatar,swedish trap pop,3,62.666666666666664,1528634.6666666667
swedish trap,swedish trap,3,16.333333333333332,119965.0
canadian contemporary r&b,rap,3,72.33333333333333,646718.6666666666
rock,uk pop,3,54.0,1611092.3333333333
alternative dance,dance pop,3,61.5,2373002.5
alternative dance,pop,3,61.5,2373002.5
electropop,pop,3,72.0,23896.333333333332
danspunk,epa dunk,3,49.0,84024.5
epa dunk,swedish pop rap,3,49.0,84024.5
swedish gangsta rap,swedish reggae,3,50.5,1100165.0
