Source,Target,Weight,Avg_Popularity,Avg_Streams
pop,pop,30,76.86666666666666,367344.4
movie tunes,movie tunes,17,75.33333333333333,598305.3333333334
pop,rap,17,64.3529411764706,374015.64705882355
rap,trap,15,60.0,158049.0
c-pop,classic mandopop,14,19.0,9660.5
atl hip hop,rap,13,50.0,95446.66666666667
rap,rap,12,67.75,137899.375
atl hip hop,trap,12,43.0,137187.0
hip hop,pop,11,55.45454545454545,403034.54545454547
hip hop,rap,11,65.16666666666667,99817.16666666667
cantopop,classic mandopop,11,19.0,9660.5
classic cantopop,classic mandopop,11,19.0,9660.5
dance pop,pop,11,79.4,250933.8
melodic rap,rap,10,57.666666666666664,255566.66666666666
melodic rap,trap,9,57.666666666666664,255566.66666666666
gangster rap,rap,9,63.8,75981.4
edm,pop,9,72.11111111111111,246605.88888888888
c-pop,classic cantopop,9,23.0,14005.0
c-pop,cantopop,9,23.0,14005.0
atl hip hop,melodic rap,8,43.0,137187.0
hollywood,movie tunes,7,75.33333333333333,598305.3333333334
gangster rap,hip hop,7,63.8,75981.4
classic mandopop,classic mandopop,7,19.0,9660.5
k-pop,pop,7,62.666666666666664,445091.3333333333
pop,pop dance,7,71.28571428571429,278580.4285714286
cantopop,classic cantopop,7,23.0,14005.0
dance pop,neo soul,6,23.666666666666668,377104.3333333333
neo soul,pop,6,23.666666666666668,377104.3333333333
atl hip hop,atl hip hop,6,43.0,137187.0
trap,trap,6,43.0,137187.0
canadian pop,pop,6,68.83333333333333,553873.0
pop,trap,6,77.66666666666667,321769.3333333333
electropop,pop,6,84.6,401523.2
c-pop,c-pop,6,23.0,14005.0
dance pop,hip hop,5,46.0,391791.4
hip hop,trap,5,49.666666666666664,95317.66666666667
rap,southern hip hop,5,49.666666666666664,95317.66666666667
atl trap,rap,5,50.0,95446.66666666667
c-pop,mandopop,5,19.0,9660.5
indie poptimism,pop,5,78.0,224131.8
pop,post-teen pop,5,71.8,96602.8
canadian contemporary r&b,pop,5,81.4,662064.2
pop,pop rap,5,76.0,174575.2
pop,uk pop,5,78.8,212687.2
pop,progressive electro house,5,66.8,272825.2
modern salsa,movie tunes,5,78.0,1309621.0
movie tunes,salsa colombiana,5,78.0,1309621.0
atl hip hop,hip hop,4,43.0,137187.0
hip hop,melodic rap,4,43.0,137187.0
atl hip hop,southern hip hop,4,43.0,137187.0
melodic rap,southern hip hop,4,43.0,137187.0
southern hip hop,trap,4,43.0,137187.0
atl hip hop,atl trap,4,43.0,137187.0
atl hip hop,gangster rap,4,43.0,137187.0
atl trap,trap,4,43.0,137187.0
gangster rap,trap,4,43.0,137187.0
cantopop,mandopop,4,19.0,9660.5
classic cantopop,mandopop,4,19.0,9660.5
classic mandopop,mandopop,4,19.0,9660.5
g funk,gangster rap,4,85.0,46977.0
g funk,hip hop,4,85.0,46977.0
g funk,rap,4,85.0,46977.0
g funk,west coast rap,4,85.0,46977.0
gangster rap,west coast rap,4,85.0,46977.0
hip hop,west coast rap,4,85.0,46977.0
rap,west coast rap,4,85.0,46977.0
canadian pop,rap,4,54.25,232538.25
melodic rap,pop,4,42.5,383087.0
dance pop,rap,4,79.75,451208.5
dance pop,escape room,3,23.666666666666668,377104.3333333333
escape room,pop,3,23.666666666666668,377104.3333333333
dance pop,indie soul,3,23.666666666666668,377104.3333333333
indie soul,pop,3,23.666666666666668,377104.3333333333
escape room,neo soul,3,23.666666666666668,377104.3333333333
hip hop,neo soul,3,23.666666666666668,377104.3333333333
indie soul,neo soul,3,23.666666666666668,377104.3333333333
neo soul,neo soul,3,23.666666666666668,377104.3333333333
melodic rap,melodic rap,3,57.666666666666664,255566.66666666666
hip hop,hip hop,3,77.66666666666667,35177.666666666664
hip hop,pop rap,3,77.66666666666667,35177.666666666664
pop rap,rap,3,77.66666666666667,35177.666666666664
canadian contemporary r&b,rap,3,72.33333333333333,297684.0
permanent wave,pop,3,83.0,629637.0
dance pop,uk pop,3,81.66666666666667,130352.33333333333
pop,singer-songwriter pop,3,76.66666666666667,437432.0
etherpop,pop,3,81.33333333333333,348728.3333333333
italo dance,slap house,3,82.0,258945.0
brostep,pop,3,82.0,440674.3333333333
contemporary country,pop,3,76.0,240873.5
country,pop,3,76.0,240873.5
country road,pop,3,76.0,240873.5
electro house,pop,3,74.0,30759.333333333332
rap,uk pop,3,80.66666666666667,405341.0
cantopop,cantopop,3,23.0,14005.0
classic cantopop,classic cantopop,3,23.0,14005.0
houston rap,pop,3,79.0,186625.0
pop,trap queen,3,79.0,186625.0
k-pop,rap,3,41.5,135658.0
atl trap,hip hop,2,43.0,137187.0
atl trap,southern hip hop,2,43.0,137187.0
gangster rap,southern hip hop,2,43.0,137187.0
atl trap,melodic rap,2,43.0,137187.0
gangster rap,melodic rap,2,43.0,137187.0
bedroom pop,hip hop,2,57.5,8728.5
bedroom pop,rap,2,57.5,8728.5
hip hop,pov: indie,2,57.5,8728.5
pov: indie,rap,2,57.5,8728.5
g funk,g funk,2,85.0,46977.0
g funk,pop rap,2,85.0,46977.0
gangster rap,gangster rap,2,85.0,46977.0
gangster rap,pop rap,2,85.0,46977.0
pop rap,west coast rap,2,85.0,46977.0
west coast rap,west coast rap,2,85.0,46977.0
indie poptimism,post-teen pop,2,73.0,37237.0
hip hop,modern rock,2,45.0,838092.0
modern rock,rap,2,45.0,838092.0
modern rock,underground hip hop,2,45.0,838092.0
pop,underground hip hop,2,45.0,838092.0
hip hop,rock,2,45.0,838092.0
rap,rock,2,45.0,838092.0
rock,underground hip hop,2,45.0,838092.0
modern rock,speedrun,2,45.0,838092.0
modern rock,video game music,2,45.0,838092.0
pop,speedrun,2,45.0,838092.0
pop,video game music,2,45.0,838092.0
rock,speedrun,2,45.0,838092.0
rock,video game music,2,45.0,838092.0
hip hop,speedrun,2,45.0,838092.0
hip hop,video game music,2,45.0,838092.0
rap,speedrun,2,45.0,838092.0
rap,video game music,2,45.0,838092.0
speedrun,underground hip hop,2,45.0,838092.0
underground hip hop,video game music,2,45.0,838092.0
mandopop,singaporean pop,2,43.0,112936.0
singaporean mandopop,singaporean pop,2,43.0,112936.0
singaporean pop,singaporean pop,2,43.0,112936.0
canadian pop,dance pop,2,83.5,524406.5
canadian contemporary r&b,hip hop,2,69.0,77975.0
canadian pop,hip hop,2,69.0,77975.0
k-pop boy group,pop,2,82.0,884011.0
canadian pop,melodic rap,2,39.5,387101.5
alt z,pop,2,75.0,524044.5
italo dance,melbourne bounce international,2,82.0,258945.0
albanian hip hop,swedish hip hop,2,60.0,430181.0
albanian hip hop,swedish trap pop,2,60.0,430181.0
german hip hop,swedish hip hop,2,60.0,430181.0
german hip hop,swedish trap pop,2,60.0,430181.0
albanian hip hop,german hip hop,2,60.0,430181.0
boy band,pop,2,80.5,666052.0
chicago rap,hip hop,2,67.5,115287.5
chicago rap,rap,2,67.5,115287.5
piano rock,rap,2,72.0,218996.0
rap,viral pop,2,72.0,218996.0
dance pop,pop rap,2,79.0,76056.0
dance pop,trap,2,79.5,413822.0
hollywood,pop,2,81.5,164492.5
country pop,pop,2,79.0,5420.0
modern country rock,pop,2,79.0,5420.0
modern alternative rock,pop,2,79.0,5420.0
pop,r&b,2,84.5,834290.0
reggaeton,urbano latino,2,82.0,57191.0
k-pop,k-pop,2,35.0,148735.5
chicago rap,pop,2,2.0,151460.0
chinese viral pop,chinese viral pop,2,62.0,293466.0
chinese viral pop,mainland chinese pop,2,62.0,293466.0
house,pop,2,74.0,241613.0
pop,uk dance,2,70.0,310340.0
pop,tropical house,2,82.0,485096.5
colombian pop,ghanaian alternative,2,80.0,325952.0
pop,viral pop,2,71.5,403494.0
pop,puerto rican pop,2,79.0,5497.0
pop,reggaeton,2,79.0,5497.0
pop,trap latino,2,79.0,5497.0
pop,urbano latino,2,79.0,5497.0
