Source,Target,Weight,Avg_Popularity,Avg_Streams
czech hip hop,czsk hip hop,436,22.535211267605632,26764.267605633802
czsk hip hop,czsk hip hop,281,21.19047619047619,27649.714285714286
czech hip hop,czech hip hop,172,26.06382978723404,28552.510638297874
rap,trap,135,49.794520547945204,58548.16438356164
pop,pop,125,49.74107142857143,107888.32142857143
hip hop,rap,119,50.71621621621622,61542.64864864865
czsk emo rap,czsk hip hop,109,31.75,27256.875
pop,rap,108,45.76190476190476,70867.70238095238
rap,rap,105,47.936708860759495,57948.93670886076
czech drill,czsk hip hop,97,25.40625,26615.875
edm,pop,95,50.128571428571426,109528.72857142857
pop,pop dance,95,46.01428571428571,87448.78571428571
czech hip hop,czsk emo rap,90,34.63636363636363,29302.227272727272
czsk hip hop,slovak hip hop,80,16.31578947368421,26897.947368421053
czech drill,czech hip hop,76,26.46153846153846,25561.884615384617
dance pop,pop,72,53.23529411764706,82089.74509803922
hip hop,trap,65,61.078947368421055,54184.52631578947
czech hip hop,slovak hip hop,61,18.74074074074074,31012.555555555555
melodic rap,rap,57,47.333333333333336,59385.38461538462
pop rap,rap,57,54.46153846153846,70326.0
pop,trap,56,44.645833333333336,71250.35416666667
hip hop,pop,52,44.18604651162791,70852.13953488372
atl hip hop,rap,51,48.94444444444444,59408.97222222222
electro house,pop,49,40.87179487179487,85894.2564102564
melodic rap,trap,49,43.81578947368421,68002.78947368421
trap,trap,43,51.08571428571429,36925.91428571429
pop,uk pop,42,50.483870967741936,83835.54838709677
edm,pop dance,39,50.333333333333336,71533.72222222222
rap,southern hip hop,39,54.142857142857146,39860.0
pop rap,trap,36,56.666666666666664,51541.75
emo rap,rap,35,31.37037037037037,53884.666666666664
pop,pop rap,34,53.13793103448276,81513.72413793103
hip hop,hip hop,34,55.64,45140.76
hip hop,pop rap,32,58.21052631578947,70654.84210526316
pop,uk dance,30,53.592592592592595,142559.07407407407
emo rap,trap,29,33.142857142857146,28020.809523809523
hip hop,melodic rap,29,52.69230769230769,82322.65384615384
dance pop,rap,29,55.45,65481.25
dance pop,edm,27,57.31818181818182,101901.63636363637
dance pop,pop dance,27,54.04347826086956,65642.73913043478
atl hip hop,hip hop,27,57.4,53824.7
pop,progressive electro house,27,54.285714285714285,136919.66666666666
atl hip hop,trap,26,51.2,44614.8
czech drill,czsk emo rap,25,32.0625,28620.875
atl hip hop,pop,25,45.59090909090909,98018.72727272728
southern hip hop,trap,25,54.05555555555556,24228.61111111111
czsk hip hop,slovak trap,25,28.285714285714285,39253.78571428572
miami hip hop,rap,25,65.25,65779.5
r&b,rap,24,34.0,59250.35
melodic rap,pop,23,52.34782608695652,80501.17391304347
hip hop,southern hip hop,23,56.90909090909091,20692.090909090908
pop dance,uk pop,23,47.15,79202.0
big room,pop,22,55.1764705882353,123809.88235294117
edm,rap,22,46.63157894736842,71168.26315789473
pop,r&b,21,49.15,86456.35
edm,uk pop,21,56.8235294117647,119079.58823529411
pop dance,pop dance,20,48.4375,68389.4375
pop,southern hip hop,20,52.411764705882355,52449.705882352944
electropop,pop,20,49.11764705882353,74352.05882352941
dance pop,trap,20,52.5,68156.28571428571
reggaeton,urbano latino,20,63.0,163052.83333333334
edm,edm,19,49.4,82507.86666666667
hip hop,r&b,19,38.57142857142857,49941.92857142857
miami hip hop,trap,19,64.75,57429.8125
pop dance,rap,19,47.75,84280.625
melodic rap,pop rap,18,51.5625,77440.6875
dance pop,uk pop,18,54.0,112293.30769230769
moombahton,pop,17,28.166666666666668,66929.25
emo rap,melodic rap,17,31.5,25461.428571428572
atl hip hop,melodic rap,17,42.35294117647059,77526.64705882352
canadian pop,rap,17,44.714285714285715,69624.5
uk dance,uk pop,17,52.46666666666667,134377.2
dance pop,pop rap,17,60.53846153846154,38340.230769230766
hip pop,pop,16,41.06666666666667,37044.73333333333
contemporary country,pop,16,43.357142857142854,118275.78571428571
rap,uk pop,16,53.166666666666664,60162.833333333336
dance pop,dance pop,16,60.75,88947.25
dutch house,pop,16,51.36363636363637,80643.18181818182
edm,electro house,16,53.07692307692308,82555.53846153847
electro house,pop dance,16,51.15384615384615,70667.69230769231
edm,progressive electro house,16,51.23076923076923,68589.84615384616
pop,reggaeton,16,70.88888888888889,174985.77777777778
pop,queens hip hop,15,39.714285714285715,39589.5
big room,edm,15,45.63636363636363,94555.63636363637
big room,pop dance,15,45.63636363636363,94555.63636363637
pop dance,progressive electro house,15,51.23076923076923,68589.84615384616
reggaeton,trap latino,15,61.4,169746.8
canadian pop,pop,15,34.666666666666664,62311.5
hip hop,miami hip hop,15,65.5,76282.71428571429
pop,urbano latino,15,70.88888888888889,174985.77777777778
pop dance,pop rap,15,46.38461538461539,78910.23076923077
edm,trap,15,37.23076923076923,24236.76923076923
australian pop,pop,14,30.428571428571427,72303.07142857143
conscious hip hop,rap,14,55.3,66033.6
canadian hip hop,rap,14,36.53846153846154,106807.46153846153
rap,toronto rap,14,36.53846153846154,79903.07692307692
edm,pop rap,14,43.916666666666664,26135.25
pop dance,trap,14,40.333333333333336,26168.416666666668
rap,slap house,14,60.44444444444444,82780.66666666667
australian pop,edm,13,25.818181818181817,79838.36363636363
indie poptimism,pop,13,27.90909090909091,84339.27272727272
pop,progressive house,13,57.07692307692308,155181.6923076923
dfw rap,trap,13,36.92307692307692,133295.61538461538
melodic rap,southern hip hop,13,50.15384615384615,61925.61538461538
czech hip hop,slovak trap,13,25.125,34502.75
pop rap,pop rap,13,57.72727272727273,33238.454545454544
pop rap,southern hip hop,13,53.666666666666664,15073.888888888889
pop,pop r&b,13,61.45454545454545,153080.72727272726
dutch house,edm,13,50.36363636363637,80678.81818181818
canadian pop,hip hop,13,45.083333333333336,68647.33333333333
trap latino,urbano latino,13,50.0,259359.66666666666
czsk hip hop,polish hip hop,13,17.555555555555557,37022.0
