Source,Target,Weight,Avg_Popularity,Avg_Streams
reggaeton,urbano latino,1634,63.50678733031674,511561.23981900455
trap latino,urbano latino,1539,62.818604651162794,506439.53953488375
reggaeton,trap latino,1371,62.9377990430622,522022.64593301434
urbano latino,urbano latino,912,63.1324200913242,506028.0410958904
reggaeton,reggaeton,741,62.80392156862745,516490.4705882353
trap latino,trap latino,644,63.340782122905026,550242.966480447
reggaeton flow,urbano latino,237,61.90909090909091,531734.9454545454
latin hip hop,urbano latino,225,64.30666666666667,417495.16
reggaeton,reggaeton flow,219,61.94444444444444,540093.7962962963
reggaeton colombiano,urbano latino,217,65.07894736842105,484832.7368421053
latin hip hop,reggaeton,214,64.30666666666667,417495.16
reggaeton,reggaeton colombiano,205,65.01282051282051,468654.57692307694
reggaeton flow,trap latino,204,62.84615384615385,534374.6730769231
latin hip hop,trap latino,189,65.1159420289855,437722.9130434783
trap argentino,urbano latino,176,54.18181818181818,449859.63636363635
reggaeton colombiano,trap latino,174,64.25757575757575,507522.7727272727
trap argentino,trap latino,145,53.54761904761905,464901.4285714286
latin pop,mexican pop,144,65.0,89157.88
latin pop,urbano latino,139,63.63380281690141,346341.05633802817
latin pop,reggaeton,133,63.02857142857143,330715.67142857146
panamanian pop,urbano latino,121,61.609756097560975,523030.2195121951
puerto rican pop,urbano latino,118,67.22448979591837,476228.71428571426
reggaeton,trap argentino,116,67.96774193548387,607429.5161290322
r&b en espanol,urbano latino,114,63.41935483870968,638042.6129032258
puerto rican pop,reggaeton,112,66.3695652173913,472360.67391304346
colombian pop,urbano latino,111,67.21052631578948,392483.0789473684
latin pop,trap latino,110,63.92982456140351,347057.22807017545
puerto rican pop,trap latino,103,66.68181818181819,515859.45454545453
panamanian pop,reggaeton,102,61.609756097560975,523030.2195121951
colombian pop,reggaeton,101,67.275,368590.75
panamanian pop,trap latino,100,61.609756097560975,523030.2195121951
r&b en espanol,trap latino,94,63.41935483870968,638042.6129032258
r&b en espanol,reggaeton,92,63.1,655309.2333333333
colombian pop,trap latino,85,66.90625,379584.84375
rap latina,urbano latino,74,64.70833333333333,318490.2083333333
latin pop,latin pop,70,64.25,117333.63888888889
rap latina,trap latino,66,64.26086956521739,296950.04347826086
pop reggaeton,urbano latino,61,67.23529411764706,811953.9411764706
rap latina,reggaeton,60,63.5,322092.15
latin arena pop,latin pop,55,65.0,49188.71428571428
pop reggaeton,reggaeton,53,67.23529411764706,811953.9411764706
pop,reggaeton,53,66.44444444444444,469661.2962962963
pop,urbano latino,53,66.44444444444444,469661.2962962963
mexican pop,mexican pop,51,63.35294117647059,6331.0
latin arena pop,mexican pop,51,63.35294117647059,6331.0
pop reggaeton,trap latino,50,67.23529411764706,811953.9411764706
pop,trap latino,45,67.375,517870.0416666667
argentine hip hop,urbano latino,42,64.4,372289.5
argentine hip hop,trap argentino,40,34.05882352941177,209363.82352941178
pop,pop,40,68.57894736842105,110561.63157894737
latin pop,reggaeton colombiano,37,61.206896551724135,296294.1724137931
argentine hip hop,trap latino,36,63.625,431866.375
trap argentino,trap argentino,33,34.05882352941177,209363.82352941178
latin hip hop,reggaeton flow,33,63.526315789473685,409364.7894736842
colombian pop,reggaeton colombiano,30,63.125,194304.4375
reggaeton colombiano,reggaeton colombiano,28,64.94736842105263,291146.3157894737
trap boricua,urbano latino,27,65.66666666666667,314652.22222222225
reggaeton,trap boricua,26,65.66666666666667,314652.22222222225
latin hip hop,reggaeton colombiano,26,62.05882352941177,356457.8823529412
trap boricua,trap latino,25,65.66666666666667,314652.22222222225
pop,rap,25,66.5909090909091,146951.9090909091
r&b en espanol,trap argentino,24,67.0952380952381,679781.8571428572
colombian pop,latin pop,24,64.27272727272727,314145.54545454547
reggaeton flow,reggaeton flow,23,61.733333333333334,608059.5333333333
latin hip hop,latin pop,23,61.35,213672.85
trap triste,urbano latino,23,64.33333333333333,260085.55555555556
latin hip hop,panamanian pop,22,65.77777777777777,691014.4444444445
puerto rican pop,reggaeton colombiano,20,69.78571428571429,416446.71428571426
latin hip hop,puerto rican pop,20,68.0625,313297.8125
argentine hip hop,reggaeton,20,72.83333333333333,477273.3333333333
reggaeton flow,trap argentino,19,67.58333333333333,760484.3333333334
puerto rican pop,reggaeton flow,19,67.57142857142857,566907.2857142857
pop venezolano,urbano latino,19,60.333333333333336,274293.25
reggaeton,trap triste,18,63.166666666666664,364350.5
trap latino,trap triste,18,64.375,270944.625
rap,rap,17,69.53333333333333,211561.6
dance pop,pop,17,70.13333333333334,130622.86666666667
mexican pop,reggaeton,17,67.2,370287.13333333336
mexican pop,urbano latino,17,67.2,370287.13333333336
bases de freestyle,trap argentino,16,7.7,80884.2
pop,reggaeton colombiano,16,66.1875,597963.8125
hip hop,rap,16,72.0909090909091,151422.36363636365
rap,trap,16,72.0,206882.0
rap dominicano,urbano latino,16,59.142857142857146,133169.0
panamanian pop,r&b en espanol,15,59.53333333333333,508909.86666666664
panamanian pop,reggaeton colombiano,15,70.23076923076923,616812.0
r&b en espanol,reggaeton flow,15,65.4,858844.9
dance pop,reggaeton,15,58.916666666666664,295288.0833333333
dance pop,urbano latino,15,58.916666666666664,295288.0833333333
canadian pop,pop,15,73.16666666666667,126919.41666666667
latin viral pop,urbano latino,15,64.5,255178.5
rap,reggaeton,14,58.6,429700.3
rap,trap latino,14,58.6,429700.3
rap,urbano latino,14,58.6,429700.3
pop venezolano,trap latino,14,58.0,280769.1111111111
rap dominicano,reggaeton,14,59.142857142857146,133169.0
rap dominicano,trap latino,14,59.666666666666664,153575.16666666666
panamanian pop,trap argentino,13,70.1,549250.1
r&b en espanol,reggaeton colombiano,13,71.16666666666667,624054.5
reggaeton colombiano,trap argentino,13,71.8,653152.6
dance pop,trap latino,13,60.3,353726.9
latin hip hop,latin hip hop,13,64.38461538461539,363205.8461538461
electro latino,urbano latino,13,55.0,165217.88888888888
bachata,urbano latino,13,72.0,337488.75
mexican pop,reggaeton colombiano,13,65.91666666666667,342466.3333333333
latin viral pop,reggaeton,13,63.77777777777778,273003.77777777775
pop,puerto rican pop,12,65.77777777777777,94488.66666666667
pop rap,reggaeton,12,62.3,194862.1
pop rap,trap latino,12,62.3,194862.1
pop rap,urbano latino,12,62.3,194862.1
pop venezolano,reggaeton,12,64.625,304033.0
pop,trap,12,63.666666666666664,174693.25
edm,reggaeton,12,62.0,86892.75
edm,urbano latino,12,62.0,86892.75
pop dance,reggaeton,12,62.0,86892.75
pop dance,urbano latino,12,62.0,86892.75
bachata,reggaeton,12,72.0,337488.75
dembow,urbano latino,12,57.833333333333336,153524.66666666666
latin pop,reggaeton flow,12,64.75,395356.875
melodic rap,rap,12,71.57142857142857,277443.4285714286
