Source,Target,Weight,Avg_Popularity,Avg_Streams
pop,rap,80,27.37735849056604,98681.54716981133
pop,pop,69,38.75438596491228,154687.7894736842
hip hop,pop,44,28.823529411764707,64008.41176470588
pop,trap,40,28.774193548387096,119912.83870967742
hip hop,rap,31,47.6,93580.8
edm,pop,31,44.370370370370374,165436.5185185185
rap,rap,30,46.588235294117645,98534.82352941176
pop,pop dance,30,41.81481481481482,117899.96296296296
rap,trap,28,45.714285714285715,105251.78571428571
pop,pop rap,27,40.76190476190476,101244.57142857143
atl hip hop,pop,20,29.75,154885.125
pop,r&b,19,36.25,149895.75
atl hip hop,rap,18,40.2,109925.0
pop rap,rap,18,58.125,109168.75
pop,southern hip hop,18,35.166666666666664,95764.0
dance pop,pop,17,62.27272727272727,226111.63636363635
edm,pop dance,16,34.666666666666664,67954.11111111111
pop,uk pop,15,52.92857142857143,130615.07142857143
dance pop,rap,15,52.7,160915.2
hip hop,trap,14,58.166666666666664,101899.83333333333
melodic rap,pop,13,41.875,242957.625
electro house,pop,13,44.45454545454545,147096.54545454544
dance pop,trap,12,51.77777777777778,177912.66666666666
melodic rap,rap,11,45.0,171917.75
atl hip hop,hip hop,11,52.6,71970.2
dance pop,hip hop,11,57.875,92898.25
pop,pop r&b,10,48.666666666666664,201323.83333333334
metropopolis,pop,10,47.6,42563.4
pop rap,trap,10,51.333333333333336,115082.66666666667
hip hop,pop rap,10,44.4,87789.6
thai pop,thai pop,10,22.25,190345.625
detroit hip hop,pop,9,31.0,87644.42857142857
pop,progressive electro house,9,48.0,216884.75
dance pop,pop rap,9,61.57142857142857,135311.7142857143
pop dance,pop dance,9,34.666666666666664,67954.11111111111
electro house,pop dance,9,31.714285714285715,68955.57142857143
k-pop,k-rap,9,22.0,9282.333333333334
r&b,rap,8,38.5,42111.5
art pop,pop,8,42.5,52936.5
edm,rap,8,52.833333333333336,154000.0
dance pop,edm,8,64.14285714285714,181363.14285714287
edm,uk pop,8,64.66666666666667,126676.83333333333
pop dance,uk pop,8,64.66666666666667,126676.83333333333
edm,electro house,8,37.0,78806.16666666667
edm,progressive electro house,8,37.0,78806.16666666667
pop dance,progressive electro house,8,37.0,78806.16666666667
east coast hip hop,pop,7,10.571428571428571,21587.85714285714
oakland hip hop,pop,7,35.285714285714285,42002.142857142855
hip hop,melodic rap,7,40.8,213248.0
modern alternative rock,pop,7,30.6,105361.0
atl hip hop,trap,7,55.5,89614.25
electropop,pop,7,59.166666666666664,205224.16666666666
edm,trap,7,52.833333333333336,154000.0
pop,uk dance,7,58.6,353761.2
big room,pop,7,60.6,143211.0
dance pop,pop dance,7,61.5,136111.83333333334
edm,edm,7,41.714285714285715,85819.0
dutch house,edm,7,37.0,78806.16666666667
dutch house,pop dance,7,37.0,78806.16666666667
alt z,pop,7,42.42857142857143,44963.71428571428
pop,reggaeton,7,33.142857142857146,92439.14285714286
alt z,edm,6,35.0,51371.2
alt z,pop dance,6,35.0,51371.2
indie pop rap,pop,6,35.5,48808.833333333336
nz pop,pop,6,35.5,46053.0
dfw rap,pop,6,35.5,46053.0
contemporary country,pop,6,39.0,167461.0
hip hop,hip hop,6,55.5,89614.25
electro house,rap,6,51.8,155297.2
dance pop,southern hip hop,6,70.75,172699.25
pop,progressive house,6,71.6,206273.2
big room,edm,6,58.5,97431.0
big room,pop dance,6,58.5,97431.0
pop dance,rap,6,39.75,116062.75
k-pop,k-pop,6,30.75,13716.75
pop,urbano latino,6,33.0,107652.0
pop rap,pop rap,6,79.0,172410.0
hip hop,r&b,5,31.8,41412.8
pop,singer-songwriter pop,5,56.2,114150.4
hip hop,uk pop,5,43.0,54151.0
rap,uk pop,5,43.0,54151.0
pop,rock,5,27.6,35758.2
dfw rap,rap,5,31.8,155869.6
melodic rap,trap,5,49.6,256368.4
art pop,rap,5,43.333333333333336,69862.0
metropopolis,rap,5,43.333333333333336,69862.0
country,pop,5,52.0,222637.66666666666
country pop,pop,5,52.0,222637.66666666666
country road,pop,5,52.0,222637.66666666666
modern country rock,pop,5,52.0,222637.66666666666
atl hip hop,dance pop,5,45.75,218559.5
pop rap,viral pop,5,27.4,52498.8
trap,trap,5,61.6,122001.0
atl hip hop,pop rap,5,49.333333333333336,117981.0
edm,hip hop,5,64.5,144655.75
edm,pop rap,5,49.5,228932.0
edm,southern hip hop,5,49.5,228932.0
electro house,trap,5,51.8,155297.2
thai hip hop,thai pop,5,31.75,177940.5
dance pop,uk pop,5,45.25,97810.0
dutch house,pop,5,55.5,65725.25
pop dance,trap,5,39.75,116062.75
miami hip hop,rap,5,78.66666666666667,170703.0
k-pop,korean r&b,5,0.0,1163.0
hip hop,singer-songwriter pop,4,39.0,38318.75
rap,singer-songwriter pop,4,39.0,38318.75
pop r&b,rap,4,35.5,46053.0
nz pop,rap,4,35.5,46053.0
edm,modern alternative rock,4,19.75,110266.25
modern alternative rock,pop dance,4,19.75,110266.25
edm,r&b,4,40.5,130484.5
dance pop,melodic rap,4,35.0,289120.0
east coast hip hop,rap,4,37.0,42502.5
indie pop rap,rap,4,37.0,42502.5
oakland hip hop,rap,4,37.0,42502.5
pop,pop edm,4,59.333333333333336,134443.66666666666
rap,southern hip hop,4,59.5,75040.25
canadian pop,pop,4,50.75,248807.0
edm,post-teen pop,4,50.25,167489.0
pop,post-teen pop,4,52.25,177615.0
pop,tropical house,4,47.75,49999.0
electro house,hip hop,4,64.5,144655.75
dance pop,electro house,4,60.0,172750.25
melodic rap,pop rap,4,80.0,297300.0
pop,swedish pop,4,46.0,188303.25
pop dance,pop rap,4,39.333333333333336,154285.66666666666
pop dance,southern hip hop,4,39.333333333333336,154285.66666666666
dutch edm,edm,4,43.25,83623.25
dutch edm,pop,4,66.25,150628.5
dutch edm,pop dance,4,43.25,83623.25
edm,slap house,4,13.666666666666666,70443.33333333333
electro house,slap house,4,13.666666666666666,70443.33333333333
pop dance,slap house,4,13.666666666666666,70443.33333333333
electro house,progressive electro house,4,0.0,104968.0
indie poptimism,pop,4,49.25,56629.5
rap,slap house,4,65.0,2653.0
hip pop,pop,4,19.5,32542.25
pop,queens hip hop,4,19.5,32542.25
pop,trap latino,4,36.5,159377.75
latin pop,pop,4,9.25,144616.25
pop rap,seattle hip hop,4,84.0,1768.0
canadian pop,rap,4,74.0,343052.0
k-rap,korean r&b,4,0.0,1163.0
detroit hip hop,r&b,3,0.0,19960.333333333332
electropop,rap,3,54.0,57714.666666666664
indie poptimism,rap,3,54.0,57714.666666666664
modern rock,pop,3,44.666666666666664,34181.666666666664
atl hip hop,dfw rap,3,29.333333333333332,229080.66666666666
atl hip hop,melodic rap,3,29.333333333333332,229080.66666666666
dfw rap,trap,3,29.333333333333332,229080.66666666666
contemporary country,dance pop,3,52.0,222637.66666666666
country,dance pop,3,52.0,222637.66666666666
country pop,dance pop,3,52.0,222637.66666666666
country road,dance pop,3,52.0,222637.66666666666
dance pop,modern country rock,3,52.0,222637.66666666666
dance pop,modern alternative rock,3,51.0,166515.0
house,r&b,3,39.333333333333336,165135.33333333334
pop dance,r&b,3,27.333333333333332,23022.333333333332
r&b,slap house,3,39.333333333333336,14862.0
rap,viral pop,3,19.333333333333332,24637.333333333332
atl hip hop,atl hip hop,3,49.333333333333336,5135.0
southern hip hop,trap,3,53.333333333333336,87479.66666666667
southern hip hop,uk pop,3,46.333333333333336,59311.333333333336
trap,uk pop,3,46.333333333333336,59311.333333333336
