Source,Target,Weight,Avg_Popularity,Avg_Streams
turkish hip hop,turkish hip hop,299,20.226666666666667,2055632.08
turkish hip hop,turkish trap,254,21.87323943661972,2609787.9577464787
turkish trap,turkish trap,86,21.979166666666668,3391115.1875
pop,pop,48,56.25,1768004.8
turkish hip hop,turkish rock,43,16.307692307692307,5104518.076923077
turkce drill,turkish hip hop,33,29.764705882352942,5215119.94117647
german hip hop,turkish hip hop,32,39.6551724137931,2230809.7586206896
german hip hop,turkish trap,32,39.6551724137931,2230809.7586206896
turkce drill,turkish trap,30,31.625,5404965.625
turkish alt pop,turkish hip hop,27,8.916666666666666,5072469.5
rap,rap,27,56.42857142857143,390039.28571428574
rap,trap,27,60.5625,482277.625
pop,rap,27,62.0,707975.6111111111
german cloud rap,turkish hip hop,24,44.25,2504861.75
german cloud rap,turkish trap,24,44.25,2504861.75
hip hop,rap,24,59.9375,379478.5
edm,pop,18,58.46153846153846,1329622.6153846155
turkish hip hop,turkish pop,17,14.875,4385122.25
turkish pop,turkish pop,17,5.117647058823529,3001117.1764705884
melodic rap,rap,17,54.90909090909091,619482.5454545454
pop,reggaeton,15,69.0,3286447.285714286
atl hip hop,rap,14,50.111111111111114,639434.8888888889
pop,pop dance,13,44.625,1919532.625
pop,trap latino,13,70.5,3417066.8333333335
pop,urbano latino,13,70.5,3417066.8333333335
dance pop,pop,13,74.4,3790211.2
electro house,pop,12,45.375,1552442.75
pop rap,rap,12,64.77777777777777,126575.55555555556
hip hop,trap,12,65.6,169939.8
rap,slap house,12,57.7,145720.6
new school turkce rap,turkish trap,11,26.2,389823.0
hip hop,pop,11,52.625,584081.75
azeri rap,turkish hip hop,10,23.4,3431407.0
pop,uk pop,10,72.88888888888889,1511718.111111111
turkish hip hop,turkish trap pop,10,30.0,3146303.5
turkish trap,turkish trap pop,10,30.0,3146303.5
turkish alt pop,turkish rock,9,25.571428571428573,5543384.428571428
indie poptimism,pop,8,31.571428571428573,621018.0
moombahton,pop,8,18.5,721738.5
electropop,pop,8,50.857142857142854,2075306.4285714286
melodic rap,trap,8,56.0,939247.0
pop,trap,8,65.25,785322.875
turkish rock,turkish trap,8,31.8,8118701.0
turkish deep house,turkish pop,7,6.666666666666667,2888068.3333333335
hip hop,melodic rap,7,63.0,782523.1666666666
slap house,trap,7,71.5,167198.16666666666
canadian pop,pop,7,63.833333333333336,3575876.3333333335
k-pop,pop,7,49.2,1685909.2
pop,slap house,7,40.6,146877.4
new school turkce rap,turkish hip hop,7,26.2,389823.0
australian pop,pop,6,23.0,507381.6666666667
hip hop,pop rap,6,63.166666666666664,90693.16666666667
azeri rap,turkish trap,6,15.333333333333334,4838890.666666667
pop,pop r&b,6,74.6,2807604.2
art pop,pop,6,54.2,2975899.4
turkish rock,turkish rock,6,30.166666666666668,6368188.0
atl hip hop,hip hop,6,71.8,175560.2
gangster rap,rap,6,60.2,286692.4
melodic rap,pop,6,61.0,369941.3333333333
canadian pop,rap,6,58.25,249867.75
turkish alt pop,turkish trap,6,21.4,7694251.4
pop rap,trap,6,59.0,133304.5
trap,trap,6,38.0,269989.75
atl hip hop,trap,6,26.666666666666668,211977.0
rap,singer-songwriter pop,6,68.75,51258.0
rap,uk pop,6,68.75,51258.0
australian dance,edm,5,27.2,605927.2
australian pop,edm,5,27.2,605927.2
australian dance,pop dance,5,27.2,605927.2
australian pop,pop dance,5,27.2,605927.2
australian dance,pop,5,27.2,605927.2
gangster rap,hip hop,5,74.25,133117.5
atl trap,rap,5,55.0,301732.25
atl hip hop,slap house,5,71.8,175560.2
dfw rap,rap,5,48.2,1118491.4
pop,uk dance,5,72.6,602462.2
atl hip hop,pop,5,61.8,1110198.2
turkish pop,turkish rock,5,30.4,4162279.2
rap,reggaeton,5,77.33333333333333,1953029.0
rap,trap latino,5,79.66666666666667,1990914.6666666667
rap,urbano latino,5,77.33333333333333,1953029.0
pop,reggaeton colombiano,5,74.33333333333333,2533383.3333333335
hip hop,hip hop,5,73.0,153767.8
pop,puerto rican pop,5,67.5,2306642.5
pop,post-teen pop,5,68.25,1711120.25
miami hip hop,rap,5,75.5,500856.5
edm,indie poptimism,4,18.5,721738.5
electro house,indie poptimism,4,18.5,721738.5
indie poptimism,moombahton,4,18.5,721738.5
indie poptimism,pop dance,4,18.5,721738.5
australian dance,electro house,4,18.5,721738.5
australian pop,electro house,4,18.5,721738.5
australian dance,moombahton,4,18.5,721738.5
australian pop,moombahton,4,18.5,721738.5
australian dance,indie poptimism,4,18.5,721738.5
australian pop,indie poptimism,4,18.5,721738.5
pop,singer-songwriter pop,4,76.66666666666667,341718.0
turkish alt pop,turkish alt pop,4,44.75,1891697.75
atl trap,hip hop,4,72.0,101979.0
melodic rap,slap house,4,57.0,194309.5
dfw rap,trap,4,60.25,1377608.25
k-pop boy group,pop,4,46.75,306596.25
etherpop,pop,4,49.0,486724.0
canadian contemporary r&b,pop,4,49.666666666666664,223275.66666666666
pop,r&b,4,37.0,491377.75
canadian pop,hip hop,4,58.25,249867.75
canadian contemporary r&b,rap,4,35.0,169475.5
emo rap,trap,4,70.0,229550.0
reggaeton,trap latino,4,74.0,652152.5
reggaeton,urbano latino,4,74.0,652152.5
trap latino,urbano latino,4,74.0,652152.5
hip hop,southern hip hop,4,57.0,172590.5
rap,southern hip hop,4,57.0,172590.5
post-teen pop,reggaeton,4,71.0,1753128.3333333333
post-teen pop,urbano latino,4,71.0,1753128.3333333333
turkish alternative,turkish rock,4,34.75,2475630.75
