Source,Target,Weight,Avg_Popularity,Avg_Streams
pop,pop,128,51.74561403508772,601595.4561403509
pop,rap,105,48.97222222222222,294819.2361111111
edm,pop,78,51.15873015873016,304513.68253968254
pop,pop dance,76,46.45,249086.83333333334
rap,rap,68,47.51063829787234,258268.4255319149
rap,trap,62,49.78125,316480.09375
hip hop,rap,61,51.21621621621622,147046.8108108108
pop,trap,55,43.333333333333336,293161.5111111111
hip hop,pop,54,44.4390243902439,131762.73170731709
electro house,pop,51,47.8,230666.675
mandopop,mandopop,46,35.61904761904762,310339.88095238095
melodic rap,rap,43,46.51724137931034,312724.5172413793
mandopop,taiwan pop,40,39.096774193548384,567064.7419354839
pop,pop rap,38,40.03448275862069,182858.3448275862
pop rap,rap,38,49.130434782608695,124524.86956521739
dance pop,pop,36,58.5625,609369.78125
pop,uk pop,34,52.61290322580645,612859.7096774194
electropop,pop,28,42.57692307692308,722696.0
melodic rap,pop,28,50.964285714285715,418870.0714285714
pop,reggaeton,28,57.705882352941174,280104.0
moombahton,pop,26,42.4,285769.26666666666
pop,urbano latino,26,58.5,280472.5625
mandopop,taiwan hip hop,26,26.4375,480349.0625
atl hip hop,rap,26,41.75,254521.16666666666
mandopop,taiwan singer-songwriter,25,38.1,363889.95
hip hop,trap,25,53.875,172929.875
pop dance,uk pop,24,46.23809523809524,595801.4285714285
pop,trap latino,24,62.4,295694.4
melodic rap,trap,23,47.05,355371.6
pop,r&b,23,45.25,367017.65
reggaeton,urbano latino,22,62.5,149790.16666666666
taiwan pop,taiwan singer-songwriter,21,32.94736842105263,358684.84210526315
edm,pop dance,21,46.916666666666664,130520.33333333333
edm,uk pop,20,49.6,600408.85
hip hop,melodic rap,20,52.23529411764706,136488.5294117647
taiwan hip hop,taiwan pop,20,31.6,99674.3
reggaeton,trap latino,20,62.5,149790.16666666666
trap latino,urbano latino,20,62.5,149790.16666666666
rap,southern hip hop,20,43.07142857142857,137967.07142857142
r&b,rap,20,40.35294117647059,138385.82352941178
atl hip hop,pop,20,41.1875,223895.25
dfw rap,rap,19,41.75,442720.75
alt z,pop,19,47.1875,339613.9375
taiwan pop,taiwan pop,19,34.94736842105263,476479.63157894736
pop,uk dance,19,56.611111111111114,246178.77777777778
pop rap,trap,19,46.666666666666664,124301.58333333333
pop,southern hip hop,19,33.53333333333333,91959.6
pop,swedish pop,18,57.266666666666666,271082.4
canadian pop,pop,18,52.13333333333333,868419.7333333333
taiwan hip hop,taiwan hip hop,18,22.428571428571427,147817.7142857143
rap,uk pop,18,62.92857142857143,508748.14285714284
indie poptimism,pop,17,47.8125,517278.6875
pop dance,pop dance,17,48.13333333333333,127282.93333333333
pop,slap house,17,42.357142857142854,140049.35714285713
dance pop,edm,17,55.88235294117647,215387.58823529413
dance pop,pop dance,17,53.8125,228284.1875
hip hop,pop rap,16,48.8,69457.5
edm,swedish pop,15,54.0,129732.33333333333
pop dance,swedish pop,15,54.0,129732.33333333333
edm,rap,15,37.90909090909091,311936.8181818182
k-pop,pop,15,51.38461538461539,568786.6923076923
trap,trap,15,45.6,60318.4
pop dance,uk dance,14,45.6,149956.6
rap,reggaeton,14,61.666666666666664,138703.11111111112
rap,trap latino,14,62.44444444444444,129128.0
rap,urbano latino,14,61.666666666666664,138703.11111111112
electro house,pop dance,14,42.916666666666664,87668.83333333333
atl hip hop,trap,14,28.8,43235.2
australian pop,pop,13,40.53846153846154,435859.0
dfw rap,trap,13,44.25,550611.6666666666
edm,trap,13,33.8,314633.1
pop dance,rap,13,35.8,320866.3
rap,slap house,13,54.22222222222222,146153.88888888888
house,pop,13,60.72727272727273,297695.9090909091
edm,electro house,13,46.81818181818182,95203.81818181818
pop,progressive electro house,13,52.30769230769231,261707.15384615384
hip hop,r&b,13,46.666666666666664,140275.75
rap,singer-songwriter pop,13,63.55555555555556,443075.77777777775
edm,indie poptimism,12,45.36363636363637,76278.36363636363
indie poptimism,pop dance,12,45.36363636363637,76278.36363636363
pop dance,trap,12,31.0,324854.3333333333
atl hip hop,hip hop,12,48.142857142857146,83656.42857142857
contemporary country,pop,12,70.88888888888889,690732.6666666666
alt z,pop dance,11,42.55555555555556,493672.77777777775
edm,reggaeton,11,55.0,96630.625
pop dance,reggaeton,11,55.0,96630.625
dfw rap,hip hop,11,42.7,82558.8
atl hip hop,melodic rap,11,38.1,272611.4
reggaeton,reggaeton,11,62.5,149790.16666666666
urbano latino,urbano latino,11,62.5,149790.16666666666
hip hop,hip hop,11,53.27272727272727,144360.81818181818
miami hip hop,rap,11,54.285714285714285,60604.28571428572
gangster rap,rap,11,51.22222222222222,397725.3333333333
canadian pop,rap,11,47.22222222222222,287691.1111111111
dance pop,electro house,11,51.63636363636363,96522.90909090909
movie tunes,show tunes,11,69.33333333333333,303749.0
electro house,indie poptimism,10,43.4,73246.9
australian pop,edm,10,45.7,124310.5
australian pop,pop dance,10,45.7,124310.5
edm,urbano latino,10,56.285714285714285,109527.42857142857
pop,reggaeton colombiano,10,54.44444444444444,171181.44444444444
pop dance,urbano latino,10,56.285714285714285,109527.42857142857
edm,pop rap,10,39.333333333333336,271221.55555555556
pop dance,pop rap,10,32.77777777777778,248649.55555555556
pop rap,reggaeton,10,57.888888888888886,139897.11111111112
pop rap,urbano latino,10,57.888888888888886,139897.11111111112
art pop,pop,10,55.125,389951.375
dutch house,pop dance,10,44.57142857142857,74213.57142857143
uk dance,uk pop,10,55.77777777777778,116611.22222222222
movie tunes,movie tunes,10,65.4,220394.4
indie poptimism,moombahton,9,43.666666666666664,80884.22222222222
australian dance,edm,9,43.666666666666664,80884.22222222222
australian dance,electro house,9,43.666666666666664,80884.22222222222
australian pop,electro house,9,43.666666666666664,80884.22222222222
australian dance,moombahton,9,43.666666666666664,80884.22222222222
australian pop,moombahton,9,43.666666666666664,80884.22222222222
australian dance,pop dance,9,43.666666666666664,80884.22222222222
australian dance,indie poptimism,9,43.666666666666664,80884.22222222222
australian pop,indie poptimism,9,43.666666666666664,80884.22222222222
australian dance,pop,9,43.666666666666664,80884.22222222222
melodic rap,melodic rap,9,42.111111111111114,704696.0
alt z,edm,9,45.0,579473.7142857143
electronic trap,rap,9,40.333333333333336,112493.83333333333
pop rap,trap latino,9,56.125,133694.375
pop,pop soul,9,57.666666666666664,452853.3333333333
pop,pop r&b,9,69.25,875097.5
reggaeton,reggaeton colombiano,9,77.0,222255.25
reggaeton colombiano,trap latino,9,77.0,222255.25
trap latino,trap latino,9,77.0,222255.25
reggaeton colombiano,urbano latino,9,77.0,222255.25
pop,viral pop,9,54.22222222222222,1403076.6666666667
edm,edm,9,47.0,111533.88888888889
dutch house,edm,9,52.0,85785.16666666667
dutch house,pop,9,36.75,79229.5
pop,progressive house,9,63.333333333333336,216020.33333333334
pop,tropical house,9,46.888888888888886,235501.44444444444
electro house,uk pop,9,41.333333333333336,278651.77777777775
melodic rap,pop rap,9,56.22222222222222,167371.22222222222
trap,uk pop,9,57.0,440529.5
metropopolis,pop,9,55.888888888888886,519468.22222222225
edm,trap latino,8,56.285714285714285,109527.42857142857
pop dance,trap latino,8,56.285714285714285,109527.42857142857
electronic trap,trap,8,32.6,77997.8
reggaeton,trap,8,52.666666666666664,144334.16666666666
trap,urbano latino,8,52.666666666666664,144334.16666666666
chinese r&b,mandopop,8,36.625,147808.375
pop,singer-songwriter pop,8,71.42857142857143,1179554.2857142857
pop dance,progressive electro house,8,44.57142857142857,74213.57142857143
gangster rap,hip hop,8,55.857142857142854,162811.14285714287
conscious hip hop,rap,8,57.142857142857146,193059.14285714287
modern rock,pop,8,63.857142857142854,563933.7142857143
pop,rock,8,54.57142857142857,383222.14285714284
atl trap,rap,8,41.2,562099.0
dance pop,uk pop,8,68.875,360554.375
mandopop,taiwan indie,8,35.0,167879.42857142858
melodic rap,uk pop,8,59.625,517863.875
canadian contemporary r&b,pop,8,51.714285714285715,115107.57142857143
hollywood,movie tunes,8,70.5,212585.0
brostep,pop,8,71.0,425329.0
pop,post-teen pop,8,69.14285714285714,580598.7142857143
dance pop,rap,8,60.125,500972.125
boy band,pop,7,28.857142857142858,429865.5714285714
edm,electropop,7,44.0,497408.4285714286
electropop,pop dance,7,44.0,497408.4285714286
alt z,electropop,7,29.285714285714285,494389.28571428574
edm,hip hop,7,29.666666666666668,115952.16666666667
hip hop,pop dance,7,19.833333333333332,82094.16666666667
rap,reggaeton colombiano,7,58.5,111285.33333333333
hip hop,trap latino,7,53.833333333333336,129971.5
trap,trap latino,7,53.833333333333336,129971.5
edm,r&b,7,50.142857142857146,269176.0
melodic rap,slap house,7,58.5,146649.33333333334
edm,progressive electro house,7,52.0,85785.16666666667
miami hip hop,trap,7,51.0,69120.0
gangster rap,pop,7,45.57142857142857,431359.4285714286
chinese indie,taiwan pop,7,32.0,40909.25
taiwan hip hop,taiwan singer-songwriter,7,32.0,821995.3333333334
canadian pop,r&b,7,42.142857142857146,206730.14285714287
k-pop boy group,pop,7,44.285714285714285,959841.0
etherpop,pop,7,51.166666666666664,1240318.0
hip hop,uk pop,7,61.5,267932.5
atl hip hop,pop rap,7,18.666666666666668,29275.0
southern hip hop,trap,7,37.6,45405.8
country,pop,7,71.66666666666667,872017.5
big room,pop dance,7,56.4,172368.0
dance pop,reggaeton,7,55.166666666666664,125853.33333333333
uk dance,uk dance,6,39.75,86861.25
pop dance,pop house,6,53.0,114333.33333333333
pop house,uk dance,6,53.0,114333.33333333333
canadian pop,pop dance,6,33.0,563361.6666666666
electropop,uk pop,6,37.166666666666664,740745.0
electronic trap,pop rap,6,36.0,89240.6
hip hop,reggaeton,6,48.8,135297.2
pop rap,reggaeton colombiano,6,55.833333333333336,150422.66666666666
hip hop,urbano latino,6,48.8,135297.2
chinese r&b,taiwan pop,6,42.0,375904.5
chinese r&b,taiwan singer-songwriter,6,37.833333333333336,181879.83333333334
indietronica,pop,6,51.333333333333336,863367.0
edm,progressive house,6,45.5,25655.0
pop dance,progressive house,6,45.5,25655.0
hip hop,southern hip hop,6,47.0,197868.5
hip hop,miami hip hop,6,48.833333333333336,27404.833333333332
pop rap,pop rap,6,37.0,29217.0
conscious hip hop,pop,6,50.0,171630.66666666666
tropical house,uk pop,6,58.0,1085086.6666666667
slap house,uk pop,6,40.666666666666664,172243.66666666666
taiwan indie,taiwan pop,6,24.0,59335.75
edm,modern rock,6,60.333333333333336,588986.1666666666
dutch edm,pop,6,64.0,430496.6
slap house,trap,6,70.25,124442.5
indie poptimism,rap,6,35.0,44956.75
melodic rap,southern hip hop,6,42.0,60543.333333333336
edm,metropopolis,6,58.333333333333336,1072485.3333333333
chicago rap,pop,6,67.33333333333333,332472.3333333333
hip hop,singer-songwriter pop,6,63.0,310231.2
electro house,rap,6,34.0,436679.1666666667
electro house,trap,6,34.0,436679.1666666667
house,uk pop,6,60.5,94461.16666666667
emo rap,trap,6,66.75,133860.75
k-pop,k-pop,6,29.5,60875.0
dance pop,urbano latino,6,54.2,90164.6
mainland chinese pop,mandopop,6,43.4,219459.0
pop,queens hip hop,6,62.0,171526.0
chinese hip hop,taiwan hip hop,6,32.5,34446.5
latin pop,pop,6,45.6,108154.8
big room,electro house,6,57.2,157127.6
big room,edm,6,53.25,114875.5
big room,dutch house,6,54.0,139738.0
dance pop,trap,6,54.333333333333336,159409.16666666666
belgian edm,edm,6,53.5,5060.0
belgian edm,pop dance,6,53.5,5060.0
belgian edm,reggaeton,6,66.0,5609.0
belgian edm,urbano latino,6,66.0,5609.0
boy band,electropop,5,14.6,451566.6
dfw rap,melodic rap,5,48.2,1242672.6
canadian pop,edm,5,41.8,603711.2
electronic trap,reggaeton,5,51.8,145342.8
electronic trap,trap latino,5,51.8,145342.8
electronic trap,urbano latino,5,51.8,145342.8
electronic trap,hip hop,5,29.75,96326.75
reggaeton colombiano,trap,5,47.75,142590.75
pop,swedish electropop,5,49.0,126107.4
edm,pop soul,5,48.0,310576.4
pop dance,pop soul,5,48.0,310576.4
pop dance,r&b,5,48.0,310576.4
edm,pop r&b,5,68.5,675117.75
alt z,electro house,5,61.8,319996.0
hip hop,neo soul,5,17.333333333333332,17546.333333333332
hip hop,pop soul,5,17.333333333333332,17418.0
neo soul,rap,5,17.333333333333332,17546.333333333332
pop soul,rap,5,17.333333333333332,17418.0
miami hip hop,pop rap,5,45.4,49278.4
electro house,reggaeton,5,64.0,604327.0
electro house,urbano latino,5,64.0,604327.0
pop,seattle hip hop,5,38.666666666666664,690993.6666666666
modern rock,pop dance,5,54.4,355559.0
taiwan singer-songwriter,taiwan singer-songwriter,5,31.4,102292.0
atl trap,hip hop,5,50.5,106174.5
atl hip hop,slap house,5,70.25,124442.5
lgbtq+ hip hop,pop,5,50.75,88089.0
neo mellow,pop,5,52.75,176025.25
electropop,rap,5,46.666666666666664,25730.0
etherpop,rap,5,46.666666666666664,25730.0
atl hip hop,dfw rap,5,32.8,498774.0
electro house,metropopolis,5,46.6,480161.6
metropopolis,pop dance,5,48.8,490546.0
canadian hip hop,rap,5,48.8,344224.8
rap,toronto rap,5,48.8,344224.8
dance pop,dance pop,5,67.2,74407.6
pop rap,uk pop,5,60.6,223246.8
singer-songwriter pop,trap,5,59.25,256229.25
chinese electropop,taiwan hip hop,5,9.666666666666666,550484.0
canadian contemporary r&b,rap,5,47.333333333333336,135036.0
canadian pop,hip hop,5,46.6,287325.4
hollywood,show tunes,5,70.5,212585.0
chinese hip hop,mandopop,5,36.0,202886.75
atl trap,pop,5,42.0,586244.2
electronic trap,pop,5,61.333333333333336,116850.66666666667
k-pop,k-rap,5,39.8,56520.4
country road,pop,5,70.25,829892.75
dance pop,house,5,53.6,149549.8
r&b,uk pop,5,60.4,712936.6
k-pop,pop dance,5,48.0,120361.2
cali rap,rap,5,33.5,81815.5
hip pop,pop,5,60.5,197553.5
pop,pop nacional,5,49.5,93940.5
pop,pop reggaeton,5,64.0,369509.0
emo rap,rap,5,66.33333333333333,145512.66666666666
dance pop,dutch house,5,53.5,106007.5
dance pop,melodic rap,5,49.8,116599.2
k-pop girl group,pop,5,57.5,146940.0
belgian edm,dutch house,5,66.0,5609.0
belgian edm,big room,5,66.0,5609.0
country rock,lgbtq+ hip hop,4,39.25,626314.0
dance pop,electropop,4,18.5,850155.5
mandopop,singaporean mandopop,4,50.75,897544.75
canadian pop,electropop,4,37.5,1013991.5
edm,swedish electropop,4,33.75,78093.0
pop dance,swedish electropop,4,33.75,78093.0
electro house,nordic house,4,71.33333333333333,249095.66666666666
miami hip hop,pop,4,44.25,31543.5
pop rap,southern hip hop,4,29.75,41493.25
hip hop,urban contemporary,4,26.0,23772.0
neo soul,pop rap,4,26.0,23772.0
pop rap,pop soul,4,26.0,23772.0
pop rap,urban contemporary,4,26.0,23772.0
rap,urban contemporary,4,26.0,23772.0
alt z,tropical house,4,42.0,208483.5
north carolina hip hop,rap,4,47.333333333333336,125377.0
chinese indie,mandopop,4,32.0,53064.666666666664
chinese indie,taiwan indie,4,32.0,53064.666666666664
chinese indie,taiwan singer-songwriter,4,32.0,53064.666666666664
chinese minyao,mandopop,4,40.5,185971.25
electro house,trap latino,4,64.0,604327.0
modern rock,pop rap,4,47.5,468284.25
pop rap,rock,4,47.5,468284.25
edm,rock,4,59.5,468424.0
contemporary country,dance pop,4,63.0,93144.25
outlaw country,pop,4,63.0,39695.0
canadian hip hop,r&b,4,40.5,190315.5
r&b,toronto rap,4,40.5,190315.5
electro house,norwegian pop,4,45.75,47049.75
album rock,rap,4,39.0,213699.0
alternative metal,rap,4,39.0,213699.0
birmingham metal,rap,4,39.0,213699.0
classic rock,rap,4,39.0,213699.0
glam metal,rap,4,39.0,213699.0
hard rock,rap,4,39.0,213699.0
metal,rap,4,39.0,213699.0
nu metal,rap,4,39.0,213699.0
rap,rock,4,39.0,213699.0
dfw rap,southern hip hop,4,32.75,71232.75
dfw rap,pop,4,32.75,74810.25
pop rap,singer-songwriter pop,4,62.25,264948.75
chicago rap,rap,4,50.25,303371.0
conscious hip hop,melodic rap,4,65.5,323514.75
conscious hip hop,trap,4,65.5,323514.75
melodic rap,singer-songwriter pop,4,59.25,256229.25
chinese electropop,mandopop,4,6.0,504678.3333333333
canadian contemporary r&b,r&b,4,51.5,102433.25
philly rap,rap,4,46.0,149700.0
contemporary country,edm,4,59.25,577978.5
dance pop,uk dance,4,54.25,176865.25
big room,pop,4,66.66666666666667,156660.0
house,pop dance,4,40.0,149023.66666666666
pop dance,slap house,4,57.0,114508.0
pop dance,tropical house,4,45.25,141607.5
slap house,tropical house,4,57.0,114508.0
edm,uk dance,4,34.5,203391.5
house,uk dance,4,34.5,203391.5
puerto rican pop,reggaeton,4,77.5,162129.0
puerto rican pop,trap latino,4,77.5,162129.0
puerto rican pop,urbano latino,4,77.5,162129.0
malaysian mandopop,mandopop,4,40.75,493019.25
pop,trap soul,4,41.0,299852.0
candy pop,pop,4,49.5,179504.25
edm,k-pop,4,48.5,148504.75
electro house,k-pop,4,48.5,148504.75
c-pop,mandopop,4,53.5,263590.25
dance pop,trap latino,4,67.75,99669.5
art pop,metropopolis,4,36.666666666666664,6798.333333333333
candy pop,metropopolis,4,36.666666666666664,6798.333333333333
pop,trap queen,4,59.75,232688.75
pop,scandipop,4,65.5,186293.0
post-teen pop,reggaeton,4,71.0,324842.0
post-teen pop,urbano latino,4,71.0,324842.0
funk pop,pop,4,48.0,123551.66666666667
funk rj,pop,4,48.0,123551.66666666667
pagode baiano,pop,4,48.0,123551.66666666667
pop,pov: indie,4,66.0,188311.33333333334
edm,latin pop,4,56.0,61444.0
latin pop,pop dance,4,56.0,61444.0
atl hip hop,atl hip hop,4,32.5,38751.0
big room,progressive electro house,4,54.0,139738.0
dance pop,progressive electro house,4,53.5,106007.5
pop,uk funky,4,69.25,48741.75
latin hip hop,reggaeton,4,72.0,82262.5
latin hip hop,urbano latino,4,72.0,82262.5
dance pop,latin pop,4,45.5,133605.25
dutch house,reggaeton,4,66.0,5609.0
dutch house,urbano latino,4,66.0,5609.0
big room,reggaeton,4,66.0,5609.0
big room,urbano latino,4,66.0,5609.0
pop rap,r&b,4,45.5,84848.0
atl hip hop,edm,4,16.0,23885.0
atl hip hop,pop dance,4,16.0,23885.0
dirty south rap,rap,4,40.0,315574.0
queens hip hop,rap,4,46.0,134311.33333333334
pop dance,pop edm,4,67.5,280899.5
singaporean mandopop,taiwan singer-songwriter,3,46.0,948966.3333333334
mandopop,singaporean singer-songwriter,3,46.0,948966.3333333334
singaporean singer-songwriter,taiwan singer-songwriter,3,46.0,948966.3333333334
alt z,melodic dubstep,3,27.0,971015.6666666666
canadian pop,melodic dubstep,3,27.0,971015.6666666666
melodic dubstep,uk pop,3,27.0,971015.6666666666
electropop,melodic dubstep,3,27.0,971015.6666666666
melodic dubstep,pop,3,27.0,971015.6666666666
edm,reggaeton colombiano,3,39.666666666666664,126948.0
electronic trap,reggaeton colombiano,3,39.666666666666664,126948.0
