Source,Target,Weight,Avg_Popularity,Avg_Streams
v-pop,vietnamese hip hop,107,37.215384615384615,766586.9076923077
v-pop,v-pop,80,37.11940298507463,1079965.7014925373
vietnamese hip hop,vietnamese melodic rap,73,36.53125,416545.6875
pop,pop,64,67.46551724137932,505821.6551724138
vietnamese hip hop,vietnamese hip hop,59,37.04651162790697,452096.0
v-pop,vietnamese melodic rap,39,38.111111111111114,707040.6296296297
pop,rap,34,60.083333333333336,617422.7083333334
vietnamese melodic rap,vietnamese melodic rap,28,36.68181818181818,479256.36363636365
indie viet,v-pop,26,38.57142857142857,1252859.761904762
k-pop,pop,25,57.0,565555.0
vietnamese hip hop,vietnamese trap,22,36.111111111111114,595402.9444444445
indie viet,vietnamese hip hop,21,36.78947368421053,1003206.1052631579
dance pop,pop,21,72.1875,585336.9375
rap,rap,20,69.44444444444444,93021.66666666667
hip hop,rap,19,76.0,37113.666666666664
v-pop,vietnamese trap,18,30.11764705882353,989289.0
vietnamese melodic rap,vietnamese trap,18,35.92307692307692,594115.9230769231
rap,trap,16,64.16666666666667,48294.0
hip hop,pop,14,35.81818181818182,752616.8181818182
pop,trap queen,14,63.5,393656.0
edm,pop,13,58.2,217105.0
pop,pop dance,13,56.666666666666664,210292.22222222222
dance pop,neo soul,12,3.3333333333333335,880273.5
neo soul,pop,12,3.3333333333333335,880273.5
canadian pop,rap,12,62.09090909090909,159187.81818181818
k-pop boy group,pop,11,55.0,860240.4545454546
indie viet,vietnamese melodic rap,11,34.44444444444444,1341445.2222222222
canadian pop,pop,11,76.1,816764.1
atl hip hop,rap,11,62.8,57123.6
houston rap,pop,11,60.44444444444444,495178.3333333333
melodic rap,rap,10,58.75,57566.5
escape room,pop,9,17.5,671091.375
pop,uk pop,9,70.75,49825.25
indie soul,pop,8,9.857142857142858,755324.5714285715
permanent wave,pop,8,68.125,582659.75
indie viet,vietnamese trap,8,26.333333333333332,655959.6666666666
k-pop,k-pop,8,31.875,142403.875
hip hop,trap,8,74.25,52372.0
v-pop,vietnamese singer-songwriter,8,42.0,1200034.4285714286
dance pop,escape room,7,9.857142857142858,755324.5714285715
dance pop,hip hop,7,15.142857142857142,1058281.142857143
dance pop,indie soul,7,9.857142857142858,755324.5714285715
k-pop,permanent wave,7,63.333333333333336,755647.6666666666
electropop,pop,7,69.5,613420.5
pop,trap,7,74.0,798697.0
atl trap,rap,7,75.33333333333333,68447.33333333333
escape room,neo soul,6,3.3333333333333335,880273.5
hip hop,neo soul,6,3.3333333333333335,880273.5
indie soul,neo soul,6,3.3333333333333335,880273.5
neo soul,neo soul,6,3.3333333333333335,880273.5
k-pop boy group,permanent wave,6,63.333333333333336,755647.6666666666
v-pop,viet remix,6,15.666666666666666,226046.16666666666
viet remix,vietnamese hip hop,6,12.0,227986.25
melodic rap,pop,6,38.833333333333336,383205.8333333333
art pop,pop,6,68.75,184088.0
k-pop,rap,6,43.4,686218.8
canadian pop,trap,6,74.2,244940.2
canadian hip hop,rap,6,77.6,39211.6
atl hip hop,hip hop,6,75.33333333333333,68447.33333333333
rap,toronto rap,6,77.6,39211.6
rap,trap queen,6,73.33333333333333,214106.66666666666
melodic rap,trap,5,58.75,57566.5
dance pop,rap,5,77.2,1414503.4
canadian pop,melodic rap,5,48.0,301945.2
k-pop girl group,pop,5,62.8,211274.8
atl trap,hip hop,5,75.33333333333333,68447.33333333333
canadian pop,hip hop,5,75.8,44585.4
pop,pop rap,5,66.25,42311.5
alt z,pop,5,40.2,41791.8
houston rap,rap,5,74.5,280430.5
hip hop,hip hop,5,75.4,33466.0
pop rap,rap,5,70.0,15258.0
v-pop,viet lo-fi,5,10.4,291612.6
pop,post-teen pop,5,65.4,378485.2
pop,pop r&b,4,71.5,225124.5
glam rock,pop,4,59.25,184799.75
mellow gold,pop,4,59.25,184799.75
piano rock,pop,4,59.25,184799.75
pop,rock,4,59.25,184799.75
dance pop,trap queen,4,70.5,78151.0
atl hip hop,melodic rap,4,58.75,57566.5
r&b,rap,4,53.0,28140.666666666668
canadian pop,chicago rap,4,36.25,33707.5
chicago rap,pop,4,19.5,254233.75
indie viet,indie viet,4,26.5,1347015.5
pop,r&b,4,79.25,2425478.0
dance pop,k-pop,4,62.25,125288.0
colombian pop,ghanaian alternative,4,40.5,14670.5
contemporary country,pop,4,72.5,39350.25
canadian contemporary r&b,pop,4,83.0,2222952.25
canadian hip hop,trap,4,76.33333333333333,60954.666666666664
atl hip hop,canadian pop,4,78.66666666666667,378042.6666666667
toronto rap,trap,4,76.33333333333333,60954.666666666664
canadian hip hop,hip hop,4,77.25,35176.5
hip hop,toronto rap,4,77.25,35176.5
k-pop,korean r&b,4,14.0,25204.5
hyperpop,pop,4,49.0,5631.0
hip hop,melodic rap,4,73.5,74995.0
pop,viral pop,4,72.25,836542.0
dance pop,uk pop,4,74.0,13636.0
pop,reggaeton,4,53.333333333333336,361428.3333333333
pop,trap latino,4,53.333333333333336,361428.3333333333
pop,urbano latino,4,53.333333333333336,361428.3333333333
miami hip hop,rap,4,68.0,26624.0
north carolina hip hop,rap,4,68.0,26624.0
dfw rap,rap,4,68.0,26624.0
pop,singer-songwriter pop,3,65.0,24386.333333333332
glam rock,uk pop,3,60.666666666666664,237138.33333333334
mellow gold,uk pop,3,60.666666666666664,237138.33333333334
piano rock,uk pop,3,60.666666666666664,237138.33333333334
rock,uk pop,3,60.666666666666664,237138.33333333334
australian dance,pop,3,81.0,230298.33333333334
australian dance,uk pop,3,81.0,230298.33333333334
australian hip hop,pop,3,65.66666666666667,1786390.0
etherpop,pop,3,57.333333333333336,1001276.0
indie poptimism,pop,3,57.333333333333336,1001276.0
dance pop,k-pop girl group,3,59.0,30833.0
art pop,k-pop,3,59.0,32033.0
art pop,k-pop girl group,3,59.0,32033.0
houston rap,k-pop,3,49.0,809890.0
k-pop,trap queen,3,49.0,809890.0
k-pop boy group,rap,3,24.0,804630.6666666666
edm,rap,3,68.0,334804.0
pop dance,rap,3,68.0,334804.0
brostep,pop,3,70.33333333333333,156823.33333333334
atl hip hop,canadian hip hop,3,79.0,89359.0
atl hip hop,toronto rap,3,79.0,89359.0
italo dance,slap house,3,82.0,551112.0
pop,progressive electro house,3,53.666666666666664,159168.66666666666
k-pop,k-rap,3,0.0,11015.666666666666
k-pop,korean old school hip hop,3,0.0,11015.666666666666
electronic trap,pop,3,69.33333333333333,345914.0
gangster rap,hip hop,3,75.5,63629.0
gangster rap,rap,3,75.5,63629.0
rock viet,vietnamese hip hop,3,30.333333333333332,691961.6666666666
vietnamese hip hop,vietnamese singer-songwriter,3,31.666666666666668,808735.6666666666
alt z,pop dance,3,67.0,43539.666666666664
art pop,hyperpop,3,49.0,5631.0
atl hip hop,trap,3,73.5,74995.0
atl hip hop,pop,3,73.0,491017.0
viet lo-fi,viet lo-fi,3,0.0,394139.0
dance pop,edm,3,74.0,13636.0
dance pop,pop dance,3,74.0,13636.0
edm,uk pop,3,74.0,13636.0
pop dance,uk pop,3,74.0,13636.0
pop,puerto rican pop,3,40.0,472539.5
indie viet,vietnamese singer-songwriter,3,26.0,1308171.5
pop,uk dance,3,72.0,58762.0
north carolina hip hop,pop,3,77.0,1076475.5
indie viet,viet remix,2,23.0,222166.0
canadian pop,pop r&b,2,65.0,99829.5
dance pop,glam rock,2,80.5,262124.0
dance pop,mellow gold,2,80.5,262124.0
dance pop,piano rock,2,80.5,262124.0
dance pop,rock,2,80.5,262124.0
alternative dance,dance pop,2,80.5,262124.0
aussietronica,dance pop,2,80.5,262124.0
australian dance,dance pop,2,80.5,262124.0
australian electropop,dance pop,2,80.5,262124.0
alternative dance,pop,2,80.5,262124.0
aussietronica,pop,2,80.5,262124.0
australian electropop,pop,2,80.5,262124.0
alternative dance,uk pop,2,80.5,262124.0
aussietronica,uk pop,2,80.5,262124.0
australian electropop,uk pop,2,80.5,262124.0
alternative dance,glam rock,2,80.5,262124.0
aussietronica,glam rock,2,80.5,262124.0
australian dance,glam rock,2,80.5,262124.0
australian electropop,glam rock,2,80.5,262124.0
alternative dance,mellow gold,2,80.5,262124.0
aussietronica,mellow gold,2,80.5,262124.0
australian dance,mellow gold,2,80.5,262124.0
australian electropop,mellow gold,2,80.5,262124.0
alternative dance,piano rock,2,80.5,262124.0
aussietronica,piano rock,2,80.5,262124.0
australian dance,piano rock,2,80.5,262124.0
australian electropop,piano rock,2,80.5,262124.0
alternative dance,rock,2,80.5,262124.0
aussietronica,rock,2,80.5,262124.0
australian dance,rock,2,80.5,262124.0
australian electropop,rock,2,80.5,262124.0
cali rap,dance pop,2,73.5,92904.0
cali rap,pop,2,73.5,92904.0
vietnamese trap,vietnamese trap,2,0.0,911484.5
viet remix,vietnamese melodic rap,2,24.0,382136.0
atl hip hop,brooklyn drill,2,44.0,40138.0
atl hip hop,nyc rap,2,44.0,40138.0
brooklyn drill,melodic rap,2,44.0,40138.0
melodic rap,melodic rap,2,44.0,40138.0
melodic rap,nyc rap,2,44.0,40138.0
brooklyn drill,r&b,2,44.0,40138.0
melodic rap,r&b,2,44.0,40138.0
nyc rap,r&b,2,44.0,40138.0
brooklyn drill,rap,2,44.0,40138.0
nyc rap,rap,2,44.0,40138.0
brooklyn drill,trap,2,44.0,40138.0
nyc rap,trap,2,44.0,40138.0
dance pop,houston rap,2,67.5,63398.0
australian hip hop,canadian pop,2,61.5,2668802.0
k-pop,k-pop boy group,2,33.0,487968.5
cali rap,melodic rap,2,45.5,737624.5
electropop,k-pop,2,42.5,1496232.5
etherpop,k-pop,2,42.5,1496232.5
indie poptimism,k-pop,2,42.5,1496232.5
electropop,k-pop boy group,2,42.5,1496232.5
etherpop,k-pop boy group,2,42.5,1496232.5
indie poptimism,k-pop boy group,2,42.5,1496232.5
dance pop,r&b,2,82.5,2409697.0
afro r&b,colombian pop,2,40.5,14670.5
afrobeats,colombian pop,2,40.5,14670.5
alternative r&b,colombian pop,2,40.5,14670.5
colombian pop,ghanaian pop,2,40.5,14670.5
afro r&b,ghanaian alternative,2,40.5,14670.5
afrobeats,ghanaian alternative,2,40.5,14670.5
alternative r&b,ghanaian alternative,2,40.5,14670.5
