Source,Target,Weight,Avg_Popularity,Avg_Streams
hip hop,rap,402,51.17391304347826,65598.62111801242
rap,trap,400,51.2485549132948,72777.82080924856
rap,rap,353,50.43589743589744,75297.53846153847
pop rap,rap,257,50.07142857142857,42001.25396825397
hip hop,trap,213,51.71666666666667,55166.041666666664
melodic rap,rap,174,50.101010101010104,89459.07070707071
atl hip hop,rap,170,51.43478260869565,69683.82608695653
pop rap,trap,154,48.41573033707865,33175.85393258427
pop,rap,148,50.234693877551024,115903.47959183673
rap,underground hip hop,147,51.476190476190474,17015.761904761905
hip hop,pop rap,145,48.3125,35905.7625
rap,southern hip hop,143,48.09090909090909,48666.65909090909
pop,pop,137,51.43333333333333,183102.29166666666
trap,trap,129,50.79120879120879,37261.593406593405
hip hop,hip hop,121,49.54320987654321,51226.37037037037
hip hop,underground hip hop,120,50.333333333333336,16252.583333333334
atl hip hop,trap,107,49.36065573770492,42804.04918032787
melodic rap,trap,107,53.08450704225352,93200.73239436619
atl hip hop,hip hop,95,53.59016393442623,48375.88524590164
southern hip hop,trap,95,48.370370370370374,25196.277777777777
r&b,rap,94,46.690140845070424,50023.042253521126
hip hop,melodic rap,83,52.483333333333334,77655.06666666667
hip hop,southern hip hop,83,46.8421052631579,51028.70175438596
hip hop,pop,82,47.34426229508197,68958.4262295082
edm,pop,80,54.193548387096776,149784.4516129032
underground hip hop,underground hip hop,77,48.4,18326.466666666667
pop,pop dance,77,49.983050847457626,106903.47457627118
pop,trap,76,47.61666666666667,131380.7
amapiano,amapiano,69,14.34375,174568.28125
gangster rap,rap,67,51.2,70787.06
cali rap,rap,65,52.0,41905.6
miami hip hop,rap,64,45.32258064516129,42547.967741935485
atl hip hop,pop rap,63,48.91304347826087,33274.239130434784
hip hop,r&b,59,48.04255319148936,52444.29787234042
pop,pop rap,59,46.791666666666664,64011.6875
pop rap,southern hip hop,58,39.794117647058826,14313.64705882353
melodic rap,pop rap,57,53.0,41175.48837209302
conscious hip hop,rap,56,56.45161290322581,59968.22580645161
pop rap,underground hip hop,52,47.166666666666664,16696.555555555555
atl trap,rap,52,55.38709677419355,89941.6129032258
atl hip hop,melodic rap,52,51.63157894736842,96371.31578947368
r&b,trap,51,47.83783783783784,14018.378378378378
afro soul,south african pop,49,26.62962962962963,76243.07407407407
